<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091201,VIG,18.27,18.27,15.99,17.36,441200.0,24.0,24.0,21.0,22.8,0.0,0.0,0.0
20091202,VIG,18.2,18.2,16.14,16.14,237200.0,23.9,23.9,21.2,21.2,0.0,2000.0,0.0
20091203,VIG,15.99,15.99,15.45,15.46,239600.0,21.0,21.0,20.3,20.3,0.0,0.0,0.0
20091204,VIG,14.55,15.92,14.39,15.69,281400.0,19.1,20.9,18.9,20.6,0.0,0.0,0.0
20091205,VIG,15.08,15.995,15.0,15.88,,,,,,,,
20091206,VIG,15.345,16.0325,15.305,15.975,,,,,,,,
20091207,VIG,15.61,16.07,15.61,16.07,301700.0,20.5,21.1,20.5,21.1,0.0,0.0,0.0
20091208,VIG,16.6,16.91,16.3,16.52,219500.0,21.8,22.2,21.4,21.7,0.0,100.0,0.0
20091209,VIG,15.76,16.37,15.38,15.84,208100.0,20.7,21.5,20.2,20.8,0.0,0.0,0.0
20091210,VIG,15.31,15.61,14.55,14.62,129300.0,20.1,20.5,19.1,19.2,0.0,100.0,0.0
20091211,VIG,14.77,14.77,13.78,13.78,157000.0,19.4,19.4,18.1,18.1,5000.0,100.0,0.0
20091212,VIG,14.73,14.73,13.36,14.05,,,,,,,,
20091213,VIG,14.71,14.71,13.15,14.185,,,,,,,,
20091214,VIG,14.69,14.69,12.94,14.32,175200.0,19.3,19.3,17.0,18.8,0.0,100.0,0.0
20091215,VIG,14.78,14.93,13.56,13.55,123800.0,19.4,19.6,17.8,17.8,0.0,0.0,0.0
20091216,VIG,14.16,14.24,13.17,13.17,57100.0,18.6,18.7,17.3,17.3,0.0,0.0,0.0
20091217,VIG,12.41,13.25,12.33,12.64,154600.0,16.3,17.4,16.2,16.6,0.0,0.0,0.0
20091218,VIG,13.1,13.33,12.94,13.33,57300.0,17.2,17.5,17.0,17.5,0.0,0.0,0.0
20091219,VIG,13.56,13.785,13.48,13.785,,,,,,,,
20091220,VIG,13.79,14.0125,13.75,14.0125,,,,,,,,
20091221,VIG,14.02,14.24,14.02,14.24,154500.0,18.4,18.7,18.4,18.7,0.0,0.0,0.0
20091222,VIG,15.08,15.15,13.4,13.48,175700.0,19.8,19.9,17.6,17.7,0.0,0.0,0.0
20091223,VIG,13.25,15.08,13.25,14.32,184400.0,17.4,19.8,17.4,18.8,0.0,0.0,0.0
20091224,VIG,14.47,15.08,13.33,14.01,252000.0,19.0,19.8,17.5,18.4,0.0,0.0,0.0
20091225,VIG,13.86,14.62,13.86,14.39,211400.0,18.2,19.2,18.2,18.9,0.0,0.0,0.0
20091226,VIG,14.39,14.77,13.67,14.01,,,,,,,,
20091227,VIG,14.655,14.845,13.575,13.82,,,,,,,,
20091228,VIG,14.92,14.92,13.48,13.63,116400.0,19.6,19.6,17.7,17.9,0.0,0.0,0.0
20091229,VIG,13.63,13.63,13.1,13.1,68700.0,17.9,17.9,17.2,17.2,0.0,0.0,0.0
20091230,VIG,13.71,13.71,12.49,13.02,138100.0,18.0,18.0,16.4,17.1,0.0,0.0,0.0
20091231,VIG,13.4,13.71,12.79,13.1,204400.0,17.6,18.0,16.8,17.2,0.0,0.0,0.0
20091232,VIG,13.63,13.975,13.29,13.67,,,,,,,,
20091233,VIG,13.745,14.1075,13.54,13.955,,,,,,,,
20091234,VIG,13.8025,14.17375,13.665,14.0975,,,,,,,,
20091235,VIG,13.83125,14.206875,13.7275,14.16875,,,,,,,,
20091236,VIG,13.845625,14.2234375,13.75875,14.204375,,,,,,,,
20091237,VIG,13.8528125,14.23171875,13.774375,14.2221875,,,,,,,,
20091238,VIG,13.85640625,14.235859375,13.7821875,14.23109375,,,,,,,,
20091239,VIG,13.858203125,14.2379296875,13.78609375,14.235546875,,,,,,,,
20091240,VIG,13.8591015625,14.2389648438,13.788046875,14.2377734375,,,,,,,,
20091241,VIG,13.8595507813,14.2394824219,13.7890234375,14.2388867187,,,,,,,,
20091242,VIG,13.8597753906,14.2397412109,13.7895117187,14.2394433594,,,,,,,,
20091243,VIG,13.8598876953,14.2398706055,13.7897558594,14.2397216797,,,,,,,,
20091244,VIG,13.8599438477,14.2399353027,13.7898779297,14.2398608398,,,,,,,,
20091245,VIG,13.8599719238,14.2399676514,13.7899389648,14.2399304199,,,,,,,,
20091246,VIG,13.8599859619,14.2399838257,13.7899694824,14.23996521,,,,,,,,
20091247,VIG,13.859992981,14.2399919128,13.7899847412,14.239982605,,,,,,,,
20091248,VIG,13.8599964905,14.2399959564,13.7899923706,14.2399913025,,,,,,,,
