<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20150911,VMA,8.85,8.85,8.85,8.85,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20150912,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150913,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150914,VMA,8.85,8.85,8.85,8.85,3782.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20150915,VMA,8.85,8.85,8.85,8.85,3294.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20150916,VMA,8.85,8.85,8.85,8.85,223.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20150917,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150918,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150919,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150920,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150921,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150922,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150923,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150924,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150925,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150926,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150927,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150928,VMA,8.85,8.85,8.85,8.85,390.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20150929,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150930,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150931,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150932,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150933,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150934,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150935,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150936,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150937,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150938,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150939,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150940,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150941,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150942,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150943,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150944,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150945,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150946,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150947,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150948,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150949,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150950,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150951,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150952,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150953,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150954,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150955,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150956,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150957,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150958,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150959,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150960,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150961,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150962,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150963,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150964,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150965,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150966,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150967,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150968,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150969,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150970,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150971,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150972,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150973,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150974,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150975,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150976,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150977,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150978,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150979,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150980,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150981,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150982,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150983,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150984,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150985,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150986,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150987,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150988,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150989,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150990,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150991,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150992,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150993,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150994,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150995,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150996,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150997,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150998,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20150999,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151000,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151001,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151002,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151003,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151004,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151005,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151006,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151007,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151008,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151009,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151010,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151011,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151012,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151013,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151014,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151015,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151016,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151017,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151018,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151019,VMA,8.85,8.85,8.85,8.85,32000.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20151020,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151021,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151022,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151023,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151024,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151025,VMA,8.85,8.85,8.85,8.85,,,,,,,,
20151026,VMA,8.85,8.85,8.85,8.85,,,,,,,,
