<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100726,VRC,24.22,24.22,23.27,24.22,468840.0,43.2,43.2,41.5,43.2,0.0,0.0,0.0
20100727,VRC,24.22,24.22,23.32,23.32,107590.0,43.2,43.2,41.6,41.6,20000.0,0.0,0.0
20100728,VRC,23.26,23.38,22.48,22.54,86770.0,41.5,41.7,40.1,40.2,50000.0,0.0,0.0
20100729,VRC,22.54,23.16,22.43,22.43,112230.0,40.2,41.3,40.0,40.0,0.0,0.0,0.0
20100730,VRC,22.65,22.88,22.43,22.65,135010.0,40.4,40.8,40.0,40.4,0.0,0.0,0.0
20100731,VRC,22.76,22.875,22.37,22.54,,,,,,,,
20100732,VRC,22.815,22.8725,22.34,22.485,,,,,,,,
20100733,VRC,22.8425,22.87125,22.325,22.4575,,,,,,,,
20100734,VRC,22.85625,22.870625,22.3175,22.44375,,,,,,,,
20100735,VRC,22.863125,22.8703125,22.31375,22.436875,,,,,,,,
20100736,VRC,22.8665625,22.87015625,22.311875,22.4334375,,,,,,,,
20100737,VRC,22.86828125,22.870078125,22.3109375,22.43171875,,,,,,,,
20100738,VRC,22.869140625,22.8700390625,22.31046875,22.430859375,,,,,,,,
20100739,VRC,22.8695703125,22.8700195313,22.310234375,22.4304296875,,,,,,,,
20100740,VRC,22.8697851563,22.8700097656,22.3101171875,22.4302148438,,,,,,,,
20100741,VRC,22.8698925781,22.8700048828,22.3100585938,22.4301074219,,,,,,,,
20100742,VRC,22.8699462891,22.8700024414,22.3100292969,22.4300537109,,,,,,,,
20100743,VRC,22.8699731445,22.8700012207,22.3100146484,22.4300268555,,,,,,,,
20100744,VRC,22.8699865723,22.8700006104,22.3100073242,22.4300134277,,,,,,,,
20100745,VRC,22.8699932861,22.8700003052,22.3100036621,22.4300067139,,,,,,,,
20100746,VRC,22.8699966431,22.8700001526,22.3100018311,22.4300033569,,,,,,,,
20100747,VRC,22.8699983215,22.8700000763,22.3100009155,22.4300016785,,,,,,,,
20100748,VRC,22.8699991608,22.8700000381,22.3100004578,22.4300008392,,,,,,,,
20100749,VRC,22.8699995804,22.8700000191,22.3100002289,22.4300004196,,,,,,,,
20100750,VRC,22.8699997902,22.8700000095,22.3100001144,22.4300002098,,,,,,,,
20100751,VRC,22.8699998951,22.8700000048,22.3100000572,22.4300001049,,,,,,,,
20100752,VRC,22.8699999475,22.8700000024,22.3100000286,22.4300000525,,,,,,,,
20100753,VRC,22.8699999738,22.8700000012,22.3100000143,22.4300000262,,,,,,,,
20100754,VRC,22.8699999869,22.8700000006,22.3100000072,22.4300000131,,,,,,,,
20100755,VRC,22.8699999934,22.8700000003,22.3100000036,22.4300000066,,,,,,,,
20100756,VRC,22.8699999967,22.8700000001,22.3100000018,22.4300000033,,,,,,,,
20100757,VRC,22.8699999984,22.8700000001,22.3100000009,22.4300000016,,,,,,,,
20100758,VRC,22.8699999992,22.87,22.3100000004,22.4300000008,,,,,,,,
20100759,VRC,22.8699999996,22.87,22.3100000002,22.4300000004,,,,,,,,
20100760,VRC,22.8699999998,22.87,22.3100000001,22.4300000002,,,,,,,,
20100761,VRC,22.8699999999,22.87,22.3100000001,22.4300000001,,,,,,,,
20100762,VRC,22.8699999999,22.87,22.31,22.4300000001,,,,,,,,
20100763,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100764,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100765,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100766,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100767,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100768,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100769,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100770,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100771,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100772,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100773,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100774,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100775,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100776,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100777,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100778,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100779,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100780,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100781,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100782,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100783,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100784,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100785,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100786,VRC,22.87,22.87,22.31,22.43,,,,,,,,
20100787,VRC,22.87,22.87,22.31,22.43,,,,,,,,
