<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170511,^TA100,1297.08,1297.89,1294.01,1295.94,87819000,1297.08,1297.89,1294.01,1295.94,0,0,0
20170510,^TA100,1296.08,1298.74,1290.6,1291.92,72312200,1296.08,1298.74,1290.6,1291.92,0,0,0
20170509,^TA100,1292.07,1297.3,1291.91,1295.89,66434000,1292.07,1297.3,1291.91,1295.89,0,0,0
20170508,^TA100,1287.8,1290.89,1285.2,1289.27,75077300,1287.8,1290.89,1285.2,1289.27,0,0,0
20170504,^TA100,1274.38,1279.18,1272.3,1276.02,99370600,1274.38,1279.18,1272.3,1276.02,0,0,0
20170503,^TA100,1267.35,1273.16,1266.72,1270.32,64996900,1267.35,1273.16,1266.72,1270.32,0,0,0
20170427,^TA100,1274.69,1274.81,1269.47,1271.99,120453100,1274.69,1274.81,1269.47,1271.99,0,0,0
20170426,^TA100,1268.93,1274.66,1265.81,1274.28,49031000,1268.93,1274.66,1265.81,1274.28,0,0,0
20170425,^TA100,1267.12,1268.8,1262.94,1267.59,91601600,1267.12,1268.8,1262.94,1267.59,0,0,0
20170424,^TA100,1261.84,1267.63,1261.84,1264.61,78932300,1261.84,1267.63,1261.84,1264.61,0,0,0
20170420,^TA100,1255.75,1260.45,1252.31,1258.4,57397500,1255.75,1260.45,1252.31,1258.4,0,0,0
20170419,^TA100,1244.96,1255.42,1243.76,1255.05,59886500,1244.96,1255.42,1243.76,1255.05,0,0,0
20170418,^TA100,1249.46,1252.86,1241.85,1244.67,64501700,1249.46,1252.86,1241.85,1244.67,0,0,0
20170413,^TA100,1258.16,1259.18,1240.51,1244.53,46996700,1258.16,1259.18,1240.51,1244.53,0,0,0
20170412,^TA100,1257.76,1261.57,1257.16,1257.82,52504100,1257.76,1261.57,1257.16,1257.82,0,0,0
20170406,^TA100,1260.79,1264.95,1258.11,1260.16,226844200,1260.79,1264.95,1258.11,1260.16,0,0,0
20170405,^TA100,1255.88,1268.18,1253.31,1264.04,195285600,1255.88,1268.18,1253.31,1264.04,0,0,0
20170404,^TA100,1253.02,1257.69,1250.04,1253.35,43288500,1253.02,1257.69,1250.04,1253.35,0,0,0
20170403,^TA100,1254.98,1257.05,1251.04,1251.88,42986400,1254.98,1257.05,1251.04,1251.88,0,0,0
20170330,^TA100,1247.35,1251.54,1246.73,1251.28,100223400,1247.35,1251.54,1246.73,1251.28,0,0,0
20170329,^TA100,1256.39,1258.0,1250.69,1253.3,46995800,1256.39,1258.0,1250.69,1253.3,0,0,0
20170328,^TA100,1254.6,1257.25,1250.54,1254.2,55526200,1254.6,1257.25,1250.54,1254.2,0,0,0
20170327,^TA100,1250.19,1250.19,1243.36,1247.76,58605400,1250.19,1250.19,1243.36,1247.76,0,0,0
20170323,^TA100,1259.83,1267.58,1259.8,1267.58,68140300,1259.83,1267.58,1259.8,1267.58,0,0,0
20170322,^TA100,1254.62,1265.71,1253.79,1260.57,55677900,1254.62,1265.71,1253.79,1260.57,0,0,0
20170321,^TA100,1272.52,1277.3,1262.69,1263.26,91172500,1272.52,1277.3,1262.69,1263.26,0,0,0
20170320,^TA100,1267.73,1272.4,1264.65,1270.62,65517400,1267.73,1272.4,1264.65,1270.62,0,0,0
20170316,^TA100,1288.66,1288.66,1269.61,1271.55,92862200,1288.66,1288.66,1269.61,1271.55,0,0,0
20170315,^TA100,1280.39,1282.78,1277.65,1280.18,45896900,1280.39,1282.78,1277.65,1280.18,0,0,0
20170314,^TA100,1283.14,1283.81,1276.41,1278.32,65275600,1283.14,1283.81,1276.41,1278.32,0,0,0
20170313,^TA100,1281.87,1283.36,1279.52,1282.14,45687800,1281.87,1283.36,1279.52,1282.14,0,0,0
20170209,^TA100,1247.97,1253.69,1244.45,1249.86,429764800,1247.97,1253.69,1244.45,1249.86,0,0,0
20170208,^TA100,1251.02,1252.79,1243.9,1246.39,84524200,1251.02,1252.79,1243.9,1246.39,0,0,0
20170207,^TA100,1247.45,1253.49,1246.46,1251.81,72858500,1247.45,1253.49,1246.46,1251.81,0,0,0
20170206,^TA100,1249.32,1249.85,1243.25,1247.26,63106300,1249.32,1249.85,1243.25,1247.26,0,0,0
