<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,ACC,27.5,27.5,26.4,27.5,40,27.5,27.5,26.4,27.5,0,10,0
20170626,ACC,27.5,27.5,27.0,27.5,14540,27.5,27.5,27.0,27.5,0,10,0
20170623,ACC,27.3,27.5,27.0,27.3,3530,27.3,27.5,27.0,27.3,0,30,0
20170622,ACC,27.4,27.4,27.0,27.3,9180,27.4,27.4,27.0,27.3,0,10,0
20170621,ACC,26.8,27.0,26.8,27.0,7820,26.8,27.0,26.8,27.0,0,20,0
20170620,ACC,26.8,26.8,26.6,26.8,1490,26.8,26.8,26.6,26.8,0,30,0
20170619,ACC,26.0,26.6,26.0,26.6,10630,26.0,26.6,26.0,26.6,0,20,9030
20170616,ACC,25.8,26.3,25.0,26.3,280,25.8,26.3,25.0,26.3,0,20,0
20170615,ACC,26.3,26.3,26.3,26.3,970,26.3,26.3,26.3,26.3,0,20,970
20170614,ACC,26.3,26.3,26.1,26.3,7110,26.3,26.3,26.1,26.3,0,10,5000
20170613,ACC,26.0,26.3,26.0,26.3,6230,26.0,26.3,26.0,26.3,0,10,5990
20170612,ACC,26.3,26.3,26.0,26.0,2260,26.3,26.3,26.0,26.0,0,1640,0
20170609,ACC,25.8,26.2,25.8,26.0,9570,25.8,26.2,25.8,26.0,0,9360,0
20170608,ACC,25.8,25.8,25.4,25.8,3550,25.8,25.8,25.4,25.8,0,10,0
20170607,ACC,25.4,25.8,25.4,25.8,3950,25.4,25.8,25.4,25.8,0,80,0
20170606,ACC,25.4,25.5,25.4,25.4,690,25.4,25.5,25.4,25.4,0,0,0
20170605,ACC,26.0,26.0,25.4,26.0,590,26.0,26.0,25.4,26.0,0,50,0
20170602,ACC,25.0,26.5,25.0,26.0,740,25.0,26.5,25.0,26.0,0,140,0
20170601,ACC,25.4,25.45,24.8,25.45,3350,25.4,25.45,24.8,25.45,0,10,0
20170531,ACC,25.45,25.45,25.45,25.45,90,25.45,25.45,25.45,25.45,0,10,0
20170530,ACC,26.4,26.4,25.0,25.1,2120,26.4,26.4,25.0,25.1,0,20,10
20170529,ACC,25.9,25.9,25.7,25.7,3010,25.9,25.9,25.7,25.7,0,2010,0
20170526,ACC,25.8,25.8,25.0,25.7,2980,25.8,25.8,25.0,25.7,0,20,1950
20170525,ACC,26.0,26.0,25.5,25.5,2010,26.0,26.0,25.5,25.5,0,10,1050
20170524,ACC,25.4,25.6,25.4,25.5,1080,25.4,25.6,25.4,25.5,0,30,0
20170523,ACC,26.0,26.0,25.0,25.5,5270,26.0,26.0,25.0,25.5,0,10,0
20170522,ACC,25.7,25.7,25.0,25.6,3830,25.7,25.7,25.0,25.6,0,40,0
20170519,ACC,26.0,26.0,25.0,25.4,2930,26.0,26.0,25.0,25.4,0,40,0
