<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170531,AGP,29.4,29.4,29.4,29.4,100,29.4,29.4,29.4,29.4,0,0,0
20170510,AGP,27.5,27.5,27.5,27.5,100,27.5,27.5,27.5,27.5,0,0,0
20170505,AGP,30.5,30.5,30.5,30.5,100,30.5,30.5,30.5,30.5,0,0,100
20170414,AGP,29.6,29.6,29.6,29.6,1300,29.9,29.9,29.9,29.9,0,0,0
20170221,AGP,29.7,29.7,29.7,29.7,200,30.0,30.0,30.0,30.0,0,0,0
20170220,AGP,34.65,34.65,34.65,34.65,100,35.0,35.0,35.0,35.0,0,0,0
20170208,AGP,31.48,31.48,31.48,31.48,100,31.8,31.8,31.8,31.8,0,0,0
20170113,AGP,28.71,28.71,24.75,24.75,1100,29.0,29.0,25.0,25.0,0,0,0
20170112,AGP,28.71,28.71,28.71,28.71,2000,29.0,29.0,29.0,29.0,0,0,0
20161223,AGP,25.84,25.84,25.84,25.84,100,26.1,26.1,26.1,26.1,0,0,0
20161220,AGP,27.62,27.62,27.62,27.62,100,27.9,27.9,27.9,27.9,0,0,0
20161212,AGP,32.47,32.47,32.47,32.47,100,34.0,34.0,34.0,34.0,0,0,0
20161207,AGP,28.46,32.76,28.46,32.76,600,29.8,34.3,29.8,34.3,0,0,0
20161130,AGP,33.42,33.42,33.42,33.43,100,35.0,35.0,35.0,35.0,0,0,0
20161128,AGP,30.56,30.56,30.56,30.56,100,32.0,32.0,32.0,32.0,0,0,0
20161125,AGP,28.65,28.65,28.65,28.65,1000,30.0,30.0,30.0,30.0,0,0,0
20161124,AGP,26.55,28.65,26.55,28.65,1000,27.8,30.0,27.8,30.0,0,0,0
20161123,AGP,26.55,26.55,26.55,26.55,800,27.8,27.8,27.8,27.8,0,0,0
20161121,AGP,26.74,26.74,25.79,25.79,1200,28.0,28.0,27.0,27.0,0,0,0
20161117,AGP,25.79,29.61,25.79,29.61,400,27.0,31.0,27.0,31.0,0,0,300
20161116,AGP,27.12,27.12,25.79,26.74,2100,28.4,28.4,27.0,28.0,0,0,0
20161115,AGP,23.59,23.59,23.59,23.59,100,24.7,24.7,24.7,24.7,0,0,0
