<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,APC,27.5,27.5,26.9,27.2,54880,27.5,27.5,26.9,27.2,0,6010,0
20170626,APC,27.2,27.2,26.5,26.9,64610,27.2,27.2,26.5,26.9,0,6010,0
20170623,APC,25.9,26.85,25.5,26.5,80960,25.9,26.85,25.5,26.5,0,1590,22000
20170622,APC,24.61,25.2,24.61,25.1,23720,25.1,25.7,25.1,25.6,0,230,0
20170621,APC,24.61,25.01,24.32,24.81,38400,25.1,25.5,24.8,25.3,0,420,0
20170620,APC,25.05,25.2,24.71,24.76,46180,25.55,25.7,25.2,25.25,0,1100,0
20170619,APC,25.39,25.59,25.0,25.3,34880,25.9,26.1,25.5,25.8,0,1950,6500
20170616,APC,25.79,25.79,25.0,25.39,36280,26.3,26.3,25.5,25.9,0,0,0
20170615,APC,25.49,25.74,25.0,25.59,64980,26.0,26.25,25.5,26.1,0,0,0
20170614,APC,26.18,26.27,25.49,25.74,136460,26.7,26.8,26.0,26.25,737990,78950,0
20170613,APC,25.1,25.98,25.1,25.98,65370,25.6,26.5,25.6,26.5,0,0,0
20170612,APC,23.63,24.9,23.63,24.9,123560,24.1,25.4,24.1,25.4,0,9340,15290
20170609,APC,23.44,23.54,23.34,23.43,15350,23.9,24.0,23.8,23.9,47200,10000,0
20170608,APC,23.53,23.53,23.28,23.29,19010,24.0,24.0,23.75,23.75,0,0,0
20170607,APC,23.43,23.63,23.43,23.53,12350,23.9,24.1,23.9,24.0,0,0,0
20170606,APC,23.73,23.73,23.24,23.53,27660,24.2,24.2,23.7,24.0,0,0,0
20170605,APC,23.44,23.88,23.24,23.63,40160,23.9,24.35,23.7,24.1,0,0,0
20170602,APC,23.83,23.83,23.19,23.24,4650,24.3,24.3,23.65,23.7,0,0,0
20170601,APC,23.04,23.53,23.04,23.34,21020,23.5,24.0,23.5,23.8,0,0,0
20170531,APC,23.14,23.43,23.04,23.04,26110,23.6,23.9,23.5,23.5,0,780,0
20170530,APC,23.92,23.92,23.14,23.43,36290,24.4,24.4,23.6,23.9,0,0,0
20170529,APC,24.02,24.31,23.73,23.92,8440,24.5,24.8,24.2,24.4,0,1000,0
20170526,APC,23.53,24.02,23.53,24.02,12240,24.0,24.5,24.0,24.5,0,0,0
20170525,APC,23.63,23.83,23.44,23.53,56630,24.1,24.3,23.9,24.0,0,0,0
20170524,APC,23.14,23.53,23.14,23.24,23840,23.6,24.0,23.6,23.7,0,0,320
20170523,APC,23.53,23.63,23.13,23.43,46260,24.0,24.1,23.6,23.9,0,0,0
20170522,APC,23.44,23.53,23.14,23.38,33570,23.9,24.0,23.6,23.85,0,1200,0
20170519,APC,23.33,23.48,23.04,23.24,31050,23.8,23.95,23.5,23.7,0,1000,0
20170518,APC,23.53,23.53,23.04,23.04,57780,24.0,24.0,23.5,23.5,0,0,0
20170517,APC,23.83,24.03,23.34,23.92,53210,24.3,24.5,23.8,24.4,0,1000,0
20170516,APC,23.63,23.83,23.24,23.83,94870,24.1,24.3,23.7,24.3,0,200,0
20170515,APC,24.12,24.12,23.53,23.83,68070,24.6,24.6,24.0,24.3,0,1000,0
20170512,APC,24.51,24.51,23.83,24.02,162700,25.0,25.0,24.3,24.5,0,200,0
20170511,APC,24.41,24.8,24.31,24.61,137240,24.9,25.3,24.8,25.1,0,300,0
20170510,APC,24.32,24.71,24.22,24.51,60200,24.8,25.2,24.7,25.0,0,1060,0
20170509,APC,24.22,25.05,24.22,24.71,133960,24.7,25.55,24.7,25.2,0,2360,10000
20170508,APC,24.81,24.81,24.17,24.22,22810,25.3,25.3,24.65,24.7,0,0,0
20170505,APC,24.02,24.66,24.02,24.61,30030,24.5,25.15,24.5,25.1,0,0,0
20170504,APC,23.73,24.61,23.73,23.92,58250,24.2,25.1,24.2,24.4,0,0,0
20170503,APC,24.12,24.12,23.78,23.83,80100,24.6,24.6,24.25,24.3,0,0,0
20170428,APC,24.22,24.51,24.12,24.12,21480,24.7,25.0,24.6,24.6,0,0,0
20170427,APC,24.51,24.71,24.12,24.51,47840,25.0,25.2,24.6,25.0,0,0,0
20170426,APC,25.0,25.0,24.26,24.51,29110,25.5,25.5,24.75,25.0,0,0,0
20170425,APC,25.19,25.44,24.75,24.9,73700,25.7,25.95,25.25,25.4,0,0,0
20170424,APC,25.3,25.4,24.76,25.39,170140,25.8,25.9,25.25,25.9,0,50310,22000
20170421,APC,24.02,25.15,23.82,25.15,352510,24.5,25.65,24.3,25.65,0,50010,34110
20170420,APC,22.07,24.37,22.07,23.53,185060,22.5,24.85,22.5,24.0,0,1400,1050
20170419,APC,22.65,22.85,22.11,22.85,18430,23.1,23.3,22.55,23.3,0,0,0
20170418,APC,22.26,22.65,21.77,22.65,43980,22.7,23.1,22.2,23.1,0,13290,90
20170417,APC,22.75,22.8,21.62,21.62,41900,23.2,23.25,22.05,22.05,0,1100,10
20170414,APC,23.04,23.04,22.65,22.65,16270,23.5,23.5,23.1,23.1,0,0,0
20170413,APC,23.34,23.63,23.05,23.24,33060,23.8,24.1,23.5,23.7,0,0,0
20170412,APC,23.43,23.43,23.04,23.34,39140,23.9,23.9,23.5,23.8,0,780,0
20170411,APC,23.24,23.68,23.14,23.53,39970,23.7,24.15,23.6,24.0,0,1010,2000
20170410,APC,23.34,23.53,23.24,23.24,24310,23.8,24.0,23.7,23.7,0,650,0
20170407,APC,23.34,23.83,23.29,23.73,48400,23.8,24.3,23.75,24.2,0,3220,1510
20170405,APC,23.23,23.53,23.04,23.34,27530,23.7,24.0,23.5,23.8,0,0,0
20170404,APC,23.63,23.63,23.24,23.38,109360,24.1,24.1,23.7,23.85,0,0,0
20170403,APC,23.63,24.12,23.53,23.83,52330,24.1,24.6,24.0,24.3,0,4000,10
20170331,APC,24.81,24.81,23.63,23.63,64460,25.3,25.3,24.1,24.1,0,2000,0
20170330,APC,24.71,24.91,24.42,24.81,87100,25.2,25.4,24.9,25.3,0,39630,5570
20170329,APC,24.41,24.9,24.02,24.71,160820,24.9,25.4,24.5,25.2,0,68270,23480
20170328,APC,24.75,25.15,24.41,24.41,46420,25.25,25.65,24.9,24.9,0,4310,1220
20170327,APC,25.4,25.5,24.42,24.9,113290,25.9,26.0,24.9,25.4,0,1300,6000
20170324,APC,23.53,25.25,23.53,25.25,394180,24.0,25.75,24.0,25.75,0,19000,14000
20170323,APC,23.92,24.31,23.19,23.63,112560,24.4,24.8,23.65,24.1,0,0,0
20170322,APC,24.51,24.71,23.63,24.02,106670,25.0,25.2,24.1,24.5,0,0,4890
20170321,APC,25.88,25.88,24.51,24.71,103660,26.4,26.4,25.0,25.2,0,0,5110
20170320,APC,24.22,24.61,24.12,24.61,277240,24.7,25.1,24.6,25.1,0,0,67000
20170317,APC,22.75,24.02,22.6,23.04,108990,23.2,24.5,23.05,23.5,0,0,16860
20170316,APC,22.45,22.75,22.35,22.75,66340,22.9,23.2,22.8,23.2,0,0,0
20170315,APC,22.75,23.04,22.45,22.55,58930,23.2,23.5,22.9,23.0,0,1500,0
20170314,APC,22.75,23.04,22.36,23.04,116370,23.2,23.5,22.8,23.5,0,0,0
20170313,APC,24.02,24.12,23.28,23.29,378160,24.5,24.6,23.75,23.75,0,2500,33850
20170310,APC,25.0,25.78,24.9,25.0,49390,25.5,26.3,25.4,25.5,0,100,8000
20170309,APC,24.61,25.68,24.61,25.39,69960,25.1,26.2,25.1,25.9,0,0,20000
20170308,APC,25.5,25.69,24.76,24.9,101490,26.0,26.2,25.25,25.4,0,0,0
20170307,APC,25.59,26.08,24.61,25.79,70240,26.1,26.6,25.1,26.3,0,1140,0
20170306,APC,25.49,26.23,25.49,25.59,194870,26.0,26.75,26.0,26.1,0,1600,7000
20170303,APC,24.02,24.51,23.92,24.51,542590,24.5,25.0,24.4,25.0,0,1240,292000
20170302,APC,22.26,23.04,22.26,22.94,248150,22.7,23.5,22.7,23.4,0,1880,121000
20170301,APC,22.16,22.26,21.77,22.06,35180,22.6,22.7,22.2,22.5,0,0,0
20170228,APC,22.26,22.26,21.87,22.16,49830,22.7,22.7,22.3,22.6,0,0,0
20170227,APC,22.26,22.45,21.86,22.26,15310,22.7,22.9,22.3,22.7,0,0,0
