<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,ATA,0.7,0.7,0.6,0.7,50520,0.7,0.7,0.6,0.7,50000,0,0
20170616,ATA,0.6,0.7,0.6,0.7,130641,0.6,0.7,0.6,0.7,50000,0,0
20170609,ATA,0.6,0.7,0.6,0.7,137815,0.6,0.7,0.6,0.7,50000,0,0
20170602,ATA,0.7,0.7,0.6,0.7,352040,0.7,0.7,0.6,0.7,50000,0,0
20170526,ATA,0.7,0.8,0.6,0.6,100635,0.7,0.8,0.6,0.6,0,0,0
20170519,ATA,0.7,0.8,0.6,0.8,140990,0.7,0.8,0.6,0.8,36000,0,0
20170512,ATA,0.6,0.7,0.6,0.7,446115,0.6,0.7,0.6,0.7,86000,0,0
20170505,ATA,0.8,0.8,0.6,0.7,67148,0.8,0.8,0.6,0.7,50000,0,0
20170428,ATA,0.6,0.7,0.6,0.7,154900,0.6,0.7,0.6,0.7,50000,0,0
20170421,ATA,0.6,0.7,0.6,0.7,80600,0.6,0.7,0.6,0.7,50030,0,0
20170414,ATA,0.6,0.7,0.6,0.7,227130,0.6,0.7,0.6,0.7,30000,0,0
20170407,ATA,0.7,0.7,0.6,0.7,77740,0.7,0.7,0.6,0.7,60000,0,0
20170331,ATA,0.9,0.9,0.7,0.8,191120,0.9,0.9,0.7,0.8,30000,60,0
20170324,ATA,0.8,0.9,0.8,0.8,235200,0.8,0.9,0.8,0.8,0,0,0
20170317,ATA,1.0,1.0,0.9,0.9,103980,1.0,1.0,0.9,0.9,0,0,0
20170310,ATA,1.0,1.0,0.9,1.0,567850,1.0,1.0,0.9,1.0,550000,0,0
20170303,ATA,0.9,0.9,0.9,0.9,177120,0.9,0.9,0.9,0.9,0,0,0
20170224,ATA,0.7,0.8,0.7,0.8,473720,0.7,0.8,0.7,0.8,0,0,6200
20170217,ATA,0.7,0.9,0.6,0.8,195800,0.7,0.9,0.6,0.8,0,1200,4300
20170203,ATA,0.65,0.71,0.63,0.65,293040,0.65,0.71,0.63,0.65,0,0,0
20170202,ATA,0.72,0.72,0.67,0.67,122440,0.72,0.72,0.67,0.67,0,0,0
20170125,ATA,0.77,0.82,0.72,0.72,314220,0.77,0.82,0.72,0.72,0,0,29910
20170124,ATA,0.76,0.77,0.76,0.77,215810,0.76,0.77,0.76,0.77,0,0,0
20170123,ATA,0.72,0.72,0.71,0.72,86400,0.72,0.72,0.71,0.72,982590,420,0
20170120,ATA,0.68,0.68,0.67,0.68,91140,0.68,0.68,0.67,0.68,0,38780,0
20170119,ATA,0.64,0.64,0.63,0.64,359400,0.64,0.64,0.63,0.64,0,50,0
20170118,ATA,0.58,0.6,0.58,0.6,272630,0.58,0.6,0.58,0.6,0,0,0
20170117,ATA,0.51,0.57,0.51,0.57,432120,0.51,0.57,0.51,0.57,0,0,13000
20170116,ATA,0.54,0.54,0.54,0.54,1190570,0.54,0.54,0.54,0.54,0,0,64000
20170113,ATA,0.57,0.57,0.57,0.57,69230,0.57,0.57,0.57,0.57,0,0,0
20170112,ATA,0.61,0.61,0.61,0.61,47110,0.61,0.61,0.61,0.61,0,0,0
20170111,ATA,0.65,0.65,0.65,0.65,3250,0.65,0.65,0.65,0.65,0,0,0
20170110,ATA,0.69,0.69,0.69,0.69,26840,0.69,0.69,0.69,0.69,0,0,0
20170109,ATA,0.74,0.74,0.74,0.74,115040,0.74,0.74,0.74,0.74,0,0,0
20170106,ATA,0.81,0.81,0.79,0.79,42140,0.81,0.81,0.79,0.79,0,0,0
20170105,ATA,0.8,0.82,0.77,0.8,79280,0.8,0.82,0.77,0.8,0,0,0
20170104,ATA,0.83,0.83,0.78,0.82,134580,0.83,0.83,0.78,0.82,0,0,0
20170103,ATA,0.83,0.85,0.82,0.83,44880,0.83,0.85,0.82,0.83,0,0,0
20161230,ATA,0.83,0.86,0.81,0.83,137410,0.83,0.86,0.81,0.83,0,0,0
20161229,ATA,0.89,0.89,0.85,0.86,20070,0.89,0.89,0.85,0.86,0,0,0
20161228,ATA,0.9,0.9,0.86,0.86,79440,0.9,0.9,0.86,0.86,0,0,0
20161227,ATA,0.88,0.88,0.82,0.87,59900,0.88,0.88,0.82,0.87,0,0,0
20161226,ATA,0.87,0.87,0.83,0.85,38140,0.87,0.87,0.83,0.85,0,0,0
20161223,ATA,0.89,0.89,0.83,0.83,44810,0.89,0.89,0.83,0.83,0,0,0
20161222,ATA,0.89,0.89,0.82,0.84,57890,0.89,0.89,0.82,0.84,0,0,0
20161221,ATA,0.98,0.98,0.87,0.87,315440,0.98,0.98,0.87,0.87,0,0,0
20161220,ATA,0.96,0.96,0.91,0.93,83740,0.96,0.96,0.91,0.93,0,0,0
20161219,ATA,0.92,0.92,0.91,0.92,265200,0.92,0.92,0.91,0.92,0,0,0
20161216,ATA,0.86,0.86,0.84,0.86,191760,0.86,0.86,0.84,0.86,0,0,0
