<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,CAD,0.6,0.6,0.5,0.6,55810,0.6,0.6,0.5,0.6,0,0,0
20170616,CAD,0.5,0.6,0.5,0.5,17100,0.5,0.6,0.5,0.5,0,0,0
20170609,CAD,0.5,0.5,0.5,0.5,5000,0.5,0.5,0.5,0.5,0,0,0
20170602,CAD,0.5,0.5,0.5,0.5,33000,0.5,0.5,0.5,0.5,0,0,0
20170519,CAD,0.6,0.6,0.6,0.6,31300,0.6,0.6,0.6,0.6,0,15800,0
20170512,CAD,0.6,0.6,0.6,0.6,1000,0.6,0.6,0.6,0.6,0,0,0
20170505,CAD,0.5,0.5,0.5,0.5,2300,0.5,0.5,0.5,0.5,0,0,0
20170428,CAD,0.5,0.5,0.5,0.5,8000,0.5,0.5,0.5,0.5,0,0,0
20170421,CAD,0.5,0.5,0.4,0.5,21900,0.5,0.5,0.4,0.5,0,0,0
20170414,CAD,0.5,0.5,0.4,0.4,1300,0.5,0.5,0.4,0.4,0,0,0
20170407,CAD,0.5,0.5,0.5,0.5,100,0.5,0.5,0.5,0.5,0,0,0
20170331,CAD,0.5,0.5,0.5,0.5,16700,0.5,0.5,0.5,0.5,0,0,0
20170324,CAD,0.5,0.6,0.4,0.5,56300,0.5,0.6,0.4,0.5,0,0,0
20170317,CAD,0.5,0.5,0.4,0.4,60700,0.5,0.5,0.4,0.4,0,0,0
20170310,CAD,0.4,0.5,0.4,0.5,6500,0.4,0.5,0.4,0.5,0,0,100
20170303,CAD,0.5,0.5,0.4,0.4,13600,0.5,0.5,0.4,0.4,0,0,0
20170224,CAD,0.5,0.5,0.4,0.4,15300,0.5,0.5,0.4,0.4,0,0,0
20170217,CAD,0.5,0.5,0.5,0.5,3100,0.5,0.5,0.5,0.5,0,0,0
20170210,CAD,0.4,0.4,0.4,0.4,42010,0.4,0.4,0.4,0.4,0,0,0
20170203,CAD,0.4,0.4,0.4,0.4,5500,0.4,0.4,0.4,0.4,0,0,0
20170120,CAD,0.4,0.4,0.4,0.4,30300,0.4,0.4,0.4,0.4,0,0,0
20170113,CAD,0.5,0.6,0.5,0.6,8100,0.5,0.6,0.5,0.6,0,0,0
20170106,CAD,0.6,0.6,0.6,0.6,4300,0.6,0.6,0.6,0.6,0,0,0
20161230,CAD,0.6,0.6,0.6,0.6,100,0.6,0.6,0.6,0.6,0,0,0
20161223,CAD,0.5,0.5,0.5,0.5,47500,0.5,0.5,0.5,0.5,0,0,0
20161216,CAD,0.7,0.7,0.6,0.6,1700,0.7,0.7,0.6,0.6,0,0,0
20161209,CAD,0.6,0.6,0.5,0.5,13100,0.6,0.6,0.5,0.5,0,500,0
20161202,CAD,0.5,0.5,0.5,0.5,24301,0.5,0.5,0.5,0.5,0,24300,0
20161125,CAD,0.4,0.5,0.3,0.5,51681,0.4,0.5,0.3,0.5,0,0,0
20161118,CAD,0.4,0.4,0.4,0.4,41800,0.4,0.4,0.4,0.4,0,0,0
20161111,CAD,0.5,0.5,0.4,0.4,30907,0.5,0.5,0.4,0.4,0,0,0
20161104,CAD,0.4,0.5,0.4,0.5,200,0.4,0.5,0.4,0.5,0,0,0
20161028,CAD,0.5,0.6,0.5,0.5,25110,0.5,0.6,0.5,0.5,0,0,0
20161021,CAD,0.5,0.6,0.4,0.4,11003,0.5,0.6,0.4,0.4,0,0,0
20161014,CAD,0.5,0.6,0.5,0.5,35000,0.5,0.6,0.5,0.5,0,0,0
20161007,CAD,0.6,0.6,0.6,0.6,900,0.6,0.6,0.6,0.6,0,0,0
20160930,CAD,0.5,0.6,0.5,0.6,2800,0.5,0.6,0.5,0.6,0,0,0
20160923,CAD,0.6,0.6,0.6,0.6,1000,0.6,0.6,0.6,0.6,0,0,0
20160916,CAD,0.8,0.8,0.6,0.7,5300,0.8,0.8,0.6,0.7,0,0,0
20160909,CAD,0.7,0.7,0.7,0.7,500,0.7,0.7,0.7,0.7,45950,0,0
20160826,CAD,0.7,0.7,0.7,0.7,2100,0.7,0.7,0.7,0.7,0,0,0
20160819,CAD,0.6,0.6,0.6,0.6,20200,0.6,0.6,0.6,0.6,0,0,0
20160812,CAD,0.5,0.6,0.5,0.6,37900,0.5,0.6,0.5,0.6,0,0,0
20160805,CAD,0.7,0.7,0.6,0.6,11300,0.7,0.7,0.6,0.6,0,0,0
20160729,CAD,0.7,0.8,0.7,0.7,21500,0.7,0.8,0.7,0.7,0,0,0
20160722,CAD,0.9,0.9,0.8,0.8,29500,0.9,0.9,0.8,0.8,0,0,0
20160715,CAD,0.9,1.0,0.9,0.9,27910,0.9,1.0,0.9,0.9,0,0,0
20160712,CAD,1.0,1.0,1.0,1.0,39000,1.0,1.0,1.0,1.0,0,0,0
20160711,CAD,1.1,1.1,1.1,1.1,24300,1.1,1.1,1.1,1.1,0,0,0
20160708,CAD,1.3,1.3,1.2,1.2,50600,1.3,1.3,1.2,1.2,0,0,0
20160707,CAD,1.4,1.4,1.3,1.3,2327,1.4,1.4,1.3,1.3,0,0,0
20160706,CAD,1.3,1.4,1.3,1.4,5700,1.3,1.4,1.3,1.4,0,0,0
20160705,CAD,1.5,1.5,1.4,1.4,2100,1.5,1.5,1.4,1.4,0,0,0
20160704,CAD,1.4,1.4,1.3,1.4,1900,1.4,1.4,1.3,1.4,0,0,0
20160701,CAD,1.4,1.5,1.3,1.5,8400,1.4,1.5,1.3,1.5,0,0,0
20160630,CAD,1.5,1.5,1.4,1.4,15100,1.5,1.5,1.4,1.4,0,0,0
20160629,CAD,1.4,1.4,1.4,1.4,35900,1.4,1.4,1.4,1.4,0,0,0
20160628,CAD,1.3,1.4,1.3,1.4,5500,1.3,1.4,1.3,1.4,0,0,0
20160627,CAD,1.3,1.3,1.3,1.3,1600,1.3,1.3,1.3,1.3,0,0,0
20160624,CAD,1.4,1.4,1.2,1.3,11013,1.4,1.4,1.2,1.3,0,0,0
20160623,CAD,1.4,1.5,1.4,1.4,17900,1.4,1.5,1.4,1.4,0,0,0
20160622,CAD,1.5,1.5,1.4,1.5,16600,1.5,1.5,1.4,1.5,0,0,0
20160621,CAD,1.6,1.6,1.5,1.6,7501,1.6,1.6,1.5,1.6,0,0,0
20160620,CAD,1.6,1.6,1.5,1.6,37815,1.6,1.6,1.5,1.6,0,0,0
20160617,CAD,1.4,1.7,1.4,1.7,67600,1.4,1.7,1.4,1.7,0,0,0
20160616,CAD,1.5,1.5,1.4,1.5,29920,1.5,1.5,1.4,1.5,0,0,0
20160615,CAD,1.5,1.6,1.5,1.5,91600,1.5,1.6,1.5,1.5,0,0,0
20160614,CAD,1.6,1.6,1.4,1.5,69900,1.6,1.6,1.4,1.5,0,0,0
20160613,CAD,1.6,1.7,1.6,1.6,59400,1.6,1.7,1.6,1.6,0,0,0
20160610,CAD,1.7,1.7,1.6,1.6,5240,1.7,1.7,1.6,1.6,0,0,0
20160609,CAD,1.7,1.8,1.7,1.7,39518,1.7,1.8,1.7,1.7,0,0,0
20160608,CAD,1.8,1.8,1.8,1.8,171,1.8,1.8,1.8,1.8,0,0,0
20160607,CAD,1.8,1.8,1.7,1.7,2700,1.8,1.8,1.7,1.7,0,0,0
20160606,CAD,1.9,1.9,1.8,1.8,2100,1.9,1.9,1.8,1.8,0,0,0
20160603,CAD,1.8,1.8,1.8,1.8,12830,1.8,1.8,1.8,1.8,0,0,0
20160602,CAD,1.8,1.9,1.8,1.8,16100,1.8,1.9,1.8,1.8,0,0,0
20160601,CAD,1.7,1.7,1.7,1.7,11300,1.7,1.7,1.7,1.7,0,0,0
20160531,CAD,1.7,1.7,1.7,1.7,6100,1.7,1.7,1.7,1.7,0,0,0
20160530,CAD,1.7,1.8,1.7,1.7,6900,1.7,1.8,1.7,1.7,0,0,0
20160527,CAD,1.7,1.8,1.7,1.7,7700,1.7,1.8,1.7,1.7,0,0,0
20160526,CAD,1.7,1.8,1.7,1.8,23090,1.7,1.8,1.7,1.8,0,0,0
20160525,CAD,1.8,1.8,1.7,1.7,1217,1.8,1.8,1.7,1.7,0,0,0
20160524,CAD,1.8,1.8,1.7,1.7,810,1.8,1.8,1.7,1.7,50,0,0
20160523,CAD,1.8,1.9,1.7,1.7,800,1.8,1.9,1.7,1.7,0,0,0
20160519,CAD,2.0,2.0,1.7,1.8,19100,2.0,2.0,1.7,1.8,0,0,0
20160518,CAD,2.0,2.0,1.7,1.9,3900,2.0,2.0,1.7,1.9,0,0,0
20160517,CAD,1.9,2.0,1.7,1.8,23440,1.9,2.0,1.7,1.8,0,0,0
20160516,CAD,1.7,1.9,1.7,1.8,34000,1.7,1.9,1.7,1.8,0,0,0
20160513,CAD,1.7,1.7,1.7,1.7,100,1.7,1.7,1.7,1.7,0,0,0
20160512,CAD,1.7,1.9,1.6,1.9,5500,1.7,1.9,1.6,1.9,0,0,0
20160511,CAD,1.6,1.8,1.6,1.8,9300,1.6,1.8,1.6,1.8,0,0,0
20160510,CAD,1.7,1.8,1.7,1.8,9800,1.7,1.8,1.7,1.8,0,0,0
20160509,CAD,1.8,1.8,1.7,1.7,32308,1.8,1.8,1.7,1.7,0,0,0
20160506,CAD,1.8,1.9,1.8,1.8,3200,1.8,1.9,1.8,1.8,0,0,0
20160505,CAD,1.8,1.9,1.8,1.8,5300,1.8,1.9,1.8,1.8,0,0,0
20160504,CAD,1.7,1.8,1.7,1.8,18800,1.7,1.8,1.7,1.8,0,0,0
20160429,CAD,1.7,1.7,1.7,1.7,7800,1.7,1.7,1.7,1.7,0,0,0
20160428,CAD,1.7,1.8,1.7,1.8,1510,1.7,1.8,1.7,1.8,60,0,0
20160427,CAD,1.6,1.7,1.6,1.7,19204,1.6,1.7,1.6,1.7,0,0,0
20160426,CAD,1.8,1.8,1.7,1.7,5603,1.8,1.8,1.7,1.7,0,0,0
20160425,CAD,1.8,1.9,1.8,1.8,10800,1.8,1.9,1.8,1.8,0,6300,0
20160422,CAD,1.7,1.7,1.6,1.7,17400,1.7,1.7,1.6,1.7,0,0,0
20160421,CAD,1.9,1.9,1.7,1.8,11113,1.9,1.9,1.7,1.8,0,0,0
20160420,CAD,1.9,2.0,1.8,1.8,35700,1.9,2.0,1.8,1.8,0,0,0
20160419,CAD,1.9,2.0,1.8,2.0,8200,1.9,2.0,1.8,2.0,0,0,0
20160415,CAD,1.8,1.8,1.8,1.8,20914,1.8,1.8,1.8,1.8,0,0,0
20160414,CAD,1.7,1.8,1.6,1.7,108507,1.7,1.8,1.6,1.7,0,0,0
