<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170512,^IXIC,6119.27,6122.84,6105.42,6121.23,1740960000,6119.27,6122.84,6105.42,6121.23,0,0,0
20170511,^IXIC,6110.05,6120.2,6075.68,6115.96,1950910000,6110.05,6120.2,6075.68,6115.96,0,0,0
20170510,^IXIC,6121.64,6131.64,6103.87,6129.14,2108000000,6121.64,6131.64,6103.87,6129.14,0,0,0
20170509,^IXIC,6111.82,6133.0,6107.59,6120.59,1997490000,6111.82,6133.0,6107.59,6120.59,0,0,0
20170508,^IXIC,6100.66,6106.12,6083.06,6102.66,1909710000,6100.66,6106.12,6083.06,6102.66,0,0,0
20170505,^IXIC,6091.69,6100.76,6067.16,6100.76,1899570000,6091.69,6100.76,6067.16,6100.76,0,0,0
20170504,^IXIC,6075.06,6080.82,6054.33,6075.34,2056270000,6075.06,6080.82,6054.33,6075.34,0,0,0
20170503,^IXIC,6075.04,6076.96,6053.28,6072.55,2149360000,6075.04,6076.96,6053.28,6072.55,0,0,0
20170502,^IXIC,6102.51,6102.72,6081.56,6095.37,2146730000,6102.51,6102.72,6081.56,6095.37,0,0,0
20170501,^IXIC,6067.56,6100.73,6061.35,6091.6,1757000000,6067.56,6100.73,6061.35,6091.6,0,0,0
20170428,^IXIC,6072.87,6074.04,6040.71,6047.61,1995160000,6072.87,6074.04,6040.71,6047.61,0,0,0
20170427,^IXIC,6038.47,6050.7,6031.59,6048.94,1876700000,6038.47,6050.7,6031.59,6048.94,0,0,0
20170426,^IXIC,6028.12,6040.89,6021.72,6025.23,1894210000,6028.12,6040.89,6021.72,6025.23,0,0,0
20170425,^IXIC,6004.16,6036.02,6002.65,6025.49,1895430000,6004.16,6036.02,6002.65,6025.49,0,0,0
20170424,^IXIC,5979.96,5989.92,5970.25,5983.82,1836570000,5979.96,5989.92,5970.25,5983.82,0,0,0
20170421,^IXIC,5919.02,5919.23,5899.43,5910.52,1723210000,5919.02,5919.23,5899.43,5910.52,0,0,0
20170420,^IXIC,5887.87,5926.23,5880.19,5916.78,1749110000,5887.87,5926.23,5880.19,5916.78,0,0,0
20170419,^IXIC,5874.43,5894.68,5856.34,5863.03,1752620000,5874.43,5894.68,5856.34,5863.03,0,0,0
20170418,^IXIC,5838.59,5860.04,5828.57,5849.47,1608870000,5838.59,5860.04,5828.57,5849.47,0,0,0
20170417,^IXIC,5821.55,5856.79,5818.2,5856.79,1381290000,5821.55,5856.79,5818.2,5856.79,0,0,0
20170413,^IXIC,5828.37,5856.54,5805.15,5805.15,1581870000,5828.37,5856.54,5805.15,5805.15,0,0,0
20170412,^IXIC,5863.59,5868.09,5830.44,5836.16,1658960000,5863.59,5868.09,5830.44,5836.16,0,0,0
20170411,^IXIC,5871.16,5878.94,5819.29,5866.77,1821650000,5871.16,5878.94,5819.29,5866.77,0,0,0
20170410,^IXIC,5883.43,5907.85,5865.56,5880.93,1630070000,5883.43,5907.85,5865.56,5880.93,0,0,0
20170407,^IXIC,5873.94,5892.07,5855.51,5877.81,1692150000,5873.94,5892.07,5855.51,5877.81,0,0,0
20170406,^IXIC,5870.52,5889.58,5856.22,5878.95,1845800000,5870.52,5889.58,5856.22,5878.95,0,0,0
20170405,^IXIC,5911.92,5936.39,5856.26,5864.48,2204490000,5911.92,5936.39,5856.26,5864.48,0,0,0
20170404,^IXIC,5878.76,5901.39,5878.76,5898.61,1790840000,5878.76,5901.39,5878.76,5898.61,0,0,0
20170403,^IXIC,5917.32,5928.93,5867.73,5894.68,1854200000,5917.32,5928.93,5867.73,5894.68,0,0,0
20170331,^IXIC,5905.63,5927.81,5901.77,5911.74,1902800000,5905.63,5927.81,5901.77,5911.74,0,0,0
20170330,^IXIC,5896.15,5916.78,5894.0,5914.34,1723770000,5896.15,5916.78,5894.0,5914.34,0,0,0
20170329,^IXIC,5875.35,5900.87,5870.93,5897.55,1718680000,5875.35,5900.87,5870.93,5897.55,0,0,0
20170328,^IXIC,5836.5,5888.7,5828.86,5875.14,1820860000,5836.5,5888.7,5828.86,5875.14,0,0,0
20170327,^IXIC,5776.33,5849.2,5769.39,5840.37,1670760000,5776.33,5849.2,5769.39,5840.37,0,0,0
20170324,^IXIC,5839.33,5858.95,5807.83,5828.74,1841920000,5839.33,5858.95,5807.83,5828.74,0,0,0
20170323,^IXIC,5812.31,5842.82,5806.98,5817.69,1742640000,5812.31,5842.82,5806.98,5817.69,0,0,0
20170322,^IXIC,5790.59,5825.67,5781.81,5821.64,1857680000,5790.59,5825.67,5781.81,5821.64,0,0,0
20170321,^IXIC,5923.42,5928.06,5790.73,5793.83,2192090000,5923.42,5928.06,5790.73,5793.83,0,0,0
20170320,^IXIC,5898.81,5915.12,5888.12,5901.53,1730550000,5898.81,5915.12,5888.12,5901.53,0,0,0
20170317,^IXIC,5898.58,5912.61,5890.42,5901.0,3184130000,5898.58,5912.61,5890.42,5901.0,0,0,0
20170316,^IXIC,5907.86,5911.48,5887.24,5900.76,1766980000,5907.86,5911.48,5887.24,5900.76,0,0,0
20170315,^IXIC,5869.98,5911.2,5858.16,5900.05,1952690000,5869.98,5911.2,5858.16,5900.05,0,0,0
20170314,^IXIC,5860.07,5860.5,5831.88,5856.82,1663170000,5860.07,5860.5,5831.88,5856.82,0,0,0
20170313,^IXIC,5863.48,5877.43,5860.83,5875.78,1799340000,5863.48,5877.43,5860.83,5875.78,0,0,0
20170310,^IXIC,5867.16,5872.6,5835.44,5861.73,1982150000,5867.16,5872.6,5835.44,5861.73,0,0,0
20170309,^IXIC,5834.67,5852.54,5812.08,5838.81,1883930000,5834.67,5852.54,5812.08,5838.81,0,0,0
20170308,^IXIC,5838.44,5860.63,5832.63,5837.55,1810480000,5838.44,5860.63,5832.63,5837.55,0,0,0
20170307,^IXIC,5836.12,5859.77,5826.32,5833.93,1822000000,5836.12,5859.77,5826.32,5833.93,0,0,0
20170306,^IXIC,5846.42,5857.74,5827.46,5849.18,1767840000,5846.42,5857.74,5827.46,5849.18,0,0,0
20170303,^IXIC,5854.27,5870.75,5841.47,5870.75,1852130000,5854.27,5870.75,5841.47,5870.75,0,0,0
20170302,^IXIC,5897.01,5897.01,5856.3,5861.22,2040770000,5897.01,5897.01,5856.3,5861.22,0,0,0
20170301,^IXIC,5874.86,5911.79,5865.79,5904.03,2210360000,5874.86,5911.79,5865.79,5904.03,0,0,0
20170228,^IXIC,5852.79,5855.07,5817.22,5825.44,2298380000,5852.79,5855.07,5817.22,5825.44,0,0,0
20170227,^IXIC,5835.04,5861.9,5827.0,5861.9,1876090000,5835.04,5861.9,5827.0,5861.9,0,0,0
20170224,^IXIC,5802.33,5845.31,5800.55,5845.31,1683280000,5802.33,5845.31,5800.55,5845.31,0,0,0
20170223,^IXIC,5866.82,5866.96,5809.55,5835.51,1879670000,5866.82,5866.96,5809.55,5835.51,0,0,0
20170222,^IXIC,5857.56,5864.42,5848.28,5860.63,1872330000,5857.56,5864.42,5848.28,5860.63,0,0,0
20170221,^IXIC,5850.2,5867.89,5847.5,5865.95,1935110000,5850.2,5867.89,5847.5,5865.95,0,0,0
20170217,^IXIC,5807.31,5838.58,5800.8,5838.58,1875580000,5807.31,5838.58,5800.8,5838.58,0,0,0
20170216,^IXIC,5823.01,5835.15,5796.71,5814.9,1943600000,5823.01,5835.15,5796.71,5814.9,0,0,0
20170215,^IXIC,5777.9,5821.95,5776.7,5819.44,2083660000,5777.9,5821.95,5776.7,5819.44,0,0,0
20170214,^IXIC,5756.51,5783.09,5748.74,5782.57,1945160000,5756.51,5783.09,5748.74,5782.57,0,0,0
20170213,^IXIC,5753.19,5770.99,5751.92,5763.96,1840010000,5753.19,5770.99,5751.92,5763.96,0,0,0
20170210,^IXIC,5726.17,5743.43,5717.42,5734.13,1852010000,5726.17,5743.43,5717.42,5734.13,0,0,0
20170209,^IXIC,5688.02,5722.71,5685.15,5715.18,1943840000,5688.02,5722.71,5685.15,5715.18,0,0,0
20170208,^IXIC,5662.95,5686.96,5649.39,5682.45,1945060000,5662.95,5686.96,5649.39,5682.45,0,0,0
20170207,^IXIC,5674.86,5689.6,5664.82,5674.22,1919100000,5674.86,5689.6,5664.82,5674.22,0,0,0
20170206,^IXIC,5656.95,5668.2,5650.26,5663.55,1732280000,5656.95,5668.2,5650.26,5663.55,0,0,0
20170203,^IXIC,5650.73,5666.84,5647.58,5666.77,1786860000,5650.73,5666.84,5647.58,5666.77,0,0,0
20170202,^IXIC,5627.15,5656.01,5616.4,5636.2,2073980000,5627.15,5656.01,5616.4,5636.2,0,0,0
20170201,^IXIC,5654.51,5662.11,5621.03,5642.65,2223560000,5654.51,5662.11,5621.03,5642.65,0,0,0
20170131,^IXIC,5592.87,5615.15,5576.09,5614.79,2041480000,5592.87,5615.15,5576.09,5614.79,0,0,0
20170130,^IXIC,5635.86,5636.09,5578.76,5613.71,1777090000,5635.86,5636.09,5578.76,5613.71,0,0,0
