<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170512,^JKSE,5680.59,5698.96,5668.72,5675.22,79691200,5680.59,5698.96,5668.72,5675.22,0,0,0
20170510,^JKSE,5697.96,5718.59,5636.2,5653.01,73073800,5697.96,5718.59,5636.2,5653.01,0,0,0
20170509,^JKSE,5730.25,5745.85,5693.67,5697.06,59581000,5730.25,5745.85,5693.67,5697.06,0,0,0
20170508,^JKSE,5699.3,5727.49,5692.56,5707.86,69605600,5699.3,5727.49,5692.56,5707.86,0,0,0
20170505,^JKSE,5665.11,5696.48,5659.97,5683.38,75048200,5665.11,5696.48,5659.97,5683.38,0,0,0
20170504,^JKSE,5656.09,5676.01,5643.05,5669.44,66172000,5656.09,5676.01,5643.05,5669.44,0,0,0
20170503,^JKSE,5681.6,5686.83,5647.32,5647.37,65683200,5681.6,5686.83,5647.32,5647.37,0,0,0
20170502,^JKSE,5703.87,5714.34,5675.81,5675.81,57814800,5703.87,5714.34,5675.81,5675.81,0,0,0
20170428,^JKSE,5715.08,5724.51,5684.59,5685.3,57985100,5715.08,5724.51,5684.59,5685.3,0,0,0
20170427,^JKSE,5708.23,5718.9,5697.79,5707.03,68662300,5708.23,5718.9,5697.79,5707.03,0,0,0
20170426,^JKSE,5687.08,5726.53,5679.59,5726.53,65935900,5687.08,5726.53,5679.59,5726.53,0,0,0
20170425,^JKSE,5690.89,5696.39,5653.68,5680.8,59697700,5690.89,5696.39,5653.68,5680.8,0,0,0
20170421,^JKSE,5600.42,5664.48,5599.5,5664.48,53480800,5600.42,5664.48,5599.5,5664.48,0,0,0
20170420,^JKSE,5609.89,5619.36,5590.03,5595.31,73938500,5609.89,5619.36,5590.03,5595.31,0,0,0
20170418,^JKSE,5597.67,5626.52,5597.17,5606.52,69950500,5597.67,5626.52,5597.17,5606.52,0,0,0
20170417,^JKSE,5624.62,5631.51,5577.49,5577.49,60945800,5624.62,5631.51,5577.49,5577.49,0,0,0
20170413,^JKSE,5658.2,5660.38,5613.54,5616.54,62159000,5658.2,5660.38,5613.54,5616.54,0,0,0
20170412,^JKSE,5633.98,5650.04,5631.75,5644.15,84273900,5633.98,5650.04,5631.75,5644.15,0,0,0
20170411,^JKSE,5647.9,5658.73,5621.79,5627.93,95131900,5647.9,5658.73,5621.79,5627.93,0,0,0
20170410,^JKSE,5662.67,5677.07,5628.98,5644.3,72743800,5662.67,5677.07,5628.98,5644.3,0,0,0
20170407,^JKSE,5674.01,5677.72,5643.35,5653.49,64404200,5674.01,5677.72,5643.35,5653.49,0,0,0
20170406,^JKSE,5668.31,5680.24,5645.31,5680.24,68797100,5668.31,5680.24,5645.31,5680.24,0,0,0
20170405,^JKSE,5668.0,5676.98,5644.79,5676.98,83898800,5668.0,5676.98,5644.79,5676.98,0,0,0
20170404,^JKSE,5611.67,5654.4,5608.52,5651.82,106415400,5611.67,5654.4,5608.52,5651.82,0,0,0
20170403,^JKSE,5583.35,5616.94,5581.31,5606.79,81392100,5583.35,5616.94,5581.31,5606.79,0,0,0
20170331,^JKSE,5589.52,5606.02,5568.11,5568.11,73764600,5589.52,5606.02,5568.11,5568.11,0,0,0
20170330,^JKSE,5581.12,5592.95,5555.37,5592.95,98370200,5581.12,5592.95,5555.37,5592.95,0,0,0
20170329,^JKSE,5552.78,5592.77,5552.78,5592.51,72492200,5552.78,5592.77,5552.78,5592.51,0,0,0
20170327,^JKSE,5557.92,5567.43,5531.33,5541.2,62855600,5557.92,5567.43,5531.33,5541.2,0,0,0
20170324,^JKSE,5565.62,5581.18,5546.83,5567.13,64734100,5565.62,5581.18,5546.83,5567.13,0,0,0
20170323,^JKSE,5539.64,5576.67,5532.65,5563.76,71128500,5539.64,5576.67,5532.65,5563.76,0,0,0
20170322,^JKSE,5512.73,5534.09,5486.85,5534.09,81597500,5512.73,5534.09,5486.85,5534.09,0,0,0
20170321,^JKSE,5541.05,5554.44,5525.98,5543.09,78762300,5541.05,5554.44,5525.98,5543.09,0,0,0
20170320,^JKSE,5552.39,5566.93,5510.27,5533.99,83916000,5552.39,5566.93,5510.27,5533.99,0,0,0
20170317,^JKSE,5539.82,5557.98,5499.39,5540.43,87948800,5539.82,5557.98,5499.39,5540.43,0,0,0
20170316,^JKSE,5461.91,5518.24,5458.42,5518.24,79972200,5461.91,5518.24,5458.42,5518.24,0,0,0
20170315,^JKSE,5433.68,5447.49,5424.52,5432.38,75739600,5433.68,5447.49,5424.52,5432.38,0,0,0
20170314,^JKSE,5415.95,5449.76,5412.96,5431.58,82241800,5415.95,5449.76,5412.96,5431.58,0,0,0
20170313,^JKSE,5389.2,5409.37,5386.34,5409.37,70965500,5389.2,5409.37,5386.34,5409.37,0,0,0
20170310,^JKSE,5414.92,5415.72,5369.75,5390.68,79484800,5414.92,5415.72,5369.75,5390.68,0,0,0
20170309,^JKSE,5393.94,5405.59,5387.0,5402.39,69424400,5393.94,5405.59,5387.0,5402.39,0,0,0
20170308,^JKSE,5407.53,5415.23,5390.01,5393.76,72878500,5407.53,5415.23,5390.01,5393.76,0,0,0
20170307,^JKSE,5416.02,5427.91,5386.32,5402.62,96160400,5416.02,5427.91,5386.32,5402.62,0,0,0
20170306,^JKSE,5398.05,5409.82,5386.83,5409.82,102030600,5398.05,5409.82,5386.83,5409.82,0,0,0
20170303,^JKSE,5402.58,5410.9,5384.79,5391.21,106883400,5402.58,5410.9,5384.79,5391.21,0,0,0
20170302,^JKSE,5394.73,5431.17,5394.73,5408.25,74167000,5394.73,5431.17,5394.73,5408.25,0,0,0
20170301,^JKSE,5389.17,5392.79,5350.91,5363.06,80795600,5389.17,5392.79,5350.91,5363.06,0,0,0
20170228,^JKSE,5390.34,5405.79,5386.69,5386.69,82270600,5390.34,5405.79,5386.69,5386.69,0,0,0
20170227,^JKSE,5387.82,5393.66,5368.42,5382.87,102443500,5387.82,5393.66,5368.42,5382.87,0,0,0
20170224,^JKSE,5371.02,5391.26,5370.79,5385.91,116360700,5371.02,5391.26,5370.79,5385.91,0,0,0
20170223,^JKSE,5348.36,5373.64,5347.86,5372.75,174887600,5348.36,5373.64,5347.86,5372.75,0,0,0
20170222,^JKSE,5353.11,5360.41,5331.43,5358.68,189512900,5353.11,5360.41,5331.43,5358.68,0,0,0
20170221,^JKSE,5363.61,5375.7,5336.83,5340.99,209661500,5363.61,5375.7,5336.83,5340.99,0,0,0
20170220,^JKSE,5358.55,5373.09,5351.02,5359.29,107921200,5358.55,5373.09,5351.02,5359.29,0,0,0
20170217,^JKSE,5366.85,5370.33,5340.86,5350.93,179271900,5366.85,5370.33,5340.86,5350.93,0,0,0
20170216,^JKSE,5389.07,5395.28,5357.71,5378.0,218393700,5389.07,5395.28,5357.71,5378.0,0,0,0
20170214,^JKSE,5402.56,5409.35,5370.49,5380.67,142907500,5402.56,5409.35,5370.49,5380.67,0,0,0
20170213,^JKSE,5396.56,5418.38,5388.68,5409.56,182414000,5396.56,5418.38,5388.68,5409.56,0,0,0
20170210,^JKSE,5378.92,5400.17,5371.67,5371.67,167200000,5378.92,5400.17,5371.67,5371.67,0,0,0
