<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,^LARGECAP,582.64,584.07,576.83,578.02,33863760,582.64,584.07,576.83,578.02,0,0,0
20170626,^LARGECAP,577.72,584.24,575.15,581.54,31945770,577.72,584.24,575.15,581.54,0,0,0
20170623,^LARGECAP,576.5,579.1,572.66,577.34,38410970,576.5,579.1,572.66,577.34,0,0,0
20170622,^LARGECAP,582.33,585.68,576.1,577.59,42593090,582.33,585.68,576.1,577.59,0,0,0
20170621,^LARGECAP,585.12,588.57,573.75,582.93,52912320,585.12,588.57,573.75,582.93,0,0,0
20170620,^LARGECAP,589.92,592.0,582.58,586.14,45674710,589.92,592.0,582.58,586.14,0,0,0
20170619,^LARGECAP,585.71,590.99,582.12,588.45,40383800,585.71,590.99,582.12,588.45,0,0,0
20170616,^LARGECAP,586.69,589.1,579.72,583.22,78234550,586.69,589.1,579.72,583.22,0,0,0
20170615,^LARGECAP,580.41,587.16,577.93,583.1,45192030,580.41,587.16,577.93,583.1,0,0,0
20170614,^LARGECAP,578.72,585.77,573.65,580.27,43677250,578.72,585.77,573.65,580.27,0,0,0
20170613,^LARGECAP,573.75,579.16,569.76,577.34,35844870,573.75,579.16,569.76,577.34,0,0,0
20170612,^LARGECAP,575.54,578.57,569.81,574.11,34881260,575.54,578.57,569.81,574.11,0,0,0
20170609,^LARGECAP,573.89,579.35,571.42,574.93,38747350,573.89,579.35,571.42,574.93,0,0,0
20170608,^LARGECAP,574.24,577.6,568.38,572.37,35325540,574.24,577.6,568.38,572.37,0,0,0
20170607,^LARGECAP,574.44,579.16,569.35,574.32,42412000,574.44,579.16,569.35,574.32,0,0,0
20170606,^LARGECAP,566.02,574.36,563.52,572.49,44437310,566.02,574.36,563.52,572.49,0,0,0
20170605,^LARGECAP,560.08,569.59,557.65,564.97,37387410,560.08,569.59,557.65,564.97,0,0,0
20170602,^LARGECAP,560.06,563.56,555.28,559.35,27844230,560.06,563.56,555.28,559.35,0,0,0
20170601,^LARGECAP,559.55,564.33,556.07,560.84,27728280,559.55,564.33,556.07,560.84,0,0,0
20170531,^LARGECAP,557.94,564.93,553.14,557.03,37700230,557.94,564.93,553.14,557.03,0,0,0
20170530,^LARGECAP,564.28,566.49,555.35,556.61,42055860,564.28,566.49,555.35,556.61,0,0,0
20170529,^LARGECAP,564.5,570.81,559.57,564.01,48289860,564.5,570.81,559.57,564.01,0,0,0
20170526,^LARGECAP,559.03,567.05,556.3,562.06,36561190,559.03,567.05,556.3,562.06,0,0,0
20170525,^LARGECAP,565.23,568.17,557.42,560.01,41594010,565.23,568.17,557.42,560.01,0,0,0
20170524,^LARGECAP,562.78,569.16,557.05,564.47,34267070,562.78,569.16,557.05,564.47,0,0,0
20170523,^LARGECAP,564.97,569.75,559.64,562.04,37151650,564.97,569.75,559.64,562.04,0,0,0
20170522,^LARGECAP,557.0,570.01,554.23,564.62,48362570,557.0,570.01,554.23,564.62,0,0,0
20170519,^LARGECAP,551.58,557.48,548.39,554.65,33767740,551.58,557.48,548.39,554.65,0,0,0
20170518,^LARGECAP,548.36,556.24,546.3,551.02,37466200,548.36,556.24,546.3,551.02,0,0,0
20170517,^LARGECAP,547.25,555.83,545.01,551.71,27463980,547.25,555.83,545.01,551.71,0,0,0
20170516,^LARGECAP,548.24,554.17,544.47,547.8,39739660,548.24,554.17,544.47,547.8,0,0,0
20170515,^LARGECAP,549.72,553.58,544.43,548.81,34616970,549.72,553.58,544.43,548.81,0,0,0
20170512,^LARGECAP,549.38,553.52,546.41,549.09,30124360,549.38,553.52,546.41,549.09,0,0,0
20170511,^LARGECAP,551.72,554.22,548.18,549.99,32269900,551.72,554.22,548.18,549.99,0,0,0
20170510,^LARGECAP,547.48,555.36,545.64,550.45,41562450,547.48,555.36,545.64,550.45,0,0,0
20170509,^LARGECAP,544.22,551.69,540.04,547.82,37984120,544.22,551.69,540.04,547.82,0,0,0
20170508,^LARGECAP,547.6,550.55,542.44,545.11,41557740,547.6,550.55,542.44,545.11,0,0,0
20170505,^LARGECAP,549.93,552.64,545.44,548.0,30984360,549.93,552.64,545.44,548.0,0,0,0
20170504,^LARGECAP,546.72,555.76,543.73,551.53,49266230,546.72,555.76,543.73,551.53,0,0,0
20170503,^LARGECAP,546.18,551.42,542.32,546.54,35460260,546.18,551.42,542.32,546.54,0,0,0
20170428,^LARGECAP,543.58,549.25,540.22,545.06,49021960,543.58,549.25,540.22,545.06,0,0,0
20170427,^LARGECAP,541.79,548.68,538.64,544.99,40964890,541.79,548.68,538.64,544.99,0,0,0
20170426,^LARGECAP,539.2,542.92,535.51,540.66,27886700,539.2,542.92,535.51,540.66,0,0,0
20170425,^LARGECAP,538.75,542.62,535.26,539.29,22237020,538.75,542.62,535.26,539.29,0,0,0
20170424,^LARGECAP,541.21,545.97,534.95,538.61,30397970,541.21,545.97,534.95,538.61,0,0,0
20170421,^LARGECAP,543.97,548.92,539.76,542.07,24123420,543.97,548.92,539.76,542.07,0,0,0
20170420,^LARGECAP,550.06,551.39,542.15,544.03,21729810,550.06,551.39,542.15,544.03,0,0,0
