<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,^NANGLUONG,1225.37,1236.86,1219.14,1230.58,1084660,1225.37,1236.86,1219.14,1230.58,0,0,0
20170626,^NANGLUONG,1233.29,1248.12,1220.72,1234.52,1688270,1233.29,1248.12,1220.72,1234.52,0,0,0
20170623,^NANGLUONG,1237.03,1248.13,1226.08,1235.88,1001450,1237.03,1248.13,1226.08,1235.88,0,0,0
20170622,^NANGLUONG,1238.56,1252.24,1227.57,1242.48,1366930,1238.56,1252.24,1227.57,1242.48,0,0,0
20170621,^NANGLUONG,1238.95,1247.67,1231.45,1241.22,1819650,1238.95,1247.67,1231.45,1241.22,0,0,0
20170620,^NANGLUONG,1234.77,1248.0,1229.55,1245.66,1694700,1234.77,1248.0,1229.55,1245.66,0,0,0
20170619,^NANGLUONG,1222.52,1242.33,1215.6,1233.09,1680390,1222.52,1242.33,1215.6,1233.09,0,0,0
20170616,^NANGLUONG,1213.87,1224.82,1206.18,1219.9,4456480,1213.87,1224.82,1206.18,1219.9,0,0,0
20170615,^NANGLUONG,1211.75,1225.19,1205.15,1217.8,1010390,1211.75,1225.19,1205.15,1217.8,0,0,0
20170614,^NANGLUONG,1201.49,1208.16,1197.02,1204.15,1058460,1201.49,1208.16,1197.02,1204.15,0,0,0
20170613,^NANGLUONG,1197.72,1212.45,1185.52,1207.61,855560,1197.72,1212.45,1185.52,1207.61,0,0,0
20170612,^NANGLUONG,1203.85,1215.23,1196.44,1205.87,956350,1203.85,1215.23,1196.44,1205.87,0,0,0
20170609,^NANGLUONG,1200.41,1209.99,1196.25,1206.45,1017560,1200.41,1209.99,1196.25,1206.45,0,0,0
20170608,^NANGLUONG,1202.71,1212.18,1192.18,1200.58,903510,1202.71,1212.18,1192.18,1200.58,0,0,0
20170607,^NANGLUONG,1204.49,1211.76,1195.73,1204.49,1070700,1204.49,1211.76,1195.73,1204.49,0,0,0
20170606,^NANGLUONG,1192.75,1206.49,1184.99,1197.89,1463910,1192.75,1206.49,1184.99,1197.89,0,0,0
20170605,^NANGLUONG,1186.82,1196.74,1177.91,1190.3,877480,1186.82,1196.74,1177.91,1190.3,0,0,0
20170602,^NANGLUONG,1186.9,1195.16,1176.59,1186.8,1404740,1186.9,1195.16,1176.59,1186.8,0,0,0
20170601,^NANGLUONG,1188.88,1200.22,1177.87,1188.85,1407980,1188.88,1200.22,1177.87,1188.85,0,0,0
20170531,^NANGLUONG,1180.61,1188.78,1161.55,1184.93,1596440,1180.61,1188.78,1161.55,1184.93,0,0,0
20170530,^NANGLUONG,1177.47,1185.38,1171.18,1179.7,1278390,1177.47,1185.38,1171.18,1179.7,0,0,0
20170529,^NANGLUONG,1164.93,1171.82,1152.04,1161.78,1110770,1164.93,1171.82,1152.04,1161.78,0,0,0
20170526,^NANGLUONG,1170.53,1174.51,1155.33,1159.6,1334840,1170.53,1174.51,1155.33,1159.6,0,0,0
20170525,^NANGLUONG,1171.63,1179.04,1161.6,1168.22,2347100,1171.63,1179.04,1161.6,1168.22,0,0,0
20170524,^NANGLUONG,1179.2,1182.13,1168.49,1178.32,3517010,1179.2,1182.13,1168.49,1178.32,0,0,0
20170523,^NANGLUONG,1174.78,1180.85,1165.58,1170.54,1732190,1174.78,1180.85,1165.58,1170.54,0,0,0
20170522,^NANGLUONG,1169.15,1180.15,1162.27,1173.51,1471290,1169.15,1180.15,1162.27,1173.51,0,0,0
20170519,^NANGLUONG,1167.69,1176.3,1158.23,1169.27,1624040,1167.69,1176.3,1158.23,1169.27,0,0,0
20170518,^NANGLUONG,1158.06,1170.86,1153.71,1162.82,1285050,1158.06,1170.86,1153.71,1162.82,0,0,0
20170517,^NANGLUONG,1156.63,1169.21,1149.25,1160.28,1611310,1156.63,1169.21,1149.25,1160.28,0,0,0
20170516,^NANGLUONG,1155.38,1171.11,1152.6,1164.18,1757530,1155.38,1171.11,1152.6,1164.18,0,0,0
20170515,^NANGLUONG,1156.3,1171.45,1148.11,1162.03,1575790,1156.3,1171.45,1148.11,1162.03,0,0,0
20170512,^NANGLUONG,1162.56,1172.21,1154.88,1165.9,3992440,1162.56,1172.21,1154.88,1165.9,0,0,0
20170511,^NANGLUONG,1144.94,1160.09,1141.95,1156.19,2051490,1144.94,1160.09,1141.95,1156.19,0,0,0
20170510,^NANGLUONG,1137.06,1151.24,1134.23,1147.7,1681780,1137.06,1151.24,1134.23,1147.7,0,0,0
20170509,^NANGLUONG,1138.0,1146.96,1129.38,1141.9,1683420,1138.0,1146.96,1129.38,1141.9,0,0,0
20170508,^NANGLUONG,1125.05,1137.39,1117.8,1133.18,2955230,1125.05,1137.39,1117.8,1133.18,0,0,0
20170505,^NANGLUONG,1124.28,1128.78,1117.45,1125.34,1717040,1124.28,1128.78,1117.45,1125.34,0,0,0
20170504,^NANGLUONG,1139.65,1148.25,1127.75,1134.79,1364840,1139.65,1148.25,1127.75,1134.79,0,0,0
20170503,^NANGLUONG,1130.93,1141.39,1123.93,1138.04,1328040,1130.93,1141.39,1123.93,1138.04,0,0,0
20170428,^NANGLUONG,1143.55,1148.43,1124.48,1131.07,2997050,1143.55,1148.43,1124.48,1131.07,0,0,0
20170427,^NANGLUONG,1123.94,1138.63,1108.35,1135.12,1253740,1123.94,1138.63,1108.35,1135.12,0,0,0
20170426,^NANGLUONG,1116.52,1129.74,1113.11,1124.26,834000,1116.52,1129.74,1113.11,1124.26,0,0,0
20170425,^NANGLUONG,1097.8,1109.33,1094.42,1104.98,954480,1097.8,1109.33,1094.42,1104.98,0,0,0
20170424,^NANGLUONG,1092.14,1108.39,1080.34,1101.2,873910,1092.14,1108.39,1080.34,1101.2,0,0,0
20170421,^NANGLUONG,1097.59,1103.05,1085.99,1094.62,2692760,1097.59,1103.05,1085.99,1094.62,0,0,0
20170420,^NANGLUONG,1111.51,1116.09,1098.45,1106.82,934780,1111.51,1116.09,1098.45,1106.82,0,0,0
20170419,^NANGLUONG,1102.74,1109.63,1099.75,1106.8,1039700,1102.74,1109.63,1099.75,1106.8,0,0,0
20170418,^NANGLUONG,1103.07,1110.78,1090.73,1100.26,1864620,1103.07,1110.78,1090.73,1100.26,0,0,0
20170417,^NANGLUONG,1098.15,1104.43,1089.48,1098.52,917480,1098.15,1104.43,1089.48,1098.52,0,0,0
20170414,^NANGLUONG,1096.99,1105.75,1087.15,1097.64,1211120,1096.99,1105.75,1087.15,1097.64,0,0,0
20170413,^NANGLUONG,1099.11,1105.15,1092.76,1100.35,2202170,1099.11,1105.15,1092.76,1100.35,0,0,0
20170412,^NANGLUONG,1099.75,1106.47,1093.37,1100.33,1306490,1099.75,1106.47,1093.37,1100.33,0,0,0
