<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PHH,13.9,15.0,13.3,15.0,17801,13.9,15.0,13.3,15.0,0,200,0
20170626,PHH,15.0,15.0,15.0,15.0,300,15.0,15.0,15.0,15.0,0,0,0
20170623,PHH,15.0,16.0,14.4,14.8,6400,15.0,16.0,14.4,14.8,0,100,0
20170622,PHH,14.2,14.4,14.0,14.4,8400,14.2,14.4,14.0,14.4,0,0,0
20170621,PHH,14.3,14.3,14.3,14.3,100,14.3,14.3,14.3,14.3,0,100,0
20170620,PHH,14.3,14.3,13.8,14.2,2300,14.3,14.3,13.8,14.2,0,1200,0
20170619,PHH,14.5,14.5,13.4,14.1,9700,14.5,14.5,13.4,14.1,64500,1500,0
20170616,PHH,14.9,14.9,12.8,12.8,49500,14.9,14.9,12.8,12.8,0,0,0
20170615,PHH,14.8,14.8,14.5,14.6,19100,14.8,14.8,14.5,14.6,0,0,0
20170614,PHH,14.9,15.0,14.7,14.7,5400,14.9,15.0,14.7,14.7,33500,0,0
20170613,PHH,15.0,15.0,14.6,14.8,15400,15.0,15.0,14.6,14.8,190400,190400,0
20170612,PHH,14.7,15.0,14.1,14.8,55500,14.7,15.0,14.1,14.8,713100,0,200
20170609,PHH,14.9,15.0,14.5,14.5,128900,14.9,15.0,14.5,14.5,0,0,0
20170608,PHH,15.0,15.0,14.3,14.7,56500,15.0,15.0,14.3,14.7,0,0,0
20170607,PHH,14.1,14.9,14.1,14.2,94700,14.1,14.9,14.1,14.2,1908900,0,0
20170606,PHH,14.8,14.9,13.9,14.6,109900,14.8,14.9,13.9,14.6,0,0,0
20170605,PHH,14.0,15.0,13.9,14.5,47400,14.0,15.0,13.9,14.5,0,0,0
20170602,PHH,14.4,15.0,13.8,14.8,53900,14.4,15.0,13.8,14.8,1100000,0,0
20170601,PHH,16.0,16.0,13.8,14.9,49300,16.0,16.0,13.8,14.9,0,0,0
20170531,PHH,14.8,15.9,13.8,15.9,32000,14.8,15.9,13.8,15.9,60000,400,0
20170530,PHH,13.9,14.9,13.8,14.2,31400,13.9,14.9,13.8,14.2,434100,0,0
20170529,PHH,15.8,16.3,13.7,15.3,32900,15.8,16.3,13.7,15.3,150000,0,0
20170526,PHH,14.0,15.5,13.3,15.0,15900,14.0,15.5,13.3,15.0,405500,195500,0
20170525,PHH,13.5,13.9,13.2,13.9,15000,13.5,13.9,13.2,13.9,434100,0,0
20170524,PHH,14.0,14.0,13.0,13.9,17020,14.0,14.0,13.0,13.9,692800,0,0
20170523,PHH,13.8,14.0,13.8,14.0,500,13.8,14.0,13.8,14.0,40000,0,0
20170522,PHH,13.3,13.8,13.0,13.7,24840,13.3,13.8,13.0,13.7,0,0,0
20170519,PHH,12.8,13.7,12.8,13.7,26600,12.8,13.7,12.8,13.7,40000,0,0
20170518,PHH,12.7,12.9,12.6,12.9,26120,12.7,12.9,12.6,12.9,0,0,0
20170517,PHH,13.0,13.0,12.4,13.0,32200,13.0,13.0,12.4,13.0,0,0,0
20170516,PHH,13.2,13.2,12.8,13.1,40500,13.2,13.2,12.8,13.1,0,0,0
20170515,PHH,13.6,13.6,13.1,13.5,20200,13.6,13.6,13.1,13.5,0,0,0
20170512,PHH,13.6,13.6,13.5,13.6,9800,13.6,13.6,13.5,13.6,0,0,0
20170511,PHH,13.7,13.7,13.6,13.7,15900,13.7,13.7,13.6,13.7,190100,190100,0
20170510,PHH,13.6,13.8,13.6,13.8,8500,13.6,13.8,13.6,13.8,0,0,0
20170509,PHH,13.7,13.8,13.6,13.6,21300,13.7,13.8,13.6,13.6,0,0,0
20170508,PHH,13.8,13.8,13.8,13.8,15000,13.8,13.8,13.8,13.8,0,0,0
20170505,PHH,13.7,13.8,13.6,13.8,52800,13.7,13.8,13.6,13.8,0,0,0
20170504,PHH,13.6,13.8,13.5,13.6,36500,13.6,13.8,13.5,13.6,0,0,0
20170503,PHH,13.3,13.7,13.3,13.6,7000,13.3,13.7,13.3,13.6,0,0,0
20170428,PHH,13.8,14.6,13.4,14.0,104200,13.8,14.6,13.4,14.0,254400,289600,0
20170427,PHH,13.8,13.8,13.3,13.3,16000,13.8,13.8,13.3,13.3,0,1300,0
20170426,PHH,13.3,13.8,13.3,13.5,34100,13.3,13.8,13.3,13.5,30000,0,0
20170425,PHH,13.3,13.3,13.2,13.3,45000,13.3,13.3,13.2,13.3,0,0,0
20170424,PHH,13.3,13.3,13.2,13.3,39400,13.3,13.3,13.2,13.3,0,0,0
20170421,PHH,13.3,13.4,13.2,13.4,46900,13.3,13.4,13.2,13.4,0,8000,0
20170420,PHH,11.4,13.3,11.4,13.2,52500,11.4,13.3,11.4,13.2,0,0,0
20170419,PHH,13.3,13.4,13.1,13.1,63100,13.3,13.4,13.1,13.1,226000,226000,0
20170418,PHH,13.3,13.4,13.2,13.4,36000,13.3,13.4,13.2,13.4,0,0,0
20170417,PHH,13.2,13.7,13.2,13.4,4900,13.2,13.7,13.2,13.4,0,300,0
20170414,PHH,13.3,13.9,13.1,13.9,51300,13.3,13.9,13.1,13.9,0,200,0
20170413,PHH,13.1,13.3,13.1,13.2,50600,13.1,13.3,13.1,13.2,220000,220000,0
20170412,PHH,13.1,13.2,12.9,13.1,36500,13.1,13.2,12.9,13.1,0,1200,0
20170411,PHH,13.1,13.1,12.8,13.0,109200,13.1,13.1,12.8,13.0,0,1000,0
20170410,PHH,12.5,13.0,12.5,13.0,64800,12.5,13.0,12.5,13.0,0,10600,0
20170407,PHH,12.5,12.6,12.1,12.1,14500,12.5,12.6,12.1,12.1,0,1300,0
20170405,PHH,12.3,12.6,11.9,12.0,7100,12.3,12.6,11.9,12.0,0,2700,0
20170404,PHH,11.5,12.8,11.2,12.6,25200,11.5,12.8,11.2,12.6,0,6000,0
20170403,PHH,11.9,12.0,11.6,11.6,26300,11.9,12.0,11.6,11.6,0,400,0
20170331,PHH,14.4,14.4,11.6,14.4,114800,14.4,14.4,11.6,14.4,0,0,0
20170330,PHH,13.8,13.8,12.9,12.9,27200,13.8,13.8,12.9,12.9,571100,0,0
20170329,PHH,14.0,15.1,11.9,13.6,580400,14.0,15.1,11.9,13.6,0,23000,0
20170328,PHH,13.5,14.3,12.6,12.6,80101,13.5,14.3,12.6,12.6,0,55000,0
20170327,PHH,11.3,12.5,11.3,12.5,33100,11.3,12.5,11.3,12.5,0,30500,0
20170324,PHH,10.8,11.5,10.8,11.3,12500,10.8,11.5,10.8,11.3,0,0,0
20170323,PHH,11.2,11.3,11.2,11.3,200,11.2,11.3,11.2,11.3,0,0,0
20170322,PHH,9.5,11.8,9.5,11.8,41400,9.5,11.8,9.5,11.8,0,2200,0
20170321,PHH,10.5,11.0,10.4,10.9,39700,10.5,11.0,10.4,10.9,0,1200,0
20170320,PHH,11.5,13.0,11.1,11.5,31400,11.5,13.0,11.1,11.5,0,0,0
20170317,PHH,11.2,13.4,11.2,12.1,18400,11.2,13.4,11.2,12.1,98500,0,0
20170316,PHH,11.2,11.9,11.2,11.9,41600,11.2,11.9,11.2,11.9,0,0,0
20170315,PHH,11.0,11.5,10.1,11.4,13300,11.0,11.5,10.1,11.4,99500,99500,0
20170314,PHH,10.3,10.5,10.0,10.5,6500,10.3,10.5,10.0,10.5,2092000,0,0
20170313,PHH,11.0,11.3,8.8,11.1,103800,11.0,11.3,8.8,11.1,0,0,0
20170310,PHH,11.0,11.3,9.5,10.6,116300,11.0,11.3,9.5,10.6,0,0,0
