<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PPP,10.1,10.1,10.1,10.1,600,10.1,10.1,10.1,10.1,0,0,0
20170626,PPP,10.1,10.1,10.1,10.1,500,10.1,10.1,10.1,10.1,0,0,0
20170621,PPP,10.0,10.0,10.0,10.0,1000,10.0,10.0,10.0,10.0,0,0,0
20170615,PPP,10.0,10.0,10.0,10.0,24,10.0,10.0,10.0,10.0,0,0,0
20170608,PPP,10.0,10.0,10.0,10.0,900,10.0,10.0,10.0,10.0,0,0,0
20170607,PPP,9.5,9.5,9.5,9.5,50,9.5,9.5,9.5,9.5,0,0,0
20170601,PPP,9.5,9.5,9.5,9.5,100,9.5,9.5,9.5,9.5,0,0,0
20170522,PPP,9.5,9.5,9.5,9.5,3000,9.5,9.5,9.5,9.5,0,0,0
20170518,PPP,10.0,10.0,10.0,10.0,1100,10.0,10.0,10.0,10.0,0,0,0
20170510,PPP,11.0,11.0,11.0,11.0,100,11.0,11.0,11.0,11.0,0,0,0
20170509,PPP,10.5,10.5,10.5,10.5,600,10.5,10.5,10.5,10.5,0,0,0
20170504,PPP,11.0,11.0,11.0,11.0,400,11.0,11.0,11.0,11.0,0,0,0
20170424,PPP,12.0,12.0,12.0,12.0,900,12.0,12.0,12.0,12.0,0,0,0
20170411,PPP,13.3,13.3,13.3,13.3,400,13.3,13.3,13.3,13.3,0,0,0
20170403,PPP,14.7,14.7,14.4,14.5,500,14.7,14.7,14.4,14.5,0,0,0
20170331,PPP,13.5,13.5,13.5,13.5,200,13.5,13.5,13.5,13.5,0,0,0
20170330,PPP,14.9,14.9,14.9,14.9,100,14.9,14.9,14.9,14.9,0,0,0
20170329,PPP,13.8,13.8,13.8,13.8,100,13.8,13.8,13.8,13.8,0,0,0
20170328,PPP,12.7,12.7,12.7,12.7,100,12.7,12.7,12.7,12.7,0,0,0
20170323,PPP,12.7,14.1,12.7,14.1,300,12.7,14.1,12.7,14.1,0,0,0
20170322,PPP,14.1,14.1,14.1,14.1,108,14.1,14.1,14.1,14.1,0,0,0
20170321,PPP,13.9,13.9,13.0,13.0,200,13.9,13.9,13.0,13.0,0,0,0
20170320,PPP,13.8,13.8,12.8,12.8,2100,13.8,13.8,12.8,12.8,0,0,0
20170317,PPP,14.96,14.96,12.7,12.7,308,15.9,15.9,13.5,13.5,0,0,0
20170316,PPP,14.02,14.02,14.02,14.02,100,14.9,14.9,14.9,14.9,0,0,0
20170315,PPP,13.36,13.36,13.36,13.36,100,14.2,14.2,14.2,14.2,0,0,0
20170314,PPP,13.17,13.17,12.23,12.23,200,14.0,14.0,13.0,13.0,0,0,0
20170313,PPP,13.54,13.54,13.54,13.55,100,14.4,14.4,14.4,14.4,0,0,0
20170310,PPP,12.79,12.79,12.79,12.79,100,13.6,13.6,13.6,13.6,0,0,0
20170308,PPP,12.32,12.32,11.76,11.76,200,13.1,13.1,12.5,12.5,0,0,0
20170306,PPP,10.72,11.29,10.72,11.29,200,11.4,12.0,11.4,12.0,0,0,0
20170302,PPP,11.85,11.85,11.85,11.85,100,12.6,12.6,12.6,12.6,0,0,0
20170224,PPP,10.91,10.91,10.91,10.91,100,11.6,11.6,11.6,11.6,0,0,0
20170223,PPP,10.82,11.94,10.82,11.95,2000,11.5,12.7,11.5,12.7,0,0,0
20170222,PPP,10.82,10.91,10.82,10.91,500,11.5,11.6,11.5,11.6,0,400,0
20170221,PPP,11.86,11.86,9.97,9.97,1800,12.6,12.6,10.6,10.6,0,0,0
20170220,PPP,11.01,11.01,11.01,11.01,100,11.7,11.7,11.7,11.7,0,0,0
20170216,PPP,10.16,10.16,10.16,10.16,100,10.8,10.8,10.8,10.8,0,0,0
20170215,PPP,11.1,11.1,9.31,9.31,200,11.8,11.8,9.9,9.9,0,0,0
20170214,PPP,10.26,10.26,10.26,10.25,100,10.9,10.9,10.9,10.9,0,0,0
20170213,PPP,9.4,9.4,9.4,9.41,100,10.0,10.0,10.0,10.0,0,0,0
20170210,PPP,10.25,10.25,8.65,8.65,200,10.9,10.9,9.2,9.2,0,0,0
20170209,PPP,9.5,9.5,9.5,9.5,100,10.1,10.1,10.1,10.1,0,0,0
20170208,PPP,10.44,10.44,10.44,10.44,100,11.1,11.1,11.1,11.1,0,0,0
20170207,PPP,9.69,9.69,9.69,9.69,100,10.3,10.3,10.3,10.3,0,0,0
20170206,PPP,10.44,10.44,8.84,8.84,200,11.1,11.1,9.4,9.4,0,0,0
20170203,PPP,9.69,9.69,9.69,9.69,100,10.3,10.3,10.3,10.3,0,0,0
20170125,PPP,8.93,8.93,8.93,8.94,100,9.5,9.5,9.5,9.5,0,0,0
20170120,PPP,9.79,9.79,9.79,9.78,1100,10.4,10.4,10.4,10.4,0,0,0
20170119,PPP,10.82,10.82,10.82,10.82,100,11.5,11.5,11.5,11.5,0,0,0
20170117,PPP,9.97,9.97,9.97,9.97,100,10.6,10.6,10.6,10.6,0,0,0
20170116,PPP,12.98,12.98,11.01,11.01,200,13.8,13.8,11.7,11.7,0,0,0
20170112,PPP,12.23,12.23,12.23,12.23,100,13.0,13.0,13.0,13.0,0,0,0
20170110,PPP,11.29,11.29,11.29,11.29,100,12.0,12.0,12.0,12.0,0,0,0
20170106,PPP,10.26,10.35,10.26,10.35,300,10.9,11.0,10.9,11.0,0,0,0
20161219,PPP,9.41,9.41,9.41,9.41,3000,10.0,10.0,10.0,10.0,0,0,0
20161212,PPP,10.35,10.35,10.35,10.35,100,11.0,11.0,11.0,11.0,0,100,0
20161206,PPP,9.41,9.41,9.41,9.41,1000,10.0,10.0,10.0,10.0,0,0,0
20161201,PPP,9.4,9.4,9.4,9.41,5000,10.0,10.0,10.0,10.0,0,0,0
20161118,PPP,9.31,9.31,9.31,9.31,1000,9.9,9.9,9.9,9.9,0,0,0
20161115,PPP,9.31,9.31,9.31,9.31,3000,9.9,9.9,9.9,9.9,0,0,0
20161107,PPP,9.32,9.32,9.32,9.31,100,9.9,9.9,9.9,9.9,0,0,0
20161103,PPP,9.41,9.41,9.41,9.41,500,10.0,10.0,10.0,10.0,0,0,0
20161102,PPP,9.69,9.69,9.69,9.69,800,10.3,10.3,10.3,10.3,0,0,0
20161101,PPP,9.41,9.41,9.41,9.41,300,10.0,10.0,10.0,10.0,0,0,0
20161031,PPP,9.41,9.41,9.41,9.41,1000,10.0,10.0,10.0,10.0,0,0,0
20161026,PPP,10.35,10.35,10.35,10.35,1000,11.0,11.0,11.0,11.0,0,0,0
20161021,PPP,11.57,11.57,9.69,9.69,200,12.3,12.3,10.3,10.3,42000,0,0
20161018,PPP,10.73,10.73,10.73,10.72,100,11.4,11.4,11.4,11.4,0,0,0
20161013,PPP,10.06,10.06,10.06,10.07,100,10.7,10.7,10.7,10.7,0,0,0
20161012,PPP,8.66,9.32,8.66,9.31,500,9.2,9.9,9.2,9.9,0,0,0
20161006,PPP,8.56,8.56,8.47,8.47,1200,9.1,9.1,9.0,9.0,0,0,0
20161005,PPP,9.41,9.41,9.41,9.41,100,10.0,10.0,10.0,10.0,0,0,0
20161003,PPP,10.16,10.16,10.16,10.16,100,10.8,10.8,10.8,10.8,0,0,0
20160923,PPP,11.2,11.2,11.2,11.19,100,11.9,11.9,11.9,11.9,0,0,0
20160922,PPP,9.41,10.35,9.41,10.35,17600,10.0,11.0,10.0,11.0,0,0,0
20160921,PPP,9.21,9.4,9.21,9.41,5400,9.8,10.0,9.8,10.0,0,0,0
20160920,PPP,8.65,8.65,8.65,8.65,100,9.2,9.2,9.2,9.2,0,0,0
20160914,PPP,8.56,8.56,8.56,8.56,100,9.1,9.1,9.1,9.1,0,0,0
20160913,PPP,8.56,9.31,8.56,9.31,300,9.1,9.9,9.1,9.9,0,0,0
20160912,PPP,9.31,9.31,9.31,9.31,100,9.9,9.9,9.9,9.9,0,0,0
20160908,PPP,8.66,8.66,8.66,8.65,100,9.2,9.2,9.2,9.2,0,0,0
20160907,PPP,9.22,9.22,9.22,9.22,1200,9.8,9.8,9.8,9.8,0,0,0
20160906,PPP,9.22,9.22,9.22,9.22,400,9.8,9.8,9.8,9.8,0,0,0
20160905,PPP,8.94,9.22,8.94,9.22,700,9.5,9.8,9.5,9.8,0,0,100
20160831,PPP,8.93,9.21,8.93,9.22,2300,9.5,9.8,9.5,9.8,0,0,0
20160829,PPP,8.65,8.65,8.65,8.65,100,9.2,9.2,9.2,9.2,0,0,0
20160826,PPP,7.9,7.9,7.9,7.9,100,8.4,8.4,8.4,8.4,0,0,0
20160825,PPP,10.06,10.06,8.75,8.75,200,10.7,10.7,9.3,9.3,0,0,0
20160823,PPP,9.32,9.32,9.32,9.31,200,9.9,9.9,9.9,9.9,0,0,0
20160822,PPP,8.47,8.47,8.47,8.47,100,9.0,9.0,9.0,9.0,0,0,0
20160819,PPP,8.47,9.22,8.47,9.22,2300,9.0,9.8,9.0,9.8,0,0,0
20160817,PPP,8.46,8.46,8.46,8.47,1200,9.0,9.0,9.0,9.0,0,0,0
20160816,PPP,7.72,7.72,7.72,7.71,100,8.2,8.2,8.2,8.2,0,0,0
20160815,PPP,8.47,8.47,8.47,8.47,300,9.0,9.0,9.0,9.0,0,0,0
20160812,PPP,8.47,8.47,8.47,8.47,1800,9.0,9.0,9.0,9.0,0,0,0
20160811,PPP,8.47,8.47,8.47,8.47,1400,9.0,9.0,9.0,9.0,0,0,0
20160809,PPP,8.47,8.75,8.47,8.75,4000,9.0,9.3,9.0,9.3,0,0,1900
20160805,PPP,8.18,8.27,8.18,8.28,297782,8.7,8.8,8.7,8.8,0,0,0
20160804,PPP,8.19,8.19,8.19,8.18,110900,8.7,8.7,8.7,8.7,0,0,0
20160802,PPP,8.47,8.47,8.47,8.47,1000,9.0,9.0,9.0,9.0,0,0,0
20160712,PPP,8.0,8.0,8.0,8.0,100,8.5,8.5,8.5,8.5,0,0,0
20160708,PPP,8.46,8.46,8.09,8.09,7400,9.0,9.0,8.6,8.6,0,0,0
20160707,PPP,8.37,8.37,8.18,8.18,1000,8.9,8.9,8.7,8.7,0,0,0
20160630,PPP,8.19,8.19,8.19,8.18,1500,8.7,8.7,8.7,8.7,0,0,0
20160624,PPP,7.81,7.81,7.81,7.81,300,8.3,8.3,8.3,8.3,0,0,0
20160622,PPP,7.9,7.9,7.8,7.81,1500,8.4,8.4,8.3,8.3,0,0,0
20160620,PPP,8.19,8.19,8.19,8.18,300,8.7,8.7,8.7,8.7,0,0,0
20160617,PPP,8.09,8.09,8.0,8.0,3300,8.6,8.6,8.5,8.5,0,0,0
20160616,PPP,7.91,8.0,7.91,8.0,4300,8.4,8.5,8.4,8.5,0,0,0
20160614,PPP,8.47,8.47,8.47,8.47,200,9.0,9.0,9.0,9.0,0,0,0
20160613,PPP,8.28,8.28,8.28,8.28,100,8.8,8.8,8.8,8.8,0,0,0
20160609,PPP,8.09,8.09,8.09,8.09,100,8.6,8.6,8.6,8.6,0,0,0
20160608,PPP,7.53,8.28,7.53,8.28,2100,8.0,8.8,8.0,8.8,0,0,0
20160607,PPP,7.99,7.99,7.99,8.0,1700,8.5,8.5,8.5,8.5,0,0,0
20160601,PPP,8.65,8.65,8.65,8.65,100,9.2,9.2,9.2,9.2,0,0,0
20160520,PPP,7.9,7.9,7.9,7.9,100,8.4,8.4,8.4,8.4,0,0,0
20160517,PPP,7.9,7.9,7.9,7.9,2200,8.4,8.4,8.4,8.4,0,1000,0
20160516,PPP,8.28,8.28,8.28,8.28,100,8.8,8.8,8.8,8.8,0,0,0
20160512,PPP,9.22,9.22,8.0,8.0,1800,9.8,9.8,8.5,8.5,0,0,0
20160511,PPP,8.56,8.56,8.56,8.56,100,9.1,9.1,9.1,9.1,0,0,0
20160510,PPP,7.91,7.91,7.81,7.81,11000,8.4,8.4,8.3,8.3,0,0,0
20160509,PPP,8.47,8.47,8.47,8.47,100,9.0,9.0,9.0,9.0,0,0,0
20160506,PPP,7.71,7.81,7.71,7.81,800,8.2,8.3,8.2,8.3,0,0,0
20160428,PPP,8.37,8.37,8.37,8.37,2200,8.9,8.9,8.9,8.9,0,0,0
20160426,PPP,8.37,8.37,8.37,8.37,1100,8.9,8.9,8.9,8.9,0,0,0
20160419,PPP,8.37,8.37,8.37,8.37,100,8.9,8.9,8.9,8.9,0,0,0
20160414,PPP,7.9,7.9,7.9,7.9,100,8.4,8.4,8.4,8.4,0,0,0
20160413,PPP,8.37,8.37,8.37,8.37,100,8.9,8.9,8.9,8.9,0,0,0
20160412,PPP,7.81,7.81,7.81,7.81,200,8.3,8.3,8.3,8.3,0,0,0
20160407,PPP,8.47,8.47,8.47,8.47,120,9.0,9.0,9.0,9.0,0,0,0
20160406,PPP,8.09,8.09,8.09,8.09,1000,8.6,8.6,8.6,8.6,0,0,0
20160405,PPP,8.47,8.56,8.47,8.56,1700,9.0,9.1,9.0,9.1,0,0,0
20160404,PPP,8.46,8.46,8.46,8.47,120,9.0,9.0,9.0,9.0,0,0,0
20160401,PPP,8.66,8.66,8.66,8.65,200,9.2,9.2,9.2,9.2,0,0,0
20160322,PPP,7.62,8.47,7.62,8.47,1100,8.1,9.0,8.1,9.0,0,0,0
20160317,PPP,8.47,8.47,8.47,8.47,600,9.0,9.0,9.0,9.0,0,0,0
20160316,PPP,8.47,8.47,8.47,8.47,9400,9.0,9.0,9.0,9.0,0,0,0
20160309,PPP,8.84,8.84,8.47,8.47,3100,9.4,9.4,9.0,9.0,0,0,0
20160308,PPP,8.09,8.09,8.09,8.09,100,8.6,8.6,8.6,8.6,0,0,0
20160307,PPP,7.44,7.44,7.44,7.43,100,7.9,7.9,7.9,7.9,0,0,0
20160303,PPP,7.99,7.99,7.99,8.0,100,8.5,8.5,8.5,8.5,0,0,0
20160302,PPP,7.44,7.44,7.44,7.43,100,7.9,7.9,7.9,7.9,0,0,0
20160224,PPP,7.99,7.99,7.99,8.0,800,8.5,8.5,8.5,8.5,0,0,0
20160223,PPP,8.85,8.85,8.85,8.84,200,9.4,9.4,9.4,9.4,0,0,0
20160219,PPP,8.47,8.47,8.47,8.47,300,9.0,9.0,9.0,9.0,0,0,0
20160216,PPP,8.47,8.47,8.47,8.47,1000,9.0,9.0,9.0,9.0,0,0,0
20160205,PPP,8.46,8.46,8.46,8.47,1000,9.0,9.0,9.0,9.0,0,1000,0
20160119,PPP,7.92,7.92,7.92,7.92,200,9.0,9.0,9.0,9.0,0,0,0
20160107,PPP,7.92,7.92,7.92,7.92,500,9.0,9.0,9.0,9.0,0,0,0
20151230,PPP,8.36,8.36,8.36,8.36,100,9.5,9.5,9.5,9.5,0,0,0
20151217,PPP,7.74,7.74,7.74,7.74,1000,8.8,8.8,8.8,8.8,0,0,0
20151215,PPP,7.74,7.74,7.74,7.74,1000,8.8,8.8,8.8,8.8,0,0,0
20151208,PPP,7.74,7.74,7.74,7.74,300,8.8,8.8,8.8,8.8,0,0,0
20151207,PPP,7.04,7.04,7.04,7.04,200,8.0,8.0,8.0,8.0,0,0,0
20151126,PPP,7.92,7.92,7.74,7.74,1000,9.0,9.0,8.8,8.8,0,0,0
20151124,PPP,7.92,7.92,7.92,7.92,2400,9.0,9.0,9.0,9.0,0,0,0
20151123,PPP,7.92,7.92,7.92,7.92,900,9.0,9.0,9.0,9.0,0,0,0
20151106,PPP,7.92,7.92,7.92,7.92,100,9.0,9.0,9.0,9.0,0,0,0
20151104,PPP,7.92,7.92,7.92,7.92,200,9.0,9.0,9.0,9.0,0,0,0
20151027,PPP,7.92,7.92,7.92,7.92,700,9.0,9.0,9.0,9.0,0,0,0
20151022,PPP,8.71,8.71,8.71,8.71,100,9.9,9.9,9.9,9.9,0,0,0
20151021,PPP,7.92,7.92,7.92,7.92,100,9.0,9.0,9.0,9.0,0,0,0
20151020,PPP,7.91,7.91,7.91,7.92,50000,9.0,9.0,9.0,9.0,0,0,0
20151009,PPP,7.47,7.82,7.47,7.65,1100,8.5,8.9,8.5,8.7,0,0,0
20151008,PPP,7.13,7.13,7.13,7.12,100,8.1,8.1,8.1,8.1,0,0,0
20150930,PPP,7.66,7.92,7.66,7.92,800,8.7,9.0,8.7,9.0,0,0,0
20150929,PPP,7.91,7.91,7.91,7.92,100,9.0,9.0,9.0,9.0,0,0,0
20150921,PPP,7.65,7.65,7.65,7.65,100,8.7,8.7,8.7,8.7,0,0,0
20150918,PPP,6.94,8.26,6.94,8.27,200,7.9,9.4,7.9,9.4,0,0,0
20150914,PPP,6.59,7.91,6.59,7.56,1200,7.5,9.0,7.5,8.6,0,0,0
20150911,PPP,7.21,7.21,7.21,7.21,200,8.2,8.2,8.2,8.2,0,0,0
20150910,PPP,8.01,8.01,8.01,8.0,100,9.1,9.1,9.1,9.1,0,0,0
20150903,PPP,8.8,8.8,8.8,8.8,500,10.0,10.0,10.0,10.0,0,0,0
20150831,PPP,9.14,9.14,8.79,8.8,400,10.4,10.4,10.0,10.0,0,0,0
20150821,PPP,8.45,8.45,8.36,8.44,3100,9.6,9.6,9.5,9.6,0,0,0
20150820,PPP,8.45,8.8,8.36,8.8,3200,9.6,10.0,9.5,10.0,0,0,0
20150817,PPP,8.8,8.8,8.8,8.8,5800,10.0,10.0,10.0,10.0,0,0,0
20150813,PPP,8.79,8.79,8.79,8.8,1000,10.0,10.0,10.0,10.0,0,0,0
