<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,PXT,3.24,3.25,3.15,3.24,54280,3.24,3.25,3.15,3.24,0,0,20
20170626,PXT,3.18,3.32,3.17,3.19,110070,3.18,3.32,3.17,3.19,0,0,20
20170623,PXT,3.15,3.2,3.12,3.18,64150,3.15,3.2,3.12,3.18,0,3240,0
20170622,PXT,3.26,3.3,3.17,3.17,35770,3.26,3.3,3.17,3.17,0,0,0
20170621,PXT,3.2,3.4,3.18,3.3,20810,3.2,3.4,3.18,3.3,0,0,0
20170620,PXT,3.32,3.48,3.31,3.34,48260,3.32,3.48,3.31,3.34,0,0,0
20170619,PXT,3.4,3.4,3.3,3.32,69180,3.4,3.4,3.3,3.32,0,0,0
20170616,PXT,3.35,3.42,3.35,3.4,43590,3.35,3.42,3.35,3.4,0,50,0
20170615,PXT,3.35,3.45,3.35,3.44,7580,3.35,3.45,3.35,3.44,0,0,0
20170614,PXT,3.4,3.49,3.33,3.48,21920,3.4,3.49,3.33,3.48,0,0,0
20170613,PXT,3.58,3.58,3.45,3.5,5750,3.58,3.58,3.45,3.5,0,0,0
20170612,PXT,3.46,3.7,3.4,3.47,42190,3.46,3.7,3.4,3.47,0,0,0
20170609,PXT,3.5,3.5,3.41,3.46,34660,3.5,3.5,3.41,3.46,0,0,0
20170608,PXT,3.4,3.52,3.4,3.46,24320,3.4,3.52,3.4,3.46,0,340,480
20170607,PXT,3.43,3.49,3.41,3.41,10530,3.43,3.49,3.41,3.41,0,0,360
20170606,PXT,3.5,3.5,3.36,3.49,13340,3.5,3.5,3.36,3.49,0,0,0
20170605,PXT,3.5,3.53,3.47,3.5,5340,3.5,3.53,3.47,3.5,0,550,0
20170602,PXT,3.55,3.55,3.44,3.53,11640,3.55,3.55,3.44,3.53,0,360,0
20170601,PXT,3.58,3.58,3.44,3.53,33380,3.58,3.58,3.44,3.53,0,0,0
20170531,PXT,3.44,3.6,3.43,3.43,46670,3.44,3.6,3.43,3.43,0,0,0
20170530,PXT,3.5,3.59,3.42,3.44,83130,3.5,3.59,3.42,3.44,0,0,0
20170529,PXT,3.5,3.65,3.5,3.64,28040,3.5,3.65,3.5,3.64,0,0,300
20170526,PXT,3.6,3.64,3.5,3.6,40700,3.6,3.64,3.5,3.6,0,0,0
20170525,PXT,3.67,3.67,3.4,3.58,46480,3.67,3.67,3.4,3.58,0,2480,0
20170524,PXT,3.5,3.79,3.45,3.51,63010,3.5,3.79,3.45,3.51,0,1000,0
20170523,PXT,3.7,3.72,3.5,3.7,13820,3.7,3.72,3.5,3.7,0,880,0
20170522,PXT,3.5,3.9,3.5,3.7,38940,3.5,3.9,3.5,3.7,0,0,0
20170519,PXT,3.74,3.74,3.56,3.68,34980,3.74,3.74,3.56,3.68,0,550,0
20170518,PXT,3.85,3.85,3.46,3.51,31380,3.85,3.85,3.46,3.51,0,280,0
20170517,PXT,3.4,3.73,3.4,3.65,8860,3.4,3.73,3.4,3.65,0,2000,0
20170516,PXT,3.43,3.65,3.43,3.49,44380,3.43,3.65,3.43,3.49,0,0,0
20170515,PXT,3.53,3.75,3.51,3.66,23760,3.53,3.75,3.51,3.66,0,0,0
