<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,SCL,3.6,3.6,3.5,3.5,3000,3.6,3.6,3.5,3.5,0,0,0
20170621,SCL,3.2,3.6,3.2,3.6,3100,3.2,3.6,3.2,3.6,10,0,0
20170620,SCL,3.5,3.5,3.3,3.3,1100,3.5,3.5,3.3,3.3,0,0,0
20170619,SCL,3.6,3.6,3.6,3.6,8400,3.6,3.6,3.6,3.6,0,0,0
20170615,SCL,3.7,3.7,3.7,3.7,100,3.7,3.7,3.7,3.7,0,0,0
20170614,SCL,3.8,3.8,3.3,3.4,35700,3.8,3.8,3.3,3.4,0,0,0
20170613,SCL,3.3,3.7,3.3,3.6,2900,3.3,3.7,3.3,3.6,0,0,0
20170612,SCL,3.5,3.5,3.4,3.5,14000,3.5,3.5,3.4,3.5,0,0,0
20170609,SCL,3.6,3.6,3.6,3.6,100,3.6,3.6,3.6,3.6,0,0,0
20170607,SCL,3.7,3.8,3.7,3.8,1700,3.7,3.8,3.7,3.8,0,0,0
20170605,SCL,3.9,3.9,3.9,3.9,100,3.9,3.9,3.9,3.9,0,0,0
20170602,SCL,3.8,3.8,3.8,3.8,100,3.8,3.8,3.8,3.8,0,0,0
20170601,SCL,3.6,3.6,3.6,3.6,100,3.6,3.6,3.6,3.6,0,0,0
20170531,SCL,4.0,4.0,4.0,4.0,200,4.0,4.0,4.0,4.0,0,0,0
20170526,SCL,4.3,4.4,4.3,4.4,800,4.3,4.4,4.3,4.4,0,0,0
20170525,SCL,4.3,4.3,4.3,4.3,100,4.3,4.3,4.3,4.3,0,0,0
20170524,SCL,4.0,4.6,4.0,4.0,12900,4.0,4.6,4.0,4.0,0,0,0
20170523,SCL,4.5,4.5,4.1,4.4,1215,4.5,4.5,4.1,4.4,0,0,0
20170522,SCL,4.1,4.1,4.1,4.1,1000,4.1,4.1,4.1,4.1,0,0,0
20170518,SCL,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20170517,SCL,4.1,4.1,4.1,4.1,100,4.1,4.1,4.1,4.1,0,0,0
20170515,SCL,4.0,4.0,4.0,4.0,300,4.0,4.0,4.0,4.0,0,0,0
20170511,SCL,3.9,3.9,3.9,3.9,100,3.9,3.9,3.9,3.9,0,0,0
20170510,SCL,4.2,4.2,4.2,4.2,110,4.2,4.2,4.2,4.2,0,0,0
20170509,SCL,3.9,4.0,3.9,4.0,1740,3.9,4.0,3.9,4.0,0,0,0
20170508,SCL,3.8,3.8,3.8,3.8,40420,3.8,3.8,3.8,3.8,0,0,0
20170505,SCL,4.2,4.2,4.2,4.2,100,4.2,4.2,4.2,4.2,0,0,0
20170428,SCL,3.9,3.9,3.9,3.9,125,3.9,3.9,3.9,3.9,0,0,0
20170427,SCL,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20170426,SCL,3.8,3.9,3.8,3.9,3100,3.8,3.9,3.8,3.9,0,0,0
20170425,SCL,3.6,3.6,3.6,3.6,100,3.6,3.6,3.6,3.6,0,0,0
20170424,SCL,3.6,3.6,3.6,3.6,4000,3.6,3.6,3.6,3.6,0,0,0
