<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,SCR,12.55,12.7,12.15,12.25,6705240,12.55,12.7,12.15,12.25,284000,31000,0
20170626,SCR,12.6,12.9,12.5,12.55,5152930,12.6,12.9,12.5,12.55,0,31000,0
20170623,SCR,12.55,12.8,12.3,12.55,7042850,12.55,12.8,12.3,12.55,0,0,51000
20170622,SCR,12.35,12.7,12.35,12.55,10573840,12.35,12.7,12.35,12.55,0,5000,0
20170621,SCR,11.6,12.35,11.4,12.35,9948780,11.6,12.35,11.4,12.35,0,0,2000
20170620,SCR,11.55,11.7,11.4,11.6,3488990,11.55,11.7,11.4,11.6,0,0,0
20170619,SCR,11.75,11.85,11.4,11.4,9801710,11.75,11.85,11.4,11.4,0,0,0
20170616,SCR,11.45,11.65,11.45,11.55,2806160,11.45,11.65,11.45,11.55,0,0,0
20170615,SCR,11.65,11.75,11.4,11.45,4050890,11.65,11.75,11.4,11.45,0,20000,0
20170614,SCR,12.0,12.0,11.65,11.65,4673520,12.0,12.0,11.65,11.65,0,0,0
20170613,SCR,12.1,12.1,11.7,11.8,3335580,12.1,12.1,11.7,11.8,0,0,12000
20170612,SCR,11.7,12.2,11.7,12.0,6887980,11.7,12.2,11.7,12.0,0,0,0
20170609,SCR,11.45,11.75,11.35,11.6,5522600,11.45,11.75,11.35,11.6,0,0,0
20170608,SCR,11.5,11.65,11.35,11.35,3443820,11.5,11.65,11.35,11.35,0,0,0
20170607,SCR,11.6,11.85,11.45,11.5,4028330,11.6,11.85,11.45,11.5,0,0,0
20170606,SCR,10.95,11.5,10.95,11.4,3992440,10.95,11.5,10.95,11.4,0,0,5000
20170605,SCR,11.5,11.6,11.0,11.0,4787470,11.5,11.6,11.0,11.0,85190,1000,0
