<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160825,SDC,14.5,14.5,14.5,14.5,200,15.5,15.5,15.5,15.5,0,0,0
20160802,SDC,16.09,16.09,16.09,16.09,300,17.2,17.2,17.2,17.2,0,0,0
20160729,SDC,17.87,17.87,17.87,17.87,200,19.1,19.1,19.1,19.1,0,0,0
20160727,SDC,19.83,19.83,19.83,19.83,400,21.2,21.2,21.2,21.2,0,0,0
20160714,SDC,21.42,21.98,18.71,21.98,6500,22.9,23.5,20.0,23.5,0,0,5100
20160711,SDC,20.02,20.02,20.02,20.02,100,21.4,21.4,21.4,21.4,0,0,0
20160705,SDC,18.61,18.61,15.81,18.62,1200,19.9,19.9,16.9,19.9,0,1000,0
20160704,SDC,17.5,17.5,17.5,17.49,100,18.7,18.7,18.7,18.7,0,0,0
20160701,SDC,14.59,15.99,14.59,16.0,200,15.6,17.1,15.6,17.1,0,0,0
20160505,SDC,14.59,14.59,14.59,14.59,9,15.6,15.6,15.6,15.6,0,0,0
20160504,SDC,14.59,14.59,14.59,14.59,28,15.6,15.6,15.6,15.6,0,0,0
20160429,SDC,14.6,14.6,14.6,14.59,100,15.6,15.6,15.6,15.6,0,0,0
20160426,SDC,13.38,13.38,13.38,13.38,100,14.3,14.3,14.3,14.3,0,0,0
20160425,SDC,11.23,12.63,11.23,12.63,1100,12.0,13.5,12.0,13.5,44,1000,0
20160412,SDC,11.41,11.51,11.41,11.51,800,12.2,12.3,12.2,12.3,0,400,0
20160411,SDC,12.63,12.63,12.63,12.63,500,13.5,13.5,13.5,13.5,0,0,0
20160408,SDC,13.19,13.38,13.19,13.38,400,14.1,14.3,14.1,14.3,0,0,0
20160407,SDC,12.35,12.44,12.35,12.44,300,13.2,13.3,13.2,13.3,0,0,0
20160406,SDC,11.32,11.32,11.32,11.32,100,12.1,12.1,12.1,12.1,0,0,0
20160405,SDC,8.98,10.29,8.98,10.29,200,9.6,11.0,9.6,11.0,30,0,0
20160401,SDC,9.35,9.35,9.35,9.35,63,10.0,10.0,10.0,10.0,0,0,0
20160331,SDC,9.35,9.35,9.35,9.35,100,10.0,10.0,10.0,10.0,0,0,0
20160330,SDC,10.1,10.1,10.1,10.1,100,10.8,10.8,10.8,10.8,0,0,0
20160328,SDC,10.11,10.11,10.11,10.1,100,10.8,10.8,10.8,10.8,0,0,100
20160325,SDC,10.29,11.22,10.29,11.23,2500,11.0,12.0,11.0,12.0,0,2400,100
20160323,SDC,11.41,11.41,11.41,11.41,100,12.2,12.2,12.2,12.2,0,0,0
20160322,SDC,10.76,10.76,10.39,10.38,900,11.5,11.5,11.1,11.1,0,0,0
20160318,SDC,11.23,11.23,11.23,11.23,2200,12.0,12.0,12.0,12.0,0,0,0
20160317,SDC,11.41,11.41,11.22,11.23,500,12.2,12.2,12.0,12.0,0,0,0
20160315,SDC,12.16,12.16,12.16,12.16,100,13.0,13.0,13.0,13.0,0,0,0
20160311,SDC,13.09,13.09,13.09,13.1,141,14.0,14.0,14.0,14.0,0,100,0
20160309,SDC,14.03,14.03,14.03,14.03,100,15.0,15.0,15.0,15.0,0,100,0
20160229,SDC,15.53,15.53,15.53,15.53,134,16.6,16.6,16.6,16.6,0,0,0
20160226,SDC,14.22,14.22,14.22,14.22,433,15.2,15.2,15.2,15.2,0,300,0
20160225,SDC,13.0,13.0,12.16,13.0,2960,13.9,13.9,13.0,13.9,0,2800,0
20160224,SDC,11.88,11.88,11.88,11.88,100,12.7,12.7,12.7,12.7,0,0,0
20160223,SDC,10.86,10.86,10.86,10.85,524,11.6,11.6,11.6,11.6,0,500,0
20160222,SDC,9.91,9.91,9.91,9.92,400,10.6,10.6,10.6,10.6,0,400,0
20160219,SDC,9.35,9.35,9.35,9.35,100,10.0,10.0,10.0,10.0,0,100,0
20160218,SDC,8.51,9.08,8.51,9.07,200,9.1,9.7,9.1,9.7,0,0,100
20160203,SDC,8.88,9.44,8.88,9.45,200,9.5,10.1,9.5,10.1,0,0,100
20160201,SDC,8.7,9.35,8.7,9.35,200,9.3,10.0,9.3,10.0,0,100,0
20160125,SDC,8.7,8.7,8.7,8.7,20,9.3,9.3,9.3,9.3,0,0,0
20160121,SDC,8.7,8.7,8.7,8.7,100,9.3,9.3,9.3,9.3,0,0,0
20160120,SDC,7.96,7.96,7.96,7.95,240,8.5,8.5,8.5,8.5,0,0,0
20160118,SDC,8.33,8.33,8.33,8.33,200,8.9,8.9,8.9,8.9,0,0,0
20160115,SDC,8.89,8.89,8.89,8.89,348,9.5,9.5,9.5,9.5,0,0,300
20160114,SDC,9.26,9.26,9.26,9.26,1000,9.9,9.9,9.9,9.9,0,0,0
20160112,SDC,8.42,8.42,8.42,8.42,800,9.0,9.0,9.0,9.0,0,800,0
20160111,SDC,8.42,8.42,8.42,8.42,100,9.0,9.0,9.0,9.0,0,0,0
20160108,SDC,10.29,10.29,8.6,8.61,200,11.0,11.0,9.2,9.2,0,0,0
20160107,SDC,9.35,9.35,9.35,9.35,600,10.0,10.0,10.0,10.0,0,600,0
20160106,SDC,9.82,9.82,9.35,9.35,200,10.5,10.5,10.0,10.0,0,0,100
20160105,SDC,10.29,10.29,10.29,10.29,300,11.0,11.0,11.0,11.0,0,0,0
20151229,SDC,11.32,11.32,11.32,11.32,222,12.1,12.1,12.1,12.1,0,0,0
20151216,SDC,12.54,12.54,12.54,12.54,300,13.4,13.4,13.4,13.4,0,300,0
20151215,SDC,12.54,12.54,12.54,12.54,100,13.4,13.4,13.4,13.4,0,100,0
20151211,SDC,12.63,12.63,12.63,12.63,700,13.5,13.5,13.5,13.5,0,0,0
20151208,SDC,12.63,12.63,12.63,12.63,3500,13.5,13.5,13.5,13.5,0,2500,0
20151203,SDC,12.82,12.82,12.82,12.82,80,13.7,13.7,13.7,13.7,0,0,0
20151125,SDC,13.1,13.1,12.82,12.82,1036,14.0,14.0,13.7,13.7,0,900,1000
20151119,SDC,14.22,14.22,14.22,14.22,24,15.2,15.2,15.2,15.2,0,0,0
20151111,SDC,13.1,14.22,13.1,14.22,200,14.0,15.2,14.0,15.2,0,0,0
20151029,SDC,13.94,14.22,13.94,14.22,1900,14.9,15.2,14.9,15.2,0,900,0
20151023,SDC,13.0,13.0,13.0,13.0,100,13.9,13.9,13.9,13.9,0,100,0
20151022,SDC,11.88,11.88,11.88,11.88,24,12.7,12.7,12.7,12.7,0,0,0
20151020,SDC,11.88,11.88,11.88,11.88,14,12.7,12.7,12.7,12.7,0,0,0
20151019,SDC,11.88,11.88,11.88,11.88,100,12.7,12.7,12.7,12.7,0,0,100
20151016,SDC,12.16,13.19,12.16,13.19,200,13.0,14.1,13.0,14.1,0,100,0
20151013,SDC,10.94,12.07,10.94,12.07,200,11.7,12.9,11.7,12.9,0,0,100
20151012,SDC,12.16,12.16,12.16,12.16,500,13.0,13.0,13.0,13.0,0,0,500
