<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,SDJ,10.2,12.6,10.2,12.6,15100,10.2,12.6,10.2,12.6,0,0,0
20170623,SDJ,13.8,13.8,10.2,13.8,36900,13.8,13.8,10.2,13.8,0,0,0
20170622,SDJ,12.0,12.0,12.0,12.0,1200,12.0,12.0,12.0,12.0,0,0,0
20170621,SDJ,12.5,12.5,10.1,12.5,18300,12.5,12.5,10.1,12.5,0,0,0
20170620,SDJ,12.1,12.1,10.9,10.9,10300,12.1,12.1,10.9,10.9,0,0,0
20170619,SDJ,12.5,12.5,10.6,10.6,15300,12.5,12.5,10.6,10.6,0,0,0
20170616,SDJ,10.8,14.3,10.8,14.3,15300,10.8,14.3,10.8,14.3,0,0,0
20170615,SDJ,15.4,15.4,12.5,12.5,15100,15.4,15.4,12.5,12.5,0,0,0
20170614,SDJ,15.0,15.0,11.4,11.4,11500,15.0,15.0,11.4,11.4,0,0,0
20170613,SDJ,15.0,15.0,11.9,11.9,1600,15.0,15.0,11.9,11.9,0,0,0
20170612,SDJ,14.9,14.9,11.3,11.3,10000,14.9,14.9,11.3,11.3,0,0,0
20170609,SDJ,14.1,14.1,10.5,10.5,6500,14.1,14.1,10.5,10.5,0,0,0
20170608,SDJ,12.3,12.3,12.3,12.3,1300,12.3,12.3,12.3,12.3,0,0,0
20170607,SDJ,11.3,11.3,10.1,10.1,1400,11.3,11.3,10.1,10.1,0,0,0
20170606,SDJ,10.5,10.5,9.7,9.7,400,10.5,10.5,9.7,9.7,0,0,0
20170602,SDJ,9.2,11.8,9.2,11.8,18200,9.2,11.8,9.2,11.8,0,0,0
20170601,SDJ,13.3,13.3,10.1,10.1,32300,13.3,13.3,10.1,10.1,144300,0,0
20170531,SDJ,13.1,13.2,9.9,11.0,53300,13.1,13.2,9.9,11.0,0,0,0
20170530,SDJ,11.5,11.5,11.5,11.5,1000,11.5,11.5,11.5,11.5,0,0,0
20170529,SDJ,11.9,11.9,9.6,9.6,27100,11.9,11.9,9.6,9.6,0,0,0
20170526,SDJ,12.7,12.7,9.9,10.1,31600,12.7,12.7,9.9,10.1,0,0,0
20170525,SDJ,11.1,11.1,11.1,11.1,100,11.1,11.1,11.1,11.1,0,0,0
20170523,SDJ,11.3,11.3,9.7,9.7,10200,11.3,11.3,9.7,9.7,0,0,0
20170522,SDJ,11.5,11.5,9.7,11.5,21900,11.5,11.5,9.7,11.5,0,0,0
20170519,SDJ,11.5,11.5,9.6,9.6,37300,11.5,11.5,9.6,9.6,0,0,0
20170518,SDJ,10.0,10.0,10.0,10.0,130,10.0,10.0,10.0,10.0,0,0,0
20170516,SDJ,11.0,11.0,8.2,8.2,12100,11.0,11.0,8.2,8.2,0,0,0
20170515,SDJ,10.3,10.3,9.6,9.6,5300,10.3,10.3,9.6,9.6,0,0,0
20170510,SDJ,10.5,10.5,9.0,9.0,4100,10.5,10.5,9.0,9.0,0,0,0
20170509,SDJ,10.6,10.6,8.3,10.6,16000,10.6,10.6,8.3,10.6,0,0,0
20170508,SDJ,8.8,10.8,8.8,8.9,19500,8.8,10.8,8.8,8.9,0,0,0
20170505,SDJ,10.3,10.3,8.8,8.8,8000,10.3,10.3,8.8,8.8,0,0,0
20170504,SDJ,10.2,10.2,8.6,8.8,27000,10.2,10.2,8.6,8.8,0,0,0
20170428,SDJ,10.5,10.5,8.6,8.6,5500,10.5,10.5,8.6,8.6,0,0,0
20170427,SDJ,10.4,10.4,9.2,9.2,6700,10.4,10.4,9.2,9.2,0,0,0
20170426,SDJ,11.1,11.1,8.5,11.1,18100,11.1,11.1,8.5,11.1,0,0,0
20170425,SDJ,10.8,10.8,9.5,9.5,29000,10.8,10.8,9.5,9.5,0,0,0
20170424,SDJ,10.6,10.6,9.4,9.4,20818,10.6,10.6,9.4,9.4,6200,0,0
20170421,SDJ,10.3,10.3,9.1,9.1,18100,10.3,10.3,9.1,9.1,0,0,0
20170420,SDJ,9.8,9.8,8.7,8.7,41900,9.8,9.8,8.7,8.7,0,0,0
20170419,SDJ,9.6,9.6,8.5,8.5,11000,9.6,9.6,8.5,8.5,0,0,0
20170414,SDJ,8.1,10.5,8.1,10.5,33900,8.1,10.5,8.1,10.5,0,0,0
20170413,SDJ,9.2,9.2,9.2,9.2,2100,9.2,9.2,9.2,9.2,0,0,0
20170412,SDJ,8.6,8.6,7.8,7.8,10400,8.6,8.6,7.8,7.8,0,0,0
20170411,SDJ,7.1,8.7,7.1,7.3,16300,7.1,8.7,7.1,7.3,0,0,0
20170405,SDJ,8.5,9.8,7.4,9.8,25525,8.5,9.8,7.4,9.8,0,0,0
20170404,SDJ,8.3,9.5,8.3,9.5,2800,8.3,9.5,8.3,9.5,0,0,0
20170403,SDJ,10.6,10.6,8.0,10.6,19300,10.6,10.6,8.0,10.6,0,0,0
20170330,SDJ,9.6,10.8,9.1,9.3,5700,9.6,10.8,9.1,9.3,0,0,0
20170329,SDJ,11.7,11.7,9.1,11.7,22800,11.7,11.7,9.1,11.7,5500,0,0
20170328,SDJ,11.9,11.9,9.9,11.9,23700,11.9,11.9,9.9,11.9,6000,0,0
20170327,SDJ,11.6,11.6,9.4,11.6,35400,11.6,11.6,9.4,11.6,0,0,0
20170324,SDJ,12.0,12.0,9.7,9.7,13400,12.0,12.0,9.7,9.7,0,0,0
20170323,SDJ,12.5,12.5,9.5,12.5,15200,12.5,12.5,9.5,12.5,0,0,0
20170322,SDJ,12.8,12.8,9.6,9.6,14900,12.8,12.8,9.6,9.6,0,0,0
20170321,SDJ,13.4,13.4,10.0,13.4,77950,13.4,13.4,10.0,13.4,0,0,0
20170320,SDJ,11.7,11.7,11.7,11.7,4400,11.7,11.7,11.7,11.7,0,0,0
20170317,SDJ,10.2,10.2,10.2,10.2,14100,10.2,10.2,10.2,10.2,0,0,0
20170316,SDJ,8.9,8.9,8.9,8.9,3400,8.9,8.9,8.9,8.9,0,0,0
20170315,SDJ,9.3,9.3,7.1,7.1,11500,9.3,9.3,7.1,7.1,0,0,0
20170314,SDJ,8.8,8.8,7.9,7.9,6050,8.8,8.8,7.9,7.9,0,0,0
20170313,SDJ,8.7,8.7,7.7,7.7,6800,8.7,8.7,7.7,7.7,0,0,0
20170310,SDJ,9.6,9.6,7.2,9.6,20113,9.6,9.6,7.2,9.6,0,0,0
20170309,SDJ,8.0,9.3,8.0,8.1,10300,8.0,9.3,8.0,8.1,0,0,0
20170308,SDJ,8.3,8.3,7.8,7.8,2200,8.3,8.3,7.8,7.8,0,0,0
20170307,SDJ,7.7,9.0,7.7,7.8,15400,7.7,9.0,7.7,7.8,0,0,0
20170303,SDJ,7.9,10.3,7.9,10.3,16320,7.9,10.3,7.9,10.3,0,0,0
20170302,SDJ,10.3,10.3,8.3,8.3,47100,10.3,10.3,8.3,8.3,0,0,0
20170301,SDJ,10.9,10.9,8.5,10.9,44700,10.9,10.9,8.5,10.9,0,0,0
20170228,SDJ,9.5,9.5,9.5,9.5,1500,9.5,9.5,9.5,9.5,0,0,0
20170227,SDJ,8.0,10.3,8.0,10.3,84100,8.0,10.3,8.0,10.3,0,0,0
20170224,SDJ,10.1,10.1,7.8,7.8,11000,10.1,10.1,7.8,7.8,0,0,0
20170223,SDJ,8.0,10.6,8.0,10.6,29300,8.0,10.6,8.0,10.6,0,0,0
20170222,SDJ,8.0,10.6,8.0,10.6,25468,8.0,10.6,8.0,10.6,0,0,0
20170221,SDJ,8.0,10.3,7.7,7.7,31900,8.0,10.3,7.7,7.7,0,0,0
20170220,SDJ,11.0,11.0,8.7,8.7,7400,11.0,11.0,8.7,8.7,0,0,0
20170217,SDJ,12.8,12.8,9.9,9.9,2900,12.8,12.8,9.9,9.9,0,0,0
20170216,SDJ,13.4,13.4,10.0,10.1,105600,13.4,13.4,10.0,10.1,0,0,0
20170215,SDJ,11.7,11.7,11.7,11.7,37020,11.7,11.7,11.7,11.7,0,0,0
