<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20150925,SEC,12.3,12.4,12.3,12.4,166970,12.3,12.4,12.3,12.4,1890000,0,0
20150924,SEC,12.4,12.5,12.4,12.4,160900,12.4,12.5,12.4,12.4,0,0,0
20150923,SEC,12.8,12.8,12.5,12.5,139010,12.8,12.8,12.5,12.5,0,0,0
20150922,SEC,12.7,12.8,12.5,12.8,450800,12.7,12.8,12.5,12.8,0,0,0
20150921,SEC,12.6,12.9,12.6,12.8,203060,12.6,12.9,12.6,12.8,0,0,0
20150918,SEC,12.6,12.8,12.6,12.6,309790,12.6,12.8,12.6,12.6,0,0,0
20150917,SEC,12.5,12.7,12.5,12.7,21300,12.5,12.7,12.5,12.7,0,0,0
20150916,SEC,12.7,12.7,12.7,12.7,55740,12.7,12.7,12.7,12.7,0,0,0
20150915,SEC,12.6,12.9,12.4,12.8,271260,12.6,12.9,12.4,12.8,0,0,0
20150914,SEC,12.5,12.9,12.5,12.6,360730,12.5,12.9,12.5,12.6,0,0,0
20150911,SEC,13.1,13.1,12.6,12.6,402010,13.1,13.1,12.6,12.6,0,0,0
20150910,SEC,13.3,13.3,13.0,13.2,278200,13.3,13.3,13.0,13.2,0,0,0
20150909,SEC,13.3,13.4,13.1,13.3,285910,13.3,13.4,13.1,13.3,0,0,0
20150908,SEC,13.3,13.4,13.1,13.4,251270,13.3,13.4,13.1,13.4,0,0,0
20150907,SEC,13.3,13.3,13.2,13.3,165570,13.3,13.3,13.2,13.3,0,0,0
20150904,SEC,13.3,13.4,13.2,13.4,88010,13.3,13.4,13.2,13.4,0,0,0
20150903,SEC,13.3,13.4,13.1,13.4,204340,13.3,13.4,13.1,13.4,0,0,0
20150901,SEC,13.4,13.4,13.2,13.4,261720,13.4,13.4,13.2,13.4,0,0,0
20150831,SEC,13.3,13.4,13.3,13.4,142400,13.3,13.4,13.3,13.4,0,0,0
20150828,SEC,13.3,13.4,13.2,13.4,420320,13.3,13.4,13.2,13.4,0,0,0
20150827,SEC,13.3,13.4,13.2,13.4,119730,13.3,13.4,13.2,13.4,0,0,0
20150826,SEC,13.3,13.5,13.3,13.4,55570,13.3,13.5,13.3,13.4,0,0,100
20150825,SEC,13.4,13.5,13.1,13.4,130470,13.4,13.5,13.1,13.4,0,0,0
20150824,SEC,13.4,13.5,12.8,13.5,197570,13.4,13.5,12.8,13.5,0,0,0
