<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120712,SSS,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20120711,SSS,4.0,4.0,3.8,3.8,1500,4.0,4.0,3.8,3.8,0,0,0
20120710,SSS,4.0,4.0,4.0,4.0,2400,4.0,4.0,4.0,4.0,0,0,0
20120709,SSS,4.4,4.4,4.3,4.3,1700,4.4,4.4,4.3,4.3,0,0,0
20120706,SSS,4.6,4.6,4.6,4.6,500,4.6,4.6,4.6,4.6,0,0,0
20120705,SSS,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20120704,SSS,4.7,4.7,4.7,4.7,300,4.7,4.7,4.7,4.7,0,0,0
20120703,SSS,4.9,4.9,4.9,4.9,400,4.9,4.9,4.9,4.9,0,0,0
20120702,SSS,4.6,4.6,4.6,4.6,200,4.6,4.6,4.6,4.6,0,0,0
20120629,SSS,4.3,4.5,4.3,4.5,7000,4.3,4.5,4.3,4.5,0,0,0
20120628,SSS,4.9,4.9,4.6,4.6,4700,4.9,4.9,4.6,4.6,0,0,0
20120627,SSS,4.4,4.9,4.3,4.9,8200,4.4,4.9,4.3,4.9,0,0,0
20120626,SSS,4.5,4.6,4.5,4.6,7000,4.5,4.6,4.5,4.6,0,0,0
20120625,SSS,4.5,4.7,4.3,4.4,20400,4.5,4.7,4.3,4.4,0,0,0
20120622,SSS,4.5,4.5,4.5,4.5,500,4.5,4.5,4.5,4.5,0,0,0
20120619,SSS,4.3,4.7,4.3,4.6,600,4.3,4.7,4.3,4.6,0,0,0
20120618,SSS,4.6,4.6,4.6,4.6,2100,4.6,4.6,4.6,4.6,0,0,0
20120615,SSS,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20120612,SSS,4.7,4.7,4.7,4.7,100,4.7,4.7,4.7,4.7,0,0,0
20120608,SSS,4.7,4.7,4.6,4.6,1500,4.7,4.7,4.6,4.6,0,0,0
20120607,SSS,4.8,4.9,4.8,4.9,2500,4.8,4.9,4.8,4.9,0,0,0
20120604,SSS,4.1,4.6,4.1,4.6,1300,4.1,4.6,4.1,4.6,0,0,0
20120601,SSS,4.4,4.4,4.3,4.3,200,4.4,4.4,4.3,4.3,0,0,0
20120531,SSS,4.4,4.4,4.3,4.3,3600,4.4,4.4,4.3,4.3,0,0,0
20120530,SSS,4.6,4.6,4.6,4.6,3500,4.6,4.6,4.6,4.6,0,0,0
20120529,SSS,4.7,4.7,4.7,4.7,3000,4.7,4.7,4.7,4.7,0,0,0
20120525,SSS,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20120524,SSS,4.8,4.9,4.6,4.6,4100,4.8,4.9,4.6,4.6,0,0,0
20120523,SSS,5.0,5.0,4.9,4.9,3200,5.0,5.0,4.9,4.9,0,0,0
20120522,SSS,5.2,5.2,5.2,5.2,1200,5.2,5.2,5.2,5.2,0,0,0
20120521,SSS,4.7,4.9,4.7,4.9,7100,4.7,4.9,4.7,4.9,0,0,0
20120518,SSS,4.7,4.7,4.6,4.6,3400,4.7,4.7,4.6,4.6,0,0,0
20120517,SSS,4.8,4.8,4.7,4.7,5000,4.8,4.8,4.7,4.7,0,0,0
20120516,SSS,4.9,4.9,4.8,4.8,2500,4.9,4.9,4.8,4.8,0,0,0
20120515,SSS,4.8,4.9,4.8,4.8,2900,4.8,4.9,4.8,4.8,12500,0,0
20120514,SSS,5.0,5.0,4.9,4.9,4100,5.0,5.0,4.9,4.9,0,0,0
20120511,SSS,5.4,5.4,5.2,5.2,18900,5.4,5.4,5.2,5.2,0,0,0
20120510,SSS,5.5,5.7,5.5,5.5,16200,5.5,5.7,5.5,5.5,0,0,0
20120509,SSS,5.3,5.4,5.3,5.4,5800,5.3,5.4,5.3,5.4,0,0,0
20120508,SSS,5.3,5.5,5.3,5.4,11500,5.3,5.5,5.3,5.4,0,0,0
20120507,SSS,5.2,5.3,5.2,5.3,14300,5.2,5.3,5.2,5.3,0,0,0
20120504,SSS,5.0,5.1,4.8,5.0,26300,5.0,5.1,4.8,5.0,0,0,0
20120503,SSS,4.8,4.9,4.8,4.9,13900,4.8,4.9,4.8,4.9,0,0,0
20120502,SSS,5.2,5.2,4.9,5.0,12400,5.2,5.2,4.9,5.0,0,0,0
20120427,SSS,4.6,4.9,4.6,4.9,1700,4.6,4.9,4.6,4.9,0,0,0
20120426,SSS,4.7,4.8,4.6,4.8,25600,4.7,4.8,4.6,4.8,0,0,0
20120425,SSS,4.9,5.0,4.9,4.9,7500,4.9,5.0,4.9,4.9,0,0,0
20120424,SSS,4.6,4.8,4.6,4.8,1300,4.6,4.8,4.6,4.8,0,0,0
20120423,SSS,4.5,4.7,4.5,4.6,8300,4.5,4.7,4.5,4.6,0,0,0
20120420,SSS,4.6,4.6,4.6,4.6,2000,4.6,4.6,4.6,4.6,0,0,0
20120419,SSS,4.7,4.7,4.6,4.6,2500,4.7,4.7,4.6,4.6,0,0,0
20120418,SSS,4.9,5.0,4.9,4.9,12100,4.9,5.0,4.9,4.9,0,0,0
20120417,SSS,4.8,5.0,4.8,5.0,18700,4.8,5.0,4.8,5.0,0,0,0
20120416,SSS,4.5,4.8,4.5,4.7,18300,4.5,4.8,4.5,4.7,0,0,0
20120413,SSS,4.6,4.6,4.6,4.6,12800,4.6,4.6,4.6,4.6,0,0,0
20120412,SSS,4.7,4.8,4.7,4.8,9700,4.7,4.8,4.7,4.8,0,0,0
20120411,SSS,4.4,4.7,4.4,4.7,6500,4.4,4.7,4.4,4.7,0,0,0
20120410,SSS,4.5,4.6,4.5,4.5,5500,4.5,4.6,4.5,4.5,0,0,0
20120409,SSS,4.6,4.7,4.6,4.7,26300,4.6,4.7,4.6,4.7,0,0,0
20120406,SSS,4.1,4.6,4.1,4.6,5800,4.1,4.6,4.1,4.6,0,0,0
20120405,SSS,4.6,4.6,4.3,4.4,5800,4.6,4.6,4.3,4.4,0,0,0
20120404,SSS,4.6,4.6,4.6,4.6,7400,4.6,4.6,4.6,4.6,0,0,0
20120403,SSS,4.6,4.9,4.5,4.9,9100,4.6,4.9,4.5,4.9,0,0,0
20120330,SSS,4.6,4.6,4.6,4.6,1300,4.6,4.6,4.6,4.6,0,0,0
20120329,SSS,5.1,5.1,4.7,4.7,25800,5.1,5.1,4.7,4.7,0,0,0
20120328,SSS,4.9,5.2,4.9,5.0,18900,4.9,5.2,4.9,5.0,0,0,0
20120327,SSS,5.2,5.2,5.0,5.0,107600,5.2,5.2,5.0,5.0,0,0,0
20120326,SSS,4.9,4.9,4.9,4.9,8600,4.9,4.9,4.9,4.9,0,0,0
20120323,SSS,4.6,4.6,4.6,4.6,13900,4.6,4.6,4.6,4.6,0,0,0
20120322,SSS,4.2,4.3,4.2,4.3,19800,4.2,4.3,4.2,4.3,0,0,0
20120321,SSS,4.3,4.3,4.1,4.1,11800,4.3,4.3,4.1,4.1,0,0,0
20120320,SSS,4.2,4.2,4.2,4.2,400,4.2,4.2,4.2,4.2,0,0,0
20120319,SSS,4.0,4.2,4.0,4.2,1300,4.0,4.2,4.0,4.2,0,0,0
20120316,SSS,4.1,4.1,4.1,4.1,5500,4.1,4.1,4.1,4.1,0,0,0
20120315,SSS,4.0,4.1,3.9,3.9,17900,4.0,4.1,3.9,3.9,0,0,0
20120314,SSS,4.2,4.2,4.0,4.0,6600,4.2,4.2,4.0,4.0,0,0,0
20120313,SSS,4.1,4.2,4.1,4.1,12000,4.1,4.2,4.1,4.1,0,0,0
20120312,SSS,4.1,4.1,4.1,4.1,8900,4.1,4.1,4.1,4.1,0,0,0
20120309,SSS,4.1,4.2,4.0,4.2,6700,4.1,4.2,4.0,4.2,0,0,0
20120308,SSS,4.3,4.3,4.0,4.0,9400,4.3,4.3,4.0,4.0,0,0,0
20120307,SSS,4.2,4.3,4.0,4.3,39200,4.2,4.3,4.0,4.3,0,0,0
20120306,SSS,4.6,4.6,4.0,4.6,25500,4.6,4.6,4.0,4.6,0,0,0
20120305,SSS,4.3,4.3,4.3,4.3,15700,4.3,4.3,4.3,4.3,0,0,0
20120302,SSS,4.4,4.4,4.1,4.1,26500,4.4,4.4,4.1,4.1,0,0,0
20120301,SSS,4.4,4.4,4.4,4.4,19900,4.4,4.4,4.4,4.4,0,0,0
20120229,SSS,4.8,4.8,4.7,4.8,2800,4.8,4.8,4.7,4.8,0,900,0
20120228,SSS,4.7,4.7,4.4,4.5,6800,4.7,4.7,4.4,4.5,0,0,0
20120227,SSS,4.4,4.4,4.4,4.4,11500,4.4,4.4,4.4,4.4,0,0,0
20120224,SSS,4.2,4.2,4.1,4.2,10200,4.2,4.2,4.1,4.2,0,0,0
20120223,SSS,4.0,4.0,4.0,4.0,16500,4.0,4.0,4.0,4.0,0,0,0
20120222,SSS,3.7,3.8,3.7,3.8,2200,3.7,3.8,3.7,3.8,0,0,0
20120221,SSS,3.6,3.6,3.6,3.6,6900,3.6,3.6,3.6,3.6,0,0,0
20120220,SSS,3.4,3.4,3.4,3.4,5200,3.4,3.4,3.4,3.4,0,0,0
20120217,SSS,3.3,3.3,3.2,3.2,900,3.3,3.3,3.2,3.2,0,0,0
20120216,SSS,3.4,3.4,3.4,3.4,100,3.4,3.4,3.4,3.4,0,0,0
20120214,SSS,3.4,3.4,3.2,3.2,2300,3.4,3.4,3.2,3.2,0,0,0
20120213,SSS,3.2,3.2,3.2,3.2,1600,3.2,3.2,3.2,3.2,0,0,0
20120210,SSS,3.4,3.4,3.3,3.3,12700,3.4,3.4,3.3,3.3,0,0,0
20120209,SSS,3.7,3.7,3.5,3.5,1200,3.7,3.7,3.5,3.5,0,0,0
20120208,SSS,3.6,3.6,3.6,3.6,1000,3.6,3.6,3.6,3.6,0,0,0
20120207,SSS,3.7,3.7,3.7,3.7,1500,3.7,3.7,3.7,3.7,0,0,0
20120206,SSS,3.7,3.7,3.7,3.7,2800,3.7,3.7,3.7,3.7,0,0,0
20120203,SSS,4.0,4.0,3.9,3.9,4900,4.0,4.0,3.9,3.9,0,0,0
20120202,SSS,4.1,4.1,4.1,4.1,9600,4.1,4.1,4.1,4.1,0,0,0
20120201,SSS,3.9,3.9,3.9,3.9,400,3.9,3.9,3.9,3.9,0,0,0
20120130,SSS,4.3,4.3,3.9,3.9,3200,4.3,4.3,3.9,3.9,0,0,0
20120120,SSS,4.1,4.1,4.1,4.1,1400,4.1,4.1,4.1,4.1,0,0,0
20120119,SSS,3.9,3.9,3.9,3.9,5500,3.9,3.9,3.9,3.9,0,0,0
20120117,SSS,3.7,3.7,3.7,3.7,200,3.7,3.7,3.7,3.7,0,0,0
20120116,SSS,3.3,3.7,3.3,3.7,3300,3.3,3.7,3.3,3.7,0,0,0
20120113,SSS,3.5,3.5,3.5,3.5,4000,3.5,3.5,3.5,3.5,0,0,0
20120111,SSS,4.0,4.0,3.6,3.6,600,4.0,4.0,3.6,3.6,0,0,0
20120110,SSS,3.8,3.8,3.8,3.8,100,3.8,3.8,3.8,3.8,0,0,0
20120109,SSS,3.6,3.6,3.6,3.6,100,3.6,3.6,3.6,3.6,0,0,0
20120106,SSS,3.5,3.5,3.5,3.5,4300,3.5,3.5,3.5,3.5,0,0,0
20120105,SSS,4.1,4.1,3.7,3.7,2900,4.1,4.1,3.7,3.7,0,0,0
20120104,SSS,4.0,4.0,3.9,3.9,3600,4.0,4.0,3.9,3.9,0,0,0
20120103,SSS,3.8,3.8,3.8,3.8,2300,3.8,3.8,3.8,3.8,0,0,0
20111230,SSS,3.9,3.9,3.9,3.9,1600,3.9,3.9,3.9,3.9,0,0,0
20111229,SSS,4.5,4.5,4.0,4.0,1000,4.5,4.5,4.0,4.0,0,0,0
20111228,SSS,4.8,4.8,4.3,4.3,1100,4.8,4.8,4.3,4.3,0,0,0
20111227,SSS,4.6,4.6,4.6,4.6,100,4.6,4.6,4.6,4.6,0,0,0
20111226,SSS,4.6,4.7,4.3,4.3,6900,4.6,4.7,4.3,4.3,0,0,0
20111223,SSS,4.4,4.4,4.3,4.3,3400,4.4,4.4,4.3,4.3,0,0,0
20111222,SSS,4.3,4.3,4.3,4.3,15200,4.3,4.3,4.3,4.3,0,0,0
20111221,SSS,4.4,4.4,4.4,4.4,100,4.4,4.4,4.4,4.4,0,0,0
20111220,SSS,4.2,4.2,4.2,4.2,200,4.2,4.2,4.2,4.2,0,0,0
20111219,SSS,4.0,4.0,4.0,4.0,1700,4.0,4.0,4.0,4.0,0,0,0
20111216,SSS,4.0,4.0,4.0,4.0,100,4.0,4.0,4.0,4.0,0,0,0
20111214,SSS,3.8,3.8,3.8,3.8,100,3.8,3.8,3.8,3.8,0,0,0
20111213,SSS,3.9,3.9,3.9,3.9,400,3.9,3.9,3.9,3.9,0,0,0
20111212,SSS,3.9,4.3,3.9,4.0,4600,3.9,4.3,3.9,4.0,0,0,0
20111209,SSS,4.6,4.6,4.1,4.1,2100,4.6,4.6,4.1,4.1,0,0,0
20111208,SSS,4.5,4.5,4.4,4.4,1000,4.5,4.5,4.4,4.4,0,0,0
20111207,SSS,4.7,4.7,4.7,4.7,400,4.7,4.7,4.7,4.7,0,0,0
20111206,SSS,5.1,5.1,5.0,5.0,2100,5.1,5.1,5.0,5.0,0,0,0
20111205,SSS,5.0,5.1,5.0,5.0,2600,5.0,5.1,5.0,5.0,0,0,0
20111201,SSS,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20111129,SSS,4.9,4.9,4.6,4.6,200,4.9,4.9,4.6,4.6,0,0,0
20111128,SSS,4.8,4.8,4.8,4.8,200,4.8,4.8,4.8,4.8,0,0,0
20111125,SSS,4.6,4.6,4.6,4.6,100,4.6,4.6,4.6,4.6,0,0,0
20111123,SSS,4.3,4.3,4.3,4.3,100,4.3,4.3,4.3,4.3,0,0,0
20111122,SSS,4.3,4.3,4.0,4.2,3900,4.3,4.3,4.0,4.2,0,0,0
20111121,SSS,4.4,4.4,4.2,4.2,2100,4.4,4.4,4.2,4.2,0,0,0
20111118,SSS,4.2,4.2,4.2,4.2,400,4.2,4.2,4.2,4.2,0,0,0
20111117,SSS,4.0,4.0,4.0,4.0,3500,4.0,4.0,4.0,4.0,0,0,0
20111116,SSS,4.0,4.3,4.0,4.3,9500,4.0,4.3,4.0,4.3,0,0,0
20111115,SSS,4.3,4.3,4.1,4.1,3500,4.3,4.3,4.1,4.1,0,0,0
20111114,SSS,4.4,4.4,4.4,4.4,2100,4.4,4.4,4.4,4.4,0,0,0
20111111,SSS,5.0,5.0,4.7,4.8,2900,5.0,5.0,4.7,4.8,0,0,0
20111110,SSS,5.0,5.0,5.0,5.0,2100,5.0,5.0,5.0,5.0,0,0,0
20111108,SSS,5.2,5.3,5.2,5.3,200,5.2,5.3,5.2,5.3,0,0,0
20111104,SSS,5.0,5.1,5.0,5.0,2100,5.0,5.1,5.0,5.0,0,0,0
20111103,SSS,4.7,5.0,4.7,4.9,5100,4.7,5.0,4.7,4.9,0,0,1000
20111102,SSS,4.8,4.8,4.8,4.8,600,4.8,4.8,4.8,4.8,0,0,0
20111101,SSS,5.0,5.0,5.0,5.0,1300,5.0,5.0,5.0,5.0,0,0,0
20111031,SSS,5.2,5.2,5.2,5.2,3000,5.2,5.2,5.2,5.2,0,0,0
20111028,SSS,5.0,5.3,5.0,5.3,5900,5.0,5.3,5.0,5.3,0,0,0
20111027,SSS,5.2,5.2,5.0,5.0,3500,5.2,5.2,5.0,5.0,0,0,0
20111026,SSS,5.3,5.3,5.3,5.3,300,5.3,5.3,5.3,5.3,0,0,0
20111025,SSS,5.2,5.2,5.1,5.1,2700,5.2,5.2,5.1,5.1,0,0,0
20111024,SSS,5.4,5.5,5.3,5.3,8300,5.4,5.5,5.3,5.3,0,0,0
20111021,SSS,5.1,5.2,5.1,5.2,3300,5.1,5.2,5.1,5.2,0,0,0
20111020,SSS,5.1,5.1,4.9,4.9,4100,5.1,5.1,4.9,4.9,0,0,0
20111019,SSS,5.0,5.0,5.0,5.0,500,5.0,5.0,5.0,5.0,0,0,0
20111018,SSS,5.0,5.0,5.0,5.0,500,5.0,5.0,5.0,5.0,0,0,0
20111017,SSS,5.1,5.1,5.0,5.0,4700,5.1,5.1,5.0,5.0,0,0,0
20111014,SSS,5.0,5.2,5.0,5.0,10300,5.0,5.2,5.0,5.0,0,0,0
20111013,SSS,5.0,5.1,5.0,5.0,1000,5.0,5.1,5.0,5.0,0,0,0
20111012,SSS,5.3,5.3,5.0,5.1,12300,5.3,5.3,5.0,5.1,0,0,0
20111011,SSS,5.5,5.5,5.2,5.2,5200,5.5,5.5,5.2,5.2,0,0,0
20111010,SSS,5.5,5.5,5.5,5.5,9700,5.5,5.5,5.5,5.5,0,0,0
20111006,SSS,5.9,5.9,5.9,5.9,100,5.9,5.9,5.9,5.9,0,0,0
20111005,SSS,6.2,6.2,5.6,5.6,3900,6.2,6.2,5.6,5.6,0,0,0
20111004,SSS,6.0,6.0,5.9,5.9,2500,6.0,6.0,5.9,5.9,0,0,0
20111003,SSS,5.7,5.9,5.7,5.9,300,5.7,5.9,5.7,5.9,0,0,0
20110930,SSS,5.6,5.6,5.6,5.6,11000,5.6,5.6,5.6,5.6,0,0,0
20110929,SSS,6.4,6.4,5.7,5.7,10500,6.4,6.4,5.7,5.7,0,0,0
20110928,SSS,6.0,6.2,6.0,6.2,4700,6.0,6.2,6.0,6.2,0,0,0
20110927,SSS,5.8,5.8,5.8,5.8,15400,5.8,5.8,5.8,5.8,0,0,0
20110926,SSS,5.4,5.9,5.4,5.4,22600,5.4,5.9,5.4,5.4,0,0,0
20110923,SSS,5.7,5.9,5.7,5.8,13900,5.7,5.9,5.7,5.8,0,0,0
20110922,SSS,5.7,6.2,5.7,6.2,700,5.7,6.2,5.7,6.2,0,0,0
20110921,SSS,6.1,6.1,6.0,6.0,5000,6.1,6.1,6.0,6.0,0,0,0
20110920,SSS,6.5,6.5,6.2,6.2,12800,6.5,6.5,6.2,6.2,0,0,0
20110919,SSS,6.2,6.2,6.2,6.2,8100,6.2,6.2,6.2,6.2,0,0,0
20110916,SSS,7.0,7.0,6.2,6.2,4200,7.0,7.0,6.2,6.2,0,0,0
20110915,SSS,6.8,6.8,6.5,6.5,5600,6.8,6.8,6.5,6.5,0,0,0
20110914,SSS,7.5,7.5,6.7,6.8,5500,7.5,7.5,6.7,6.8,0,0,0
20110913,SSS,7.2,7.2,7.2,7.2,24500,7.2,7.2,7.2,7.2,0,0,0
20110912,SSS,6.5,6.9,6.5,6.6,9500,6.5,6.9,6.5,6.6,0,0,0
20110909,SSS,6.9,6.9,6.1,6.5,8900,6.9,6.9,6.1,6.5,0,0,0
20110908,SSS,6.4,6.5,6.3,6.3,24000,6.4,6.5,6.3,6.3,0,0,0
20110907,SSS,6.3,6.3,6.0,6.2,2000,6.3,6.3,6.0,6.2,0,0,0
20110906,SSS,5.9,6.0,5.8,5.8,700,5.9,6.0,5.8,5.8,0,0,0
20110905,SSS,6.4,6.4,6.0,6.0,12300,6.4,6.4,6.0,6.0,0,0,0
20110901,SSS,6.0,6.2,5.8,6.2,10000,6.0,6.2,5.8,6.2,0,0,0
20110831,SSS,5.8,5.8,5.8,5.8,5500,5.8,5.8,5.8,5.8,0,0,0
20110830,SSS,5.6,5.8,5.6,5.8,6800,5.6,5.8,5.6,5.8,0,0,0
20110829,SSS,5.5,5.6,5.5,5.6,1100,5.5,5.6,5.5,5.6,0,0,0
20110826,SSS,5.4,5.5,5.4,5.4,2600,5.4,5.5,5.4,5.4,0,0,0
20110825,SSS,5.4,5.4,5.2,5.2,2700,5.4,5.4,5.2,5.2,0,0,0
20110824,SSS,5.4,5.5,5.4,5.4,6500,5.4,5.5,5.4,5.4,0,0,0
20110822,SSS,5.8,5.8,5.8,5.8,100,5.8,5.8,5.8,5.8,0,0,0
20110818,SSS,5.6,5.6,5.3,5.3,3800,5.6,5.6,5.3,5.3,0,0,0
20110817,SSS,5.3,5.4,5.3,5.4,2400,5.3,5.4,5.3,5.4,0,0,0
20110816,SSS,5.3,5.3,5.3,5.3,100,5.3,5.3,5.3,5.3,0,0,0
20110815,SSS,5.3,5.3,5.3,5.3,2200,5.3,5.3,5.3,5.3,0,0,0
20110812,SSS,5.3,5.3,5.3,5.3,2000,5.3,5.3,5.3,5.3,0,0,0
