<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,STK,18.5,19.0,18.5,19.0,3100,18.5,19.0,18.5,19.0,0,3000,0
20170623,STK,19.0,19.0,18.5,18.5,230,19.0,19.0,18.5,18.5,0,0,0
20170622,STK,18.5,19.0,17.6,18.95,1110,18.5,19.0,17.6,18.95,0,0,0
20170621,STK,18.0,18.4,17.9,18.35,6410,18.0,18.4,17.9,18.35,0,3500,0
20170620,STK,17.85,17.85,17.85,17.85,60,17.85,17.85,17.85,17.85,0,0,0
20170619,STK,16.25,17.25,16.25,17.25,2190,16.25,17.25,16.25,17.25,0,0,0
20170616,STK,16.75,16.75,16.0,16.25,4780,16.75,16.75,16.0,16.25,0,0,910
20170615,STK,17.05,17.1,17.0,17.0,5760,17.05,17.1,17.0,17.0,0,0,0
20170614,STK,16.5,17.55,16.5,17.55,20,16.5,17.55,16.5,17.55,0,0,0
20170613,STK,16.6,17.25,16.6,17.25,30,16.6,17.25,16.6,17.25,0,0,0
20170612,STK,17.05,17.2,17.05,17.2,2200,17.05,17.2,17.05,17.2,0,0,0
20170609,STK,17.65,17.65,17.05,17.05,30,17.65,17.65,17.05,17.05,0,0,0
20170608,STK,18.25,18.25,17.05,17.05,50,18.25,18.25,17.05,17.05,0,0,0
20170607,STK,17.6,17.65,17.6,17.65,110,17.6,17.65,17.6,17.65,0,0,0
20170606,STK,18.35,18.35,17.0,17.0,1300,18.35,18.35,17.0,17.0,0,0,0
20170605,STK,17.05,17.75,17.05,17.7,170,17.05,17.75,17.05,17.7,0,0,0
20170602,STK,17.2,17.8,17.15,17.25,1100,17.2,17.8,17.15,17.25,0,0,0
20170530,STK,16.85,18.4,16.85,18.4,40,16.85,18.4,16.85,18.4,0,0,0
20170529,STK,17.35,17.8,16.7,17.8,5170,17.35,17.8,16.7,17.8,0,0,4990
20170526,STK,17.45,17.9,17.45,17.9,470,17.45,17.9,17.45,17.9,0,0,0
