<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20130509,SVS,3.6,3.6,3.3,3.6,21100,3.6,3.6,3.3,3.6,0,0,15800
20130508,SVS,3.5,3.5,3.5,3.5,6000,3.5,3.5,3.5,3.5,0,0,0
20130507,SVS,3.3,3.5,3.0,3.5,16300,3.3,3.5,3.0,3.5,0,0,0
20130506,SVS,3.3,3.6,3.3,3.3,345500,3.3,3.6,3.3,3.3,0,0,0
20130425,SVS,3.5,3.6,3.5,3.6,647500,3.5,3.6,3.5,3.6,0,0,0
20130422,SVS,3.5,3.5,3.3,3.3,10000,3.5,3.5,3.3,3.3,0,0,0
20130416,SVS,3.5,3.5,3.5,3.5,45600,3.5,3.5,3.5,3.5,0,0,0
20130415,SVS,3.5,3.5,3.5,3.5,15000,3.5,3.5,3.5,3.5,0,0,0
20130408,SVS,3.2,3.5,3.2,3.5,34200,3.2,3.5,3.2,3.5,0,0,0
20130405,SVS,3.2,3.2,3.2,3.2,600,3.2,3.2,3.2,3.2,0,0,0
20130404,SVS,3.5,3.5,3.5,3.5,4000,3.5,3.5,3.5,3.5,0,0,0
20130403,SVS,3.5,3.5,3.5,3.5,16500,3.5,3.5,3.5,3.5,0,0,0
20130402,SVS,3.5,3.5,3.5,3.5,10000,3.5,3.5,3.5,3.5,0,0,0
20130401,SVS,3.5,3.5,3.5,3.5,12000,3.5,3.5,3.5,3.5,0,0,0
20130328,SVS,3.2,3.5,3.2,3.5,28400,3.2,3.5,3.2,3.5,0,0,0
20130327,SVS,3.2,3.2,3.2,3.2,100,3.2,3.2,3.2,3.2,0,0,0
20130326,SVS,3.5,3.5,3.5,3.5,20000,3.5,3.5,3.5,3.5,0,0,0
20130325,SVS,3.2,3.2,3.2,3.2,100,3.2,3.2,3.2,3.2,0,0,0
20130322,SVS,3.2,3.5,3.2,3.5,2200,3.2,3.5,3.2,3.5,0,0,0
