<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,TH1,6.0,6.6,6.0,6.6,737,6.0,6.6,6.0,6.6,0,0,0
20170623,TH1,6.0,6.0,6.0,6.0,96,6.0,6.0,6.0,6.0,0,0,0
20170622,TH1,6.2,6.2,6.0,6.0,10367,6.2,6.2,6.0,6.0,0,0,0
20170529,TH1,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,0,0
20170509,TH1,6.2,6.2,6.2,6.2,11400,6.2,6.2,6.2,6.2,0,0,0
20170421,TH1,6.8,6.8,6.8,6.8,100,6.8,6.8,6.8,6.8,0,0,0
20170412,TH1,7.0,7.0,7.0,7.0,300,7.0,7.0,7.0,7.0,0,300,0
20170331,TH1,7.2,7.2,7.2,7.2,300,7.2,7.2,7.2,7.2,0,0,0
20170329,TH1,6.8,6.8,6.8,6.8,500,6.8,6.8,6.8,6.8,0,0,0
20170327,TH1,7.2,7.2,7.2,7.2,5134,7.2,7.2,7.2,7.2,401675,0,0
20170323,TH1,7.2,7.2,7.2,7.2,2492,7.2,7.2,7.2,7.2,946000,0,0
20170321,TH1,7.2,7.2,7.2,7.2,800,7.2,7.2,7.2,7.2,0,0,0
20170309,TH1,7.3,8.0,7.3,8.0,2100,7.3,8.0,7.3,8.0,300000,0,0
20170302,TH1,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170301,TH1,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170227,TH1,8.5,8.5,8.5,8.5,100,8.5,8.5,8.5,8.5,0,0,0
20170224,TH1,8.8,8.8,8.8,8.8,200,8.8,8.8,8.8,8.8,0,0,0
20170220,TH1,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.7,28000,0,0
20170210,TH1,8.9,8.9,8.9,8.9,3700,8.9,8.9,8.9,8.9,0,0,0
20170124,TH1,9.0,9.0,9.0,9.0,5900,9.0,9.0,9.0,9.0,0,0,0
20170119,TH1,9.3,9.3,9.3,9.3,2000,9.3,9.3,9.3,9.3,0,0,0
20170113,TH1,10.3,10.3,10.3,10.3,100,10.3,10.3,10.3,10.3,0,0,0
20170111,TH1,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,0,0,0
20161227,TH1,10.4,10.4,10.4,10.4,100,10.4,10.4,10.4,10.4,0,0,0
20161226,TH1,10.4,10.4,10.4,10.4,100,10.4,10.4,10.4,10.4,0,0,0
20161214,TH1,9.5,9.5,9.5,9.5,1100,9.5,9.5,9.5,9.5,0,0,0
20161212,TH1,8.1,9.5,8.1,9.5,400,8.1,9.5,8.1,9.5,0,0,300
20161207,TH1,8.9,8.9,8.9,8.9,900,8.9,8.9,8.9,8.9,0,0,0
20161205,TH1,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,0,0
20161201,TH1,7.5,7.5,7.5,7.5,800,7.5,7.5,7.5,7.5,0,0,0
20161130,TH1,6.8,6.9,6.8,6.9,300,6.8,6.9,6.8,6.9,0,0,0
20161129,TH1,6.4,6.4,6.4,6.4,7,6.4,6.4,6.4,6.4,1740000,0,0
20161128,TH1,6.4,6.4,6.4,6.4,900,6.4,6.4,6.4,6.4,0,0,0
20161125,TH1,5.0,5.9,4.9,5.9,3600,5.0,5.9,4.9,5.9,0,0,0
20161124,TH1,5.4,5.4,5.4,5.4,200,5.4,5.4,5.4,5.4,1740000,0,0
20161122,TH1,6.0,6.0,6.0,6.0,500,6.0,6.0,6.0,6.0,0,0,0
20161121,TH1,6.6,6.6,6.6,6.6,100,6.6,6.6,6.6,6.6,1740000,0,0
20161117,TH1,7.3,7.3,7.3,7.3,1000,7.3,7.3,7.3,7.3,0,0,0
20161116,TH1,8.1,8.1,8.1,8.1,5100,8.1,8.1,8.1,8.1,0,0,0
20161115,TH1,8.8,8.9,8.8,8.9,5200,8.8,8.9,8.8,8.9,0,0,0
20161114,TH1,8.1,9.9,8.1,8.1,1307,8.1,9.9,8.1,8.1,0,0,0
20161111,TH1,10.0,10.0,9.0,9.0,3400,10.0,10.0,9.0,9.0,0,0,0
20161108,TH1,9.9,10.0,9.9,10.0,1100,9.9,10.0,9.9,10.0,0,0,0
20161031,TH1,11.0,11.0,11.0,11.0,300,11.0,11.0,11.0,11.0,0,0,0
20161028,TH1,12.3,12.3,12.2,12.2,311,12.3,12.3,12.2,12.2,0,0,0
20161026,TH1,13.5,13.5,13.5,13.5,200,13.5,13.5,13.5,13.5,0,0,0
20161025,TH1,14.9,14.9,14.9,14.9,100,14.9,14.9,14.9,14.9,0,0,0
20160926,TH1,16.5,16.5,16.5,16.5,100,16.5,16.5,16.5,16.5,0,0,0
20160914,TH1,18.0,18.0,18.0,18.0,16,18.0,18.0,18.0,18.0,0,0,0
20160907,TH1,18.0,18.0,18.0,18.0,5010,18.0,18.0,18.0,18.0,0,0,0
20160906,TH1,16.7,16.7,16.7,16.7,400,16.7,16.7,16.7,16.7,67,0,0
20160901,TH1,18.5,18.5,18.5,18.5,100,18.5,18.5,18.5,18.5,0,0,0
20160815,TH1,17.1,20.5,17.1,20.5,10400,17.1,20.5,17.1,20.5,0,0,0
20160811,TH1,17.4,19.0,17.0,19.0,1700,17.4,19.0,17.0,19.0,0,0,0
20160810,TH1,15.0,17.4,15.0,17.4,12000,15.0,17.4,15.0,17.4,0,0,0
20160805,TH1,14.5,15.9,14.5,15.9,1100,14.5,15.9,14.5,15.9,0,0,0
20160804,TH1,13.2,14.5,13.2,14.5,1100,13.2,14.5,13.2,14.5,0,0,0
20160803,TH1,10.8,13.2,10.8,13.2,4100,10.8,13.2,10.8,13.2,0,0,0
20160729,TH1,10.8,12.0,10.8,12.0,31100,10.8,12.0,10.8,12.0,0,0,0
20160728,TH1,10.8,12.0,10.8,12.0,3700,10.8,12.0,10.8,12.0,0,0,0
20160727,TH1,12.0,12.0,12.0,12.0,24,12.0,12.0,12.0,12.0,0,0,0
20160721,TH1,12.0,12.0,12.0,12.0,100,12.0,12.0,12.0,12.0,0,0,0
20160720,TH1,11.2,11.2,11.2,11.2,1000,11.2,11.2,11.2,11.2,0,0,0
20160712,TH1,11.9,12.8,11.8,11.9,32700,11.9,12.8,11.8,11.9,0,0,0
20160711,TH1,11.9,11.9,11.9,11.9,100,11.9,11.9,11.9,11.9,0,0,0
20160708,TH1,10.8,11.9,10.8,11.9,11400,10.8,11.9,10.8,11.9,0,0,0
20160630,TH1,11.9,11.9,11.9,11.9,100,11.9,11.9,11.9,11.9,0,0,0
20160628,TH1,11.1,12.3,11.1,11.9,10400,11.1,12.3,11.1,11.9,0,0,0
20160620,TH1,10.5,12.3,10.5,12.3,11675,10.5,12.3,10.5,12.3,0,0,0
20160617,TH1,11.2,11.2,11.2,11.2,1000,11.2,11.2,11.2,11.2,0,0,0
20160616,TH1,11.2,11.2,11.2,11.2,2000,11.2,11.2,11.2,11.2,0,0,0
20160614,TH1,12.4,12.4,11.2,11.2,41800,12.4,12.4,11.2,11.2,0,0,0
20160608,TH1,12.4,12.4,12.4,12.4,3720,12.4,12.4,12.4,12.4,0,0,0
20160606,TH1,12.5,13.7,12.5,13.7,2100,12.5,13.7,12.5,13.7,0,0,0
20160601,TH1,13.9,13.9,12.6,13.8,300,13.9,13.9,12.6,13.8,0,0,0
20160531,TH1,13.9,15.2,12.6,13.9,3620,13.9,15.2,12.6,13.9,757000,0,0
20160530,TH1,13.9,13.9,13.9,13.9,1200,13.9,13.9,13.9,13.9,0,0,0
20160527,TH1,15.5,15.5,15.4,15.4,700,15.5,15.5,15.4,15.4,0,0,0
20160526,TH1,17.1,17.1,17.1,17.1,200,17.1,17.1,17.1,17.1,0,0,0
20160525,TH1,18.9,18.9,18.9,18.9,700,18.9,18.9,18.9,18.9,0,0,0
20160516,TH1,20.0,22.6,20.0,21.0,34100,20.0,22.6,20.0,21.0,0,0,0
20160511,TH1,21.0,21.0,21.0,21.0,37,21.0,21.0,21.0,21.0,0,0,0
20160510,TH1,18.0,21.0,18.0,21.0,2490,18.0,21.0,18.0,21.0,0,0,0
20160509,TH1,17.6,19.5,17.6,19.5,600,17.6,19.5,17.6,19.5,0,0,0
20160505,TH1,19.5,19.5,19.5,19.5,75,19.5,19.5,19.5,19.5,0,0,0
20160429,TH1,16.2,19.5,16.2,19.5,10100,16.2,19.5,16.2,19.5,0,0,0
20160412,TH1,18.0,18.0,18.0,18.0,100,18.0,18.0,18.0,18.0,0,0,0
20160407,TH1,18.5,18.5,18.5,18.5,32,18.5,18.5,18.5,18.5,0,0,0
20160321,TH1,18.5,18.5,18.5,18.5,1000,18.5,18.5,18.5,18.5,0,0,0
20160318,TH1,18.8,18.8,18.8,18.8,30,18.8,18.8,18.8,18.8,0,0,0
20160317,TH1,16.5,18.8,16.3,18.8,20000,16.5,18.8,16.3,18.8,0,0,0
20160311,TH1,16.9,17.5,16.9,17.5,2600,16.9,17.5,16.9,17.5,0,0,0
20160310,TH1,17.0,17.5,16.5,17.5,40200,17.0,17.5,16.5,17.5,0,0,0
20160309,TH1,17.0,17.0,17.0,17.0,100,17.0,17.0,17.0,17.0,0,0,0
20160304,TH1,16.0,18.8,15.5,18.8,23950,16.0,18.8,15.5,18.8,0,0,0
20160219,TH1,17.2,17.2,17.2,17.2,2100,17.2,17.2,17.2,17.2,0,0,0
20160201,TH1,17.2,19.1,17.2,19.1,937,17.2,19.1,17.2,19.1,12,0,112
20151201,TH1,19.07,19.07,19.07,19.07,100,20.5,20.5,20.5,20.5,400000,0,0
20151127,TH1,20.09,20.09,20.09,20.09,3800,21.6,21.6,21.6,21.6,0,0,0
20151126,TH1,20.09,20.09,20.09,20.09,1200,21.6,21.6,21.6,21.6,0,0,0
20151124,TH1,20.1,20.1,20.1,20.09,5605,21.6,21.6,21.6,21.6,0,0,0
20151123,TH1,18.33,18.33,18.33,18.33,300,19.7,19.7,19.7,19.7,0,0,0
20151120,TH1,20.46,20.46,19.62,19.63,900,22.0,22.0,21.1,21.1,400000,0,0
20151119,TH1,20.0,20.0,18.6,18.6,4000,21.5,21.5,20.0,20.0,0,0,0
20151118,TH1,19.63,19.63,18.23,18.23,600,21.1,21.1,19.6,19.6,0,0,0
20151117,TH1,19.16,19.16,17.86,17.86,800,20.6,20.6,19.2,19.2,800000,0,0
20151116,TH1,17.49,17.49,17.49,17.49,100,18.8,18.8,18.8,18.8,0,0,0
20151113,TH1,19.72,19.72,18.23,18.23,5700,21.2,21.2,19.6,19.6,0,0,0
20151112,TH1,17.95,18.04,17.58,17.95,3200,19.3,19.4,18.9,19.3,0,0,0
20151111,TH1,17.58,20.0,17.58,19.53,30300,18.9,21.5,18.9,21.0,0,0,0
20151110,TH1,19.45,19.45,19.45,19.44,100,20.9,20.9,20.9,20.9,0,0,0
20151109,TH1,19.25,19.25,19.25,19.26,200,20.7,20.7,20.7,20.7,0,0,0
20151106,TH1,21.12,21.12,19.54,19.53,200,22.7,22.7,21.0,21.0,0,0,0
20151105,TH1,19.26,19.26,19.26,19.26,200,20.7,20.7,20.7,20.7,0,0,0
20151104,TH1,19.16,21.4,19.16,21.4,29100,20.6,23.0,20.6,23.0,0,0,0
20151103,TH1,21.12,21.21,21.12,21.21,600,22.7,22.8,22.7,22.8,0,0,0
20151102,TH1,21.12,21.12,21.12,21.12,500,22.7,22.7,22.7,22.7,0,0,0
20151030,TH1,22.32,22.79,20.93,20.93,300,24.0,24.5,22.5,22.5,0,0,0
20151029,TH1,19.07,23.17,19.07,20.74,25200,20.5,24.9,20.5,22.3,0,0,0
20151028,TH1,21.12,21.12,21.12,21.12,100,22.7,22.7,22.7,22.7,0,0,0
20151026,TH1,20.84,20.84,20.84,20.84,100,22.4,22.4,22.4,22.4,0,0,0
20151023,TH1,22.7,22.7,22.7,22.7,200,24.4,24.4,24.4,24.4,0,0,0
20151022,TH1,22.7,22.7,22.7,22.7,25500,24.4,24.4,24.4,24.4,0,0,0
20151021,TH1,24.93,25.39,24.93,25.21,28000,26.8,27.3,26.8,27.1,0,0,0
20151020,TH1,23.72,25.12,23.72,25.02,8400,25.5,27.0,25.5,26.9,0,0,0
20151019,TH1,22.79,24.28,22.79,24.28,2100,24.5,26.1,24.5,26.1,0,0,0
20151016,TH1,22.42,22.79,22.42,22.79,25300,24.1,24.5,24.1,24.5,0,0,0
20151015,TH1,21.86,22.51,21.86,22.51,2300,23.5,24.2,23.5,24.2,0,0,0
20151014,TH1,21.87,21.87,21.87,21.86,1900,23.5,23.5,23.5,23.5,0,0,0
20151013,TH1,21.12,21.4,20.93,21.4,7800,22.7,23.0,22.5,23.0,0,0,0
20151012,TH1,19.9,21.39,19.9,21.12,17800,21.4,23.0,21.4,22.7,0,0,0
20151008,TH1,20.47,21.96,20.47,21.95,300,22.0,23.6,22.0,23.6,0,0,0
20151007,TH1,20.46,20.46,20.46,20.47,100,22.0,22.0,22.0,22.0,0,0,0
20151006,TH1,19.73,19.73,19.73,19.72,500,21.2,21.2,21.2,21.2,0,0,0
20151005,TH1,19.53,20.46,19.53,20.47,24500,21.0,22.0,21.0,22.0,0,0,0
20151002,TH1,21.31,21.31,21.31,21.3,1000,22.9,22.9,22.9,22.9,0,0,0
20150930,TH1,20.47,21.4,20.1,21.4,3400,22.0,23.0,21.6,23.0,0,0,0
20150929,TH1,21.39,21.39,21.39,21.4,500,23.0,23.0,23.0,23.0,0,0,0
20150925,TH1,21.86,21.86,21.86,21.86,3500,23.5,23.5,23.5,23.5,0,0,0
20150923,TH1,20.93,21.86,20.65,21.86,6500,22.5,23.5,22.2,23.5,0,0,0
20150922,TH1,21.87,22.33,21.87,21.86,3000,23.5,24.0,23.5,23.5,0,0,0
20150921,TH1,20.19,22.33,20.19,21.4,1100,21.7,24.0,21.7,23.0,0,0,0
20150916,TH1,22.33,22.33,22.33,22.33,3000,24.0,24.0,24.0,24.0,0,0,0
20150915,TH1,22.33,22.33,22.33,22.33,1000,24.0,24.0,24.0,24.0,0,0,0
20150911,TH1,24.19,24.19,22.33,22.33,1200,26.0,26.0,24.0,24.0,0,0,0
20150910,TH1,25.02,25.3,22.32,22.33,4600,26.9,27.2,24.0,24.0,366500,0,0
20150909,TH1,26.98,27.91,24.38,24.37,4100,29.0,30.0,26.2,26.2,0,0,0
20150908,TH1,25.03,26.98,25.03,26.98,27200,26.9,29.0,26.9,29.0,0,0,0
20150907,TH1,24.19,24.56,24.19,24.56,7392,26.0,26.4,26.0,26.4,0,0,0
20150904,TH1,23.54,24.19,23.54,24.0,14715,25.3,26.0,25.3,25.8,0,0,0
20150903,TH1,23.07,23.26,23.07,23.26,14900,24.8,25.0,24.8,25.0,0,0,0
20150901,TH1,22.79,23.07,22.79,23.07,16969,24.5,24.8,24.5,24.8,0,0,0
20150831,TH1,22.32,22.79,21.86,22.79,18500,24.0,24.5,23.5,24.5,0,0,0
20150828,TH1,22.05,22.79,21.96,22.79,11439,23.7,24.5,23.6,24.5,0,0,0
20150827,TH1,21.4,22.05,21.4,22.05,13600,23.0,23.7,23.0,23.7,0,0,0
20150826,TH1,20.0,22.14,19.91,22.14,42200,21.5,23.8,21.4,23.8,0,0,0
20150825,TH1,20.19,20.19,20.19,20.19,200,21.7,21.7,21.7,21.7,0,0,0
20150824,TH1,20.46,20.46,20.46,20.47,100,22.0,22.0,22.0,22.0,18000,0,0
20150821,TH1,22.61,22.61,22.61,22.6,6000,24.3,24.3,24.3,24.3,0,0,0
20150820,TH1,21.4,21.4,20.56,20.56,900,23.0,23.0,22.1,22.1,0,0,0
20150818,TH1,23.25,23.25,22.32,22.33,38500,25.0,25.0,24.0,24.0,0,0,0
20150814,TH1,22.52,22.52,22.52,22.51,1000,24.2,24.2,24.2,24.2,0,0,0
20150811,TH1,23.26,23.26,23.26,23.26,800,25.0,25.0,25.0,25.0,0,0,0
20150810,TH1,23.07,23.07,23.07,23.07,3350,24.8,24.8,24.8,24.8,0,0,0
20150807,TH1,23.26,24.37,23.26,23.44,17600,25.0,26.2,25.0,25.2,4610717,0,0
20150806,TH1,23.26,23.26,22.42,23.07,88800,25.0,25.0,24.1,24.8,0,0,0
20150805,TH1,23.07,23.26,22.98,23.26,11600,24.8,25.0,24.7,25.0,0,0,0
20150804,TH1,21.95,23.25,21.95,23.26,196400,23.6,25.0,23.6,25.0,0,0,0
20150803,TH1,20.93,21.95,20.93,21.95,23200,22.5,23.6,22.5,23.6,0,0,0
20150731,TH1,20.09,20.09,20.0,20.0,600,21.6,21.6,21.5,21.5,0,0,0
20150730,TH1,19.53,20.93,19.53,20.93,200,21.0,22.5,21.0,22.5,0,0,0
20150729,TH1,19.72,20.65,19.63,20.65,1400,21.2,22.2,21.1,22.2,0,0,0
20150728,TH1,19.72,19.72,19.63,19.63,6500,21.2,21.2,21.1,21.1,0,0,0
20150727,TH1,20.93,20.93,19.26,19.63,7200,22.5,22.5,20.7,21.1,0,0,0
20150722,TH1,21.4,21.4,20.56,21.4,5800,23.0,23.0,22.1,23.0,0,0,0
20150721,TH1,20.18,21.76,20.18,21.4,68500,21.7,23.4,21.7,23.0,0,0,0
20150720,TH1,20.0,20.28,20.0,20.09,14000,21.5,21.8,21.5,21.6,0,0,0
20150717,TH1,20.47,20.47,19.53,20.28,18400,22.0,22.0,21.0,21.8,10000,0,0
20150716,TH1,18.6,20.0,18.6,20.0,4500,20.0,21.5,20.0,21.5,0,0,0
20150715,TH1,19.72,20.0,18.6,18.6,2700,21.2,21.5,20.0,20.0,0,0,0
20150714,TH1,19.72,20.46,19.72,19.72,6000,21.2,22.0,21.2,21.2,0,0,0
20150713,TH1,19.91,20.0,19.63,19.72,7100,21.4,21.5,21.1,21.2,0,0,0
20150710,TH1,19.9,19.9,19.9,19.91,1100,21.4,21.4,21.4,21.4,0,0,0
20150709,TH1,19.53,19.53,19.53,19.53,1300,21.0,21.0,21.0,21.0,0,0,0
20150708,TH1,19.53,19.53,19.53,19.53,3538,21.0,21.0,21.0,21.0,0,0,0
20150706,TH1,19.9,20.09,19.81,20.09,8500,21.4,21.6,21.3,21.6,0,0,0
20150703,TH1,19.53,19.53,19.53,19.53,3000,21.0,21.0,21.0,21.0,0,0,0
20150702,TH1,20.0,20.19,20.0,20.0,8800,21.5,21.7,21.5,21.5,0,0,0
20150701,TH1,19.81,20.0,19.53,20.0,5500,21.3,21.5,21.0,21.5,0,0,0
20150626,TH1,19.91,19.91,19.72,19.81,1300,21.4,21.4,21.2,21.3,0,0,0
20150625,TH1,18.79,20.0,18.79,20.0,2776,20.2,21.5,20.2,21.5,0,0,0
20150624,TH1,19.82,19.82,19.54,19.53,1500,21.3,21.3,21.0,21.0,0,0,0
20150623,TH1,20.0,20.19,20.0,20.19,900,21.5,21.7,21.5,21.7,0,0,0
20150622,TH1,19.62,19.62,19.62,19.63,600,21.1,21.1,21.1,21.1,0,0,0
20150619,TH1,18.61,18.61,18.61,18.6,400,20.0,20.0,20.0,20.0,0,0,0
20150618,TH1,20.0,20.19,20.0,20.19,3300,21.5,21.7,21.5,21.7,0,0,0
20150617,TH1,19.63,19.63,19.63,19.63,100,21.1,21.1,21.1,21.1,0,0,0
20150616,TH1,20.0,20.37,20.0,20.37,6300,21.5,21.9,21.5,21.9,0,0,0
20150615,TH1,20.0,20.0,20.0,20.0,8700,21.5,21.5,21.5,21.5,0,0,0
20150612,TH1,20.0,20.0,20.0,20.0,1700,21.5,21.5,21.5,21.5,0,0,0
20150611,TH1,20.65,20.65,20.28,20.28,6621,22.2,22.2,21.8,21.8,0,0,0
20150610,TH1,20.47,20.47,18.79,18.79,3100,22.0,22.0,20.2,20.2,0,0,0
20150609,TH1,20.0,20.0,20.0,20.0,2600,21.5,21.5,21.5,21.5,0,0,0
20150608,TH1,19.81,21.76,19.81,21.77,13200,21.3,23.4,21.3,23.4,0,0,0
20150605,TH1,20.0,20.0,19.81,19.81,700,21.5,21.5,21.3,21.3,0,0,0
20150604,TH1,19.63,19.72,19.63,19.72,2379,21.1,21.2,21.1,21.2,0,0,0
20150603,TH1,20.09,20.09,20.0,20.0,1000,21.6,21.6,21.5,21.5,0,0,0
20150602,TH1,19.53,20.19,19.53,20.0,5100,21.0,21.7,21.0,21.5,0,0,0
20150601,TH1,20.65,20.65,20.0,20.0,3500,22.2,22.2,21.5,21.5,0,0,0
20150529,TH1,20.46,20.65,20.46,20.65,1300,22.0,22.2,22.0,22.2,0,0,0
20150528,TH1,21.12,21.12,20.47,20.65,14740,22.7,22.7,22.0,22.2,0,0,0
20150527,TH1,17.58,19.25,17.58,19.26,18566,18.9,20.7,18.9,20.7,0,0,0
20150526,TH1,17.58,17.58,17.58,17.58,900,18.9,18.9,18.9,18.9,0,0,0
20150525,TH1,17.58,17.58,17.58,17.58,100,18.9,18.9,18.9,18.9,0,0,0
20150521,TH1,16.0,16.65,16.0,16.65,500,17.2,17.9,17.2,17.9,0,0,0
20150520,TH1,16.0,16.0,16.0,16.0,100,17.2,17.2,17.2,17.2,0,0,0
