<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,TIC,13.2,14.2,13.2,14.2,30610,13.2,14.2,13.2,14.2,0,20,0
20170626,TIC,13.0,13.3,13.0,13.3,3330,13.0,13.3,13.0,13.3,0,20,0
20170623,TIC,13.2,13.2,13.2,13.2,20,13.2,13.2,13.2,13.2,0,0,0
20170622,TIC,13.0,13.2,13.0,13.2,12800,13.0,13.2,13.0,13.2,0,0,60
20170621,TIC,13.0,13.1,13.0,13.0,42890,13.0,13.1,13.0,13.0,0,0,0
20170620,TIC,12.8,12.8,12.7,12.7,510,12.8,12.8,12.7,12.7,0,0,0
20170619,TIC,13.0,13.0,12.9,12.9,3310,13.0,13.0,12.9,12.9,0,500,0
20170616,TIC,12.9,12.9,12.9,12.9,20,12.9,12.9,12.9,12.9,0,20,0
20170615,TIC,12.8,12.8,12.7,12.8,10690,12.8,12.8,12.7,12.8,0,0,0
20170614,TIC,12.7,12.7,12.7,12.7,30,12.7,12.7,12.7,12.7,0,0,0
20170613,TIC,12.7,13.0,12.7,13.0,2020,12.7,13.0,12.7,13.0,0,1260,0
20170612,TIC,12.9,13.0,12.8,13.0,20960,12.9,13.0,12.8,13.0,0,0,0
20170609,TIC,13.0,13.0,13.0,13.0,7250,13.0,13.0,13.0,13.0,0,0,0
20170608,TIC,12.6,13.0,12.6,13.0,1350,12.6,13.0,12.6,13.0,0,40,0
20170607,TIC,12.75,12.8,12.75,12.75,5830,12.75,12.8,12.75,12.75,0,0,5660
20170606,TIC,12.8,12.8,12.75,12.75,20,12.8,12.8,12.75,12.75,0,0,0
20170605,TIC,12.6,13.0,12.6,13.0,2720,12.6,13.0,12.6,13.0,0,0,0
20170602,TIC,12.8,12.9,12.65,12.65,7500,12.8,12.9,12.65,12.65,0,0,0
20170601,TIC,12.9,12.9,12.8,12.8,3500,12.9,12.9,12.8,12.8,0,0,0
