<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170621,TMW,9.9,9.9,9.9,9.9,600,9.9,9.9,9.9,9.9,0,0,0
20170612,TMW,8.6,9.96,8.6,9.96,400,9.5,11.0,9.5,11.0,0,0,0
20170607,TMW,9.96,9.96,9.96,9.96,700,11.0,11.0,11.0,11.0,0,0,0
20170526,TMW,10.87,10.87,10.87,10.87,100,12.0,12.0,12.0,12.0,0,0,0
20170524,TMW,10.87,10.87,10.87,10.87,400,12.0,12.0,12.0,12.0,0,0,0
20170503,TMW,12.23,12.23,12.23,12.23,500,13.5,13.5,13.5,13.5,0,0,0
20170314,TMW,9.15,9.15,9.15,9.15,100,10.1,10.1,10.1,10.1,0,0,0
20170309,TMW,10.51,10.51,10.51,10.51,100,11.6,11.6,11.6,11.6,0,0,0
20170306,TMW,12.14,12.14,12.14,12.14,100,13.4,13.4,13.4,13.4,0,0,0
20170301,TMW,10.6,10.6,10.6,10.6,100,11.7,11.7,11.7,11.7,0,0,0
20170217,TMW,12.41,12.41,12.41,12.41,100,13.7,13.7,13.7,13.7,0,0,0
20170214,TMW,11.32,11.32,11.32,11.32,7000,12.5,12.5,12.5,12.5,0,0,0
20170210,TMW,11.32,11.32,11.32,11.32,1000,12.5,12.5,12.5,12.5,0,0,0
20170207,TMW,10.78,10.78,10.78,10.78,100,11.9,11.9,11.9,11.9,0,0,0
20170124,TMW,12.68,12.68,12.68,12.68,8000,14.0,14.0,14.0,14.0,0,0,0
20161212,TMW,13.4,13.4,13.4,13.4,100,14.8,14.8,14.8,14.8,0,0,0
20161209,TMW,11.77,11.77,11.77,11.77,600,13.0,13.0,13.0,13.0,0,0,0
20161125,TMW,11.77,11.77,11.77,11.77,400,13.0,13.0,13.0,13.0,0,0,0
20161123,TMW,13.31,13.31,13.31,13.31,100,14.7,14.7,14.7,14.7,0,0,0
20161122,TMW,11.78,11.78,11.78,11.77,17900,13.0,13.0,13.0,13.0,0,0,0
20161028,TMW,13.76,13.76,13.76,13.77,100,15.2,15.2,15.2,15.2,0,0,0
20161014,TMW,12.05,12.05,12.05,12.04,100,13.3,13.3,13.3,13.3,0,0,0
20161012,TMW,10.6,10.6,10.6,10.6,100,11.7,11.7,11.7,11.7,0,0,0
20161007,TMW,9.23,9.23,9.23,9.24,100,10.2,10.2,10.2,10.2,0,0,0
20161005,TMW,10.59,10.59,10.14,10.14,1500,11.7,11.7,11.2,11.2,0,0,0
20160921,TMW,10.24,10.24,10.24,10.23,100,11.3,11.3,11.3,11.3,0,0,0
20160919,TMW,10.87,10.87,10.87,10.87,500,12.0,12.0,12.0,12.0,0,0,0
20160914,TMW,10.96,10.96,10.96,10.96,100,12.1,12.1,12.1,12.1,0,0,0
20160913,TMW,11.86,11.86,11.77,11.77,1000,13.1,13.1,13.0,13.0,0,0,0
20160824,TMW,13.58,13.58,13.58,13.58,200,15.0,15.0,15.0,15.0,0,0,0
20160808,TMW,13.04,13.04,13.04,13.04,100,14.4,14.4,14.4,14.4,0,0,0
20160627,TMW,9.33,9.33,9.33,9.33,100,10.3,10.3,10.3,10.3,0,0,0
20160624,TMW,10.87,10.87,10.87,10.87,500,12.0,12.0,12.0,12.0,0,0,0
20160523,TMW,10.87,10.87,10.87,10.87,200,12.0,12.0,12.0,12.0,0,0,0
20160519,TMW,9.96,9.96,9.96,9.96,300,11.0,11.0,11.0,11.0,0,0,0
20160518,TMW,8.69,8.69,8.69,8.69,100,9.6,9.6,9.6,9.6,0,0,0
20160513,TMW,10.58,10.58,9.61,9.61,4800,13.0,13.0,11.8,11.8,0,0,0
20160512,TMW,9.69,10.99,9.69,10.99,3200,11.9,13.5,11.9,13.5,0,0,0
20160511,TMW,9.61,9.61,9.61,9.61,100,11.8,11.8,11.8,11.8,0,0,0
20160407,TMW,8.39,8.39,8.39,8.39,100,10.3,10.3,10.3,10.3,0,0,0
20160404,TMW,9.77,9.77,9.77,9.77,100,12.0,12.0,12.0,12.0,0,0,0
20160401,TMW,11.41,11.41,11.41,11.4,1400,14.0,14.0,14.0,14.0,0,0,0
20160331,TMW,9.93,9.93,9.93,9.94,100,12.2,12.2,12.2,12.2,0,0,0
20160330,TMW,11.89,11.89,11.4,11.4,6700,14.6,14.6,14.0,14.0,0,0,0
20160217,TMW,13.85,13.85,13.85,13.84,100,17.0,17.0,17.0,17.0,0,0,0
20160128,TMW,16.2,16.2,16.2,16.21,100,19.9,19.9,19.9,19.9,0,0,0
20160127,TMW,14.9,14.9,14.9,14.9,100,18.3,18.3,18.3,18.3,0,0,0
20160118,TMW,13.03,13.03,13.03,13.03,200,16.0,16.0,16.0,16.0,0,0,0
20151216,TMW,14.98,14.98,14.98,14.98,100,18.4,18.4,18.4,18.4,0,0,0
20151214,TMW,13.03,13.03,13.03,13.03,100,16.0,16.0,16.0,16.0,0,0,0
20151203,TMW,11.48,11.48,11.48,11.48,100,14.1,14.1,14.1,14.1,0,0,0
20151124,TMW,12.7,12.7,12.7,12.7,100,15.6,15.6,15.6,15.6,0,0,0
20151123,TMW,14.83,14.83,14.83,14.82,100,18.2,18.2,18.2,18.2,0,0,0
20150924,TMW,10.58,10.58,10.58,10.59,100,13.0,13.0,13.0,13.0,0,0,0
20150921,TMW,11.57,11.57,11.57,11.56,100,14.2,14.2,14.2,14.2,0,0,0
20150914,TMW,10.58,10.58,10.58,10.59,100,13.0,13.0,13.0,13.0,0,0,0
20150910,TMW,11.57,11.57,11.57,11.56,100,14.2,14.2,14.2,14.2,0,0,0
20150831,TMW,10.1,10.1,10.1,10.1,100,12.4,12.4,12.4,12.4,0,0,0
20150827,TMW,11.49,11.49,11.49,11.48,100,14.1,14.1,14.1,14.1,0,0,0
20150826,TMW,10.01,10.01,10.01,10.02,100,12.3,12.3,12.3,12.3,0,0,0
20150812,TMW,8.72,8.72,8.72,8.71,100,10.7,10.7,10.7,10.7,0,0,0
20150810,TMW,10.1,10.1,10.1,10.1,100,12.4,12.4,12.4,12.4,0,0,0
20150805,TMW,11.73,11.73,11.73,11.73,100,14.4,14.4,14.4,14.4,0,0,0
20150727,TMW,10.26,10.26,10.26,10.26,100,12.6,12.6,12.6,12.6,0,0,0
20150708,TMW,8.95,8.95,8.95,8.96,100,11.0,11.0,11.0,11.0,0,0,0
20150629,TMW,10.42,10.42,10.42,10.42,100,12.8,12.8,12.8,12.8,0,0,0
20150625,TMW,11.48,11.48,11.48,11.48,200,14.1,14.1,14.1,14.1,0,0,0
20150519,TMW,8.22,8.22,8.22,8.22,100,10.1,10.1,10.1,10.1,0,0,0
20150506,TMW,8.63,8.63,8.63,8.63,100,10.6,10.6,10.6,10.6,0,0,0
20150323,TMW,9.04,9.04,9.04,9.04,100,11.1,11.1,11.1,11.1,0,0,0
20150319,TMW,8.87,10.67,8.87,10.67,200,12.3,14.8,12.3,14.8,0,0,0
20150318,TMW,9.73,9.73,9.73,9.73,100,13.5,13.5,13.5,13.5,0,0,0
20150317,TMW,9.01,9.01,9.01,9.01,100,12.5,12.5,12.5,12.5,0,0,0
20150316,TMW,8.79,8.79,8.79,8.79,500,12.2,12.2,12.2,12.2,0,0,0
20150313,TMW,9.73,9.73,9.73,9.73,100,13.5,13.5,13.5,13.5,0,0,0
