<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170622,TND,6.5,6.5,6.2,6.2,4400,6.5,6.5,6.2,6.2,0,0,0
20170620,TND,6.6,6.6,6.6,6.6,100,6.6,6.6,6.6,6.6,0,100,100
20170619,TND,6.2,6.2,6.2,6.2,3400,6.2,6.2,6.2,6.2,0,0,0
20170614,TND,6.3,6.3,6.2,6.2,1800,6.3,6.3,6.2,6.2,0,0,0
20170613,TND,6.6,6.6,6.6,6.6,100,6.6,6.6,6.6,6.6,0,0,0
20170612,TND,6.6,6.6,6.6,6.6,200,6.6,6.6,6.6,6.6,0,0,0
20170609,TND,6.1,6.1,6.0,6.0,1500,6.1,6.1,6.0,6.0,0,0,0
20170608,TND,6.5,6.5,6.3,6.3,1000,6.5,6.5,6.3,6.3,0,0,0
20170606,TND,6.9,6.9,6.9,6.9,700,6.9,6.9,6.9,6.9,0,0,0
20170605,TND,7.0,7.0,7.0,7.0,9400,7.0,7.0,7.0,7.0,0,0,0
20170526,TND,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,100,100
20170525,TND,7.4,7.4,7.4,7.4,2000,7.4,7.4,7.4,7.4,0,0,0
20170516,TND,8.6,8.6,8.6,8.6,100,8.6,8.6,8.6,8.6,0,100,100
20170515,TND,7.5,7.5,7.4,7.4,200,7.5,7.5,7.4,7.4,0,0,0
20170512,TND,7.9,7.9,7.9,7.9,500,7.9,7.9,7.9,7.9,0,0,0
20170504,TND,8.0,8.0,8.0,8.0,1500,8.0,8.0,8.0,8.0,0,0,0
20170428,TND,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170427,TND,7.1,8.1,7.1,8.1,200,7.1,8.1,7.1,8.1,0,100,100
20170426,TND,8.0,8.5,8.0,8.5,300,8.0,8.5,8.0,8.5,0,0,0
20170421,TND,8.8,8.8,8.8,8.8,100,8.8,8.8,8.8,8.8,0,100,0
20170420,TND,8.0,8.0,8.0,8.0,8000,8.0,8.0,8.0,8.0,0,0,0
20170419,TND,8.0,8.0,8.0,8.0,38000,8.0,8.0,8.0,8.0,0,0,0
20170418,TND,8.1,8.1,8.1,8.1,100,8.1,8.1,8.1,8.1,0,0,0
20170417,TND,8.0,8.0,8.0,8.0,12000,8.0,8.0,8.0,8.0,0,0,0
20170414,TND,8.1,8.1,8.1,8.1,200,8.1,8.1,8.1,8.1,0,0,0
20170412,TND,8.4,8.7,8.4,8.4,19400,8.4,8.7,8.4,8.4,0,0,0
20170411,TND,8.0,8.5,8.0,8.5,10500,8.0,8.5,8.0,8.5,0,0,0
20170410,TND,7.8,8.1,7.8,8.0,13300,7.8,8.1,7.8,8.0,0,0,0
20170407,TND,7.8,7.8,7.8,7.8,11800,7.8,7.8,7.8,7.8,0,0,0
20170404,TND,7.8,7.9,7.8,7.8,21600,7.8,7.9,7.8,7.8,0,0,0
20170403,TND,7.2,8.2,7.2,7.8,10700,7.2,8.2,7.2,7.8,0,0,0
20170331,TND,7.2,7.2,7.2,7.2,100,7.2,7.2,7.2,7.2,0,100,100
20170330,TND,6.5,6.5,6.3,6.3,19936,6.5,6.5,6.3,6.3,0,0,0
20170329,TND,7.4,7.4,7.4,7.4,5700,7.4,7.4,7.4,7.4,0,0,0
20170328,TND,8.7,8.7,8.7,8.7,100,8.7,8.7,8.7,8.7,0,0,0
20170327,TND,10.2,10.2,10.2,10.2,100,10.2,10.2,10.2,10.2,0,0,0
20170316,TND,12.5,12.5,11.6,11.6,4400,12.5,12.5,11.6,11.6,0,0,0
20170315,TND,13.6,13.8,13.4,13.4,15800,13.6,13.8,13.4,13.4,0,11400,0
20170314,TND,13.5,14.0,13.5,14.0,2500,13.5,14.0,13.5,14.0,0,500,0
20160226,TND,15.0,15.0,15.0,15.0,100,15.0,15.0,15.0,15.0,0,0,0
