<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,TST,4.8,4.8,4.8,4.8,68500,4.8,4.8,4.8,4.8,0,0,0
20170623,TST,5.0,5.0,5.0,5.0,5500,5.0,5.0,5.0,5.0,0,0,0
20170620,TST,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20170619,TST,4.8,4.9,4.8,4.9,3600,4.8,4.9,4.8,4.9,0,0,0
20170616,TST,4.8,4.8,4.8,4.8,21800,4.8,4.8,4.8,4.8,0,0,19000
20170615,TST,4.6,5.0,4.6,5.0,19800,4.6,5.0,4.6,5.0,0,0,13000
20170612,TST,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,0
20170608,TST,5.1,5.1,4.9,4.9,2700,5.1,5.1,4.9,4.9,0,0,0
20170607,TST,4.8,4.9,4.8,4.9,31500,4.8,4.9,4.8,4.9,0,0,31500
20170606,TST,5.1,5.1,5.1,5.1,3500,5.1,5.1,5.1,5.1,0,0,0
20170605,TST,4.9,5.6,4.9,5.6,19600,4.9,5.6,4.9,5.6,0,0,9000
20170530,TST,5.1,5.1,4.8,5.1,68000,5.1,5.1,4.8,5.1,0,0,67100
20170529,TST,4.9,4.9,4.9,4.9,5100,4.9,4.9,4.9,4.9,0,0,0
20170524,TST,5.0,5.0,5.0,5.0,300,5.0,5.0,5.0,5.0,0,0,0
20170517,TST,5.1,5.1,5.1,5.1,100,5.1,5.1,5.1,5.1,0,0,0
20170516,TST,4.8,5.0,4.7,5.0,21000,4.8,5.0,4.7,5.0,0,0,0
20170510,TST,5.2,5.2,5.2,5.2,1200,5.2,5.2,5.2,5.2,0,1200,0
20170508,TST,5.1,5.1,5.1,5.1,49,5.1,5.1,5.1,5.1,0,0,0
20170505,TST,4.8,5.1,4.8,5.1,5100,4.8,5.1,4.8,5.1,0,0,0
20170425,TST,5.2,5.2,5.0,5.2,14100,5.2,5.2,5.0,5.2,0,0,0
20170424,TST,5.2,5.2,5.1,5.1,700,5.2,5.2,5.1,5.1,0,0,0
20170413,TST,5.0,5.6,5.0,5.6,24700,5.0,5.6,5.0,5.6,0,0,0
20170412,TST,5.0,5.2,5.0,5.2,16800,5.0,5.2,5.0,5.2,0,0,0
20170411,TST,5.1,5.1,5.1,5.1,3000,5.1,5.1,5.1,5.1,0,0,0
20170410,TST,5.2,5.2,5.2,5.2,200,5.2,5.2,5.2,5.2,0,0,0
20170407,TST,5.2,5.2,5.2,5.2,800,5.2,5.2,5.2,5.2,0,0,0
20170405,TST,5.1,5.2,5.0,5.2,29469,5.1,5.2,5.0,5.2,0,0,0
20170404,TST,5.2,5.2,5.1,5.1,28080,5.2,5.2,5.1,5.1,0,0,0
20170403,TST,5.0,5.2,4.7,5.0,21500,5.0,5.2,4.7,5.0,0,0,0
20170330,TST,5.2,5.2,5.2,5.2,500,5.2,5.2,5.2,5.2,0,500,0
20170328,TST,5.1,5.2,5.0,5.2,61400,5.1,5.2,5.0,5.2,0,0,0
20170324,TST,5.2,5.2,5.1,5.1,1900,5.2,5.2,5.1,5.1,0,0,0
20170323,TST,5.1,5.1,5.0,5.1,6000,5.1,5.1,5.0,5.1,0,0,0
