<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170210,TTG,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170124,TTG,8.8,8.8,8.8,8.8,100,8.8,8.8,8.8,8.8,0,0,0
20170118,TTG,7.8,7.8,7.8,7.8,100,7.8,7.8,7.8,7.8,0,0,0
20170112,TTG,6.9,6.9,6.9,6.9,100,6.9,6.9,6.9,6.9,0,0,0
20161222,TTG,6.1,6.1,6.1,6.1,100,6.1,6.1,6.1,6.1,0,0,0
20161207,TTG,7.1,7.1,7.0,7.0,300,7.1,7.1,7.0,7.0,0,0,0
20161110,TTG,6.3,6.3,6.3,6.3,200,6.3,6.3,6.3,6.3,0,0,0
20161109,TTG,7.3,7.3,7.3,7.3,200,7.3,7.3,7.3,7.3,0,0,0
20161031,TTG,6.4,6.4,6.4,6.4,1900,6.4,6.4,6.4,6.4,0,0,0
20161028,TTG,5.6,5.6,5.6,5.6,600,5.6,5.6,5.6,5.6,0,0,0
20161027,TTG,4.9,4.9,4.9,4.9,500,4.9,4.9,4.9,4.9,0,0,0
20161007,TTG,4.3,4.3,4.3,4.3,200,4.3,4.3,4.3,4.3,0,0,0
20161006,TTG,5.0,5.0,5.0,5.0,200,5.0,5.0,5.0,5.0,0,0,0
20161004,TTG,5.8,5.8,5.8,5.8,500,5.8,5.8,5.8,5.8,0,0,0
20161003,TTG,5.1,5.1,5.1,5.1,500,5.1,5.1,5.1,5.1,0,0,0
20160926,TTG,4.5,4.5,4.5,4.5,100,4.5,4.5,4.5,4.5,0,0,0
20160901,TTG,4.0,4.0,4.0,4.0,3000,4.0,4.0,4.0,4.0,0,0,0
20160831,TTG,4.0,4.0,4.0,4.0,4000,4.0,4.0,4.0,4.0,0,0,0
20160822,TTG,4.3,4.3,4.3,4.3,1900,4.3,4.3,4.3,4.3,0,0,0
20160819,TTG,4.9,4.9,4.9,4.9,300,4.9,4.9,4.9,4.9,0,0,0
20160812,TTG,4.3,4.3,4.3,4.3,600,4.3,4.3,4.3,4.3,0,0,0
20160808,TTG,4.05,4.05,4.05,4.05,400,4.2,4.2,4.2,4.2,0,0,0
20160804,TTG,4.43,4.43,4.43,4.44,5400,4.6,4.6,4.6,4.6,0,0,0
20160803,TTG,5.02,5.02,5.02,5.01,200,5.2,5.2,5.2,5.2,0,0,0
20160802,TTG,4.43,4.43,4.34,4.34,2500,4.6,4.6,4.5,4.5,0,0,0
20160801,TTG,5.01,5.01,5.01,5.01,200,5.2,5.2,5.2,5.2,0,0,0
20160712,TTG,5.89,5.89,5.89,5.88,100,6.1,6.1,6.1,6.1,0,0,0
20160707,TTG,5.2,5.2,5.2,5.21,100,5.4,5.4,5.4,5.4,0,0,0
20160706,TTG,4.53,4.53,4.53,4.53,100,4.7,4.7,4.7,4.7,0,0,0
20160705,TTG,3.96,3.96,3.96,3.95,500,4.1,4.1,4.1,4.1,0,0,0
20160701,TTG,4.43,4.43,4.43,4.44,100,4.6,4.6,4.6,4.6,0,0,0
20160630,TTG,3.95,3.95,3.95,3.95,100,4.1,4.1,4.1,4.1,0,0,0
20160624,TTG,3.47,3.47,3.47,3.47,700,3.6,3.6,3.6,3.6,0,0,0
20160617,TTG,4.63,4.63,3.57,3.57,3200,4.8,4.8,3.7,3.7,0,0,0
20160616,TTG,4.05,4.05,4.05,4.05,100,4.2,4.2,4.2,4.2,0,0,0
20160614,TTG,3.57,3.57,3.57,3.57,2500,3.7,3.7,3.7,3.7,0,0,0
20160610,TTG,4.15,4.15,3.86,4.15,4000,4.3,4.3,4.0,4.3,0,0,0
20160609,TTG,4.05,4.05,4.05,4.05,2600,4.2,4.2,4.2,4.2,0,0,0
20160606,TTG,4.53,4.53,4.53,4.53,2000,4.7,4.7,4.7,4.7,0,0,0
20160603,TTG,5.2,5.2,5.2,5.21,100,5.4,5.4,5.4,5.4,0,0,0
20160602,TTG,4.53,4.53,4.53,4.53,500,4.7,4.7,4.7,4.7,0,0,0
20160530,TTG,5.11,5.11,5.11,5.11,500,5.3,5.3,5.3,5.3,0,0,0
20160524,TTG,4.92,4.92,4.92,4.92,2000,5.1,5.1,5.1,5.1,0,0,0
20160520,TTG,4.92,4.92,4.92,4.92,500,5.1,5.1,5.1,5.1,0,0,0
20160519,TTG,5.49,5.49,5.49,5.5,100,5.7,5.7,5.7,5.7,0,0,0
20160518,TTG,4.82,4.82,4.82,4.82,3000,5.0,5.0,5.0,5.0,0,0,0
20160512,TTG,5.59,5.59,5.59,5.59,3000,5.8,5.8,5.8,5.8,0,0,0
20160510,TTG,6.47,6.47,6.47,6.46,2000,6.7,6.7,6.7,6.7,0,0,0
20160509,TTG,7.42,7.42,7.42,7.43,100,7.7,7.7,7.7,7.7,0,0,0
20160429,TTG,8.58,8.58,8.58,8.58,100,8.9,8.9,8.9,8.9,0,0,0
20160405,TTG,9.93,9.93,9.93,9.93,100,10.3,10.3,10.3,10.3,0,0,0
20160314,TTG,8.87,8.87,8.87,8.87,100,9.2,9.2,9.2,9.2,0,0,0
20160311,TTG,10.41,10.41,10.41,10.41,100,10.8,10.8,10.8,10.8,0,0,0
