<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,TVN,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170626,TVN,8.0,8.0,8.0,8.0,9900,8.0,8.0,8.0,8.0,0,0,0
20170623,TVN,8.0,8.0,7.6,7.7,9200,8.0,8.0,7.6,7.7,0,0,0
20170622,TVN,7.6,8.1,7.6,7.8,17400,7.6,8.1,7.6,7.8,0,0,0
20170619,TVN,7.5,7.6,7.5,7.6,200,7.5,7.6,7.5,7.6,0,0,0
20170614,TVN,7.5,7.5,7.5,7.5,400,7.5,7.5,7.5,7.5,0,0,0
20170607,TVN,7.6,7.6,7.6,7.6,500,7.6,7.6,7.6,7.6,0,0,0
20170606,TVN,7.6,7.6,7.6,7.6,1100,7.6,7.6,7.6,7.6,0,0,0
20170605,TVN,7.6,7.6,7.6,7.6,7700,7.6,7.6,7.6,7.6,0,0,0
20170602,TVN,7.6,7.6,7.6,7.6,4000,7.6,7.6,7.6,7.6,0,0,0
20170601,TVN,7.6,7.6,7.6,7.6,4600,7.6,7.6,7.6,7.6,0,0,0
20170531,TVN,7.6,7.6,7.6,7.6,3300,7.6,7.6,7.6,7.6,0,0,0
20170529,TVN,7.6,7.6,7.6,7.6,100,7.6,7.6,7.6,7.6,0,0,0
20170526,TVN,7.0,7.0,7.0,7.0,100,7.0,7.0,7.0,7.0,0,0,0
20170525,TVN,7.0,7.0,7.0,7.0,10,7.0,7.0,7.0,7.0,0,0,0
20170524,TVN,7.0,7.0,7.0,7.0,400,7.0,7.0,7.0,7.0,0,0,0
20170523,TVN,7.0,7.0,7.0,7.0,10100,7.0,7.0,7.0,7.0,0,0,0
20170519,TVN,7.4,7.6,7.4,7.6,1700,7.4,7.6,7.4,7.6,0,0,0
20170517,TVN,7.3,7.3,7.3,7.3,600,7.3,7.3,7.3,7.3,0,0,0
20170516,TVN,7.4,7.4,7.4,7.4,1000,7.4,7.4,7.4,7.4,0,0,0
20170515,TVN,7.4,7.4,7.4,7.4,900,7.4,7.4,7.4,7.4,0,0,0
20170511,TVN,7.3,7.4,7.3,7.4,5120,7.3,7.4,7.3,7.4,0,0,0
20170510,TVN,7.3,7.3,7.0,7.2,4600,7.3,7.3,7.0,7.2,0,0,0
20170509,TVN,7.3,7.3,7.3,7.3,100,7.3,7.3,7.3,7.3,0,0,0
20170505,TVN,7.0,7.2,7.0,7.2,5900,7.0,7.2,7.0,7.2,0,0,0
20170504,TVN,7.2,7.2,7.2,7.2,200,7.2,7.2,7.2,7.2,0,0,0
20170503,TVN,7.9,7.9,7.9,7.9,200,7.9,7.9,7.9,7.9,0,0,0
20170428,TVN,7.7,8.6,7.0,8.0,16500,7.7,8.6,7.0,8.0,0,0,0
20170427,TVN,7.4,7.5,7.4,7.5,400,7.4,7.5,7.4,7.5,0,0,0
20170418,TVN,7.7,7.7,7.7,7.7,100,7.7,7.7,7.7,7.7,0,0,0
20170417,TVN,7.1,7.1,6.8,6.8,900,7.1,7.1,6.8,6.8,0,0,0
20170414,TVN,7.5,7.5,7.1,7.5,2300,7.5,7.5,7.1,7.5,0,0,0
20170405,TVN,8.0,8.0,8.0,8.0,200,8.0,8.0,8.0,8.0,0,0,0
20170403,TVN,7.6,7.6,7.6,7.6,600,7.6,7.6,7.6,7.6,0,0,0
20170331,TVN,8.5,8.5,8.0,8.0,500,8.5,8.5,8.0,8.0,0,0,0
20170330,TVN,7.6,7.6,7.6,7.6,230,7.6,7.6,7.6,7.6,0,0,0
20170329,TVN,8.1,8.2,8.1,8.2,2000,8.1,8.2,8.1,8.2,0,0,0
20170328,TVN,8.2,8.6,7.8,7.8,1300,8.2,8.6,7.8,7.8,0,0,0
20170327,TVN,7.5,7.5,7.5,7.5,1000,7.5,7.5,7.5,7.5,0,0,0
20170324,TVN,7.9,7.9,7.6,7.7,2800,7.9,7.9,7.6,7.7,0,0,0
20170323,TVN,8.0,8.0,8.0,8.0,1,8.0,8.0,8.0,8.0,0,0,0
20170322,TVN,8.0,8.0,8.0,8.0,1600,8.0,8.0,8.0,8.0,0,0,0
20170321,TVN,8.0,8.0,8.0,8.0,2700,8.0,8.0,8.0,8.0,0,0,0
20170320,TVN,8.0,8.0,7.8,7.8,700,8.0,8.0,7.8,7.8,0,0,0
20170317,TVN,7.3,8.3,7.3,8.0,19000,7.3,8.3,7.3,8.0,0,0,0
20170316,TVN,7.3,7.3,7.3,7.3,2000,7.3,7.3,7.3,7.3,0,0,0
20170313,TVN,7.3,7.3,7.3,7.3,400,7.3,7.3,7.3,7.3,0,0,0
