<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,UDJ,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,0,0
20170626,UDJ,5.0,5.0,5.0,5.0,100,5.0,5.0,5.0,5.0,0,0,100
20170623,UDJ,5.4,5.4,5.4,5.4,100,5.4,5.4,5.4,5.4,0,0,100
20170622,UDJ,6.3,6.3,6.3,6.3,500,6.3,6.3,6.3,6.3,0,500,0
20170621,UDJ,6.2,6.2,6.2,6.2,100,6.2,6.2,6.2,6.2,0,0,0
20170616,UDJ,4.7,6.2,4.7,6.2,200,4.7,6.2,4.7,6.2,0,0,100
20170614,UDJ,4.6,6.2,4.6,6.2,200,4.6,6.2,4.6,6.2,0,0,100
20170606,UDJ,5.6,5.6,5.3,5.3,500,5.6,5.6,5.3,5.3,0,0,0
20170530,UDJ,5.6,5.6,5.6,5.6,100,5.6,5.6,5.6,5.6,0,0,100
20170526,UDJ,6.3,6.3,6.3,6.3,6500,6.3,6.3,6.3,6.3,0,0,0
20170523,UDJ,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,0,100
20170518,UDJ,6.3,6.3,6.3,6.3,400,6.3,6.3,6.3,6.3,0,0,0
20170516,UDJ,7.4,7.4,7.4,7.4,3000,7.4,7.4,7.4,7.4,0,0,0
20170509,UDJ,7.4,7.4,7.4,7.4,3000,7.4,7.4,7.4,7.4,0,0,0
20170428,UDJ,7.4,7.4,7.4,7.4,9000,7.4,7.4,7.4,7.4,0,9000,0
20170427,UDJ,7.5,7.5,7.5,7.5,1000,7.5,7.5,7.5,7.5,0,0,0
20170419,UDJ,8.5,8.5,8.5,8.5,100,8.5,8.5,8.5,8.5,0,0,0
20170418,UDJ,7.4,7.4,7.4,7.4,1000,7.4,7.4,7.4,7.4,0,1000,0
20170417,UDJ,7.5,7.5,7.5,7.5,9100,7.5,7.5,7.5,7.5,0,9100,0
20170414,UDJ,7.5,7.5,7.5,7.5,5500,7.5,7.5,7.5,7.5,0,0,0
20170411,UDJ,7.0,7.0,7.0,7.0,100,7.5,7.5,7.5,7.5,0,0,0
20170410,UDJ,8.21,8.21,6.81,6.81,8600,8.8,8.8,7.3,7.3,0,8300,0
20170404,UDJ,7.18,7.46,7.18,7.47,200,7.7,8.0,7.7,8.0,0,0,0
20170329,UDJ,6.81,6.81,6.81,6.81,100,7.3,7.3,7.3,7.3,0,100,0
20170327,UDJ,6.82,6.82,6.82,6.81,13400,7.3,7.3,7.3,7.3,0,8400,0
20170324,UDJ,6.91,6.91,6.91,6.91,8300,7.4,7.4,7.4,7.4,0,8300,0
20170323,UDJ,7.0,7.0,7.0,7.0,13,7.5,7.5,7.5,7.5,0,0,0
20170321,UDJ,7.0,7.0,7.0,7.0,5000,7.5,7.5,7.5,7.5,0,0,0
20170320,UDJ,7.0,7.0,6.91,6.91,10000,7.5,7.5,7.4,7.4,0,10000,0
20170314,UDJ,7.0,7.0,7.0,7.0,5000,7.5,7.5,7.5,7.5,0,0,0
20170313,UDJ,7.0,7.0,7.0,7.0,1030,7.5,7.5,7.5,7.5,0,0,0
20170310,UDJ,7.0,7.0,7.0,7.0,5000,7.5,7.5,7.5,7.5,0,0,0
20170309,UDJ,7.09,7.09,7.09,7.09,30000,7.6,7.6,7.6,7.6,0,0,0
20170308,UDJ,7.09,7.09,7.09,7.09,10000,7.6,7.6,7.6,7.6,0,0,0
20170307,UDJ,7.09,7.09,7.09,7.09,5000,7.6,7.6,7.6,7.6,0,0,0
20170303,UDJ,7.09,7.09,7.09,7.09,3000,7.6,7.6,7.6,7.6,0,0,0
20170302,UDJ,7.19,7.28,7.19,7.28,200,7.7,7.8,7.7,7.8,72000,0,0
20170228,UDJ,7.28,7.28,7.28,7.28,14030,7.8,7.8,7.8,7.8,0,0,0
20170227,UDJ,7.18,7.37,7.18,7.37,1600,7.7,7.9,7.7,7.9,0,0,0
