<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VC3,23.6,23.8,22.9,23.2,770200,23.6,23.8,22.9,23.2,0,0,0
20170626,VC3,23.8,24.3,23.0,23.4,1010668,23.8,24.3,23.0,23.4,0,0,0
20170623,VC3,24.1,24.3,23.3,23.8,624120,24.1,24.3,23.3,23.8,0,0,0
20170622,VC3,23.3,24.1,23.0,24.1,754429,23.3,24.1,23.0,24.1,0,0,0
20170621,VC3,24.1,25.0,23.1,23.3,692510,24.1,25.0,23.1,23.3,0,0,0
20170620,VC3,24.8,25.1,23.5,24.1,1101920,24.8,25.1,23.5,24.1,0,20000,0
20170619,VC3,24.3,24.9,23.7,24.4,1191460,24.3,24.9,23.7,24.4,0,0,0
20170616,VC3,23.5,24.4,23.5,24.3,1201596,23.5,24.4,23.5,24.3,0,2000,0
20170615,VC3,23.6,23.8,22.9,23.6,960902,23.6,23.8,22.9,23.6,0,0,0
20170614,VC3,24.2,24.6,23.5,23.6,1112410,24.2,24.6,23.5,23.6,0,0,0
20170613,VC3,24.7,25.0,23.8,24.3,1147550,24.7,25.0,23.8,24.3,0,0,0
20170612,VC3,25.3,26.0,24.0,24.7,1129152,25.3,26.0,24.0,24.7,0,0,0
20170609,VC3,24.8,26.0,22.4,25.0,1292655,24.8,26.0,22.4,25.0,34,0,0
20170608,VC3,27.8,27.8,24.8,24.8,1272138,27.8,27.8,24.8,24.8,35,0,0
20170607,VC3,28.2,28.6,26.7,27.5,1032977,28.2,28.6,26.7,27.5,0,0,0
20170606,VC3,29.4,29.7,27.4,27.9,905351,29.4,29.7,27.4,27.9,40022,0,0
20170605,VC3,28.0,29.3,27.5,29.0,820108,28.0,29.3,27.5,29.0,752300,0,0
20170602,VC3,28.8,29.2,26.7,28.5,1056729,28.8,29.2,26.7,28.5,360345,0,0
20170601,VC3,29.5,29.9,28.4,28.8,963740,29.5,29.9,28.4,28.8,70,0,0
20170531,VC3,31.0,31.4,29.5,29.8,970403,31.0,31.4,29.5,29.8,258087,0,0
20170530,VC3,31.8,32.1,30.9,31.0,777025,31.8,32.1,30.9,31.0,30,0,0
20170529,VC3,31.2,32.1,30.8,32.0,774005,31.2,32.1,30.8,32.0,58,0,5000
20170526,VC3,31.1,31.6,30.6,31.3,733687,31.1,31.6,30.6,31.3,225,0,1
20170525,VC3,31.9,32.2,30.6,31.2,764607,31.9,32.2,30.6,31.2,208,0,0
20170524,VC3,33.6,33.9,31.7,32.0,530500,33.6,33.9,31.7,32.0,0,0,0
20170523,VC3,33.0,34.7,32.0,33.9,648300,33.0,34.7,32.0,33.9,0,0,0
20170522,VC3,31.9,33.6,31.8,32.9,753173,31.9,33.6,31.8,32.9,0,5000,0
20170519,VC3,31.2,31.9,31.2,31.9,743200,31.2,31.9,31.2,31.9,0,0,0
20170518,VC3,29.5,31.4,29.3,31.2,613300,29.5,31.4,29.3,31.2,0,0,0
20170517,VC3,29.6,29.8,29.3,29.5,320700,29.6,29.8,29.3,29.5,0,0,0
20170516,VC3,29.6,29.8,29.4,29.5,356800,29.6,29.8,29.4,29.5,0,0,0
20170515,VC3,30.0,30.1,29.5,29.6,396800,30.0,30.1,29.5,29.6,0,0,0
20170512,VC3,29.9,30.4,29.7,30.0,451300,29.9,30.4,29.7,30.0,0,0,0
20170511,VC3,29.5,30.2,29.4,29.9,498700,29.5,30.2,29.4,29.9,0,0,0
20170510,VC3,29.1,29.8,29.0,29.5,498600,29.1,29.8,29.0,29.5,0,0,0
20170509,VC3,29.6,29.9,28.9,29.2,494650,29.6,29.9,28.9,29.2,0,0,0
20170508,VC3,28.6,30.1,28.4,29.6,609500,28.6,30.1,28.4,29.6,0,0,0
20170505,VC3,28.8,29.4,28.3,28.6,481500,28.8,29.4,28.3,28.6,0,0,0
20170504,VC3,29.9,30.0,28.6,28.8,515200,29.9,30.0,28.6,28.8,0,0,0
20170503,VC3,29.9,30.2,29.0,29.8,652400,29.9,30.2,29.0,29.8,0,0,0
20170428,VC3,30.3,30.4,29.5,29.9,581040,30.3,30.4,29.5,29.9,0,0,0
20170427,VC3,30.0,30.5,29.7,30.3,614900,30.0,30.5,29.7,30.3,0,0,0
20170426,VC3,30.9,31.0,30.0,30.0,529300,30.9,31.0,30.0,30.0,0,0,0
20170425,VC3,31.1,31.1,30.4,30.9,412407,31.1,31.1,30.4,30.9,0,0,0
20170424,VC3,31.4,31.8,31.0,31.1,361703,31.4,31.8,31.0,31.1,0,0,0
20170421,VC3,30.7,31.8,30.3,31.4,467613,30.7,31.8,30.3,31.4,0,0,0
20170420,VC3,30.6,31.2,30.1,30.7,412400,30.6,31.2,30.1,30.7,0,0,0
20170419,VC3,31.1,31.4,30.0,30.8,705640,31.1,31.4,30.0,30.8,0,0,0
20170418,VC3,31.1,31.8,30.5,31.3,554913,31.1,31.8,30.5,31.3,0,0,0
20170417,VC3,30.6,31.4,29.9,31.1,592900,30.6,31.4,29.9,31.1,0,0,0
20170414,VC3,29.5,31.1,28.7,30.6,588460,29.5,31.1,28.7,30.6,0,0,0
20170413,VC3,29.9,30.1,29.2,29.2,508741,29.9,30.1,29.2,29.2,10,0,0
20170412,VC3,31.5,31.7,29.9,30.0,576025,31.5,31.7,29.9,30.0,0,0,0
20170411,VC3,28.5,31.2,28.0,31.2,546820,28.5,31.2,28.0,31.2,0,0,0
20170410,VC3,29.06,29.21,28.45,28.45,538530,38.0,38.2,37.2,37.2,0,0,0
20170407,VC3,30.06,30.21,29.06,29.06,428100,39.3,39.5,38.0,38.0,0,0,0
20170405,VC3,31.2,31.35,29.37,29.75,463245,40.8,41.0,38.4,38.9,0,0,42000
20170404,VC3,30.21,30.59,29.6,30.59,366900,39.5,40.0,38.7,40.0,0,0,0
20170403,VC3,30.59,30.67,29.45,30.21,425500,40.0,40.1,38.5,39.5,0,0,0
20170331,VC3,31.66,31.89,30.59,30.67,315040,41.4,41.7,40.0,40.1,0,0,0
20170330,VC3,32.89,33.19,31.66,31.66,280301,43.0,43.4,41.4,41.4,0,0,0
20170329,VC3,33.27,33.81,32.96,33.04,346700,43.5,44.2,43.1,43.2,0,0,0
20170328,VC3,33.42,33.88,33.12,33.27,281500,43.7,44.3,43.3,43.5,0,0,0
20170327,VC3,32.96,33.57,32.81,33.5,273800,43.1,43.9,42.9,43.8,0,0,0
20170324,VC3,33.04,33.12,32.5,32.96,246400,43.2,43.3,42.5,43.1,0,0,0
20170323,VC3,31.81,33.04,31.66,33.04,337810,41.6,43.2,41.4,43.2,0,0,0
20170322,VC3,31.73,32.27,31.35,31.89,321800,41.5,42.2,41.0,41.7,0,0,0
20170321,VC3,30.52,31.89,29.52,31.81,614601,39.9,41.7,38.6,41.6,0,0,0
20170320,VC3,31.35,31.81,30.44,30.44,350200,41.0,41.6,39.8,39.8,0,0,0
20170317,VC3,32.42,33.49,31.58,31.66,495720,42.4,43.8,41.3,41.4,0,0,0
20170316,VC3,32.12,33.34,31.74,32.88,508200,42.0,43.6,41.5,43.0,0,0,0
20170315,VC3,31.36,32.66,30.59,32.35,386201,41.0,42.7,40.0,42.3,0,0,0
20170314,VC3,30.2,31.81,29.44,31.74,543331,39.5,41.6,38.5,41.5,0,0,0
20170313,VC3,30.59,31.28,29.6,30.51,567600,40.0,40.9,38.7,39.9,335000,0,0
20170310,VC3,30.82,33.65,30.21,31.05,551000,40.3,44.0,39.5,40.6,300000,42000,0
20170309,VC3,29.67,31.05,29.06,30.97,429105,38.8,40.6,38.0,40.5,0,0,0
20170308,VC3,28.53,29.91,28.3,29.75,378200,37.3,39.1,37.0,38.9,0,0,0
20170307,VC3,28.91,29.06,28.22,28.53,240600,37.8,38.0,36.9,37.3,0,0,0
20170306,VC3,28.68,29.06,28.53,28.91,196305,37.5,38.0,37.3,37.8,0,0,0
20170303,VC3,29.06,29.29,28.45,28.68,149800,38.0,38.3,37.2,37.5,0,0,0
20170302,VC3,29.36,29.59,28.9,29.14,179400,38.4,38.7,37.8,38.1,0,0,0
20170301,VC3,30.21,30.44,29.06,29.44,227101,39.5,39.8,38.0,38.5,0,0,0
