<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VCR,4.7,4.7,4.4,4.4,183400,4.7,4.7,4.4,4.4,0,0,0
20170626,VCR,4.8,5.0,4.4,4.4,110000,4.8,5.0,4.4,4.4,0,0,0
20170623,VCR,4.6,4.6,4.5,4.6,357930,4.6,4.6,4.5,4.6,0,0,0
20170622,VCR,3.9,4.2,3.9,4.2,34105,3.9,4.2,3.9,4.2,0,0,0
20170621,VCR,4.3,4.3,3.9,3.9,124940,4.3,4.3,3.9,3.9,0,0,0
20170620,VCR,4.4,4.7,4.3,4.3,207900,4.4,4.7,4.3,4.3,0,0,0
20170619,VCR,5.4,5.4,4.5,4.7,86725,5.4,5.4,4.5,4.7,0,0,0
20170616,VCR,4.3,5.1,4.3,5.0,142545,4.3,5.1,4.3,5.0,0,0,0
20170615,VCR,4.7,4.9,4.7,4.7,146400,4.7,4.9,4.7,4.7,0,0,0
20170614,VCR,5.9,6.2,5.2,5.2,204000,5.9,6.2,5.2,5.2,0,2000,0
20170613,VCR,5.7,5.7,5.6,5.7,333425,5.7,5.7,5.6,5.7,0,2000,0
20170612,VCR,5.2,5.2,5.2,5.2,261100,5.2,5.2,5.2,5.2,103000,0,0
20170609,VCR,4.8,4.8,4.8,4.8,255500,4.8,4.8,4.8,4.8,0,5000,0
20170608,VCR,4.4,4.4,4.4,4.4,2100,4.4,4.4,4.4,4.4,0,0,0
20170607,VCR,3.7,4.0,3.7,4.0,150000,3.7,4.0,3.7,4.0,241000,0,0
20170606,VCR,3.5,3.7,3.4,3.7,35100,3.5,3.7,3.4,3.7,0,0,0
20170605,VCR,3.5,3.6,3.3,3.5,56300,3.5,3.6,3.3,3.5,0,0,0
20170602,VCR,3.6,3.6,3.4,3.5,128100,3.6,3.6,3.4,3.5,0,0,0
20170601,VCR,3.7,3.7,3.3,3.5,86500,3.7,3.7,3.3,3.5,0,0,0
20170531,VCR,3.4,3.4,3.4,3.4,41145,3.4,3.4,3.4,3.4,0,0,0
20170530,VCR,3.1,3.1,3.1,3.1,198600,3.1,3.1,3.1,3.1,0,0,0
20170529,VCR,2.8,3.0,2.8,2.9,136400,2.8,3.0,2.8,2.9,0,0,0
20170526,VCR,2.8,2.9,2.7,2.8,23515,2.8,2.9,2.7,2.8,0,0,0
20170525,VCR,2.8,2.8,2.8,2.8,21700,2.8,2.8,2.8,2.8,0,0,0
20170524,VCR,2.6,2.6,2.6,2.6,21000,2.6,2.6,2.6,2.6,0,0,0
20170523,VCR,2.8,2.8,2.6,2.6,176500,2.8,2.8,2.6,2.6,0,0,0
20170522,VCR,3.0,3.1,2.8,2.8,106015,3.0,3.1,2.8,2.8,0,0,0
20170519,VCR,3.0,3.2,3.0,3.1,77400,3.0,3.2,3.0,3.1,0,0,0
20170518,VCR,3.3,3.3,2.9,3.0,110928,3.3,3.3,2.9,3.0,0,0,0
20170517,VCR,3.0,3.0,3.0,3.0,77605,3.0,3.0,3.0,3.0,0,0,0
20170516,VCR,2.8,2.8,2.8,2.8,60500,2.8,2.8,2.8,2.8,0,0,0
20170515,VCR,2.4,2.6,2.4,2.6,122500,2.4,2.6,2.4,2.6,0,0,0
20170512,VCR,2.3,2.4,2.3,2.4,6310,2.3,2.4,2.3,2.4,0,0,0
20170510,VCR,2.3,2.3,2.3,2.3,8100,2.3,2.3,2.3,2.3,0,0,0
20170509,VCR,2.3,2.3,2.3,2.3,3000,2.3,2.3,2.3,2.3,0,0,0
20170508,VCR,2.3,2.3,2.3,2.3,21900,2.3,2.3,2.3,2.3,0,0,0
20170505,VCR,2.3,2.3,2.3,2.3,2000,2.3,2.3,2.3,2.3,0,0,0
20170504,VCR,2.3,2.3,2.3,2.3,5000,2.3,2.3,2.3,2.3,0,0,0
20170503,VCR,2.5,2.5,2.3,2.4,9200,2.5,2.5,2.3,2.4,0,0,0
20170428,VCR,2.3,2.4,2.3,2.4,6105,2.3,2.4,2.3,2.4,0,0,0
20170427,VCR,2.5,2.5,2.4,2.4,2100,2.5,2.5,2.4,2.4,0,0,0
20170426,VCR,2.4,2.4,2.4,2.4,6100,2.4,2.4,2.4,2.4,0,0,0
20170425,VCR,2.3,2.3,2.3,2.3,22014,2.3,2.3,2.3,2.3,0,0,0
20170424,VCR,2.2,2.3,2.2,2.3,5200,2.2,2.3,2.2,2.3,0,0,0
20170421,VCR,2.2,2.3,2.2,2.3,14110,2.2,2.3,2.2,2.3,0,0,0
20170420,VCR,2.3,2.3,2.3,2.3,15000,2.3,2.3,2.3,2.3,0,0,0
20170419,VCR,2.5,2.5,2.3,2.4,22300,2.5,2.5,2.3,2.4,0,0,0
20170418,VCR,2.4,2.5,2.4,2.5,57000,2.4,2.5,2.4,2.5,0,0,0
20170414,VCR,2.4,2.5,2.4,2.5,3100,2.4,2.5,2.4,2.5,0,0,0
20170413,VCR,2.4,2.4,2.4,2.4,10000,2.4,2.4,2.4,2.4,0,0,0
20170412,VCR,2.5,2.5,2.5,2.5,15000,2.5,2.5,2.5,2.5,0,0,0
20170411,VCR,2.6,2.6,2.5,2.5,18600,2.6,2.6,2.5,2.5,0,0,0
20170410,VCR,2.5,2.5,2.5,2.5,52100,2.5,2.5,2.5,2.5,0,0,0
20170407,VCR,2.5,2.6,2.5,2.5,36500,2.5,2.6,2.5,2.5,0,0,0
20170405,VCR,2.5,2.5,2.5,2.5,29402,2.5,2.5,2.5,2.5,0,0,0
20170404,VCR,2.6,2.7,2.5,2.5,31131,2.6,2.7,2.5,2.5,0,0,0
20170403,VCR,2.6,2.6,2.6,2.6,1000,2.6,2.6,2.6,2.6,0,0,0
20170331,VCR,2.6,2.6,2.6,2.6,7000,2.6,2.6,2.6,2.6,0,0,0
20170330,VCR,2.7,2.7,2.6,2.6,11000,2.7,2.7,2.6,2.6,0,0,0
20170329,VCR,2.7,2.7,2.6,2.6,21100,2.7,2.7,2.6,2.6,0,0,0
20170328,VCR,2.6,2.9,2.6,2.7,3900,2.6,2.9,2.6,2.7,0,0,0
20170327,VCR,2.8,2.8,2.7,2.7,10100,2.8,2.8,2.7,2.7,0,0,0
20170324,VCR,2.7,2.7,2.7,2.7,14000,2.7,2.7,2.7,2.7,0,0,0
20170323,VCR,2.7,2.8,2.7,2.7,40100,2.7,2.8,2.7,2.7,0,0,0
20170322,VCR,2.7,2.7,2.7,2.7,3400,2.7,2.7,2.7,2.7,0,0,0
20170321,VCR,2.7,2.7,2.7,2.7,6700,2.7,2.7,2.7,2.7,0,0,0
20170320,VCR,2.7,2.7,2.7,2.7,4800,2.7,2.7,2.7,2.7,0,0,0
20170317,VCR,2.8,2.8,2.7,2.7,11000,2.8,2.8,2.7,2.7,0,0,0
20170316,VCR,2.8,2.8,2.6,2.8,21700,2.8,2.8,2.6,2.8,0,0,0
20170315,VCR,2.7,2.8,2.7,2.8,10900,2.7,2.8,2.7,2.8,0,0,0
20170314,VCR,2.8,2.8,2.6,2.6,75200,2.8,2.8,2.6,2.6,0,0,0
20170313,VCR,2.8,2.8,2.8,2.8,2000,2.8,2.8,2.8,2.8,0,0,0
20170310,VCR,2.9,2.9,2.7,2.9,2000,2.9,2.9,2.7,2.9,0,0,0
20170308,VCR,2.9,2.9,2.9,2.9,3000,2.9,2.9,2.9,2.9,0,0,0
20170307,VCR,2.9,2.9,2.9,2.9,100,2.9,2.9,2.9,2.9,0,0,0
20170306,VCR,2.7,2.9,2.7,2.9,13400,2.7,2.9,2.7,2.9,0,0,0
20170303,VCR,2.9,2.9,2.9,2.9,7500,2.9,2.9,2.9,2.9,0,0,0
20170301,VCR,2.9,2.9,2.9,2.9,2000,2.9,2.9,2.9,2.9,0,0,0
20170228,VCR,2.8,2.9,2.8,2.9,12300,2.8,2.9,2.8,2.9,0,0,0
20170227,VCR,2.8,2.8,2.7,2.7,3400,2.8,2.8,2.7,2.7,0,0,0
20170224,VCR,2.8,2.9,2.8,2.9,600,2.8,2.9,2.8,2.9,0,0,0
20170223,VCR,2.7,2.9,2.7,2.9,200,2.7,2.9,2.7,2.9,0,0,0
20170221,VCR,2.9,2.9,2.9,2.9,3000,2.9,2.9,2.9,2.9,0,0,0
20170217,VCR,2.8,2.8,2.8,2.8,14800,2.8,2.8,2.8,2.8,0,0,10000
20170216,VCR,2.8,2.8,2.8,2.8,39300,2.8,2.8,2.8,2.8,0,0,0
20170215,VCR,2.8,2.8,2.8,2.8,14000,2.8,2.8,2.8,2.8,0,0,0
20170214,VCR,2.8,2.8,2.8,2.8,7000,2.8,2.8,2.8,2.8,0,0,0
20170213,VCR,2.8,2.8,2.7,2.8,8100,2.8,2.8,2.7,2.8,0,0,0
20170210,VCR,2.7,2.7,2.7,2.7,200,2.7,2.7,2.7,2.7,0,0,0
20170209,VCR,2.9,2.9,2.9,2.9,200,2.9,2.9,2.9,2.9,0,0,0
20170206,VCR,2.9,2.9,2.8,2.8,2900,2.9,2.9,2.8,2.8,0,0,0
20170202,VCR,2.6,2.9,2.6,2.9,12600,2.6,2.9,2.6,2.9,0,0,0
20170125,VCR,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20170124,VCR,2.6,2.6,2.6,2.6,100,2.6,2.6,2.6,2.6,0,0,0
20170123,VCR,2.6,2.8,2.6,2.8,200,2.6,2.8,2.6,2.8,0,0,0
20170120,VCR,2.7,2.7,2.6,2.7,7100,2.7,2.7,2.6,2.7,0,0,0
20170119,VCR,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20170118,VCR,2.7,2.8,2.7,2.8,9300,2.7,2.8,2.7,2.8,0,0,6000
20170117,VCR,2.7,2.7,2.7,2.7,100,2.7,2.7,2.7,2.7,0,0,0
20170116,VCR,3.0,3.1,2.7,2.9,55500,3.0,3.1,2.7,2.9,0,0,0
20170113,VCR,3.0,3.0,2.9,2.9,600,3.0,3.0,2.9,2.9,0,0,0
20170112,VCR,2.9,3.0,2.9,2.9,9100,2.9,3.0,2.9,2.9,0,0,0
20170111,VCR,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20170110,VCR,3.0,3.0,3.0,3.0,100,3.0,3.0,3.0,3.0,0,0,0
20170109,VCR,2.9,2.9,2.9,2.9,3400,2.9,2.9,2.9,2.9,0,0,0
20170105,VCR,2.7,2.9,2.7,2.9,4100,2.7,2.9,2.7,2.9,0,0,0
20161230,VCR,2.9,2.9,2.9,2.9,100,2.9,2.9,2.9,2.9,0,0,0
