<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20130703,THV,0.4,0.5,0.4,0.4,1055400,0.4,0.5,0.4,0.4,0,0,0
20130702,THV,0.4,0.4,0.4,0.4,1382300,0.4,0.4,0.4,0.4,0,0,0
20130701,THV,0.4,0.5,0.4,0.4,291800,0.4,0.5,0.4,0.4,0,0,0
20130628,THV,0.4,0.5,0.4,0.4,547300,0.4,0.5,0.4,0.4,0,0,0
20130627,THV,0.4,0.5,0.4,0.5,382100,0.4,0.5,0.4,0.5,0,0,0
20130626,THV,0.4,0.5,0.4,0.5,175200,0.4,0.5,0.4,0.5,30,0,0
20130625,THV,0.4,0.5,0.4,0.4,664400,0.4,0.5,0.4,0.4,25,0,0
20130624,THV,0.5,0.5,0.4,0.5,1003900,0.5,0.5,0.4,0.5,0,0,10500
20130621,THV,0.5,0.5,0.4,0.5,272200,0.5,0.5,0.4,0.5,50,0,0
20130620,THV,0.4,0.5,0.3,0.5,526200,0.4,0.5,0.3,0.5,0,0,0
20130619,THV,0.4,0.5,0.3,0.4,649600,0.4,0.5,0.3,0.4,0,0,0
20130618,THV,0.4,0.5,0.4,0.4,563600,0.4,0.5,0.4,0.4,0,0,0
20130617,THV,0.4,0.5,0.4,0.4,831800,0.4,0.5,0.4,0.4,0,0,0
20130614,THV,0.5,0.5,0.4,0.5,154200,0.5,0.5,0.4,0.5,20,0,5200
20130613,THV,0.4,0.5,0.3,0.5,354900,0.4,0.5,0.3,0.5,25,0,91100
20130612,THV,0.4,0.5,0.4,0.4,2438500,0.4,0.5,0.4,0.4,100,0,25900
20130611,THV,0.5,0.5,0.5,0.5,113200,0.5,0.5,0.5,0.5,50,0,0
20130610,THV,0.6,0.6,0.6,0.6,519600,0.6,0.6,0.6,0.6,0,20000,0
20130607,THV,0.7,0.8,0.6,0.7,348600,0.7,0.8,0.6,0.7,50,0,0
20130606,THV,0.7,0.8,0.6,0.7,88600,0.7,0.8,0.6,0.7,80,0,0
20130605,THV,0.8,0.8,0.7,0.7,195300,0.8,0.8,0.7,0.7,35,15000,0
20130604,THV,0.7,0.8,0.7,0.8,161000,0.7,0.8,0.7,0.8,15,0,0
20130603,THV,0.7,0.8,0.7,0.7,321400,0.7,0.8,0.7,0.7,0,0,0
20130531,THV,0.8,0.8,0.7,0.7,581800,0.8,0.8,0.7,0.7,5,0,0
20130530,THV,0.7,0.8,0.7,0.8,46200,0.7,0.8,0.7,0.8,0,0,0
20130529,THV,0.8,0.8,0.7,0.7,177300,0.8,0.8,0.7,0.7,0,10000,0
20130528,THV,0.7,0.8,0.7,0.8,382700,0.7,0.8,0.7,0.8,100,0,0
20130527,THV,0.7,0.7,0.6,0.7,95100,0.7,0.7,0.6,0.7,15,0,0
20130524,THV,0.7,0.8,0.7,0.7,165500,0.7,0.8,0.7,0.7,0,0,0
20130523,THV,0.8,0.8,0.7,0.7,160800,0.8,0.8,0.7,0.7,150,0,0
20130522,THV,0.7,0.8,0.7,0.8,358200,0.7,0.8,0.7,0.8,0,0,0
20130521,THV,0.7,0.8,0.6,0.7,393700,0.7,0.8,0.6,0.7,50,0,0
20130520,THV,0.7,0.7,0.6,0.7,81700,0.7,0.7,0.6,0.7,0,0,0
20130517,THV,0.7,0.7,0.6,0.7,232700,0.7,0.7,0.6,0.7,55,0,0
20130516,THV,0.7,0.8,0.7,0.7,153200,0.7,0.8,0.7,0.7,80,0,0
20130515,THV,0.7,0.8,0.7,0.8,97200,0.7,0.8,0.7,0.8,50,0,100
20130514,THV,0.7,0.8,0.7,0.7,358100,0.7,0.8,0.7,0.7,0,0,0
20130513,THV,0.7,0.8,0.7,0.8,121600,0.7,0.8,0.7,0.8,50,0,0
20130510,THV,0.7,0.8,0.7,0.7,331300,0.7,0.8,0.7,0.7,0,7000,0
20130509,THV,0.6,0.8,0.6,0.7,642000,0.6,0.8,0.6,0.7,100,0,0
20130508,THV,0.7,0.7,0.6,0.7,259700,0.7,0.7,0.6,0.7,100,5000,0
20130507,THV,0.8,0.8,0.7,0.7,448100,0.8,0.8,0.7,0.7,125,0,0
20130506,THV,0.7,0.8,0.7,0.8,156800,0.7,0.8,0.7,0.8,125,0,0
20130503,THV,0.8,0.8,0.7,0.8,37600,0.8,0.8,0.7,0.8,0,5000,0
20130502,THV,0.7,0.8,0.7,0.8,686700,0.7,0.8,0.7,0.8,0,0,0
20130426,THV,0.8,0.8,0.7,0.7,932800,0.8,0.8,0.7,0.7,0,0,0
20130425,THV,0.8,0.8,0.7,0.8,34300,0.8,0.8,0.7,0.8,0,0,0
20130424,THV,0.7,0.8,0.7,0.8,380900,0.7,0.8,0.7,0.8,0,4999,0
20130423,THV,0.8,0.8,0.7,0.7,78700,0.8,0.8,0.7,0.7,0,0,0
20130422,THV,0.8,0.8,0.7,0.8,123600,0.8,0.8,0.7,0.8,0,3000,0
20130418,THV,0.8,0.9,0.8,0.8,182000,0.8,0.9,0.8,0.8,0,0,0
20130417,THV,0.8,0.9,0.8,0.9,70400,0.8,0.9,0.8,0.9,25,0,0
20130416,THV,0.8,0.9,0.8,0.9,100000,0.8,0.9,0.8,0.9,0,0,0
20130415,THV,0.8,0.9,0.7,0.9,367000,0.8,0.9,0.7,0.9,0,5000,0
20130412,THV,0.8,0.9,0.8,0.8,158500,0.8,0.9,0.8,0.8,0,0,0
20130411,THV,0.9,0.9,0.8,0.9,133100,0.9,0.9,0.8,0.9,0,0,0
20130410,THV,0.8,0.9,0.8,0.8,193500,0.8,0.9,0.8,0.8,95,0,0
20130409,THV,0.9,1.0,0.8,0.8,81200,0.9,1.0,0.8,0.8,0,5000,0
20130408,THV,0.8,0.9,0.7,0.9,1613700,0.8,0.9,0.7,0.9,35,0,0
20130405,THV,0.9,0.9,0.8,0.8,238100,0.9,0.9,0.8,0.8,0,0,0
20130404,THV,0.8,0.9,0.8,0.9,694300,0.8,0.9,0.8,0.9,0,0,0
20130403,THV,0.9,0.9,0.8,0.9,37600,0.9,0.9,0.8,0.9,0,0,0
20130402,THV,0.9,1.0,0.8,0.9,108000,0.9,1.0,0.8,0.9,10000,0,0
20130401,THV,0.9,0.9,0.8,0.9,225900,0.9,0.9,0.8,0.9,50,0,0
20130329,THV,0.9,0.9,0.8,0.9,44200,0.9,0.9,0.8,0.9,0,0,0
20130328,THV,0.8,0.9,0.8,0.9,85700,0.8,0.9,0.8,0.9,10000,0,0
20130327,THV,0.9,0.9,0.9,0.9,88500,0.9,0.9,0.9,0.9,0,0,0
20130326,THV,0.9,1.0,0.9,0.9,191000,0.9,1.0,0.9,0.9,60,0,0
20130325,THV,0.9,1.0,0.9,0.9,161000,0.9,1.0,0.9,0.9,0,0,0
20130322,THV,0.9,1.0,0.9,0.9,232400,0.9,1.0,0.9,0.9,0,0,0
20130321,THV,1.0,1.0,0.9,1.0,376200,1.0,1.0,0.9,1.0,0,0,0
20130320,THV,0.9,1.0,0.9,1.0,162800,0.9,1.0,0.9,1.0,0,0,0
20130319,THV,0.9,1.0,0.8,0.9,426800,0.9,1.0,0.8,0.9,12400,0,0
20130318,THV,1.0,1.0,0.9,0.9,88200,1.0,1.0,0.9,0.9,0,0,0
20130315,THV,0.9,1.0,0.9,1.0,73300,0.9,1.0,0.9,1.0,0,0,0
20130314,THV,1.0,1.0,0.9,0.9,437500,1.0,1.0,0.9,0.9,12400,0,100
20130313,THV,0.9,1.0,0.9,1.0,492900,0.9,1.0,0.9,1.0,0,0,0
20130312,THV,1.0,1.0,0.9,0.9,197500,1.0,1.0,0.9,0.9,50,100,0
20130311,THV,1.0,1.0,0.9,1.0,147900,1.0,1.0,0.9,1.0,75,100,0
20130308,THV,1.0,1.0,0.9,1.0,352300,1.0,1.0,0.9,1.0,0,19900,0
20130307,THV,0.9,1.0,0.9,1.0,321800,0.9,1.0,0.9,1.0,0,0,2400
20130306,THV,0.9,1.0,0.9,0.9,742100,0.9,1.0,0.9,0.9,50,0,0
20130305,THV,1.0,1.1,0.9,1.0,363100,1.0,1.1,0.9,1.0,0,0,0
20130304,THV,1.1,1.1,1.0,1.0,398800,1.1,1.1,1.0,1.0,0,0,0
20130301,THV,1.0,1.1,0.9,1.1,341600,1.0,1.1,0.9,1.1,5000,0,0
20130228,THV,1.0,1.1,1.0,1.0,1459000,1.0,1.1,1.0,1.0,15000,0,0
20130227,THV,1.1,1.1,1.1,1.1,320400,1.1,1.1,1.1,1.1,30000,0,0
20130226,THV,1.2,1.3,1.2,1.2,640200,1.2,1.3,1.2,1.2,0,0,0
20130225,THV,1.3,1.4,1.2,1.3,417400,1.3,1.4,1.2,1.3,0,0,0
20130222,THV,1.2,1.3,1.1,1.3,817300,1.2,1.3,1.1,1.3,0,0,0
20130221,THV,1.4,1.4,1.2,1.2,1397400,1.4,1.4,1.2,1.2,0,9500,0
20130220,THV,1.3,1.3,1.2,1.3,1488400,1.3,1.3,1.2,1.3,0,0,0
20130219,THV,1.3,1.4,1.2,1.2,963700,1.3,1.4,1.2,1.2,30,0,0
20130218,THV,1.2,1.3,1.2,1.3,752400,1.2,1.3,1.2,1.3,30,0,8800
20130208,THV,1.2,1.3,1.1,1.2,431500,1.2,1.3,1.1,1.2,0,0,0
20130207,THV,1.1,1.2,1.0,1.2,561500,1.1,1.2,1.0,1.2,0,0,77000
20130206,THV,1.2,1.2,1.1,1.1,737400,1.2,1.2,1.1,1.1,0,8800,0
20130205,THV,1.2,1.2,1.1,1.2,329800,1.2,1.2,1.1,1.2,0,0,0
20130204,THV,1.3,1.3,1.2,1.2,841900,1.3,1.3,1.2,1.2,17700,0,0
20130201,THV,1.2,1.3,1.1,1.3,610200,1.2,1.3,1.1,1.3,0,0,0
20130131,THV,1.3,1.3,1.2,1.2,326300,1.3,1.3,1.2,1.2,0,0,0
20130130,THV,1.3,1.4,1.2,1.3,389000,1.3,1.4,1.2,1.3,0,0,0
20130129,THV,1.3,1.4,1.2,1.3,520200,1.3,1.4,1.2,1.3,0,0,0
20130128,THV,1.3,1.4,1.3,1.3,1383500,1.3,1.4,1.3,1.3,0,300,0
20130125,THV,1.4,1.4,1.3,1.4,411500,1.4,1.4,1.3,1.4,0,0,0
20130124,THV,1.3,1.4,1.2,1.3,443800,1.3,1.4,1.2,1.3,0,0,0
20130123,THV,1.2,1.4,1.2,1.3,851500,1.2,1.4,1.2,1.3,0,0,0
20130122,THV,1.4,1.5,1.3,1.3,1147500,1.4,1.5,1.3,1.3,75,0,0
20130121,THV,1.4,1.5,1.4,1.4,1613400,1.4,1.5,1.4,1.4,0,0,0
20130118,THV,1.6,1.6,1.5,1.5,1960700,1.6,1.6,1.5,1.5,0,0,0
20130117,THV,1.6,1.6,1.5,1.6,2749900,1.6,1.6,1.5,1.6,0,0,0
20130116,THV,1.5,1.5,1.4,1.5,1773700,1.5,1.5,1.4,1.5,30,0,0
20130115,THV,1.2,1.4,1.2,1.4,2453600,1.2,1.4,1.2,1.4,0,0,300
20130114,THV,1.4,1.4,1.3,1.3,781700,1.4,1.4,1.3,1.3,100,0,50500
20130111,THV,1.5,1.6,1.4,1.4,1339600,1.5,1.6,1.4,1.4,0,0,1200
20130110,THV,1.5,1.6,1.4,1.5,1087200,1.5,1.6,1.4,1.5,0,35500,80000
20130109,THV,1.5,1.5,1.4,1.5,3767400,1.5,1.5,1.4,1.5,0,66000,50000
20130108,THV,1.4,1.4,1.3,1.4,3861900,1.4,1.4,1.3,1.4,7000,49000,65000
20130107,THV,1.3,1.3,1.3,1.3,585400,1.3,1.3,1.3,1.3,0,80000,0
20130104,THV,1.2,1.2,1.1,1.2,739100,1.2,1.2,1.1,1.2,0,0,0
20130103,THV,1.0,1.1,1.0,1.1,3325300,1.0,1.1,1.0,1.1,5,35000,0
20130102,THV,1.0,1.0,0.9,1.0,1278200,1.0,1.0,0.9,1.0,0,0,10200
20121228,THV,0.9,1.0,0.9,0.9,565700,0.9,1.0,0.9,0.9,0,0,0
20121227,THV,1.0,1.0,0.9,0.9,626500,1.0,1.0,0.9,0.9,0,0,0
20121226,THV,0.8,0.9,0.8,0.9,894200,0.8,0.9,0.8,0.9,0,43000,0
20121225,THV,0.9,0.9,0.8,0.8,298300,0.9,0.9,0.8,0.8,0,0,0
20121224,THV,0.9,0.9,0.8,0.9,165700,0.9,0.9,0.8,0.9,0,0,0
20121221,THV,0.9,0.9,0.8,0.9,60300,0.9,0.9,0.8,0.9,0,0,0
20121220,THV,1.0,1.0,0.9,0.9,748900,1.0,1.0,0.9,0.9,0,0,0
20121219,THV,0.9,1.0,0.8,1.0,790000,0.9,1.0,0.8,1.0,50,0,0
20121218,THV,1.0,1.0,0.9,0.9,425400,1.0,1.0,0.9,0.9,55,0,0
20121217,THV,0.9,1.0,0.8,1.0,663400,0.9,1.0,0.8,1.0,0,0,0
20121214,THV,0.9,1.0,0.9,0.9,650100,0.9,1.0,0.9,0.9,50,0,0
20121213,THV,0.9,1.0,0.8,0.9,1448700,0.9,1.0,0.8,0.9,20070,300,0
20121212,THV,0.8,0.9,0.8,0.9,537900,0.8,0.9,0.8,0.9,50,0,0
20121211,THV,0.9,0.9,0.8,0.8,882900,0.9,0.9,0.8,0.8,0,0,0
20121210,THV,0.8,0.9,0.8,0.9,528600,0.8,0.9,0.8,0.9,50,0,0
20121207,THV,0.8,0.9,0.7,0.8,689900,0.8,0.9,0.7,0.8,0,0,0
20121206,THV,0.8,0.8,0.7,0.8,113000,0.8,0.8,0.7,0.8,0,0,0
20121205,THV,0.8,0.9,0.7,0.8,1238500,0.8,0.9,0.7,0.8,0,0,0
20121204,THV,0.8,0.8,0.7,0.8,207500,0.8,0.8,0.7,0.8,0,0,0
20121203,THV,0.7,0.8,0.7,0.8,48200,0.7,0.8,0.7,0.8,0,0,0
20121130,THV,0.7,0.8,0.7,0.8,126400,0.7,0.8,0.7,0.8,60,0,0
20121129,THV,0.8,0.8,0.7,0.7,54400,0.8,0.8,0.7,0.7,29000,0,0
20121128,THV,0.8,0.8,0.7,0.8,82200,0.8,0.8,0.7,0.8,50,0,0
20121127,THV,0.8,0.8,0.7,0.8,41400,0.8,0.8,0.7,0.8,0,0,0
20121126,THV,0.8,0.9,0.8,0.8,180000,0.8,0.9,0.8,0.8,29000,0,0
20121123,THV,0.8,0.8,0.7,0.8,537200,0.8,0.8,0.7,0.8,0,0,0
