<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VE1,7.9,7.9,7.7,7.9,2200,7.9,7.9,7.7,7.9,0,1200,0
20170623,VE1,8.2,8.2,7.7,8.2,15600,8.2,8.2,7.7,8.2,0,0,4600
20170622,VE1,7.7,8.0,7.6,7.6,10620,7.7,8.0,7.6,7.6,0,0,0
20170621,VE1,7.8,8.0,7.7,7.7,2200,7.8,8.0,7.7,7.7,0,0,0
20170620,VE1,7.7,7.7,7.7,7.7,2100,7.7,7.7,7.7,7.7,0,0,0
20170619,VE1,7.4,7.4,7.4,7.4,100,7.4,7.4,7.4,7.4,0,0,0
20170615,VE1,6.6,7.3,6.6,7.3,2800,6.6,7.3,6.6,7.3,0,0,2600
20170614,VE1,6.8,7.0,6.8,7.0,300,6.8,7.0,6.8,7.0,0,0,0
20170613,VE1,7.4,7.4,7.4,7.4,100,7.4,7.4,7.4,7.4,0,0,0
20170612,VE1,7.2,7.7,6.8,7.7,4100,7.2,7.7,6.8,7.7,0,0,0
20170609,VE1,7.1,7.9,7.0,7.0,6700,7.1,7.9,7.0,7.0,0,0,0
20170608,VE1,8.5,8.5,7.6,7.6,2100,8.5,8.5,7.6,7.6,0,0,1000
20170607,VE1,9.0,9.0,8.4,8.4,2900,9.0,9.0,8.4,8.4,0,0,0
20170606,VE1,8.7,8.7,8.7,8.7,10,8.7,8.7,8.7,8.7,0,0,0
20170605,VE1,8.7,8.7,8.7,8.7,2000,8.7,8.7,8.7,8.7,0,0,0
20170531,VE1,9.3,9.3,9.3,9.3,100,9.3,9.3,9.3,9.3,0,0,0
20170530,VE1,8.5,8.5,8.5,8.5,710,8.5,8.5,8.5,8.5,0,500,0
20170529,VE1,10.1,10.1,8.4,8.5,400,10.1,10.1,8.4,8.5,0,0,0
20170526,VE1,9.3,9.3,9.3,9.3,100,9.3,9.3,9.3,9.3,0,0,0
20170525,VE1,9.8,9.8,8.5,8.5,200,9.8,9.8,8.5,8.5,0,0,0
20170524,VE1,9.0,9.7,9.0,9.4,1600,9.0,9.7,9.0,9.4,0,1000,0
20170522,VE1,8.1,8.9,8.1,8.9,4900,8.1,8.9,8.1,8.9,0,0,3100
20170519,VE1,8.1,8.1,8.0,8.1,8800,8.1,8.1,8.0,8.1,0,0,0
20170518,VE1,8.2,8.4,7.4,7.4,12100,8.2,8.4,7.4,7.4,0,0,0
20170517,VE1,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,0,100
20170516,VE1,8.2,8.2,8.2,8.2,2500,8.2,8.2,8.2,8.2,0,0,0
20170515,VE1,8.2,8.2,8.2,8.2,4500,8.2,8.2,8.2,8.2,0,4000,400
20170512,VE1,8.2,8.2,8.0,8.2,3500,8.2,8.2,8.0,8.2,0,0,0
20170511,VE1,8.0,8.5,8.0,8.0,2500,8.0,8.5,8.0,8.0,0,0,0
20170510,VE1,7.8,8.8,7.8,8.8,11401,7.8,8.8,7.8,8.8,0,0,4000
20170509,VE1,8.5,8.8,8.5,8.6,14000,8.5,8.8,8.5,8.6,0,0,800
20170504,VE1,8.6,8.6,8.6,8.6,100,8.6,8.6,8.6,8.6,0,0,0
20170503,VE1,7.2,8.0,7.2,8.0,11700,7.2,8.0,7.2,8.0,0,0,0
20170428,VE1,8.0,8.0,7.3,7.3,239,8.0,8.0,7.3,7.3,0,139,0
20170427,VE1,8.1,8.1,8.1,8.1,4900,8.1,8.1,8.1,8.1,0,0,0
20170426,VE1,9.0,9.0,9.0,9.0,1001,9.0,9.0,9.0,9.0,0,0,0
20170425,VE1,8.1,9.9,8.1,9.9,10200,8.1,9.9,8.1,9.9,0,0,10100
20170424,VE1,9.0,9.0,9.0,9.0,1000,9.0,9.0,9.0,9.0,0,0,1000
20170419,VE1,9.9,9.9,9.9,9.9,1600,9.9,9.9,9.9,9.9,0,0,0
20170418,VE1,10.5,12.6,10.5,11.0,2500,10.5,12.6,10.5,11.0,0,0,0
20170417,VE1,11.9,11.9,11.5,11.5,3100,11.9,11.9,11.5,11.5,0,0,0
20170413,VE1,10.9,10.9,10.9,10.9,100,10.9,10.9,10.9,10.9,0,0,0
20170412,VE1,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170411,VE1,10.4,10.4,9.5,9.5,600,10.4,10.4,9.5,9.5,0,0,0
20170410,VE1,8.7,9.5,8.5,9.5,7000,8.7,9.5,8.5,9.5,0,0,0
20170405,VE1,9.1,9.1,9.0,9.0,17600,9.1,9.1,9.0,9.0,0,0,0
20170404,VE1,8.2,9.6,8.1,9.2,112640,8.2,9.6,8.1,9.2,0,112600,0
