<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,VGP,27.5,27.5,27.0,27.0,200,27.5,27.5,27.0,27.0,0,0,0
20170607,VGP,28.0,28.9,28.0,28.9,7539,28.0,28.9,28.0,28.9,0,0,0
20170606,VGP,26.2,27.2,26.2,27.2,627,26.2,27.2,26.2,27.2,0,0,100
20170605,VGP,24.8,24.8,24.8,24.8,33,24.8,24.8,24.8,24.8,0,0,0
20170602,VGP,24.8,24.8,24.8,24.8,912,24.8,24.8,24.8,24.8,0,0,0
20170601,VGP,22.0,22.6,22.0,22.6,900,22.0,22.6,22.0,22.6,0,0,0
20170526,VGP,22.6,22.6,20.6,20.6,903,22.6,22.6,20.6,20.6,0,0,0
20170524,VGP,22.6,22.6,22.6,22.6,169,22.6,22.6,22.6,22.6,0,0,0
20170523,VGP,24.2,24.2,24.2,24.2,12,24.2,24.2,24.2,24.2,0,0,0
20170519,VGP,22.0,24.2,22.0,24.2,4633,22.0,24.2,22.0,24.2,0,0,3500
20170518,VGP,22.0,22.0,22.0,22.0,700,22.0,22.0,22.0,22.0,0,0,0
20170517,VGP,22.5,22.5,22.5,22.5,94,22.5,22.5,22.5,22.5,0,0,0
20170516,VGP,22.5,22.5,22.5,22.5,500,22.5,22.5,22.5,22.5,0,0,500
20170515,VGP,22.4,22.4,22.4,22.4,11,22.4,22.4,22.4,22.4,0,0,0
20170512,VGP,22.4,22.4,22.4,22.4,1400,22.4,22.4,22.4,22.4,0,0,0
20170509,VGP,19.1,22.2,19.1,22.2,200,19.1,22.2,19.1,22.2,0,0,0
20170508,VGP,21.0,21.0,21.0,21.0,33,21.0,21.0,21.0,21.0,0,0,0
20170505,VGP,21.0,21.0,21.0,21.0,362,21.0,21.0,21.0,21.0,0,0,0
20170428,VGP,23.0,23.0,23.0,23.0,100,23.0,23.0,23.0,23.0,0,0,0
20170425,VGP,23.0,23.0,23.0,23.0,200,23.0,23.0,23.0,23.0,0,0,0
20170424,VGP,23.0,23.0,23.0,23.0,100,23.0,23.0,23.0,23.0,0,0,0
20170412,VGP,23.2,23.2,23.2,23.2,1380,23.2,23.2,23.2,23.2,0,0,1300
20170411,VGP,25.8,25.8,25.7,25.7,932,25.8,25.8,25.7,25.7,0,0,866
20170331,VGP,28.5,28.5,28.5,28.5,16,28.5,28.5,28.5,28.5,0,0,0
20170329,VGP,28.5,28.5,28.5,28.5,600,28.5,28.5,28.5,28.5,661970,0,0
20170327,VGP,25.0,28.8,25.0,28.8,38800,25.0,28.8,25.0,28.8,0,0,11200
20170324,VGP,26.3,26.3,26.3,26.3,100,26.3,26.3,26.3,26.3,0,0,100
20170316,VGP,25.5,26.4,25.4,26.4,1300,25.5,26.4,25.4,26.4,0,0,1000
20170315,VGP,25.5,25.5,25.5,25.5,400,25.5,25.5,25.5,25.5,0,0,0
