<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170316,VHF,17.3,17.3,17.3,17.3,100,17.3,17.3,17.3,17.3,0,0,0
20170314,VHF,15.1,15.1,15.1,15.1,100,15.1,15.1,15.1,15.1,0,0,0
20170309,VHF,13.2,13.2,13.2,13.2,100,13.2,13.2,13.2,13.2,0,0,0
20170307,VHF,11.5,11.5,11.5,11.5,100,11.5,11.5,11.5,11.5,0,0,0
20170306,VHF,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170303,VHF,8.7,8.7,8.7,8.7,2000,8.7,8.7,8.7,8.7,0,0,0
20170106,VHF,14.3,16.8,14.3,16.8,2800,14.3,16.8,14.3,16.8,0,0,0
20161213,VHF,16.8,16.8,16.8,16.8,3000,16.8,16.8,16.8,16.8,0,0,0
20161021,VHF,15.0,17.4,14.8,14.8,1700,15.0,17.4,14.8,14.8,0,0,0
20161003,VHF,17.0,17.8,17.0,17.8,20000,17.0,17.8,17.0,17.8,0,0,0
20160920,VHF,17.6,17.6,17.6,17.6,100,17.9,17.9,17.9,17.9,400,0,0
20160912,VHF,15.34,15.34,15.34,15.34,100,15.6,15.6,15.6,15.6,0,0,0
20160909,VHF,13.47,13.47,13.47,13.47,100,13.7,13.7,13.7,13.7,0,0,0
20160908,VHF,11.8,11.8,11.8,11.8,100,12.0,12.0,12.0,12.0,0,0,0
20160907,VHF,10.42,10.42,10.42,10.42,100,10.6,10.6,10.6,10.6,0,0,0
20160906,VHF,9.15,9.15,9.15,9.14,100,9.3,9.3,9.3,9.3,0,0,0
20160506,VHF,6.59,6.59,6.59,6.59,100,6.7,6.7,6.7,6.7,0,0,0
20160505,VHF,5.8,5.8,5.8,5.8,1500,5.9,5.9,5.9,5.9,0,0,0
20160411,VHF,6.79,6.79,6.79,6.78,4000,6.9,6.9,6.9,6.9,0,0,0
20160406,VHF,5.9,5.9,5.9,5.9,10000,6.0,6.0,6.0,6.0,0,0,0
20160405,VHF,3.54,5.9,3.54,5.9,16100,3.6,6.0,3.6,6.0,0,0,0
20160203,VHF,5.9,5.9,5.9,5.9,10000,6.0,6.0,6.0,6.0,0,0,0
20151104,VHF,9.83,9.83,9.83,9.83,200,10.0,10.0,10.0,10.0,0,0,0
20150701,VHF,12.78,12.78,12.78,12.78,100,13.0,13.0,13.0,13.0,0,0,0
20150528,VHF,12.79,12.79,12.79,12.78,1100,13.0,13.0,13.0,13.0,0,0,0
20150507,VHF,12.49,12.49,12.49,12.49,200,12.7,12.7,12.7,12.7,0,0,0
20150506,VHF,10.42,12.48,10.42,12.49,200,10.6,12.7,10.6,12.7,0,0,0
20150424,VHF,11.5,11.5,11.5,11.5,100,11.7,11.7,11.7,11.7,0,0,0
20150327,VHF,12.78,12.78,12.78,12.78,100,13.0,13.0,13.0,13.0,0,0,0
20150326,VHF,12.1,12.1,12.1,12.09,100,12.3,12.3,12.3,12.3,0,0,0
20150325,VHF,9.93,11.99,9.93,12.0,200,10.1,12.2,10.1,12.2,0,0,0
20150324,VHF,11.02,11.02,11.02,11.01,200,11.2,11.2,11.2,11.2,0,0,0
20150319,VHF,10.12,10.12,10.12,10.13,100,10.3,10.3,10.3,10.3,0,0,0
20150318,VHF,9.25,9.25,9.25,9.24,200,9.4,9.4,9.4,9.4,0,0,0
20150317,VHF,10.22,10.22,10.22,10.23,300,10.4,10.4,10.4,10.4,0,0,0
20150313,VHF,8.46,10.22,8.46,10.23,200,8.6,10.4,8.6,10.4,0,0,0
20150312,VHF,9.34,9.34,9.34,9.34,100,9.5,9.5,9.5,9.5,0,0,0
20150303,VHF,10.32,10.32,10.32,10.32,100,10.5,10.5,10.5,10.5,0,0,0
20150126,VHF,10.33,10.33,10.33,10.32,26000,10.5,10.5,10.5,10.5,0,0,0
20150107,VHF,11.4,11.4,11.4,11.41,200,11.6,11.6,11.6,11.6,0,0,0
20141210,VHF,11.5,11.5,11.5,11.5,100,11.7,11.7,11.7,11.7,0,0,0
20141128,VHF,10.89,10.89,10.89,10.9,100,11.5,11.5,11.5,11.5,0,0,0
20141119,VHF,10.04,10.04,10.04,10.04,100,10.6,10.6,10.6,10.6,0,0,0
20141114,VHF,9.38,9.38,9.38,9.38,100,9.9,9.9,9.9,9.9,0,0,0
20141111,VHF,8.62,8.62,8.62,8.62,100,9.1,9.1,9.1,9.1,0,0,0
20141107,VHF,7.86,7.86,7.86,7.86,100,8.3,8.3,8.3,8.3,0,0,0
20141104,VHF,7.1,11.56,7.01,11.56,7800,7.5,12.2,7.4,12.2,0,0,0
20140910,VHF,11.66,11.66,11.66,11.65,100,12.3,12.3,12.3,12.3,0,0,0
20140728,VHF,11.75,11.75,11.75,11.75,100,12.4,12.4,12.4,12.4,0,0,0
20140612,VHF,11.85,11.85,11.85,11.84,100,12.5,12.5,12.5,12.5,0,0,0
20140416,VHF,10.89,10.89,10.89,10.9,100,11.5,11.5,11.5,11.5,0,0,0
20140306,VHF,10.42,10.42,10.42,10.42,100,11.0,11.0,11.0,11.0,0,0,0
20140211,VHF,9.66,10.42,9.66,10.42,1100,10.2,11.0,10.2,11.0,0,0,0
20131226,VHF,9.67,9.67,9.67,9.66,100,10.2,10.2,10.2,10.2,0,0,0
20131218,VHF,9.1,9.1,9.1,9.1,100,9.6,9.6,9.6,9.6,0,0,0
20131211,VHF,8.52,8.52,8.52,8.53,100,9.0,9.0,9.0,9.0,0,0,0
20131206,VHF,7.86,7.86,7.86,7.86,100,8.3,8.3,8.3,8.3,0,0,0
20130917,VHF,12.77,12.77,12.77,12.77,100,14.0,14.0,14.0,14.0,0,0,0
20130708,VHF,10.76,10.76,10.76,10.76,300,11.8,11.8,11.8,11.8,0,0,0
20130705,VHF,9.85,9.85,9.85,9.85,200,10.8,10.8,10.8,10.8,0,0,0
20130704,VHF,9.03,9.03,9.03,9.03,200,9.9,9.9,9.9,9.9,0,0,0
20130703,VHF,8.21,8.21,8.21,8.21,2000,9.0,9.0,9.0,9.0,0,0,0
20130425,VHF,9.58,9.58,9.58,9.58,100,10.5,10.5,10.5,10.5,0,0,0
20130423,VHF,8.76,8.76,8.76,8.76,100,9.6,9.6,9.6,9.6,0,0,0
20130422,VHF,8.03,8.03,8.03,8.03,100,8.8,8.8,8.8,8.8,0,0,0
20130418,VHF,7.39,7.39,7.39,7.39,1000,8.1,8.1,8.1,8.1,0,0,0
20130408,VHF,8.03,8.03,8.03,8.03,1300,8.8,8.8,8.8,8.8,0,0,0
20130402,VHF,8.66,10.21,8.66,10.22,1200,9.5,11.2,9.5,11.2,0,0,0
20130329,VHF,9.3,9.3,9.3,9.3,100,10.2,10.2,10.2,10.2,0,0,0
20130328,VHF,8.57,8.57,8.57,8.57,100,9.4,9.4,9.4,9.4,0,0,0
20130327,VHF,7.85,7.85,7.85,7.84,1100,8.6,8.6,8.6,8.6,0,0,0
20130326,VHF,8.67,8.67,8.67,8.67,100,9.5,9.5,9.5,9.5,0,0,0
20130320,VHF,8.03,8.03,8.03,8.03,100,8.8,8.8,8.8,8.8,0,0,0
20130319,VHF,7.3,7.94,7.3,7.94,1300,8.0,8.7,8.0,8.7,0,0,0
20130318,VHF,7.94,7.94,7.94,7.94,1200,8.7,8.7,8.7,8.7,0,0,0
20130315,VHF,8.76,8.76,8.76,8.76,100,9.6,9.6,9.6,9.6,0,0,0
20130311,VHF,8.03,8.03,8.03,8.03,100,8.8,8.8,8.8,8.8,0,0,0
20130307,VHF,7.3,7.3,7.3,7.3,1500,8.0,8.0,8.0,8.0,0,0,0
20130304,VHF,7.57,7.57,7.57,7.57,100,8.3,8.3,8.3,8.3,0,0,0
20130227,VHF,6.93,6.93,6.93,6.93,1600,7.6,7.6,7.6,7.6,0,0,0
20130220,VHF,7.66,7.66,7.66,7.66,1400,8.4,8.4,8.4,8.4,0,0,0
20130107,VHF,12.77,12.77,12.77,12.77,200,14.0,14.0,14.0,14.0,0,0,0
20121213,VHF,12.78,12.78,12.78,12.77,100,14.0,14.0,14.0,14.0,0,0,0
20120914,VHF,10.13,10.13,10.13,10.13,1600,11.1,11.1,11.1,11.1,0,0,0
20120809,VHF,11.22,11.22,11.22,11.22,100,12.3,12.3,12.3,12.3,0,0,0
20120801,VHF,10.22,10.22,10.22,10.22,100,11.2,11.2,11.2,11.2,0,0,0
20120726,VHF,10.31,10.31,10.31,10.31,100,11.3,11.3,11.3,11.3,207500,0,0
20120618,VHF,9.4,9.4,9.4,9.4,100,10.5,10.5,10.5,10.5,0,0,0
20120612,VHF,8.6,8.6,8.6,8.59,100,9.6,9.6,9.6,9.6,0,0,0
20120606,VHF,7.88,7.88,7.88,7.88,100,8.8,8.8,8.8,8.8,0,0,0
20120521,VHF,7.16,7.16,7.16,7.16,4000,8.0,8.0,8.0,8.0,0,0,0
20111027,VHF,11.9,11.9,11.9,11.91,300,13.3,13.3,13.3,13.3,0,0,0
20111020,VHF,10.84,10.84,10.84,10.83,100,12.1,12.1,12.1,12.1,0,0,0
20110916,VHF,9.84,9.84,9.84,9.85,6400,11.0,11.0,11.0,11.0,0,0,0
20110831,VHF,10.66,10.66,10.66,10.65,100,11.9,11.9,11.9,11.9,0,0,0
20110826,VHF,9.76,9.76,9.76,9.76,100,14.9,14.9,14.9,14.9,0,0,0
20110825,VHF,10.61,10.61,8.84,8.84,2800,16.2,16.2,13.5,13.5,0,0,100
20110819,VHF,9.69,9.69,9.69,9.69,800,14.8,14.8,14.8,14.8,0,0,0
20110818,VHF,8.84,8.84,8.84,8.84,100,13.5,13.5,13.5,13.5,0,100,0
20110817,VHF,9.76,9.76,9.76,9.76,100,14.9,14.9,14.9,14.9,0,0,0
20110805,VHF,10.8,10.8,10.8,10.81,100,16.5,16.5,16.5,16.5,0,0,0
20110803,VHF,11.98,11.98,11.98,11.98,100,18.3,18.3,18.3,18.3,0,0,0
20110725,VHF,13.3,13.3,13.3,13.29,10000,20.3,20.3,20.3,20.3,0,0,0
20110712,VHF,12.12,12.12,12.12,12.12,1800,18.5,18.5,18.5,18.5,0,0,0
20110711,VHF,13.43,13.43,13.43,13.43,1500,20.5,20.5,20.5,20.5,0,0,0
20110708,VHF,12.24,12.24,12.24,12.25,100,18.7,18.7,18.7,18.7,0,0,0
20110707,VHF,11.14,11.14,11.14,11.13,500,17.0,17.0,17.0,17.0,0,0,0
20110705,VHF,11.52,11.52,11.52,11.53,1000,17.6,17.6,17.6,17.6,0,0,0
20110526,VHF,19.12,19.12,19.12,19.12,1000,29.2,29.2,29.2,29.2,0,0,0
20110419,VHF,21.22,21.22,21.22,21.22,1100,32.4,32.4,32.4,32.4,0,0,0
20110407,VHF,21.22,21.22,21.22,21.22,13600,32.4,32.4,32.4,32.4,0,0,0
20110401,VHF,23.58,23.58,23.58,23.58,1000,36.0,36.0,36.0,36.0,0,0,0
20110328,VHF,23.57,23.57,23.57,23.58,2400,36.0,36.0,36.0,36.0,0,0,0
20110323,VHF,21.61,21.61,21.61,21.61,200,33.0,33.0,33.0,33.0,0,0,0
20110322,VHF,20.95,20.95,20.95,20.96,1600,32.0,32.0,32.0,32.0,0,0,0
20110318,VHF,23.06,23.06,23.06,23.05,300,35.2,35.2,35.2,35.2,0,0,0
20110314,VHF,20.96,20.96,20.96,20.96,37300,32.0,32.0,32.0,32.0,0,0,0
20100715,VHF,82.51,82.51,82.51,82.52,10,126.0,126.0,126.0,126.0,0,0,0
20100705,VHF,81.86,81.86,81.86,81.86,10,125.0,125.0,125.0,125.0,0,0,0
