<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VHG,2.4,2.42,2.36,2.37,2099910,2.4,2.42,2.36,2.37,0,13170,0
20170626,VHG,2.36,2.43,2.36,2.4,1437300,2.36,2.43,2.36,2.4,0,13170,0
20170623,VHG,2.35,2.4,2.34,2.38,2620810,2.35,2.4,2.34,2.38,0,0,0
20170622,VHG,2.42,2.47,2.38,2.39,2259870,2.42,2.47,2.38,2.39,0,420,0
20170621,VHG,2.44,2.46,2.42,2.42,1474030,2.44,2.46,2.42,2.42,0,0,0
20170620,VHG,2.48,2.5,2.44,2.47,1389220,2.48,2.5,2.44,2.47,0,1000,0
20170619,VHG,2.5,2.53,2.47,2.48,1040130,2.5,2.53,2.47,2.48,0,2000,0
20170616,VHG,2.7,2.7,2.5,2.5,2450510,2.7,2.7,2.5,2.5,0,0,239990
20170615,VHG,2.47,2.58,2.43,2.58,5491600,2.47,2.58,2.43,2.58,0,350000,0
20170614,VHG,2.45,2.45,2.41,2.42,834450,2.45,2.45,2.41,2.42,0,0,0
20170613,VHG,2.45,2.45,2.41,2.43,789640,2.45,2.45,2.41,2.43,1160000,50000,0
20170612,VHG,2.47,2.47,2.4,2.43,1219410,2.47,2.47,2.4,2.43,0,160000,0
20170609,VHG,2.43,2.43,2.39,2.42,1152490,2.43,2.43,2.39,2.42,0,41170,0
20170608,VHG,2.49,2.5,2.4,2.41,2025640,2.49,2.5,2.4,2.41,0,0,0
20170607,VHG,2.5,2.5,2.47,2.49,844190,2.5,2.5,2.47,2.49,0,100020,19000
20170606,VHG,2.45,2.53,2.45,2.47,1719260,2.45,2.53,2.45,2.47,0,0,0
20170605,VHG,2.41,2.51,2.41,2.45,1505380,2.41,2.51,2.41,2.45,0,192760,0
20170602,VHG,2.45,2.45,2.39,2.43,805760,2.45,2.45,2.39,2.43,0,0,0
20170601,VHG,2.43,2.48,2.4,2.41,1348560,2.43,2.48,2.4,2.41,0,0,0
