<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VIB,22.6,22.6,22.5,22.5,17335,22.6,22.6,22.5,22.5,0,0,0
20170626,VIB,23.0,23.0,22.8,22.8,13584,23.0,23.0,22.8,22.8,1301,0,0
20170623,VIB,22.8,23.0,22.5,23.0,29797,22.8,23.0,22.5,23.0,0,0,0
20170622,VIB,22.2,23.0,22.2,23.0,13800,22.2,23.0,22.2,23.0,233000,0,0
20170621,VIB,22.7,23.0,22.7,23.0,17760,22.7,23.0,22.7,23.0,0,0,0
20170620,VIB,22.1,22.6,22.1,22.6,11400,22.1,22.6,22.1,22.6,0,400,500
20170619,VIB,22.0,22.0,21.9,21.9,18800,22.0,22.0,21.9,21.9,311652,0,0
20170616,VIB,22.1,22.1,21.0,21.9,21702,22.1,22.1,21.0,21.9,0,0,0
20170615,VIB,22.0,22.0,22.0,22.0,17320,22.0,22.0,22.0,22.0,0,0,0
20170614,VIB,22.1,22.1,21.9,22.0,16820,22.1,22.1,21.9,22.0,78652,0,0
20170613,VIB,22.1,22.1,21.9,22.0,17910,22.1,22.1,21.9,22.0,0,0,0
20170612,VIB,22.0,22.0,22.0,22.0,32600,22.0,22.0,22.0,22.0,0,0,0
20170609,VIB,22.0,22.1,22.0,22.0,43100,22.0,22.1,22.0,22.0,0,0,0
20170608,VIB,22.1,22.1,22.0,22.1,50310,22.1,22.1,22.0,22.1,0,500,0
20170607,VIB,22.9,22.9,22.1,22.3,69855,22.9,22.9,22.1,22.3,0,0,0
20170606,VIB,22.1,22.2,22.0,22.2,53340,22.1,22.2,22.0,22.2,0,0,0
20170605,VIB,22.2,22.8,22.0,22.0,39900,22.2,22.8,22.0,22.0,0,0,900
20170602,VIB,22.8,23.0,22.0,22.2,2580,22.8,23.0,22.0,22.2,0,0,0
20170601,VIB,22.87,22.87,21.5,21.5,16940,23.4,23.4,22.0,22.0,0,0,0
20170531,VIB,22.48,22.48,21.99,22.09,16824,23.0,23.0,22.5,22.6,0,0,0
