<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VIC,42.8,42.8,42.5,42.6,217480,42.8,42.8,42.5,42.6,65220,348170,31690
20170626,VIC,42.05,42.95,42.05,42.8,579860,42.05,42.95,42.05,42.8,0,348170,31690
20170623,VIC,41.8,42.1,41.8,42.05,452090,41.8,42.1,41.8,42.05,240000,314800,289570
20170622,VIC,42.65,42.7,42.1,42.1,291210,42.65,42.7,42.1,42.1,103000,167430,230330
20170621,VIC,42.3,42.8,41.95,42.8,556290,42.3,42.8,41.95,42.8,0,139630,242610
20170620,VIC,43.2,43.2,42.3,42.3,475170,43.2,43.2,42.3,42.3,20000,111880,161020
20170619,VIC,42.5,43.1,42.35,43.1,756020,42.5,43.1,42.35,43.1,0,439180,52860
20170616,VIC,42.85,43.0,42.4,43.0,3660640,42.85,43.0,42.4,43.0,0,3620310,2056340
20170615,VIC,41.6,42.3,41.6,42.3,777300,41.6,42.3,41.6,42.3,173860,677600,369370
20170614,VIC,43.0,43.1,41.2,41.5,1835800,43.0,43.1,41.2,41.5,0,738840,36380
20170613,VIC,42.55,43.0,42.25,43.0,953070,42.55,43.0,42.25,43.0,5470938,393180,79500
20170612,VIC,41.8,42.35,41.6,42.35,1150090,41.8,42.35,41.6,42.35,0,201990,55560
20170609,VIC,41.4,41.8,41.4,41.6,538240,41.4,41.8,41.4,41.6,0,140690,12430
20170608,VIC,41.1,41.8,40.7,41.3,702230,41.1,41.8,40.7,41.3,17212651,339800,231900
20170607,VIC,40.65,41.0,40.65,41.0,494480,40.65,41.0,40.65,41.0,0,155460,53930
20170606,VIC,40.75,40.75,40.55,40.65,439540,40.75,40.75,40.55,40.65,0,66410,6960
20170605,VIC,40.5,40.65,40.25,40.6,494100,40.5,40.65,40.25,40.6,17264161,167590,95830
20170602,VIC,40.55,40.65,40.4,40.6,630520,40.55,40.65,40.4,40.6,0,260290,125150
20170601,VIC,40.5,40.65,40.25,40.55,710890,40.5,40.65,40.25,40.55,0,135360,421090
20170531,VIC,40.3,40.7,40.2,40.25,633970,40.3,40.7,40.2,40.25,17360000,90020,310400
