<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170512,^AEX,534.64,534.87,533.13,534.71,179749000,534.64,534.87,533.13,534.71,0,0,0
20170511,^AEX,536.78,537.23,532.5,534.24,152812400,536.78,537.23,532.5,534.24,0,0,0
20170510,^AEX,535.27,535.86,534.18,535.66,114814000,535.27,535.86,534.18,535.66,0,0,0
20170509,^AEX,535.32,537.84,535.32,536.26,100627900,535.32,537.84,535.32,536.26,0,0,0
20170508,^AEX,534.08,535.05,531.79,534.31,113304500,534.08,535.05,531.79,534.31,0,0,0
20170505,^AEX,527.0,533.27,526.62,533.27,121041100,527.0,533.27,526.62,533.27,0,0,0
20170504,^AEX,527.53,528.76,525.77,528.44,127029600,527.53,528.76,525.77,528.44,0,0,0
20170503,^AEX,524.61,525.2,523.86,525.2,86823500,524.61,525.2,523.86,525.2,0,0,0
20170502,^AEX,522.4,525.82,521.79,525.48,106867800,522.4,525.82,521.79,525.48,0,0,0
20170428,^AEX,520.56,522.19,520.08,521.13,125508000,520.56,522.19,520.08,521.13,0,0,0
20170427,^AEX,522.41,522.47,520.97,521.89,107925600,522.41,522.47,520.97,521.89,0,0,0
20170426,^AEX,523.88,524.92,522.54,524.46,121254800,523.88,524.92,522.54,524.46,0,0,0
20170425,^AEX,525.61,526.25,523.52,524.05,112972100,525.61,526.25,523.52,524.05,0,0,0
20170424,^AEX,522.21,525.02,520.99,523.73,169061000,522.21,525.02,520.99,523.73,0,0,0
20170421,^AEX,512.7,513.62,510.13,512.19,131561300,512.7,513.62,510.13,512.19,0,0,0
20170420,^AEX,510.17,513.99,509.4,511.72,99882800,510.17,513.99,509.4,511.72,0,0,0
20170419,^AEX,511.4,514.39,509.76,511.28,122048700,511.4,514.39,509.76,511.28,0,0,0
20170418,^AEX,515.55,516.09,509.52,509.73,125086000,515.55,516.09,509.52,509.73,0,0,0
20170413,^AEX,516.33,516.88,514.71,515.77,75051800,516.33,516.88,514.71,515.77,0,0,0
20170412,^AEX,519.34,521.48,517.52,517.81,97885600,519.34,521.48,517.52,517.81,0,0,0
20170411,^AEX,517.6,520.31,515.71,518.4,91743300,517.6,520.31,515.71,518.4,0,0,0
20170410,^AEX,519.51,519.76,516.98,519.16,66119400,519.51,519.76,516.98,519.16,0,0,0
20170407,^AEX,515.58,518.7,514.22,518.7,87415800,515.58,518.7,514.22,518.7,0,0,0
20170406,^AEX,511.48,516.56,510.86,516.3,84187900,511.48,516.56,510.86,516.3,0,0,0
20170405,^AEX,515.07,517.37,514.56,514.89,84498700,515.07,517.37,514.56,514.89,0,0,0
20170404,^AEX,513.46,514.38,512.12,514.05,77869700,513.46,514.38,512.12,514.05,0,0,0
