<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170620,VTG,18.0,18.0,18.0,18.0,5200,18.0,18.0,18.0,18.0,0,0,0
20170619,VTG,16.0,18.0,16.0,18.0,57800,16.0,18.0,16.0,18.0,0,0,0
20170615,VTG,16.0,16.0,16.0,16.0,1000,16.0,16.0,16.0,16.0,0,0,0
20170613,VTG,15.9,15.9,15.5,15.5,14400,15.9,15.9,15.5,15.5,0,0,0
20170612,VTG,15.0,16.0,15.0,16.0,5400,15.0,16.0,15.0,16.0,0,0,0
20170609,VTG,15.0,15.0,15.0,15.0,40,15.0,15.0,15.0,15.0,0,0,0
20170608,VTG,15.0,15.0,15.0,15.0,3600,15.0,15.0,15.0,15.0,0,0,0
20170607,VTG,14.8,14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,0,0,0
20170606,VTG,12.9,12.9,12.9,12.9,40,12.9,12.9,12.9,12.9,0,0,0
20170601,VTG,12.9,12.9,12.9,12.9,100,12.9,12.9,12.9,12.9,0,0,0
20170530,VTG,15.1,15.1,15.1,15.1,2000,15.1,15.1,15.1,15.1,0,0,0
20170525,VTG,15.0,15.0,15.0,15.0,500,15.0,15.0,15.0,15.0,0,0,0
20170523,VTG,15.0,15.0,15.0,15.0,2000,15.0,15.0,15.0,15.0,0,0,0
20170522,VTG,15.0,15.0,15.0,15.0,3000,15.0,15.0,15.0,15.0,0,0,0
20170519,VTG,15.0,15.0,15.0,15.0,2000,15.0,15.0,15.0,15.0,0,0,2000
20170517,VTG,15.0,15.0,15.0,15.0,3000,15.0,15.0,15.0,15.0,0,0,0
20170515,VTG,14.9,14.9,14.9,14.9,3000,14.9,14.9,14.9,14.9,0,0,0
20170512,VTG,14.8,14.8,14.8,14.8,3000,14.8,14.8,14.8,14.8,0,0,0
20170511,VTG,15.0,15.0,15.0,15.0,3000,15.0,15.0,15.0,15.0,0,0,0
20170509,VTG,15.0,15.0,15.0,15.0,2500,15.0,15.0,15.0,15.0,0,0,0
20170426,VTG,14.1,14.1,14.1,14.1,2000,14.1,14.1,14.1,14.1,0,0,0
20170425,VTG,14.0,14.0,14.0,14.0,500,14.0,14.0,14.0,14.0,0,0,0
20170420,VTG,13.5,13.5,13.5,13.5,2000,13.5,13.5,13.5,13.5,0,0,0
20170418,VTG,13.0,13.0,13.0,13.0,500,13.0,13.0,13.0,13.0,0,0,0
20170414,VTG,12.8,12.8,12.8,12.8,1500,12.8,12.8,12.8,12.8,0,0,0
20170412,VTG,12.3,12.3,12.3,12.3,9500,12.3,12.3,12.3,12.3,0,0,0
20170411,VTG,12.7,12.9,12.0,12.9,11400,12.7,12.9,12.0,12.9,0,0,0
20170407,VTG,12.0,12.1,12.0,12.0,6500,12.0,12.1,12.0,12.0,0,0,0
20170405,VTG,12.5,12.7,12.0,12.0,5900,12.5,12.7,12.0,12.0,0,0,0
20170403,VTG,12.5,12.5,12.5,12.5,1000,12.5,12.5,12.5,12.5,0,0,0
20170331,VTG,12.0,12.0,12.0,12.0,1200,12.0,12.0,12.0,12.0,0,0,0
20170330,VTG,12.0,12.0,12.0,12.0,200,12.0,12.0,12.0,12.0,0,0,0
20170328,VTG,10.9,10.9,10.9,10.9,7500,10.9,10.9,10.9,10.9,0,0,0
20170324,VTG,10.9,10.9,10.9,10.9,3400,10.9,10.9,10.9,10.9,0,0,0
20170323,VTG,10.8,11.2,10.8,11.2,3100,10.8,11.2,10.8,11.2,0,0,0
20170322,VTG,11.0,11.0,11.0,11.0,2700,11.0,11.0,11.0,11.0,0,0,0
20170321,VTG,11.7,11.7,11.5,11.5,3100,11.7,11.7,11.5,11.5,0,0,0
20170320,VTG,10.2,10.2,10.2,10.2,100,10.2,10.2,10.2,10.2,0,0,0
20170302,VTG,11.9,11.9,11.9,11.9,300,11.9,11.9,11.9,11.9,0,0,0
20170118,VTG,11.9,11.9,11.9,11.9,2000,11.9,11.9,11.9,11.9,0,2000,0
20170106,VTG,11.5,12.0,11.5,12.0,800,11.5,12.0,11.5,12.0,0,0,0
20161129,VTG,11.4,11.4,11.4,11.4,100,11.4,11.4,11.4,11.4,0,0,0
20161118,VTG,11.5,11.6,11.5,11.6,500,11.5,11.6,11.5,11.6,0,0,0
20161117,VTG,13.5,13.5,13.5,13.5,300,13.5,13.5,13.5,13.5,0,0,0
20160808,VTG,22.5,22.5,22.5,22.5,100,22.5,22.5,22.5,22.5,0,0,0
20160602,VTG,16.5,16.5,16.5,16.5,500,16.5,16.5,16.5,16.5,0,0,0
20160510,VTG,17.0,17.0,17.0,17.0,1000,17.0,17.0,17.0,17.0,0,0,0
20160509,VTG,17.1,18.0,16.5,18.0,7700,17.1,18.0,16.5,18.0,0,0,0
20160427,VTG,17.3,17.3,17.0,17.2,4100,17.3,17.3,17.0,17.2,0,0,0
20160426,VTG,17.2,17.5,17.2,17.5,34600,17.2,17.5,17.2,17.5,0,0,0
20160425,VTG,17.0,17.5,17.0,17.5,46300,17.0,17.5,17.0,17.5,0,0,0
20160422,VTG,16.6,17.5,16.4,17.5,32600,16.6,17.5,16.4,17.5,0,0,0
20160421,VTG,16.9,17.1,16.9,17.1,26800,16.9,17.1,16.9,17.1,0,0,0
20160420,VTG,16.2,17.0,16.2,17.0,27500,16.2,17.0,16.2,17.0,0,0,0
20160419,VTG,16.5,17.0,16.5,17.0,5300,16.5,17.0,16.5,17.0,0,0,0
20160414,VTG,17.0,17.0,16.9,16.9,3500,17.0,17.0,16.9,16.9,0,0,0
20160413,VTG,16.5,17.4,16.2,17.4,11100,16.5,17.4,16.2,17.4,0,0,0
20160412,VTG,17.4,17.4,17.4,17.4,2500,17.4,17.4,17.4,17.4,0,0,0
20160411,VTG,17.3,17.5,17.3,17.5,34700,17.3,17.5,17.3,17.5,0,0,0
20160408,VTG,17.3,18.0,17.3,18.0,5300,17.3,18.0,17.3,18.0,0,0,0
20160407,VTG,17.2,18.2,17.2,18.2,27700,17.2,18.2,17.2,18.2,0,0,0
20160406,VTG,16.5,18.5,16.5,18.2,61300,16.5,18.5,16.5,18.2,0,0,0
20160405,VTG,17.9,17.9,17.9,17.9,1500,17.9,17.9,17.9,17.9,0,0,0
20160401,VTG,17.5,17.9,17.5,17.9,36400,17.5,17.9,17.5,17.9,0,0,0
20160331,VTG,17.5,17.5,17.5,17.5,16000,17.5,17.5,17.5,17.5,0,0,0
20160330,VTG,16.5,16.5,16.5,16.5,2400,16.5,16.5,16.5,16.5,0,0,0
20160329,VTG,17.2,17.2,17.2,17.2,100,17.2,17.2,17.2,17.2,0,0,0
20160325,VTG,16.0,16.5,16.0,16.5,23000,16.0,16.5,16.0,16.5,0,0,0
20160323,VTG,16.0,16.0,16.0,16.0,11000,16.0,16.0,16.0,16.0,0,0,0
20160321,VTG,15.5,15.5,15.5,15.5,1000,15.5,15.5,15.5,15.5,0,0,0
20160318,VTG,14.5,15.0,14.5,15.0,2300,14.5,15.0,14.5,15.0,0,0,0
20160317,VTG,14.5,14.5,14.5,14.5,3600,14.5,14.5,14.5,14.5,0,0,0
20160315,VTG,14.0,14.0,13.9,13.9,15700,14.0,14.0,13.9,13.9,0,0,0
20160314,VTG,13.8,13.8,13.6,13.6,2100,13.8,13.8,13.6,13.6,0,0,0
20160311,VTG,13.0,13.5,13.0,13.2,4700,13.0,13.5,13.0,13.2,0,0,0
20160310,VTG,13.0,13.0,13.0,13.0,400,13.0,13.0,13.0,13.0,0,0,0
20160309,VTG,12.9,13.2,12.9,13.2,2700,12.9,13.2,12.9,13.2,0,0,0
20160308,VTG,13.2,13.2,13.2,13.2,100,13.2,13.2,13.2,13.2,0,0,0
20160307,VTG,13.0,13.2,12.9,13.2,20400,13.0,13.2,12.9,13.2,0,0,0
20160303,VTG,12.4,12.6,12.4,12.6,3000,12.4,12.6,12.4,12.6,0,0,0
20160301,VTG,12.4,12.5,12.4,12.5,4000,12.4,12.5,12.4,12.5,0,0,0
20160225,VTG,12.6,12.6,12.6,12.6,100,12.6,12.6,12.6,12.6,0,0,0
20160224,VTG,12.2,12.4,12.2,12.4,16600,12.2,12.4,12.2,12.4,0,0,0
20160223,VTG,12.2,12.2,12.2,12.2,39700,12.2,12.2,12.2,12.2,0,0,0
20160222,VTG,12.2,12.2,12.2,12.2,1300,12.2,12.2,12.2,12.2,0,0,0
20160219,VTG,11.8,12.0,11.8,12.0,25000,11.8,12.0,11.8,12.0,0,0,0
20160217,VTG,11.1,11.8,11.1,11.8,30800,11.1,11.8,11.1,11.8,0,0,0
20160216,VTG,11.0,11.1,11.0,11.1,40000,11.0,11.1,11.0,11.1,0,0,0
20160215,VTG,11.1,11.1,11.1,11.1,1700,11.1,11.1,11.1,11.1,0,0,0
20160203,VTG,11.1,11.1,11.1,11.1,100,11.1,11.1,11.1,11.1,0,0,0
20160122,VTG,13.0,13.0,13.0,13.0,100,13.0,13.0,13.0,13.0,0,0,0
20160115,VTG,11.0,12.6,11.0,11.2,10000,11.0,12.6,11.0,11.2,0,0,0
20160108,VTG,12.3,12.5,12.2,12.2,8000,12.3,12.5,12.2,12.2,0,0,0
20160107,VTG,12.3,12.3,12.3,12.3,2000,12.3,12.3,12.3,12.3,0,0,0
20160105,VTG,12.5,12.5,12.5,12.5,100,12.5,12.5,12.5,12.5,0,0,0
20160104,VTG,12.0,12.5,12.0,12.5,1900,12.0,12.5,12.0,12.5,0,0,0
20151231,VTG,12.5,12.6,12.5,12.6,2000,12.5,12.6,12.5,12.6,0,0,0
20151230,VTG,12.6,14.2,12.6,12.6,6100,12.6,14.2,12.6,12.6,0,0,0
20151228,VTG,12.5,12.5,12.5,12.5,100,12.5,12.5,12.5,12.5,0,0,0
