<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,VTV,22.8,22.8,22.0,22.3,21966,22.8,22.8,22.0,22.3,0,0,0
20170626,VTV,24.0,24.0,22.8,22.8,4100,24.0,24.0,22.8,22.8,706886,0,0
20170623,VTV,21.9,23.0,21.9,23.0,21033,21.9,23.0,21.9,23.0,0,0,0
20170622,VTV,22.0,22.5,21.6,21.9,26300,22.0,22.5,21.6,21.9,0,0,0
20170621,VTV,22.0,22.5,22.0,22.4,3600,22.0,22.5,22.0,22.4,706886,0,0
20170620,VTV,23.3,23.3,22.9,22.9,3435,23.3,23.3,22.9,22.9,0,0,0
20170619,VTV,22.5,24.0,22.5,23.5,46500,22.5,24.0,22.5,23.5,0,0,0
20170616,VTV,22.6,22.6,22.3,22.3,39738,22.6,22.6,22.3,22.3,706886,0,0
20170615,VTV,22.5,22.6,22.3,22.6,32610,22.5,22.6,22.3,22.6,0,0,0
20170614,VTV,20.7,22.5,20.7,22.5,48700,20.7,22.5,20.7,22.5,0,0,0
20170613,VTV,20.7,20.8,20.6,20.8,7300,20.7,20.8,20.6,20.8,806886,0,0
20170612,VTV,20.0,20.9,20.0,20.9,98260,20.0,20.9,20.0,20.9,0,0,0
20170609,VTV,19.9,20.0,19.9,20.0,17600,19.9,20.0,19.9,20.0,0,0,0
20170608,VTV,19.9,20.0,19.6,19.9,38100,19.9,20.0,19.6,19.9,0,0,0
20170607,VTV,19.5,19.9,19.5,19.9,31500,19.5,19.9,19.5,19.9,0,0,0
20170606,VTV,19.4,19.9,19.4,19.5,23944,19.4,19.9,19.4,19.5,0,0,0
20170605,VTV,19.5,19.8,19.2,19.8,6520,19.5,19.8,19.2,19.8,0,0,0
20170602,VTV,19.5,19.5,19.4,19.5,3400,19.5,19.5,19.4,19.5,0,0,0
20170601,VTV,19.4,19.4,19.2,19.4,6700,19.4,19.4,19.2,19.4,0,0,0
20170531,VTV,19.6,19.7,17.7,17.7,88100,19.6,19.7,17.7,17.7,0,0,0
20170530,VTV,19.5,19.6,19.5,19.6,13400,19.5,19.6,19.5,19.6,0,0,0
20170529,VTV,19.9,19.9,19.5,19.6,17504,19.9,19.9,19.5,19.6,0,0,0
20170526,VTV,19.9,20.5,18.8,18.8,5800,19.9,20.5,18.8,18.8,0,0,0
20170525,VTV,19.3,19.3,18.9,18.9,242,19.3,19.3,18.9,18.9,0,0,0
20170524,VTV,19.4,19.4,19.4,19.4,5000,19.4,19.4,19.4,19.4,0,0,0
20170523,VTV,19.6,19.6,19.5,19.5,20100,19.6,19.6,19.5,19.5,0,0,0
20170522,VTV,19.6,19.7,19.3,19.5,12266,19.6,19.7,19.3,19.5,0,0,0
20170519,VTV,19.6,19.8,19.3,19.7,16391,19.6,19.8,19.3,19.7,0,0,0
20170518,VTV,19.7,19.8,19.7,19.7,8000,19.7,19.8,19.7,19.7,0,0,0
20170517,VTV,19.7,19.9,19.6,19.7,21450,19.7,19.9,19.6,19.7,0,0,0
20170516,VTV,19.6,19.8,19.6,19.8,10100,19.6,19.8,19.6,19.8,0,0,0
20170515,VTV,19.6,19.7,19.4,19.7,15703,19.6,19.7,19.4,19.7,0,0,0
20170512,VTV,19.6,19.9,19.6,19.7,21200,19.6,19.9,19.6,19.7,0,0,0
20170511,VTV,19.2,19.6,19.2,19.6,31117,19.2,19.6,19.2,19.6,0,0,0
20170510,VTV,19.3,19.5,19.1,19.4,23401,19.3,19.5,19.1,19.4,0,0,0
20170509,VTV,19.3,19.4,19.1,19.4,31000,19.3,19.4,19.1,19.4,0,0,0
20170508,VTV,19.4,19.5,19.1,19.4,21700,19.4,19.5,19.1,19.4,0,0,0
20170505,VTV,19.6,19.6,19.0,19.1,20200,19.6,19.6,19.0,19.1,0,0,0
20170504,VTV,19.7,19.7,19.6,19.6,19700,19.7,19.7,19.6,19.6,0,0,0
20170503,VTV,20.0,20.1,19.7,19.7,19339,20.0,20.1,19.7,19.7,0,0,0
20170428,VTV,19.5,19.7,19.3,19.7,19110,19.5,19.7,19.3,19.7,0,0,0
20170427,VTV,18.7,19.4,18.7,19.4,31200,18.7,19.4,18.7,19.4,0,0,0
20170426,VTV,19.5,19.5,18.9,19.0,5066,19.5,19.5,18.9,19.0,0,0,0
20170425,VTV,19.6,20.0,19.1,20.0,10100,19.6,20.0,19.1,20.0,0,0,0
20170424,VTV,20.6,20.6,19.5,19.5,3100,20.6,20.6,19.5,19.5,0,0,0
20170421,VTV,19.2,20.6,19.2,20.6,22200,19.2,20.6,19.2,20.6,0,0,0
20170420,VTV,19.0,19.1,19.0,19.1,4500,19.0,19.1,19.0,19.1,0,0,0
20170419,VTV,19.0,19.0,19.0,19.0,1500,19.0,19.0,19.0,19.0,0,500,0
20170418,VTV,18.9,18.9,18.7,18.7,4500,18.9,18.9,18.7,18.7,0,0,0
20170417,VTV,18.8,18.9,18.8,18.8,8100,18.8,18.9,18.8,18.8,0,0,0
20170414,VTV,18.6,18.6,18.5,18.6,8600,18.6,18.6,18.5,18.6,0,0,0
20170413,VTV,18.5,19.0,18.5,18.6,1600,18.5,19.0,18.5,18.6,0,0,0
20170412,VTV,19.2,19.2,19.2,19.2,100,19.2,19.2,19.2,19.2,0,0,0
20170411,VTV,18.0,19.4,18.0,19.4,2600,18.0,19.4,18.0,19.4,0,0,0
20170410,VTV,18.0,18.0,18.0,18.0,13200,18.0,18.0,18.0,18.0,0,0,0
20170407,VTV,18.9,18.9,18.9,18.9,4000,18.9,18.9,18.9,18.9,0,0,0
20170404,VTV,18.9,18.9,18.9,18.9,1000,18.9,18.9,18.9,18.9,0,0,0
20170330,VTV,18.5,18.5,18.5,18.5,100,18.5,18.5,18.5,18.5,0,0,100
20170324,VTV,18.7,18.7,18.7,18.7,100,18.7,18.7,18.7,18.7,0,0,0
20170323,VTV,18.3,18.3,18.3,18.3,3500,18.3,18.3,18.3,18.3,0,0,0
20170321,VTV,18.2,19.2,17.3,19.0,34820,18.2,19.2,17.3,19.0,0,0,0
20170320,VTV,18.6,19.0,17.5,18.0,25100,18.6,19.0,17.5,18.0,0,0,0
20170317,VTV,18.1,18.2,17.7,18.2,5600,18.1,18.2,17.7,18.2,0,0,0
20170316,VTV,18.7,19.2,17.7,19.2,12100,18.7,19.2,17.7,19.2,0,0,0
20170315,VTV,19.5,19.5,19.5,19.5,1100,19.5,19.5,19.5,19.5,0,0,0
20170314,VTV,20.3,20.5,19.9,19.9,65800,20.3,20.5,19.9,19.9,0,0,0
20170313,VTV,19.5,19.5,19.5,19.5,1000,19.5,19.5,19.5,19.5,0,0,0
20170310,VTV,20.0,20.0,20.0,20.0,1400,20.0,20.0,20.0,20.0,0,0,0
20170309,VTV,18.4,19.5,18.4,19.5,800,18.4,19.5,18.4,19.5,0,0,0
20170308,VTV,20.3,20.3,20.3,20.3,110,20.3,20.3,20.3,20.3,0,0,0
20170306,VTV,19.0,20.5,19.0,20.5,2100,19.0,20.5,19.0,20.5,0,0,0
20170303,VTV,19.3,19.3,19.3,19.3,4900,19.3,19.3,19.3,19.3,0,0,0
20170302,VTV,19.4,19.4,19.3,19.3,137300,19.4,19.4,19.3,19.3,0,0,129000
20170301,VTV,19.3,19.3,19.3,19.3,500,19.3,19.3,19.3,19.3,0,0,0
20170228,VTV,18.8,19.3,18.8,19.3,5000,18.8,19.3,18.8,19.3,0,0,0
20170227,VTV,19.3,19.3,19.3,19.3,3000,19.3,19.3,19.3,19.3,0,0,0
20170224,VTV,19.2,19.3,19.2,19.3,10000,19.2,19.3,19.2,19.3,0,0,10000
20170223,VTV,19.1,19.2,19.1,19.1,11000,19.1,19.2,19.1,19.1,0,0,5000
20170222,VTV,19.2,19.2,19.0,19.0,1600,19.2,19.2,19.0,19.0,0,0,0
20170221,VTV,18.4,20.0,18.4,20.0,21720,18.4,20.0,18.4,20.0,0,0,15000
20170220,VTV,18.2,18.4,18.2,18.4,19000,18.2,18.4,18.2,18.4,0,0,9000
20170217,VTV,18.2,18.2,18.2,18.2,500,18.2,18.2,18.2,18.2,0,0,0
20170216,VTV,18.0,18.0,18.0,18.0,14,18.0,18.0,18.0,18.0,0,0,0
20170215,VTV,18.2,18.9,18.0,18.0,12400,18.2,18.9,18.0,18.0,0,0,0
20170214,VTV,18.2,18.2,18.2,18.2,1000,18.2,18.2,18.2,18.2,0,0,0
20170213,VTV,18.1,18.9,18.1,18.9,1300,18.1,18.9,18.1,18.9,0,0,0
20170210,VTV,17.9,19.2,17.9,18.0,31500,17.9,19.2,17.9,18.0,0,0,0
20170209,VTV,18.1,19.0,17.8,19.0,23100,18.1,19.0,17.8,19.0,33,0,0
20170208,VTV,18.2,18.2,18.2,18.2,33,18.2,18.2,18.2,18.2,0,0,0
