<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170622,X18,3.5,3.5,3.5,3.5,6778,3.5,3.5,3.5,3.5,0,0,0
20170621,X18,3.5,3.5,3.5,3.5,11573,3.5,3.5,3.5,3.5,0,0,0
20170614,X18,3.5,3.5,3.5,3.5,2283,3.5,3.5,3.5,3.5,0,0,0
20170605,X18,3.5,3.8,3.5,3.8,21671,3.5,3.8,3.5,3.8,0,0,0
20170530,X18,3.5,3.5,3.2,3.2,5333,3.5,3.5,3.2,3.2,0,0,0
20170529,X18,3.5,3.8,3.5,3.5,18304,3.5,3.8,3.5,3.5,0,0,0
20170525,X18,3.5,3.5,3.5,3.5,13903,3.5,3.5,3.5,3.5,0,0,0
20170524,X18,3.5,3.5,3.5,3.5,1700,3.5,3.5,3.5,3.5,0,0,0
20170515,X18,3.5,3.5,3.5,3.5,570,3.5,3.5,3.5,3.5,0,0,0
20170511,X18,3.4,3.4,3.4,3.4,13663,3.4,3.4,3.4,3.4,0,0,0
20170425,X18,3.4,3.4,3.4,3.4,1141,3.4,3.4,3.4,3.4,0,0,0
20170421,X18,3.6,3.6,3.6,3.6,3668,3.6,3.6,3.6,3.6,0,0,0
20170420,X18,3.5,3.7,3.5,3.7,16014,3.5,3.7,3.5,3.7,0,0,0
20170418,X18,3.5,3.5,3.5,3.5,3804,3.5,3.5,3.5,3.5,0,0,0
20170417,X18,4.0,4.0,4.0,4.0,14740,4.0,4.0,4.0,4.0,0,0,0
20170414,X18,4.0,4.0,4.0,4.0,6285,4.0,4.0,4.0,4.0,0,0,0
20170413,X18,4.4,4.4,4.4,4.4,23674,4.4,4.4,4.4,4.4,0,0,0
20170412,X18,5.1,5.1,5.1,5.1,17837,5.1,5.1,5.1,5.1,0,0,0
20170331,X18,5.9,5.9,5.9,5.9,400,5.9,5.9,5.9,5.9,0,0,0
20170330,X18,5.9,5.9,5.9,5.9,300,5.9,5.9,5.9,5.9,0,0,0
20170329,X18,5.9,5.9,5.9,5.9,1302,5.9,5.9,5.9,5.9,0,0,0
20170328,X18,5.2,6.0,5.2,6.0,40361,5.2,6.0,5.2,6.0,0,0,0
20170324,X18,6.0,6.0,6.0,6.0,10720,6.0,6.0,6.0,6.0,0,0,0
20170321,X18,6.2,6.2,4.6,5.2,13099,6.2,6.2,4.6,5.2,0,0,0
20170320,X18,5.4,5.4,5.4,5.4,100,5.4,5.4,5.4,5.4,0,0,0
20170317,X18,4.7,4.7,4.7,4.7,100,4.7,4.7,4.7,4.7,21106,0,0
20170316,X18,4.1,4.1,4.1,4.1,100,4.1,4.1,4.1,4.1,0,0,0
20170315,X18,3.6,3.6,3.6,3.6,18540,3.6,3.6,3.6,3.6,0,0,0
20170313,X18,3.2,3.2,3.2,3.2,50,3.2,3.2,3.2,3.2,0,0,0
20170310,X18,3.2,3.2,3.2,3.2,2758,3.2,3.2,3.2,3.2,0,0,0
20170309,X18,3.5,3.5,3.5,3.5,62778,3.5,3.5,3.5,3.5,0,0,0
20170303,X18,3.5,3.5,3.5,3.5,57879,3.5,3.5,3.5,3.5,0,0,0
20170302,X18,3.1,3.5,3.1,3.5,14119,3.1,3.5,3.1,3.5,0,0,0
20170301,X18,3.1,3.5,3.1,3.5,904,3.1,3.5,3.1,3.5,0,0,0
20170228,X18,3.3,3.4,3.3,3.4,33508,3.3,3.4,3.3,3.4,0,0,0
20170227,X18,3.3,3.4,3.3,3.3,61056,3.3,3.4,3.3,3.3,0,0,0
20170224,X18,3.4,3.4,3.4,3.4,89538,3.4,3.4,3.4,3.4,0,0,0
20170223,X18,3.1,3.1,3.1,3.1,100,3.1,3.1,3.1,3.1,0,0,0
20170222,X18,3.6,3.6,3.6,3.6,41043,3.6,3.6,3.6,3.6,0,0,0
20170221,X18,3.6,3.6,3.6,3.6,28190,3.6,3.6,3.6,3.6,0,0,0
20170217,X18,4.4,4.4,3.9,3.9,14378,4.4,4.4,3.9,3.9,0,0,0
20170215,X18,4.5,4.5,4.4,4.4,300,4.5,4.5,4.4,4.4,0,0,0
20170214,X18,5.1,5.1,5.1,5.1,2100,5.1,5.1,5.1,5.1,0,0,0
20170210,X18,6.0,6.0,6.0,6.0,5116,6.0,6.0,6.0,6.0,0,0,0
20170209,X18,6.0,6.0,6.0,6.0,2500,6.0,6.0,6.0,6.0,0,0,0
20170207,X18,5.2,6.1,5.2,6.1,52284,5.2,6.1,5.2,6.1,0,0,0
20170206,X18,6.1,6.1,6.1,6.1,100,6.1,6.1,6.1,6.1,0,0,0
