<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,BCC,15.2,15.9,15.1,15.5,1227856,15.2,15.9,15.1,15.5,0,308200,0
20170626,BCC,14.7,15.3,14.6,15.2,718275,14.7,15.3,14.6,15.2,0,290000,31200
20170623,BCC,14.8,14.8,14.6,14.7,148436,14.8,14.8,14.6,14.7,0,0,0
20170622,BCC,14.9,14.9,14.4,14.7,345065,14.9,14.9,14.4,14.7,0,0,20000
20170621,BCC,14.8,15.0,14.6,14.8,234365,14.8,15.0,14.6,14.8,10,0,4200
20170620,BCC,15.0,15.1,14.7,14.9,274854,15.0,15.1,14.7,14.9,0,0,0
20170619,BCC,15.1,15.1,14.9,15.0,219395,15.1,15.1,14.9,15.0,0,0,20600
20170616,BCC,15.1,15.2,15.1,15.1,108700,15.1,15.2,15.1,15.1,45,0,0
20170615,BCC,15.3,15.5,15.1,15.2,434502,15.3,15.5,15.1,15.2,0,0,100
20170614,BCC,14.6,15.4,14.6,15.2,670160,14.6,15.4,14.6,15.2,0,46000,100
20170613,BCC,14.6,14.9,14.5,14.8,253300,14.6,14.9,14.5,14.8,0,30000,0
20170612,BCC,14.6,14.6,14.5,14.6,163359,14.6,14.6,14.5,14.6,0,0,0
20170609,BCC,14.8,14.8,14.6,14.6,44445,14.8,14.8,14.6,14.6,0,0,0
20170608,BCC,14.5,15.2,14.4,14.7,477921,14.5,15.2,14.4,14.7,5000,0,45000
20170607,BCC,14.4,14.6,14.3,14.5,237860,14.4,14.6,14.3,14.5,0,0,0
20170606,BCC,14.5,14.5,14.4,14.4,155435,14.5,14.5,14.4,14.4,20,0,0
20170605,BCC,14.4,14.6,14.3,14.5,207339,14.4,14.6,14.3,14.5,0,0,0
20170602,BCC,14.5,14.8,14.4,14.5,192850,14.5,14.8,14.4,14.5,35,100,0
20170601,BCC,14.5,14.7,14.5,14.5,159553,14.5,14.7,14.5,14.5,0,6000,0
20170531,BCC,14.5,14.9,14.4,14.5,405519,14.5,14.9,14.4,14.5,0,0,0
20170530,BCC,14.9,14.9,14.5,14.5,162280,14.9,14.9,14.5,14.5,0,0,0
20170529,BCC,15.0,15.1,14.7,14.9,195220,15.0,15.1,14.7,14.9,0,8000,0
20170526,BCC,14.6,15.0,14.6,15.0,117548,14.6,15.0,14.6,15.0,0,0,0
20170525,BCC,14.7,14.9,14.6,14.7,223987,14.7,14.9,14.6,14.7,0,0,0
20170524,BCC,14.6,14.8,14.5,14.5,374123,14.6,14.8,14.5,14.5,0,0,0
20170523,BCC,15.0,15.0,14.6,14.6,251680,15.0,15.0,14.6,14.6,0,0,0
20170522,BCC,15.2,15.2,14.9,15.0,241892,15.2,15.2,14.9,15.0,0,0,0
20170519,BCC,15.0,15.2,14.9,15.2,202615,15.0,15.2,14.9,15.2,0,0,0
20170518,BCC,15.2,15.3,15.0,15.2,258498,15.2,15.3,15.0,15.2,20,0,0
20170517,BCC,15.7,15.7,15.2,15.4,300273,15.7,15.7,15.2,15.4,0,100,0
20170516,BCC,14.8,15.9,14.8,15.7,909923,14.8,15.9,14.8,15.7,0,0,100
20170515,BCC,14.6,14.8,14.6,14.8,235218,14.6,14.8,14.6,14.8,58,0,0
20170512,BCC,14.5,14.8,14.4,14.6,195808,14.5,14.8,14.4,14.6,0,0,0
20170511,BCC,14.6,14.7,14.4,14.5,258281,14.6,14.7,14.4,14.5,0,0,0
20170510,BCC,14.6,14.7,14.5,14.6,132629,14.6,14.7,14.5,14.6,0,0,0
20170509,BCC,14.7,14.8,14.5,14.6,111400,14.7,14.8,14.5,14.6,0,100,0
20170508,BCC,15.0,15.0,14.6,14.6,133278,15.0,15.0,14.6,14.6,0,10900,0
20170505,BCC,14.9,15.0,14.8,15.0,141550,14.9,15.0,14.8,15.0,65,48300,0
20170504,BCC,14.5,14.9,14.5,14.9,187310,14.5,14.9,14.5,14.9,0,85300,0
20170503,BCC,14.5,14.6,14.0,14.4,354216,14.5,14.6,14.0,14.4,50,0,0
20170428,BCC,15.0,15.0,14.8,14.8,206107,15.0,15.0,14.8,14.8,0,0,0
20170427,BCC,14.8,15.1,14.8,15.1,70330,14.8,15.1,14.8,15.1,0,0,0
20170426,BCC,14.5,14.9,14.4,14.9,174386,14.5,14.9,14.4,14.9,0,0,0
20170425,BCC,14.6,14.8,14.5,14.5,169200,14.6,14.8,14.5,14.5,0,0,0
20170424,BCC,15.0,15.1,14.5,14.7,246201,15.0,15.1,14.5,14.7,0,0,0
20170421,BCC,15.2,15.2,15.0,15.1,301260,15.2,15.2,15.0,15.1,0,95000,0
20170420,BCC,15.2,15.2,14.9,15.2,151406,15.2,15.2,14.9,15.2,32,0,0
20170419,BCC,15.1,15.4,15.0,15.2,185479,15.1,15.4,15.0,15.2,0,39000,0
20170418,BCC,15.0,15.1,14.5,15.1,207361,15.0,15.1,14.5,15.1,0,30300,10
20170417,BCC,15.2,15.5,14.8,15.0,225040,15.2,15.5,14.8,15.0,0,0,100
20170414,BCC,15.5,15.7,15.0,15.5,445935,15.5,15.7,15.0,15.5,0,0,2300
20170413,BCC,15.8,16.0,15.5,15.5,361485,15.8,16.0,15.5,15.5,0,0,0
20170412,BCC,16.4,16.4,15.8,15.8,323169,16.4,16.4,15.8,15.8,0,100,0
20170411,BCC,16.3,16.5,16.1,16.3,442910,16.3,16.5,16.1,16.3,0,10000,0
20170410,BCC,16.2,16.3,16.0,16.0,220610,16.2,16.3,16.0,16.0,50,0,8800
20170407,BCC,16.4,16.4,16.1,16.2,154980,16.4,16.4,16.1,16.2,0,0,1500
20170405,BCC,16.0,16.8,16.0,16.4,479070,16.0,16.8,16.0,16.4,0,10200,13600
20170404,BCC,15.6,16.2,15.5,15.8,809722,15.6,16.2,15.5,15.8,0,6800,0
20170403,BCC,14.3,16.0,14.3,15.7,288505,14.3,16.0,14.3,15.7,30,1500,300
20170331,BCC,15.6,15.9,15.6,15.8,135407,15.6,15.9,15.6,15.8,60,0,0
20170330,BCC,15.8,15.9,15.7,15.9,405115,15.8,15.9,15.7,15.9,0,900,0
20170329,BCC,16.4,16.4,15.8,15.8,595399,16.4,16.4,15.8,15.8,30,8000,0
20170328,BCC,16.2,16.5,16.1,16.4,467720,16.2,16.5,16.1,16.4,456,0,0
20170327,BCC,16.4,16.5,16.0,16.2,652512,16.4,16.5,16.0,16.2,0,300,0
20170324,BCC,16.8,16.9,16.3,16.5,966780,16.8,16.9,16.3,16.5,0,5000,1000
20170323,BCC,16.9,17.0,16.8,16.8,289790,16.9,17.0,16.8,16.8,0,0,0
20170322,BCC,17.0,17.4,16.9,16.9,383217,17.0,17.4,16.9,16.9,0,0,0
20170321,BCC,17.5,17.6,17.2,17.2,380316,17.5,17.6,17.2,17.2,80,40500,0
20170320,BCC,17.6,17.8,17.5,17.5,346300,17.6,17.8,17.5,17.5,30,500,0
20170317,BCC,18.5,18.5,17.5,17.5,356555,18.5,18.5,17.5,17.5,0,500,0
20170316,BCC,17.3,18.2,17.2,17.9,405100,17.3,18.2,17.2,17.9,0,10800,0
20170315,BCC,17.1,17.3,16.9,17.1,235400,17.1,17.3,16.9,17.1,0,0,0
20170314,BCC,17.6,17.6,17.2,17.2,170795,17.6,17.6,17.2,17.2,0,0,0
20170313,BCC,17.8,17.8,17.4,17.6,97885,17.8,17.8,17.4,17.6,0,0,0
20170310,BCC,17.6,17.8,17.4,17.8,246220,17.6,17.8,17.4,17.8,0,0,0
20170309,BCC,18.0,18.2,17.6,17.6,289198,18.0,18.2,17.6,17.6,5,0,0
20170308,BCC,18.3,18.7,18.0,18.2,318500,18.3,18.7,18.0,18.2,0,0,0
20170307,BCC,18.0,18.2,17.7,18.2,452050,18.0,18.2,17.7,18.2,13025,0,0
20170306,BCC,17.3,17.9,17.0,17.9,374771,17.3,17.9,17.0,17.9,7000,0,0
20170303,BCC,17.0,17.3,17.0,17.3,100700,17.0,17.3,17.0,17.3,0,0,0
20170302,BCC,17.4,17.9,17.0,17.3,169604,17.4,17.9,17.0,17.3,0,0,0
20170301,BCC,17.3,17.5,16.8,17.4,417317,17.3,17.5,16.8,17.4,40,4000,0
20170228,BCC,17.8,18.1,17.4,17.4,162895,17.8,18.1,17.4,17.4,5,4000,0
20170227,BCC,17.6,17.9,17.6,17.7,305317,17.6,17.9,17.6,17.7,50,3000,0
20170224,BCC,17.9,18.6,17.6,17.9,445803,17.9,18.6,17.6,17.9,75,0,0
20170223,BCC,18.1,18.3,17.6,17.9,522826,18.1,18.3,17.6,17.9,0,2000,0
20170222,BCC,18.6,18.7,18.2,18.3,407903,18.6,18.7,18.2,18.3,50,0,0
20170221,BCC,19.1,19.1,18.6,18.8,288802,19.1,19.1,18.6,18.8,0,0,5205
20170220,BCC,17.9,19.2,17.6,19.1,629533,17.9,19.2,17.6,19.1,17500,0,0
20170217,BCC,17.8,18.0,17.5,17.9,405081,17.8,18.0,17.5,17.9,0,0,0
20170216,BCC,18.5,18.5,17.8,18.0,477231,18.5,18.5,17.8,18.0,0,0,0
20170215,BCC,17.9,18.4,17.6,18.3,340823,17.9,18.4,17.6,18.3,0,0,300
20170214,BCC,18.3,18.5,17.9,17.9,573332,18.3,18.5,17.9,17.9,45,2000,0
20170213,BCC,16.6,17.9,16.5,17.9,764995,16.6,17.9,16.5,17.9,150,0,44355
20170210,BCC,16.2,16.6,16.1,16.3,235601,16.2,16.6,16.1,16.3,0,0,829
20170209,BCC,15.6,16.4,15.6,16.0,500081,15.6,16.4,15.6,16.0,0,0,0
20170208,BCC,15.6,15.7,15.6,15.7,106025,15.6,15.7,15.6,15.7,50,0,75
20170207,BCC,15.7,15.8,15.6,15.7,101925,15.7,15.8,15.6,15.7,0,0,0
20170206,BCC,15.8,15.8,15.6,15.7,146878,15.8,15.8,15.6,15.7,0,0,0
20170203,BCC,15.5,16.0,15.5,15.9,238820,15.5,16.0,15.5,15.9,0,0,0
20170202,BCC,15.8,15.8,15.7,15.7,41252,15.8,15.8,15.7,15.7,0,3000,0
20170125,BCC,15.9,16.0,15.6,15.8,194395,15.9,16.0,15.6,15.8,0,10,10
20170124,BCC,15.5,16.0,15.5,15.8,152872,15.5,16.0,15.5,15.8,50,0,0
20170123,BCC,15.5,15.7,15.5,15.5,93020,15.5,15.7,15.5,15.5,0,45000,0
20170120,BCC,15.4,15.6,15.4,15.5,108066,15.4,15.6,15.4,15.5,0,0,1
20170119,BCC,15.4,15.5,15.3,15.5,73362,15.4,15.5,15.3,15.5,0,27800,0
20170118,BCC,15.4,15.5,15.3,15.4,115732,15.4,15.5,15.3,15.4,80,0,0
20170117,BCC,15.8,15.8,15.6,15.6,102276,15.8,15.8,15.6,15.6,5000,0,0
