<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,BKC,6.0,6.0,6.0,6.0,35700,6.0,6.0,6.0,6.0,0,0,0
20170623,BKC,6.5,6.6,6.5,6.6,1040,6.5,6.6,6.5,6.6,0,0,0
20170621,BKC,6.9,6.9,6.7,6.7,2280,6.9,6.9,6.7,6.7,0,0,0
20170620,BKC,8.0,8.0,7.4,7.4,600,8.0,8.0,7.4,7.4,0,0,0
20170613,BKC,7.5,8.2,7.5,8.2,400,7.5,8.2,7.5,8.2,0,0,0
20170612,BKC,7.9,7.9,7.9,7.9,300,7.9,7.9,7.9,7.9,0,0,0
20170609,BKC,7.8,7.9,7.8,7.9,500,7.8,7.9,7.8,7.9,0,0,0
20170608,BKC,7.5,7.6,7.5,7.6,800,7.5,7.6,7.5,7.6,0,0,0
20170607,BKC,7.2,7.2,7.2,7.2,8900,7.2,7.2,7.2,7.2,0,0,0
20170606,BKC,6.6,6.6,6.6,6.6,1230,6.6,6.6,6.6,6.6,0,0,0
20170605,BKC,6.0,6.0,5.9,6.0,4200,6.0,6.0,5.9,6.0,0,0,0
20170602,BKC,6.5,6.5,6.5,6.5,400,6.5,6.5,6.5,6.5,0,0,0
20170531,BKC,7.0,7.0,7.0,7.0,300,7.0,7.0,7.0,7.0,0,0,0
20170530,BKC,6.1,6.4,6.1,6.4,5800,6.1,6.4,6.1,6.4,0,0,0
20170526,BKC,5.9,5.9,5.9,5.9,2000,5.9,5.9,5.9,5.9,0,0,0
20170525,BKC,6.0,6.0,5.9,5.9,700,6.0,6.0,5.9,5.9,0,0,0
20170523,BKC,5.7,6.1,5.7,6.1,1110,5.7,6.1,5.7,6.1,0,0,0
20170522,BKC,5.7,5.7,5.7,5.7,4,5.7,5.7,5.7,5.7,0,0,0
20170519,BKC,6.0,6.0,5.7,5.7,800,6.0,6.0,5.7,5.7,0,0,0
20170518,BKC,5.5,5.5,5.5,5.5,500,5.5,5.5,5.5,5.5,0,0,0
20170517,BKC,6.0,6.0,6.0,6.0,2000,6.0,6.0,6.0,6.0,0,0,0
20170516,BKC,5.6,6.0,5.6,6.0,1022,5.6,6.0,5.6,6.0,0,0,0
20170515,BKC,5.6,5.7,5.6,5.7,200,5.6,5.7,5.6,5.7,0,0,0
20170512,BKC,6.0,6.0,6.0,6.0,300,6.0,6.0,6.0,6.0,0,0,0
20170510,BKC,5.5,5.5,5.5,5.5,183,5.5,5.5,5.5,5.5,0,0,0
20170509,BKC,5.9,5.9,5.9,5.9,5,5.9,5.9,5.9,5.9,0,0,0
20170508,BKC,5.9,5.9,5.9,5.9,80,5.9,5.9,5.9,5.9,0,0,0
20170505,BKC,5.9,5.9,5.9,5.9,100,5.9,5.9,5.9,5.9,0,0,0
20170424,BKC,6.1,6.1,6.1,6.1,200,6.1,6.1,6.1,6.1,0,0,0
20170421,BKC,6.1,6.1,6.1,6.1,200,6.1,6.1,6.1,6.1,0,0,0
