<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,BTB,8.8,8.8,8.8,8.8,1100,8.8,8.8,8.8,8.8,0,0,0
20170530,BTB,10.3,10.3,10.3,10.3,100,10.3,10.3,10.3,10.3,0,0,0
20170529,BTB,9.0,9.0,9.0,9.0,5300,9.0,9.0,9.0,9.0,0,0,0
20170525,BTB,9.2,9.2,9.2,9.2,100,9.2,9.2,9.2,9.2,0,0,0
20170523,BTB,9.5,9.5,9.5,9.5,100,9.5,9.5,9.5,9.5,0,0,0
20170425,BTB,10.1,10.1,10.1,10.1,100,10.1,10.1,10.1,10.1,0,0,0
20170420,BTB,8.8,8.8,8.8,8.8,100,8.8,8.8,8.8,8.8,0,0,0
20170419,BTB,7.7,7.7,7.7,7.7,100,7.7,7.7,7.7,7.7,0,0,0
20170417,BTB,9.0,9.0,9.0,9.0,100,9.0,9.0,9.0,9.0,0,0,0
20170412,BTB,8.0,8.0,8.0,8.0,100,8.0,8.0,8.0,8.0,0,0,0
20170410,BTB,9.3,9.3,9.2,9.2,500,9.3,9.3,9.2,9.2,0,0,0
20170407,BTB,8.6,8.6,8.6,8.6,800,8.6,8.6,8.6,8.6,0,0,0
20170405,BTB,9.5,9.5,9.5,9.5,600,9.5,9.5,9.5,9.5,0,0,0
20170323,BTB,9.8,10.0,9.8,10.0,2100,9.8,10.0,9.8,10.0,0,0,0
20170317,BTB,11.5,11.5,11.5,11.5,100,11.5,11.5,11.5,11.5,0,0,0
20170316,BTB,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170314,BTB,10.0,10.0,10.0,10.0,200,10.0,10.0,10.0,10.0,0,200,0
20170313,BTB,10.0,10.0,10.0,10.0,100,10.0,10.0,10.0,10.0,0,0,0
20170310,BTB,10.0,10.0,9.6,9.6,14800,10.0,10.0,9.6,9.6,0,0,0
20170309,BTB,9.5,9.5,9.5,9.5,100,9.5,9.5,9.5,9.5,0,0,0
20170308,BTB,10.0,10.0,10.0,10.0,300,10.0,10.0,10.0,10.0,0,0,0
20170306,BTB,10.0,10.0,10.0,10.0,600,10.0,10.0,10.0,10.0,0,0,0
20170301,BTB,10.0,10.0,10.0,10.0,3000,10.0,10.0,10.0,10.0,0,0,0
20170228,BTB,10.0,10.0,10.0,10.0,2000,10.0,10.0,10.0,10.0,0,0,0
20170227,BTB,10.0,10.0,10.0,10.0,300,10.0,10.0,10.0,10.0,0,0,0
20170224,BTB,10.0,10.0,10.0,10.0,300,10.0,10.0,10.0,10.0,0,0,0
20170223,BTB,10.4,10.4,9.0,9.0,1400,10.4,10.4,9.0,9.0,0,0,0
20170222,BTB,10.3,10.4,10.2,10.4,7700,10.3,10.4,10.2,10.4,0,0,0
20170221,BTB,12.0,12.0,12.0,12.0,200,12.0,12.0,12.0,12.0,0,0,0
20170220,BTB,12.8,12.8,12.8,12.8,800,12.8,12.8,12.8,12.8,0,0,0
20170213,BTB,15.0,15.0,15.0,15.0,100,15.0,15.0,15.0,15.0,0,100,0
20170210,BTB,14.5,14.5,14.5,14.5,100,14.5,14.5,14.5,14.5,0,0,0
20170208,BTB,13.5,13.5,13.5,13.5,500,13.5,13.5,13.5,13.5,0,0,0
20170206,BTB,14.4,14.4,14.4,14.4,1100,14.4,14.4,14.4,14.4,0,0,0
20170203,BTB,13.8,14.2,13.6,13.6,700,13.8,14.2,13.6,13.6,0,500,0
20170202,BTB,13.2,13.3,13.2,13.3,810,13.2,13.3,13.2,13.3,0,10,0
20170124,BTB,12.4,13.5,12.2,13.5,1100,12.4,13.5,12.2,13.5,0,0,0
20170123,BTB,13.2,14.0,13.2,13.9,2900,13.2,14.0,13.2,13.9,0,0,0
20170120,BTB,15.1,16.0,15.1,16.0,600,15.1,16.0,15.1,16.0,0,0,0
20170119,BTB,17.3,18.0,17.3,18.0,210,17.3,18.0,17.3,18.0,0,0,0
20170118,BTB,20.3,20.3,20.3,20.3,3500,20.3,20.3,20.3,20.3,0,0,0
20170117,BTB,17.7,17.7,17.7,17.7,4200,17.7,17.7,17.7,17.7,0,0,0
20170113,BTB,15.4,15.4,15.4,15.4,100,15.4,15.4,15.4,15.4,0,0,0
