<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170609,BTC,44.0,44.0,44.0,44.0,220,44.0,44.0,44.0,44.0,0,0,0
20170602,BTC,44.1,44.1,44.1,44.1,1650,44.1,44.1,44.1,44.1,0,0,0
20170529,BTC,44.0,44.0,44.0,44.0,550,44.0,44.0,44.0,44.0,0,0,0
20170522,BTC,44.0,44.0,44.0,44.0,299,44.0,44.0,44.0,44.0,0,0,0
20170510,BTC,44.0,44.0,44.0,44.0,11,44.0,44.0,44.0,44.0,0,0,0
20170504,BTC,44.0,44.0,44.0,44.0,110,44.0,44.0,44.0,44.0,0,0,0
20170320,BTC,44.0,44.0,44.0,44.0,23,44.0,44.0,44.0,44.0,0,0,23
20170317,BTC,44.0,44.0,44.0,44.0,1000,44.0,44.0,44.0,44.0,0,0,1000
20170301,BTC,48.0,48.0,40.0,40.0,220,48.0,48.0,40.0,40.0,0,0,0
20170224,BTC,42.0,42.0,42.0,42.0,726,42.0,42.0,42.0,42.0,0,0,0
20170223,BTC,40.0,40.0,40.0,40.0,20,40.0,40.0,40.0,40.0,0,0,20
20170222,BTC,40.0,40.0,40.0,40.0,200,40.0,40.0,40.0,40.0,0,0,200
20170221,BTC,40.0,40.0,40.0,40.0,2090,40.0,40.0,40.0,40.0,0,0,2090
20170216,BTC,40.0,40.0,40.0,40.0,110,40.0,40.0,40.0,40.0,0,0,110
20170215,BTC,40.0,40.0,40.0,40.0,1110,40.0,40.0,40.0,40.0,0,0,1100
20170213,BTC,40.0,46.0,40.0,40.0,861,40.0,46.0,40.0,40.0,0,0,861
20170210,BTC,40.0,40.0,40.0,40.0,2420,40.0,40.0,40.0,40.0,0,0,2200
20170113,BTC,40.0,40.0,40.0,40.0,220,40.0,40.0,40.0,40.0,0,0,0
20161228,BTC,40.0,40.0,40.0,40.0,230,40.0,40.0,40.0,40.0,0,0,0
20161222,BTC,37.0,37.0,37.0,37.0,100,37.0,37.0,37.0,37.0,0,0,0
20161219,BTC,43.5,43.5,43.5,43.5,100,43.5,43.5,43.5,43.5,0,0,0
20161208,BTC,38.0,38.0,38.0,38.0,78,38.0,38.0,38.0,38.0,0,0,0
20161207,BTC,38.0,38.0,38.0,38.0,100,38.0,38.0,38.0,38.0,0,0,0
20161129,BTC,38.0,38.0,38.0,38.0,110,38.0,38.0,38.0,38.0,0,0,0
20161125,BTC,35.0,35.0,35.0,35.0,11,35.0,35.0,35.0,35.0,0,0,0
20161118,BTC,35.0,35.0,35.0,35.0,32,35.0,35.0,35.0,35.0,0,0,0
20161117,BTC,35.0,35.0,35.0,35.0,100,35.0,35.0,35.0,35.0,0,0,0
20161116,BTC,33.0,33.0,33.0,33.0,100,33.0,33.0,33.0,33.0,0,0,0
20161111,BTC,38.0,38.0,38.0,38.0,396,38.0,38.0,38.0,38.0,0,0,0
20161110,BTC,35.0,35.0,35.0,35.0,3300,35.0,35.0,35.0,35.0,0,0,0
20161104,BTC,35.0,35.0,35.0,35.0,110,35.0,35.0,35.0,35.0,0,0,0
20161101,BTC,35.0,35.0,35.0,35.0,7,35.0,35.0,35.0,35.0,0,0,0
20161025,BTC,35.0,35.0,35.0,35.0,7,35.0,35.0,35.0,35.0,0,0,0
20161021,BTC,35.0,35.0,35.0,35.0,175,35.0,35.0,35.0,35.0,0,0,0
20161020,BTC,38.0,38.0,38.0,38.0,44,38.0,38.0,38.0,38.0,0,0,0
20161019,BTC,38.0,38.0,38.0,38.0,293,38.0,38.0,38.0,38.0,0,0,0
20161018,BTC,35.0,35.0,35.0,35.0,400,35.0,35.0,35.0,35.0,0,0,0
20160401,BTC,50.0,50.0,50.0,50.0,30,50.0,50.0,50.0,50.0,0,0,0
20160331,BTC,50.0,50.0,50.0,50.0,60,50.0,50.0,50.0,50.0,0,0,0
20160330,BTC,50.0,50.0,50.0,50.0,600,50.0,50.0,50.0,50.0,0,0,0
20160202,BTC,45.2,45.2,45.2,45.2,2,45.2,45.2,45.2,45.2,0,0,0
20160111,BTC,45.2,45.2,45.2,45.2,100,45.2,45.2,45.2,45.2,0,0,0
20160106,BTC,40.2,40.2,40.2,40.2,100,40.2,40.2,40.2,40.2,0,0,0
20151216,BTC,47.2,47.2,47.2,47.2,100,47.2,47.2,47.2,47.2,253344,0,0
20151202,BTC,45.0,45.0,45.0,45.0,100,45.0,45.0,45.0,45.0,0,0,0
20151117,BTC,41.0,41.0,41.0,41.0,200,41.0,41.0,41.0,41.0,0,0,0
20150917,BTC,41.0,41.0,41.0,41.0,200,41.0,41.0,41.0,41.0,0,0,0
20150901,BTC,47.2,47.2,47.2,47.2,4,47.2,47.2,47.2,47.2,0,0,0
20150828,BTC,47.2,47.2,47.2,47.2,1376,47.2,47.2,47.2,47.2,0,0,0
20150826,BTC,47.2,47.2,47.2,47.2,1530,47.2,47.2,47.2,47.2,208963,0,0
20150817,BTC,47.0,47.0,42.0,42.0,200,47.0,47.0,42.0,42.0,0,0,0
20150814,BTC,42.0,42.0,42.0,42.0,100,42.0,42.0,42.0,42.0,0,0,0
20150813,BTC,47.2,47.2,42.0,42.0,4430,47.2,47.2,42.0,42.0,0,0,0
20150812,BTC,47.2,47.2,47.2,47.2,8930,47.2,47.2,47.2,47.2,15000,0,0
20150727,BTC,42.0,42.0,42.0,42.0,300,42.0,42.0,42.0,42.0,0,0,0
20150714,BTC,42.0,42.0,42.0,42.0,100,42.0,42.0,42.0,42.0,0,0,0
20150624,BTC,44.0,44.0,44.0,44.0,200,44.0,44.0,44.0,44.0,0,0,0
20150528,BTC,42.3,42.3,42.3,42.3,5,47.3,47.3,47.3,47.3,0,0,0
20150527,BTC,42.3,42.3,42.3,42.3,100,47.3,47.3,47.3,47.3,0,0,0
20150520,BTC,38.45,38.45,38.45,38.45,200,43.0,43.0,43.0,43.0,0,0,0
20150519,BTC,42.21,42.3,42.21,42.3,2580,47.2,47.3,47.2,47.3,0,0,0
20150518,BTC,38.46,38.46,38.46,38.45,200,43.0,43.0,43.0,43.0,0,0,0
20150515,BTC,39.8,39.8,39.8,39.8,100,44.5,44.5,44.5,44.5,0,0,0
20150513,BTC,42.21,42.21,42.21,42.21,500,47.2,47.2,47.2,47.2,0,0,0
20150505,BTC,41.68,41.68,41.68,41.68,948,47.1,47.1,47.1,47.1,49114,0,0
20150504,BTC,41.67,41.67,41.67,41.68,1800,47.1,47.1,47.1,47.1,159953,0,0
20150427,BTC,41.76,41.76,41.76,41.76,10,47.2,47.2,47.2,47.2,0,0,0
20150424,BTC,41.77,41.77,41.77,41.76,8124,47.2,47.2,47.2,47.2,0,0,0
20150415,BTC,39.91,39.91,39.91,39.91,100,45.1,45.1,45.1,45.1,0,0,0
20150414,BTC,36.28,36.28,36.28,36.28,100,41.0,41.0,41.0,41.0,0,0,0
20150413,BTC,33.18,33.18,33.18,33.18,100,37.5,37.5,37.5,37.5,0,0,0
20150323,BTC,30.97,30.97,30.97,30.97,105,35.0,35.0,35.0,35.0,0,0,0
20150312,BTC,34.07,34.07,34.07,34.07,110,38.5,38.5,38.5,38.5,0,0,0
20150309,BTC,30.97,30.97,30.97,30.97,100,35.0,35.0,35.0,35.0,0,0,0
20150306,BTC,33.63,33.63,33.63,33.62,100,38.0,38.0,38.0,38.0,0,0,0
20150304,BTC,36.98,36.98,36.98,36.99,400,41.8,41.8,41.8,41.8,0,0,0
20150225,BTC,33.63,33.63,33.63,33.62,200,38.0,38.0,38.0,38.0,0,0,0
20150224,BTC,36.98,36.98,36.98,36.99,100,41.8,41.8,41.8,41.8,0,0,0
20150209,BTC,33.63,33.63,33.63,33.62,210,38.0,38.0,38.0,38.0,0,0,0
20150204,BTC,36.98,36.98,36.98,36.99,100,41.8,41.8,41.8,41.8,0,0,0
20150203,BTC,33.63,33.63,33.63,33.62,100,38.0,38.0,38.0,38.0,0,0,0
20150202,BTC,36.98,36.98,36.98,36.99,100,41.8,41.8,41.8,41.8,0,0,0
20150130,BTC,33.63,33.63,33.63,33.62,100,38.0,38.0,38.0,38.0,0,0,0
20150129,BTC,36.98,36.98,36.98,36.99,100,41.8,41.8,41.8,41.8,0,0,0
20150127,BTC,33.62,33.62,33.62,33.62,20,38.0,38.0,38.0,38.0,0,0,0
20150126,BTC,33.62,33.62,33.62,33.62,20,38.0,38.0,38.0,38.0,0,0,0
20150114,BTC,33.62,33.62,33.62,33.62,10,38.0,38.0,38.0,38.0,0,0,0
20150109,BTC,33.63,33.63,33.63,33.62,100,38.0,38.0,38.0,38.0,0,0,0
20150108,BTC,37.96,37.96,34.51,34.51,200,42.9,42.9,39.0,39.0,0,0,0
20150106,BTC,34.51,34.51,34.51,34.51,200,39.0,39.0,39.0,39.0,0,0,0
20150105,BTC,38.93,38.93,35.39,35.39,1000,44.0,44.0,40.0,40.0,0,0,0
20141219,BTC,35.39,35.39,35.39,35.39,200,40.0,40.0,40.0,40.0,0,0,0
