<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20150422,BTH,9.3,9.3,9.3,9.3,200,9.3,9.3,9.3,9.3,0,0,0
20150421,BTH,8.5,8.5,8.5,8.5,200,8.5,8.5,8.5,8.5,0,0,0
20150313,BTH,9.0,9.0,9.0,9.0,100,9.0,9.0,9.0,9.0,0,0,0
20150312,BTH,8.6,8.6,8.6,8.6,1100,8.6,8.6,8.6,8.6,0,0,0
20150310,BTH,9.4,9.4,9.3,9.3,200,9.4,9.4,9.3,9.3,0,0,0
20150302,BTH,9.5,9.5,9.5,9.5,100,9.5,9.5,9.5,9.5,63766,0,0
20150227,BTH,9.8,9.8,9.8,9.8,100,9.8,9.8,9.8,9.8,0,0,0
20150226,BTH,10.8,10.8,10.8,10.8,200,10.8,10.8,10.8,10.8,0,0,0
20150225,BTH,12.0,12.0,12.0,12.0,100,12.0,12.0,12.0,12.0,0,0,0
20150126,BTH,11.0,11.0,11.0,11.0,2200,11.0,11.0,11.0,11.0,0,0,0
20141225,BTH,10.4,11.5,10.4,11.5,2300,10.4,11.5,10.4,11.5,0,0,0
20141208,BTH,9.5,11.5,9.5,11.5,1100,9.5,11.5,9.5,11.5,0,0,200
20141205,BTH,10.5,10.5,10.5,10.5,1000,10.5,10.5,10.5,10.5,0,0,0
20141202,BTH,11.2,11.2,11.2,11.2,500,11.2,11.2,11.2,11.2,0,0,0
20141127,BTH,11.2,11.2,11.2,11.2,100,11.2,11.2,11.2,11.2,0,0,0
20141126,BTH,11.0,11.0,11.0,11.0,100,11.0,11.0,11.0,11.0,0,0,0
20141125,BTH,10.5,10.5,10.5,10.5,1000,10.5,10.5,10.5,10.5,0,0,0
20141124,BTH,10.0,10.2,10.0,10.2,1000,10.0,10.2,10.0,10.2,0,0,0
20141119,BTH,9.2,9.9,9.2,9.9,1200,9.2,9.9,9.2,9.9,0,0,0
20141118,BTH,8.8,9.0,8.8,9.0,500,8.8,9.0,8.8,9.0,33199,0,0
20141117,BTH,8.6,8.8,8.5,8.5,9800,8.6,8.8,8.5,8.5,1732091,0,0
20141114,BTH,8.4,8.6,8.4,8.6,900,8.4,8.6,8.4,8.6,0,0,0
20141113,BTH,8.5,8.5,8.5,8.5,500,8.5,8.5,8.5,8.5,0,0,0
20141111,BTH,8.5,8.7,8.5,8.7,800,8.5,8.7,8.5,8.7,0,0,0
20141107,BTH,8.6,8.6,8.6,8.6,400,8.6,8.6,8.6,8.6,0,0,0
20141104,BTH,8.2,8.5,8.2,8.5,500,8.2,8.5,8.2,8.5,0,0,0
20141030,BTH,8.3,8.5,8.3,8.5,1600,8.3,8.5,8.3,8.5,0,0,0
