<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,BTV,22.0,22.0,22.0,22.0,200,22.0,22.0,22.0,22.0,0,0,0
20170620,BTV,22.0,22.0,22.0,22.0,200,22.0,22.0,22.0,22.0,0,0,0
20170526,BTV,22.0,22.0,22.0,22.0,400,22.0,22.0,22.0,22.0,0,0,0
20170525,BTV,19.6,19.6,19.6,19.6,100,19.6,19.6,19.6,19.6,0,0,0
20170524,BTV,17.0,19.0,17.0,19.0,1500,17.0,19.0,17.0,19.0,0,0,0
20170519,BTV,17.0,17.0,17.0,17.0,800,17.0,17.0,17.0,17.0,0,0,0
20170518,BTV,18.0,18.0,18.0,18.0,3000,18.0,18.0,18.0,18.0,0,0,0
20170516,BTV,19.0,19.0,19.0,19.0,1600,19.0,19.0,19.0,19.0,0,0,0
20170515,BTV,20.0,20.0,20.0,20.0,300,20.0,20.0,20.0,20.0,0,0,0
20170512,BTV,20.0,20.0,20.0,20.0,1800,20.0,20.0,20.0,20.0,0,0,0
20170509,BTV,22.0,22.0,22.0,22.0,800,22.0,22.0,22.0,22.0,0,0,0
20170508,BTV,22.0,22.0,22.0,22.0,1000,22.0,22.0,22.0,22.0,0,0,0
20170505,BTV,22.0,22.0,22.0,22.0,200,22.0,22.0,22.0,22.0,0,0,0
20170428,BTV,25.0,25.0,25.0,25.0,200,25.0,25.0,25.0,25.0,0,0,0
20170426,BTV,23.5,23.5,23.5,23.5,500,23.5,23.5,23.5,23.5,0,0,0
20170425,BTV,23.5,23.5,23.5,23.5,400,23.5,23.5,23.5,23.5,0,0,0
20170412,BTV,23.3,23.3,23.3,23.3,1000,23.3,23.3,23.3,23.3,0,0,0
20170411,BTV,25.0,25.0,25.0,25.0,1500,25.0,25.0,25.0,25.0,0,0,0
20170330,BTV,22.1,22.1,22.1,22.1,200,22.1,22.1,22.1,22.1,0,0,0
20170324,BTV,26.0,26.0,26.0,26.0,300,26.0,26.0,26.0,26.0,0,0,0
20170322,BTV,26.0,26.0,26.0,26.0,100,26.0,26.0,26.0,26.0,0,0,0
20170321,BTV,24.8,26.5,24.0,26.5,7000,24.8,26.5,24.0,26.5,0,0,0
20170320,BTV,24.0,24.0,22.1,22.5,1600,24.0,24.0,22.1,22.5,0,0,0
20170317,BTV,24.0,24.0,24.0,24.0,500,24.0,24.0,24.0,24.0,0,0,0
20170316,BTV,23.6,23.7,23.6,23.6,600,23.6,23.7,23.6,23.6,0,0,0
20170315,BTV,27.0,27.0,27.0,27.0,400,27.0,27.0,27.0,27.0,0,0,0
20170314,BTV,26.0,26.0,26.0,26.0,100,26.0,26.0,26.0,26.0,0,0,0
20170313,BTV,25.0,25.0,25.0,25.0,4900,25.0,25.0,25.0,25.0,0,0,0
20170310,BTV,29.2,29.2,29.2,29.2,3400,29.2,29.2,29.2,29.2,0,0,0
20170309,BTV,38.7,38.7,33.5,33.5,3800,38.7,38.7,33.5,33.5,0,0,0
20170308,BTV,39.4,39.4,38.0,38.0,7910,39.4,39.4,38.0,38.0,0,0,0
20170307,BTV,34.3,34.3,34.3,34.3,2100,34.3,34.3,34.3,34.3,0,0,0
