<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170615,BVN,8.0,8.0,7.9,8.0,5200,8.0,8.0,7.9,8.0,0,0,5000
20170614,BVN,8.0,8.0,7.9,8.0,17700,8.0,8.0,7.9,8.0,0,0,5000
20170613,BVN,7.4,7.8,7.4,7.8,26800,7.4,7.8,7.4,7.8,62500,0,5800
20170612,BVN,7.4,7.4,7.2,7.2,8600,7.4,7.4,7.2,7.2,1200,0,4400
20170609,BVN,7.0,7.7,7.0,7.7,10000,7.0,7.7,7.0,7.7,0,5000,9800
20170608,BVN,7.0,7.0,7.0,7.0,5000,7.0,7.0,7.0,7.0,0,0,5000
20170607,BVN,7.0,7.0,7.0,7.0,5000,7.0,7.0,7.0,7.0,0,0,5000
20170601,BVN,6.7,6.7,6.7,6.7,3000,6.7,6.7,6.7,6.7,0,0,3000
20170530,BVN,6.7,6.7,6.7,6.7,1500,6.7,6.7,6.7,6.7,0,0,1500
20170525,BVN,6.7,6.7,6.7,6.7,400,6.7,6.7,6.7,6.7,10000,0,400
20170524,BVN,7.7,7.7,7.7,7.7,200,7.7,7.7,7.7,7.7,0,0,100
20170519,BVN,9.0,9.0,8.9,8.9,200,9.0,9.0,8.9,8.9,0,0,0
20170518,BVN,9.3,9.3,9.3,9.3,100,9.3,9.3,9.3,9.3,0,0,0
20170517,BVN,8.3,8.9,8.3,8.9,1200,8.3,8.9,8.3,8.9,0,0,0
20170509,BVN,7.8,7.8,7.8,7.8,200,8.3,8.3,8.3,8.3,0,0,0
20170508,BVN,7.8,7.8,7.8,7.8,900,8.3,8.3,8.3,8.3,0,0,0
20170504,BVN,7.71,7.71,7.71,7.71,100,8.2,8.2,8.2,8.2,0,0,0
20170420,BVN,6.86,6.86,6.86,6.86,100,7.3,7.3,7.3,7.3,0,0,0
20170419,BVN,6.01,6.01,6.01,6.01,1000,6.4,6.4,6.4,6.4,0,0,0
20170418,BVN,6.86,6.86,6.86,6.86,200,7.3,7.3,7.3,7.3,0,0,0
20170417,BVN,6.86,6.86,6.86,6.86,100,7.3,7.3,7.3,7.3,0,0,0
20170414,BVN,6.02,6.02,6.02,6.01,100,6.4,6.4,6.4,6.4,0,0,0
20170411,BVN,7.05,7.05,7.05,7.05,100,7.5,7.5,7.5,7.5,0,0,0
20170405,BVN,7.05,7.05,7.05,7.05,10,7.5,7.5,7.5,7.5,0,0,0
20170331,BVN,7.05,7.05,7.05,7.05,60,7.5,7.5,7.5,7.5,0,0,0
20170330,BVN,7.05,7.05,7.05,7.05,22,7.5,7.5,7.5,7.5,0,0,0
20170328,BVN,7.05,7.05,7.05,7.05,400,7.5,7.5,7.5,7.5,0,0,0
20170327,BVN,7.8,7.8,7.8,7.8,22,8.3,8.3,8.3,8.3,0,0,0
20170324,BVN,7.8,7.8,7.8,7.8,100,8.3,8.3,8.3,8.3,0,0,0
20170320,BVN,7.24,7.24,7.24,7.24,500,7.7,7.7,7.7,7.7,0,0,0
20170317,BVN,7.24,7.24,7.24,7.24,70,7.7,7.7,7.7,7.7,0,0,0
20170314,BVN,7.23,7.23,7.23,7.24,100,7.7,7.7,7.7,7.7,0,0,0
20170310,BVN,7.15,7.15,7.15,7.14,500,7.6,7.6,7.6,7.6,0,0,0
20170308,BVN,7.23,7.23,7.23,7.24,100,7.7,7.7,7.7,7.7,0,0,0
20170224,BVN,8.36,8.36,8.36,8.36,100,8.9,8.9,8.9,8.9,0,0,0
20170222,BVN,7.42,7.42,7.42,7.42,100,7.9,7.9,7.9,7.9,0,0,0
20170213,BVN,7.42,7.42,7.42,7.42,200,7.9,7.9,7.9,7.9,0,0,0
20170208,BVN,6.49,6.49,6.49,6.48,100,6.9,6.9,6.9,6.9,0,0,0
20170202,BVN,5.63,5.63,5.63,5.64,200,6.0,6.0,6.0,6.0,0,0,0
20170118,BVN,6.01,6.01,6.01,6.01,100,6.4,6.4,6.4,6.4,0,0,0
20170112,BVN,6.96,6.96,6.96,6.95,100,7.4,7.4,7.4,7.4,0,0,0
20170104,BVN,7.99,7.99,7.99,7.99,100,8.5,8.5,8.5,8.5,0,0,0
20161230,BVN,9.39,9.39,9.39,9.4,200,10.0,10.0,10.0,10.0,0,0,0
20161229,BVN,9.21,9.31,9.21,9.3,400,9.8,9.9,9.8,9.9,0,0,0
20161228,BVN,7.24,9.4,7.24,9.4,200,7.7,10.0,7.7,10.0,0,0,0
20161227,BVN,8.46,8.46,8.46,8.46,100,9.0,9.0,9.0,9.0,0,0,0
20161226,BVN,7.33,7.52,7.33,7.52,200,7.8,8.0,7.8,8.0,0,0,0
20161220,BVN,6.48,6.76,6.48,6.77,700,6.9,7.2,6.9,7.2,0,0,0
20161215,BVN,7.43,7.43,7.43,7.42,1300,7.9,7.9,7.9,7.9,0,0,0
20161214,BVN,7.52,7.52,7.52,7.52,100,8.0,8.0,8.0,8.0,0,0,0
20161212,BVN,7.52,7.52,7.52,7.52,100,8.0,8.0,8.0,8.0,0,0,0
20161206,BVN,7.14,7.14,7.14,7.14,2000,7.6,7.6,7.6,7.6,0,0,0
20161205,BVN,7.33,7.42,7.33,7.33,3200,7.8,7.9,7.8,7.8,0,0,0
20161202,BVN,7.05,7.14,7.05,7.14,500,7.5,7.6,7.5,7.6,0,0,0
20161201,BVN,7.05,7.05,7.05,7.05,100,7.5,7.5,7.5,7.5,0,0,0
20161130,BVN,7.8,7.8,7.8,7.8,100,8.3,8.3,8.3,8.3,0,0,0
20161129,BVN,6.86,6.86,6.86,6.86,100,7.3,7.3,7.3,7.3,0,0,0
20161124,BVN,7.52,7.52,7.52,7.52,200,8.0,8.0,8.0,8.0,0,0,0
20161123,BVN,7.24,7.24,7.24,7.24,100,7.7,7.7,7.7,7.7,0,0,0
20161122,BVN,7.98,7.98,7.98,7.99,2100,8.5,8.5,8.5,8.5,0,0,0
20161121,BVN,9.31,9.31,9.31,9.3,100,9.9,9.9,9.9,9.9,0,0,0
20161117,BVN,8.46,8.46,8.46,8.46,100,9.0,9.0,9.0,9.0,0,0,0
20161116,BVN,8.46,8.46,7.71,7.99,2200,9.0,9.0,8.2,8.5,0,0,0
20161115,BVN,6.58,8.27,6.58,8.27,200,7.0,8.8,7.0,8.8,0,0,0
20161111,BVN,7.33,7.33,7.33,7.33,3000,7.8,7.8,7.8,7.8,0,0,0
20161108,BVN,7.33,7.33,7.33,7.33,100,7.8,7.8,7.8,7.8,0,0,0
20161107,BVN,7.99,8.08,7.99,8.08,6000,8.5,8.6,8.5,8.6,0,0,0
20161104,BVN,7.33,8.46,7.33,8.46,200,7.8,9.0,7.8,9.0,0,0,0
20161103,BVN,7.99,7.99,7.99,7.99,100,8.5,8.5,8.5,8.5,0,0,0
20161102,BVN,7.33,8.18,7.33,8.18,2000,7.8,8.7,7.8,8.7,0,0,0
20161101,BVN,7.62,7.62,7.52,7.52,3000,8.1,8.1,8.0,8.0,0,0,0
20161031,BVN,8.08,8.17,7.8,8.18,15000,8.6,8.7,8.3,8.7,0,0,0
20161028,BVN,8.84,8.84,8.84,8.83,100,9.4,9.4,9.4,9.4,0,0,0
20161027,BVN,8.45,8.45,8.45,8.46,2900,9.0,9.0,9.0,9.0,0,0,0
20161026,BVN,8.37,8.37,8.37,8.36,100,8.9,8.9,8.9,8.9,0,0,0
20161024,BVN,7.61,8.08,7.61,8.08,3100,8.1,8.6,8.1,8.6,0,0,0
20161021,BVN,7.9,7.99,7.9,7.99,5700,8.4,8.5,8.4,8.5,0,0,0
20161020,BVN,7.62,7.8,7.52,7.52,2400,8.1,8.3,8.0,8.0,0,0,0
20161019,BVN,7.23,7.42,7.23,7.24,5700,7.7,7.9,7.7,7.7,0,0,0
20161018,BVN,7.8,7.8,6.95,6.95,5100,8.3,8.3,7.4,7.4,0,0,0
20161017,BVN,6.96,6.96,6.96,6.95,500,7.4,7.4,7.4,7.4,0,0,0
20161014,BVN,6.11,6.11,6.11,6.11,400,6.5,6.5,6.5,6.5,0,0,0
20161013,BVN,7.24,7.24,6.68,6.67,400,7.7,7.7,7.1,7.1,0,0,0
20161003,BVN,6.76,6.76,6.76,6.77,100,7.2,7.2,7.2,7.2,0,0,0
20160928,BVN,6.21,6.21,6.21,6.2,500,6.6,6.6,6.6,6.6,0,0,0
20160923,BVN,6.77,6.77,6.77,6.77,200,7.2,7.2,7.2,7.2,0,0,0
20160922,BVN,5.92,5.92,5.92,5.92,100,6.3,6.3,6.3,6.3,0,0,0
20160921,BVN,6.96,7.05,6.58,6.58,500,7.4,7.5,7.0,7.0,0,0,0
20160914,BVN,7.05,7.05,7.05,7.05,100,7.5,7.5,7.5,7.5,0,0,0
