<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170626,CAN,25.2,25.2,25.2,25.2,26900,25.2,25.2,25.2,25.2,0,25900,0
20170623,CAN,25.0,25.0,25.0,25.0,33000,25.0,25.0,25.0,25.0,0,0,0
20170622,CAN,25.0,25.1,25.0,25.0,51050,25.0,25.1,25.0,25.0,0,50000,0
20170607,CAN,27.0,27.5,27.0,27.5,36400,27.0,27.5,27.0,27.5,0,0,0
20170602,CAN,26.0,26.0,26.0,26.0,1600,26.0,26.0,26.0,26.0,0,0,500
20170601,CAN,25.0,25.0,25.0,25.0,300,25.0,25.0,25.0,25.0,0,0,0
20170531,CAN,25.0,25.0,25.0,25.0,200,25.0,25.0,25.0,25.0,0,0,0
20170526,CAN,26.0,26.0,26.0,26.0,13000,26.0,26.0,26.0,26.0,0,13000,0
20170525,CAN,24.7,24.7,24.7,24.7,10,24.7,24.7,24.7,24.7,0,0,0
20170523,CAN,24.7,24.7,24.7,24.7,10,24.7,24.7,24.7,24.7,0,0,0
20170522,CAN,24.0,24.7,24.0,24.7,92110,24.0,24.7,24.0,24.7,0,92100,0
20170516,CAN,22.5,22.5,22.5,22.5,300,23.0,23.0,23.0,23.0,0,0,0
20170515,CAN,22.5,22.5,22.5,22.5,50,23.0,23.0,23.0,23.0,0,0,0
20170510,CAN,23.48,23.48,22.5,22.5,6100,24.0,24.0,23.0,23.0,0,0,0
20170508,CAN,24.46,24.46,24.46,24.46,15000,25.0,25.0,25.0,25.0,0,15000,0
20170505,CAN,23.48,23.97,23.19,23.97,95900,24.0,24.5,23.7,24.5,0,93900,0
20170504,CAN,19.56,21.81,19.56,21.82,330,20.0,22.3,20.0,22.3,0,100,0
20170427,CAN,20.55,20.55,20.55,20.54,1800,21.0,21.0,21.0,21.0,0,0,0
