<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,CDO,3.53,3.63,3.48,3.49,416550,3.53,3.63,3.48,3.49,0,0,0
20170626,CDO,3.52,3.56,3.45,3.5,536430,3.52,3.56,3.45,3.5,0,0,0
20170623,CDO,3.52,3.52,3.43,3.5,132190,3.52,3.52,3.43,3.5,0,0,0
20170622,CDO,3.42,3.58,3.4,3.5,541250,3.42,3.58,3.4,3.5,0,30,0
20170621,CDO,3.45,3.45,3.4,3.42,142210,3.45,3.45,3.4,3.42,0,0,0
20170620,CDO,3.44,3.45,3.4,3.43,355160,3.44,3.45,3.4,3.43,0,0,0
20170619,CDO,3.43,3.45,3.39,3.4,461400,3.43,3.45,3.39,3.4,0,0,0
20170616,CDO,3.45,3.47,3.42,3.43,350530,3.45,3.47,3.42,3.43,0,0,2280
20170615,CDO,3.46,3.46,3.4,3.45,626670,3.46,3.46,3.4,3.45,0,0,0
20170614,CDO,3.45,3.54,3.43,3.45,307550,3.45,3.54,3.43,3.45,0,0,0
20170613,CDO,3.45,3.48,3.4,3.45,340990,3.45,3.48,3.4,3.45,0,8980,0
20170612,CDO,3.65,3.65,3.47,3.47,368620,3.65,3.65,3.47,3.47,0,0,5950
20170609,CDO,3.85,3.85,3.65,3.69,1155000,3.85,3.85,3.65,3.69,0,0,59080
20170608,CDO,3.38,3.61,3.38,3.61,1079130,3.38,3.61,3.38,3.61,0,0,3000
20170607,CDO,3.4,3.4,3.36,3.38,303130,3.4,3.4,3.36,3.38,0,5950,4800
20170606,CDO,3.43,3.43,3.34,3.39,304510,3.43,3.43,3.34,3.39,0,0,0
20170605,CDO,3.41,3.43,3.39,3.42,229200,3.41,3.43,3.39,3.42,0,15250,0
20170602,CDO,3.44,3.44,3.39,3.41,135560,3.44,3.44,3.39,3.41,0,36980,0
20170601,CDO,3.4,3.47,3.4,3.41,194370,3.4,3.47,3.4,3.41,0,0,9000
20170531,CDO,3.48,3.48,3.41,3.43,148920,3.48,3.48,3.41,3.43,0,0,200
20170530,CDO,3.49,3.5,3.43,3.44,296350,3.49,3.5,3.43,3.44,0,1450,0
20170529,CDO,3.5,3.52,3.48,3.49,295870,3.5,3.52,3.48,3.49,0,0,0
20170526,CDO,3.45,3.49,3.42,3.49,295350,3.45,3.49,3.42,3.49,0,5000,0
20170525,CDO,3.48,3.5,3.44,3.45,375440,3.48,3.5,3.44,3.45,0,0,0
20170524,CDO,3.45,3.5,3.42,3.44,392810,3.45,3.5,3.42,3.44,0,2200,0
20170523,CDO,3.59,3.59,3.47,3.47,619070,3.59,3.59,3.47,3.47,0,400,0
20170522,CDO,3.51,3.69,3.51,3.52,418650,3.51,3.69,3.51,3.52,0,0,8100
20170519,CDO,3.53,3.59,3.51,3.51,410690,3.53,3.59,3.51,3.51,0,0,0
20170518,CDO,3.61,3.64,3.52,3.55,404070,3.61,3.64,3.52,3.55,0,0,0
20170517,CDO,3.6,3.7,3.6,3.66,354080,3.6,3.7,3.6,3.66,0,0,0
20170516,CDO,3.79,3.87,3.7,3.7,885020,3.79,3.87,3.7,3.7,0,0,0
20170515,CDO,3.43,3.67,3.43,3.67,760870,3.43,3.67,3.43,3.67,0,0,1000
20170512,CDO,3.5,3.6,3.3,3.43,743190,3.5,3.6,3.3,3.43,0,0,0
20170511,CDO,3.58,3.58,3.49,3.5,215010,3.58,3.58,3.49,3.5,0,0,1000
20170510,CDO,3.75,3.75,3.54,3.56,655730,3.75,3.75,3.54,3.56,0,4800,0
20170509,CDO,3.86,3.86,3.6,3.71,1777810,3.86,3.86,3.6,3.71,0,0,0
20170508,CDO,3.61,3.61,3.61,3.61,173030,3.61,3.61,3.61,3.61,0,0,0
20170505,CDO,3.2,3.38,3.2,3.38,291520,3.2,3.38,3.2,3.38,0,0,0
20170504,CDO,3.04,3.2,3.04,3.16,731250,3.04,3.2,3.04,3.16,0,0,280970
20170503,CDO,3.05,3.15,3.03,3.04,351050,3.05,3.15,3.03,3.04,0,2000,0
20170428,CDO,3.2,3.21,3.15,3.15,225890,3.2,3.21,3.15,3.15,0,0,0
20170427,CDO,3.2,3.24,3.19,3.2,347690,3.2,3.24,3.19,3.2,0,0,0
20170426,CDO,3.24,3.29,3.19,3.2,472130,3.24,3.29,3.19,3.2,0,0,0
20170425,CDO,3.32,3.35,3.2,3.24,426010,3.32,3.35,3.2,3.24,0,0,0
20170424,CDO,3.34,3.34,3.29,3.3,205900,3.34,3.34,3.29,3.3,0,0,400
20170421,CDO,3.4,3.4,3.3,3.34,293350,3.4,3.4,3.3,3.34,0,2000,13220
20170420,CDO,3.3,3.49,3.3,3.4,933210,3.3,3.49,3.3,3.4,0,3000,434050
20170419,CDO,3.3,3.3,3.2,3.27,350890,3.3,3.3,3.2,3.27,0,0,0
20170418,CDO,3.45,3.45,3.26,3.34,758230,3.45,3.45,3.26,3.34,0,0,30000
20170417,CDO,3.63,3.68,3.5,3.5,286660,3.63,3.68,3.5,3.5,0,0,0
20170414,CDO,3.66,3.69,3.55,3.63,322110,3.66,3.69,3.55,3.63,0,0,0
20170413,CDO,3.7,3.75,3.68,3.7,235030,3.7,3.75,3.68,3.7,0,0,0
20170412,CDO,3.74,3.79,3.66,3.7,437350,3.74,3.79,3.66,3.7,0,0,0
20170411,CDO,3.8,3.83,3.73,3.76,277700,3.8,3.83,3.73,3.76,0,0,0
20170410,CDO,3.68,3.84,3.68,3.8,345910,3.68,3.84,3.68,3.8,0,0,0
20170407,CDO,3.85,3.85,3.65,3.68,772830,3.85,3.85,3.65,3.68,0,0,35100
20170405,CDO,3.9,4.19,3.85,3.85,623500,3.9,4.19,3.85,3.85,0,0,466860
20170404,CDO,4.0,4.02,3.85,3.96,678010,4.0,4.02,3.85,3.96,0,0,1000
20170403,CDO,4.27,4.28,4.05,4.05,719790,4.27,4.28,4.05,4.05,0,0,0
20170331,CDO,4.3,4.32,4.25,4.27,339390,4.3,4.32,4.25,4.27,20000,5000,0
20170330,CDO,4.3,4.39,4.3,4.3,306910,4.3,4.39,4.3,4.3,0,0,0
20170329,CDO,4.39,4.4,4.3,4.3,345770,4.39,4.4,4.3,4.3,0,0,0
20170328,CDO,4.3,4.4,4.3,4.37,260790,4.3,4.4,4.3,4.37,0,0,0
20170327,CDO,4.5,4.53,4.3,4.3,454040,4.5,4.53,4.3,4.3,0,0,0
20170324,CDO,4.38,4.5,4.37,4.5,636840,4.38,4.5,4.37,4.5,0,0,0
20170323,CDO,4.41,4.41,4.36,4.36,331800,4.41,4.41,4.36,4.36,0,0,0
20170322,CDO,4.49,4.49,4.4,4.4,727790,4.49,4.49,4.4,4.4,0,0,2300
20170321,CDO,4.5,4.53,4.45,4.46,625290,4.5,4.53,4.45,4.46,0,0,0
20170320,CDO,4.61,4.67,4.5,4.52,430800,4.61,4.67,4.5,4.52,0,0,0
20170317,CDO,4.74,4.97,4.61,4.68,485980,4.74,4.97,4.61,4.68,0,0,0
20170316,CDO,4.6,4.7,4.5,4.7,1212160,4.6,4.7,4.5,4.7,0,0,0
20170315,CDO,4.5,4.5,4.38,4.4,465020,4.5,4.5,4.38,4.4,0,0,0
20170314,CDO,4.5,4.52,4.4,4.46,322910,4.5,4.52,4.4,4.46,0,0,0
20170313,CDO,4.4,4.5,4.4,4.5,284360,4.4,4.5,4.4,4.5,0,0,0
20170310,CDO,4.43,4.66,4.35,4.43,485420,4.43,4.66,4.35,4.43,0,400,950
20170309,CDO,4.62,4.62,4.47,4.51,642710,4.62,4.62,4.47,4.51,0,0,0
20170308,CDO,4.72,4.72,4.57,4.62,551010,4.72,4.72,4.57,4.62,0,0,0
20170307,CDO,4.9,4.9,4.69,4.76,507320,4.9,4.9,4.69,4.76,0,0,0
20170306,CDO,5.19,5.19,4.65,4.76,1046920,5.19,5.19,4.65,4.76,0,8100,0
20170303,CDO,4.95,4.95,4.9,4.95,1258390,4.95,4.95,4.9,4.95,0,0,0
20170302,CDO,4.63,4.63,4.63,4.63,179820,4.63,4.63,4.63,4.63,0,0,5620
20170301,CDO,4.55,4.56,4.3,4.33,1357680,4.55,4.56,4.3,4.33,0,0,0
20170228,CDO,4.82,4.9,4.62,4.62,2856480,4.82,4.9,4.62,4.62,0,0,0
20170227,CDO,4.96,5.5,4.96,4.96,1104680,4.96,5.5,4.96,4.96,0,0,7000
20170224,CDO,6.0,6.0,5.22,5.22,1641430,6.0,6.0,5.22,5.22,0,0,0
20170223,CDO,4.89,5.61,4.89,5.61,4225750,4.89,5.61,4.89,5.61,0,0,22300
20170222,CDO,5.25,5.25,5.25,5.25,147390,5.25,5.25,5.25,5.25,0,0,0
20170221,CDO,5.64,5.64,5.64,5.64,96250,5.64,5.64,5.64,5.64,0,0,0
20170220,CDO,6.06,6.06,6.06,6.06,240020,6.06,6.06,6.06,6.06,0,0,0
20170217,CDO,7.0,7.0,6.51,6.51,3441540,7.0,7.0,6.51,6.51,0,0,60
20170216,CDO,7.37,7.37,6.9,7.0,6119750,7.37,7.37,6.9,7.0,0,5000,0
20170215,CDO,6.89,6.89,6.89,6.89,906530,6.89,6.89,6.89,6.89,0,0,0
20170214,CDO,6.0,6.44,5.9,6.44,1373420,6.0,6.44,5.9,6.44,0,0,0
20170213,CDO,6.02,6.02,5.25,6.02,4791270,6.02,6.02,5.25,6.02,0,25300,0
20170210,CDO,5.63,5.63,5.63,5.63,574790,5.63,5.63,5.63,5.63,0,0,0
20170209,CDO,5.27,5.27,5.27,5.27,120330,5.27,5.27,5.27,5.27,0,0,0
20170208,CDO,4.93,4.93,4.93,4.93,652860,4.93,4.93,4.93,4.93,0,0,0
20170207,CDO,4.61,4.61,4.61,4.61,376040,4.61,4.61,4.61,4.61,0,0,0
20170206,CDO,4.31,4.31,4.3,4.31,391500,4.31,4.31,4.3,4.31,0,0,0
20170203,CDO,3.65,4.03,3.6,4.03,3220420,3.65,4.03,3.6,4.03,0,0,3000
20170202,CDO,3.77,3.77,3.54,3.77,1255120,3.77,3.77,3.54,3.77,0,0,0
20170125,CDO,3.53,3.53,3.53,3.53,485350,3.53,3.53,3.53,3.53,0,0,0
20170124,CDO,2.88,3.3,2.88,3.3,5671790,2.88,3.3,2.88,3.3,0,3000,0
20170123,CDO,3.09,3.09,3.09,3.09,9940,3.09,3.09,3.09,3.09,0,0,0
20170120,CDO,3.32,3.32,3.32,3.32,25200,3.32,3.32,3.32,3.32,0,0,0
20170119,CDO,3.56,3.56,3.56,3.56,10180,3.56,3.56,3.56,3.56,0,0,0
20170118,CDO,3.82,3.82,3.82,3.82,6430,3.82,3.82,3.82,3.82,0,0,0
20170117,CDO,4.1,4.1,4.1,4.1,3490,4.1,4.1,4.1,4.1,0,0,0
20170116,CDO,4.4,4.4,4.4,4.4,14950,4.4,4.4,4.4,4.4,0,0,0
20170113,CDO,4.73,4.73,4.73,4.73,21470,4.73,4.73,4.73,4.73,0,0,0
20170112,CDO,5.08,5.08,5.08,5.08,88760,5.08,5.08,5.08,5.08,0,0,0
20170111,CDO,5.46,5.46,5.46,5.46,612540,5.46,5.46,5.46,5.46,20000,494000,0
20170110,CDO,5.87,5.87,5.87,5.87,230550,5.87,5.87,5.87,5.87,488800,199110,0
20170109,CDO,6.31,6.31,6.31,6.31,113520,6.31,6.31,6.31,6.31,568775,0,0
20170106,CDO,6.78,6.78,6.78,6.78,3805260,6.78,6.78,6.78,6.78,0,567090,0
20170105,CDO,7.29,7.29,7.29,7.29,16210,7.29,7.29,7.29,7.29,0,0,0
