<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,CHP,27.5,27.5,26.7,27.15,157350,27.5,27.5,26.7,27.15,0,25050,0
20170626,CHP,26.4,27.4,26.4,27.1,136710,26.4,27.4,26.4,27.1,0,25050,0
20170623,CHP,26.75,26.75,26.35,26.4,44900,26.75,26.75,26.35,26.4,0,0,15500
20170622,CHP,26.4,26.9,26.4,26.5,110420,26.4,26.9,26.4,26.5,0,0,90
20170621,CHP,25.9,26.4,25.4,26.4,144280,25.9,26.4,25.4,26.4,0,0,0
20170620,CHP,25.8,25.95,25.6,25.9,51040,25.8,25.95,25.6,25.9,24937,560,0
20170619,CHP,25.5,26.9,25.5,26.0,71360,25.5,26.9,25.5,26.0,0,0,0
20170616,CHP,24.4,25.3,24.4,25.2,152380,24.4,25.3,24.4,25.2,0,350,3810
20170615,CHP,24.3,24.6,24.2,24.4,102430,24.3,24.6,24.2,24.4,0,200,0
20170614,CHP,24.4,24.4,24.3,24.3,54620,24.4,24.4,24.3,24.3,0,3300,5000
20170613,CHP,24.7,24.7,24.5,24.6,51980,24.7,24.7,24.5,24.6,0,1500,0
20170612,CHP,24.65,24.85,24.6,24.7,36730,24.65,24.85,24.6,24.7,0,0,0
20170609,CHP,24.95,24.95,24.4,24.8,74750,24.95,24.95,24.4,24.8,0,9680,170
20170608,CHP,25.0,25.0,24.5,24.85,70220,25.0,25.0,24.5,24.85,0,1000,0
20170607,CHP,24.6,25.2,24.6,25.1,171000,24.6,25.2,24.6,25.1,0,8800,20
20170606,CHP,24.2,24.5,24.15,24.5,140580,24.2,24.5,24.15,24.5,0,1300,0
20170605,CHP,24.5,24.5,24.15,24.3,67680,24.5,24.5,24.15,24.3,0,250,0
20170602,CHP,23.85,24.7,23.85,24.3,286030,23.85,24.7,23.85,24.3,0,0,50
20170601,CHP,23.0,23.4,22.7,23.4,106310,23.0,23.4,22.7,23.4,0,0,0
20170531,CHP,23.0,23.0,22.45,22.55,25730,23.0,23.0,22.45,22.55,0,0,10
20170530,CHP,22.2,23.0,22.2,22.45,54550,22.2,23.0,22.2,22.45,0,6000,40
20170529,CHP,22.2,22.2,22.1,22.2,100930,22.2,22.2,22.1,22.2,0,1670,0
20170526,CHP,22.2,22.3,22.0,22.2,79460,22.2,22.3,22.0,22.2,0,1670,0
20170525,CHP,21.9,22.35,21.9,22.3,90070,21.9,22.35,21.9,22.3,0,0,0
20170524,CHP,22.1,22.15,21.9,22.1,139900,22.1,22.15,21.9,22.1,0,2050,0
20170523,CHP,22.15,22.34,22.06,22.1,78660,23.75,23.95,23.65,23.7,0,0,0
20170522,CHP,22.38,22.38,22.0,22.15,62580,24.0,24.0,23.6,23.75,0,4200,20
20170519,CHP,21.91,22.28,21.91,22.19,51110,23.5,23.9,23.5,23.8,0,0,0
20170518,CHP,21.87,21.92,21.82,21.91,83550,23.45,23.5,23.4,23.5,0,50,0
20170517,CHP,21.91,22.01,21.73,21.87,96530,23.5,23.6,23.3,23.45,0,0,21050
20170516,CHP,21.91,22.28,21.82,21.82,165230,23.5,23.9,23.4,23.4,0,0,14000
20170515,CHP,21.91,22.01,21.63,21.91,155750,23.5,23.6,23.2,23.5,0,0,0
20170512,CHP,22.85,22.85,22.38,22.38,156850,24.5,24.5,24.0,24.0,0,100,26150
20170511,CHP,21.82,22.84,21.77,22.85,416090,23.4,24.5,23.35,24.5,0,3060,0
20170510,CHP,21.73,21.87,21.64,21.77,64290,23.3,23.45,23.2,23.35,0,0,21400
20170509,CHP,21.91,22.0,21.44,21.73,136940,23.5,23.6,23.0,23.3,0,11650,20300
20170508,CHP,22.1,22.1,21.77,21.91,36070,23.7,23.7,23.35,23.5,0,3200,0
20170505,CHP,22.01,22.01,21.73,21.77,24490,23.6,23.6,23.3,23.35,0,0,6270
20170504,CHP,22.2,22.2,22.01,22.01,157600,23.8,23.8,23.6,23.6,0,0,18840
20170503,CHP,21.26,22.24,21.26,22.01,131100,22.8,23.85,22.8,23.6,0,9200,19000
20170428,CHP,21.22,21.26,21.17,21.26,27650,22.75,22.8,22.7,22.8,0,0,0
20170427,CHP,21.03,21.22,20.94,21.17,19000,22.55,22.75,22.45,22.7,0,100,0
20170426,CHP,21.12,21.17,20.98,21.03,29880,22.65,22.7,22.5,22.55,0,0,0
20170425,CHP,21.21,21.44,21.12,21.12,45840,22.75,23.0,22.65,22.65,0,0,0
20170424,CHP,21.63,21.73,21.21,21.21,54890,23.2,23.3,22.75,22.75,0,0,0
20170421,CHP,21.73,21.73,21.31,21.54,10410,23.3,23.3,22.85,23.1,0,0,0
20170420,CHP,21.21,21.82,21.21,21.73,110550,22.75,23.4,22.75,23.3,0,0,0
20170419,CHP,21.12,21.21,21.07,21.07,27990,22.65,22.75,22.6,22.6,0,0,0
20170418,CHP,21.17,21.21,21.12,21.21,8580,22.7,22.75,22.65,22.75,0,0,0
20170417,CHP,21.35,21.35,21.07,21.26,35470,22.9,22.9,22.6,22.8,0,0,0
20170414,CHP,21.26,21.35,20.98,21.35,25760,22.8,22.9,22.5,22.9,0,0,0
20170413,CHP,21.17,21.35,21.17,21.26,15000,22.7,22.9,22.7,22.8,0,0,0
20170412,CHP,21.31,21.45,21.17,21.26,55660,22.85,23.0,22.7,22.8,0,0,0
20170411,CHP,21.35,21.35,21.17,21.17,62880,22.9,22.9,22.7,22.7,0,0,0
20170410,CHP,21.35,21.4,21.35,21.4,48080,22.9,22.95,22.9,22.95,0,0,0
20170407,CHP,21.35,21.35,21.35,21.35,38470,22.9,22.9,22.9,22.9,0,0,0
20170405,CHP,21.35,21.4,21.35,21.4,100450,22.9,22.95,22.9,22.95,0,0,0
20170404,CHP,21.45,21.45,21.35,21.35,62110,23.0,23.0,22.9,22.9,0,0,0
20170403,CHP,21.35,21.44,21.35,21.4,26000,22.9,23.0,22.9,22.95,0,0,0
20170331,CHP,21.45,21.54,21.35,21.35,17640,23.0,23.1,22.9,22.9,0,0,0
20170330,CHP,21.92,21.92,21.26,21.4,13820,23.5,23.5,22.8,22.95,0,0,0
20170329,CHP,21.12,21.45,21.12,21.45,35450,22.65,23.0,22.65,23.0,0,0,0
20170328,CHP,21.92,21.92,21.12,21.12,5590,23.5,23.5,22.65,22.65,0,0,0
20170327,CHP,21.07,21.16,21.07,21.17,3590,22.6,22.7,22.6,22.7,0,0,1000
20170324,CHP,21.07,21.07,20.98,21.07,36340,22.6,22.6,22.5,22.6,0,0,9000
20170323,CHP,21.07,21.35,21.02,21.35,3020,22.6,22.9,22.55,22.9,0,0,700
20170322,CHP,21.16,21.16,21.07,21.07,6730,22.7,22.7,22.6,22.6,0,0,0
20170321,CHP,21.07,21.12,21.07,21.07,9810,22.6,22.65,22.6,22.6,0,0,1700
20170320,CHP,20.98,21.12,20.98,21.12,1110,22.5,22.65,22.5,22.65,0,0,0
20170317,CHP,21.07,21.16,21.07,21.12,12460,22.6,22.7,22.6,22.65,0,30,0
20170316,CHP,21.02,21.07,20.98,21.07,22530,22.55,22.6,22.5,22.6,0,0,6900
20170315,CHP,21.26,21.35,21.07,21.07,9060,22.8,22.9,22.6,22.6,0,0,0
20170314,CHP,21.16,21.16,20.98,21.07,32220,22.7,22.7,22.5,22.6,0,0,0
20170313,CHP,20.93,21.45,20.93,21.07,15120,22.45,23.0,22.45,22.6,0,0,1010
20170310,CHP,20.98,21.44,20.98,20.98,22280,22.5,23.0,22.5,22.5,0,0,0
20170309,CHP,21.45,21.45,20.93,20.93,28440,23.0,23.0,22.45,22.45,0,50,5730
20170308,CHP,21.07,21.26,20.89,20.98,88860,22.6,22.8,22.4,22.5,0,0,25000
20170307,CHP,20.61,21.07,20.61,20.98,13020,22.1,22.6,22.1,22.5,0,0,0
20170306,CHP,21.35,21.45,20.98,20.98,5310,22.9,23.0,22.5,22.5,6160000,0,0
20170303,CHP,20.51,20.98,20.51,20.98,13230,22.0,22.5,22.0,22.5,0,0,0
20170302,CHP,21.44,21.44,20.51,20.51,16250,23.0,23.0,22.0,22.0,0,100,0
20170301,CHP,20.98,21.07,20.51,20.51,14210,22.5,22.6,22.0,22.0,0,0,0
20170228,CHP,21.07,21.35,21.07,21.07,7130,22.6,22.9,22.6,22.6,0,0,0
20170227,CHP,20.98,21.26,20.98,20.98,8360,22.5,22.8,22.5,22.5,0,160,0
20170224,CHP,21.36,21.36,21.08,21.07,11190,22.9,22.9,22.6,22.6,0,0,0
20170223,CHP,20.98,21.36,20.98,21.17,12040,22.5,22.9,22.5,22.7,0,0,0
20170222,CHP,21.07,21.17,21.07,21.17,2990,22.6,22.7,22.6,22.7,0,0,0
20170221,CHP,20.98,21.36,20.98,20.98,15450,22.5,22.9,22.5,22.5,0,0,0
20170220,CHP,21.08,21.36,20.89,20.89,12120,22.6,22.9,22.4,22.4,0,0,0
20170217,CHP,21.26,21.26,21.17,21.17,3310,22.8,22.8,22.7,22.7,0,0,0
20170216,CHP,21.17,21.17,21.17,21.17,26400,22.7,22.7,22.7,22.7,0,0,0
20170215,CHP,21.17,21.45,21.17,21.17,15120,22.7,23.0,22.7,22.7,0,0,0
20170214,CHP,21.26,21.45,21.08,21.17,26100,22.8,23.0,22.6,22.7,0,40,0
20170213,CHP,21.44,21.44,20.98,21.45,18800,23.0,23.0,22.5,23.0,0,0,0
20170210,CHP,21.73,21.73,21.21,21.21,7060,23.3,23.3,22.75,22.75,0,0,0
20170209,CHP,20.7,21.26,20.7,21.26,35060,22.2,22.8,22.2,22.8,0,0,0
20170208,CHP,20.51,20.7,20.42,20.51,37070,22.0,22.2,21.9,22.0,0,0,0
20170207,CHP,20.42,20.61,20.33,20.51,52080,21.9,22.1,21.8,22.0,0,0,0
20170206,CHP,20.51,20.51,20.23,20.42,36930,22.0,22.0,21.7,21.9,0,0,10
20170203,CHP,20.24,20.42,20.24,20.42,7640,21.7,21.9,21.7,21.9,0,0,0
20170202,CHP,20.05,20.05,20.05,20.05,1200,21.5,21.5,21.5,21.5,0,0,0
20170125,CHP,19.86,20.51,19.86,20.05,5870,21.3,22.0,21.3,21.5,0,2000,0
20170124,CHP,19.77,19.87,19.77,19.86,16240,21.2,21.3,21.2,21.3,0,6380,0
20170123,CHP,19.77,19.82,19.77,19.82,1200,21.2,21.25,21.2,21.25,0,700,0
20170120,CHP,19.82,19.87,19.82,19.82,22090,21.25,21.3,21.25,21.25,0,17550,0
20170119,CHP,19.82,19.82,19.73,19.82,13270,21.25,21.25,21.15,21.25,0,9990,3500
20170118,CHP,19.82,19.82,19.82,19.82,10200,21.25,21.25,21.25,21.25,0,8930,0
20170117,CHP,19.82,19.87,19.82,19.82,11200,21.25,21.3,21.25,21.25,0,9460,0
20170116,CHP,19.87,19.87,19.82,19.82,9070,21.3,21.3,21.25,21.25,0,8260,0
20170113,CHP,19.77,19.86,19.77,19.82,17230,21.2,21.3,21.2,21.25,0,9000,0
20170112,CHP,19.59,19.77,19.59,19.77,14930,21.0,21.2,21.0,21.2,0,8000,0
20170111,CHP,19.58,19.63,19.39,19.4,16050,21.0,21.05,20.8,20.8,0,0,8300
20170110,CHP,19.54,19.59,19.54,19.58,32120,20.95,21.0,20.95,21.0,0,0,0
20170109,CHP,19.4,19.54,19.4,19.54,7500,20.8,20.95,20.8,20.95,0,0,0
20170106,CHP,19.3,19.39,19.3,19.4,10310,20.7,20.8,20.7,20.8,0,0,0
20170105,CHP,19.3,19.3,19.3,19.3,960,20.7,20.7,20.7,20.7,0,0,0
20170104,CHP,19.3,19.3,19.3,19.3,11210,20.7,20.7,20.7,20.7,0,0,0
20170103,CHP,19.21,19.3,19.11,19.3,6600,20.6,20.7,20.5,20.7,0,0,0
