<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,CLC,68.5,70.0,68.5,69.6,1870,68.5,70.0,68.5,69.6,0,2860,0
20170626,CLC,67.0,68.0,67.0,68.0,7880,67.0,68.0,67.0,68.0,0,2860,0
20170623,CLC,67.8,67.8,66.1,67.5,6440,67.8,67.8,66.1,67.5,0,1430,0
20170622,CLC,65.3,69.8,65.3,67.5,7090,65.3,69.8,65.3,67.5,0,7030,0
20170621,CLC,65.0,65.3,64.0,65.3,5450,65.0,65.3,64.0,65.3,0,2480,0
20170620,CLC,65.3,65.3,65.2,65.3,6300,65.3,65.3,65.2,65.3,0,1200,0
20170619,CLC,65.2,66.0,65.0,65.4,3080,65.2,66.0,65.0,65.4,0,2970,1100
20170616,CLC,65.2,66.4,65.2,66.0,2490,65.2,66.4,65.2,66.0,0,1020,1700
20170615,CLC,66.0,66.4,65.5,66.4,3680,66.0,66.4,65.5,66.4,0,1650,1000
20170614,CLC,65.2,66.5,65.2,66.5,2890,65.2,66.5,65.2,66.5,0,1890,1000
20170613,CLC,66.2,66.5,66.0,66.5,2540,66.2,66.5,66.0,66.5,0,1530,0
20170612,CLC,66.0,66.5,65.9,66.5,13580,66.0,66.5,65.9,66.5,0,2770,0
20170609,CLC,66.4,66.4,64.6,66.0,1490,66.4,66.4,64.6,66.0,0,1440,200
20170608,CLC,65.0,66.0,64.6,66.0,11990,65.0,66.0,64.6,66.0,0,1440,500
20170607,CLC,64.9,65.5,63.8,65.5,3450,64.9,65.5,63.8,65.5,0,1410,0
20170606,CLC,63.6,65.0,63.5,65.0,3710,63.6,65.0,63.5,65.0,0,1510,0
20170605,CLC,63.8,67.0,62.5,65.0,10900,63.8,67.0,62.5,65.0,0,3070,0
20170602,CLC,60.2,63.0,60.2,63.0,19140,60.2,63.0,60.2,63.0,0,3000,0
20170601,CLC,60.1,60.8,60.1,60.8,4050,60.1,60.8,60.1,60.8,0,1400,0
20170531,CLC,60.5,60.5,59.8,60.5,2530,60.5,60.5,59.8,60.5,0,2530,0
20170530,CLC,60.0,60.3,60.0,60.3,13450,60.0,60.3,60.0,60.3,0,1770,0
20170529,CLC,59.9,60.1,59.9,60.0,10400,59.9,60.1,59.9,60.0,0,300,0
20170526,CLC,59.0,60.0,58.5,60.0,11560,59.0,60.0,58.5,60.0,0,1530,0
20170525,CLC,58.6,60.0,58.6,60.0,10520,58.6,60.0,58.6,60.0,0,130,0
20170524,CLC,59.5,59.9,58.5,59.8,3290,59.5,59.9,58.5,59.8,0,2290,0
20170523,CLC,58.1,59.9,58.1,59.9,6700,58.1,59.9,58.1,59.9,0,1700,0
20170522,CLC,60.2,60.3,58.2,59.9,700,60.2,60.3,58.2,59.9,0,110,600
20170519,CLC,58.2,59.5,58.2,59.5,30,58.2,59.5,58.2,59.5,0,20,10
20170518,CLC,58.1,59.7,58.0,59.5,350,58.1,59.7,58.0,59.5,0,120,20
20170517,CLC,59.4,59.5,58.1,59.5,840,59.4,59.5,58.1,59.5,0,820,20
20170516,CLC,58.5,59.7,58.1,59.7,2380,58.5,59.7,58.1,59.7,0,1280,60
20170515,CLC,60.0,60.0,59.2,59.4,390,60.0,60.0,59.2,59.4,0,240,310
20170512,CLC,60.3,60.5,59.3,60.0,3400,60.3,60.5,59.3,60.0,0,690,10
20170511,CLC,59.9,60.0,59.3,59.9,380,59.9,60.0,59.3,59.9,0,80,0
20170510,CLC,60.0,61.0,59.2,60.0,1520,60.0,61.0,59.2,60.0,0,1190,160
20170509,CLC,59.6,60.9,59.6,60.0,2930,59.6,60.9,59.6,60.0,0,1740,1390
20170508,CLC,58.1,61.6,58.1,60.0,780,58.1,61.6,58.1,60.0,0,420,0
20170505,CLC,61.0,61.5,59.3,59.3,4570,61.0,61.5,59.3,59.3,0,1790,0
20170504,CLC,60.1,63.0,60.0,61.0,3860,60.1,63.0,60.0,61.0,0,140,400
20170503,CLC,60.94,61.91,59.01,59.2,470,63.0,64.0,61.0,61.2,0,130,110
20170428,CLC,59.01,59.01,58.04,59.01,6270,61.0,61.0,60.0,61.0,0,2590,320
20170427,CLC,59.2,59.68,59.01,59.01,2770,61.2,61.7,61.0,61.0,0,2630,0
20170426,CLC,59.49,59.49,58.04,59.2,2860,61.5,61.5,60.0,61.2,0,490,40
20170425,CLC,59.39,59.97,59.39,59.49,80,61.4,62.0,61.4,61.5,0,30,40
20170424,CLC,60.36,60.36,59.39,59.39,400,62.4,62.4,61.4,61.4,0,370,0
20170421,CLC,58.14,60.36,58.14,60.36,310,60.1,62.4,60.1,62.4,0,300,0
20170420,CLC,59.58,59.58,59.39,59.59,2760,61.6,61.6,61.4,61.6,0,2040,0
20170419,CLC,58.04,59.97,58.04,59.97,4440,60.0,62.0,60.0,62.0,0,4110,310
20170418,CLC,58.04,58.04,57.27,58.04,420,60.0,60.0,59.2,60.0,0,20,0
20170417,CLC,57.27,58.43,57.27,58.33,11870,59.2,60.4,59.2,60.3,0,11680,1160
20170414,CLC,58.23,58.43,57.65,58.43,5740,60.2,60.4,59.6,60.4,0,230,30
20170413,CLC,58.72,58.72,58.04,58.62,3980,60.7,60.7,60.0,60.6,0,2270,0
20170412,CLC,57.07,58.91,57.07,58.72,2610,59.0,60.9,59.0,60.7,0,650,0
20170411,CLC,57.27,58.72,57.27,58.23,3800,59.2,60.7,59.2,60.2,0,1370,200
20170410,CLC,57.56,58.43,57.07,58.43,8000,59.5,60.4,59.0,60.4,0,60,0
20170407,CLC,56.2,58.42,56.2,58.04,4480,58.1,60.4,58.1,60.0,0,60,0
20170405,CLC,58.04,58.52,57.56,57.94,16390,60.0,60.5,59.5,59.9,0,8710,560
20170404,CLC,58.52,58.52,57.56,58.04,6010,60.5,60.5,59.5,60.0,0,5950,400
20170403,CLC,58.04,58.43,57.56,58.04,8760,60.0,60.4,59.5,60.0,0,8220,0
20170331,CLC,59.01,59.01,57.56,58.04,11560,61.0,61.0,59.5,60.0,0,7560,0
20170330,CLC,58.04,59.97,58.04,58.04,1870,60.0,62.0,60.0,60.0,0,470,0
20170329,CLC,58.04,58.04,57.27,58.04,3270,60.0,60.0,59.2,60.0,0,680,400
20170328,CLC,57.75,59.01,56.11,58.04,8230,59.7,61.0,58.0,60.0,0,6410,0
20170327,CLC,61.23,61.23,56.68,58.04,470,63.3,63.3,58.6,60.0,0,20,200
20170324,CLC,58.53,59.98,56.59,58.52,10280,60.5,62.0,58.5,60.5,0,7230,10
20170323,CLC,57.07,58.42,56.49,58.43,6660,59.0,60.4,58.4,60.4,0,2910,0
20170322,CLC,56.39,57.36,56.39,57.07,9370,58.3,59.3,58.3,59.0,0,7770,0
20170321,CLC,57.65,57.65,55.71,56.39,1220,59.6,59.6,57.6,58.3,0,930,700
20170320,CLC,57.16,58.03,56.29,57.26,640,59.1,60.0,58.2,59.2,0,180,0
20170317,CLC,55.13,59.0,55.13,57.26,9000,57.0,61.0,57.0,59.2,0,7310,0
20170316,CLC,54.65,55.81,54.65,55.81,1410,56.5,57.7,56.5,57.7,0,280,0
20170315,CLC,55.62,55.62,55.14,55.62,2720,57.5,57.5,57.0,57.5,0,160,0
20170314,CLC,55.91,55.91,54.66,55.62,4820,57.8,57.8,56.5,57.5,0,1910,0
20170313,CLC,55.82,55.82,54.75,55.14,1450,57.7,57.7,56.6,57.0,0,1130,0
20170310,CLC,54.85,57.56,54.66,54.85,4500,56.7,59.5,56.5,56.7,0,2950,0
20170309,CLC,55.14,55.43,54.27,54.27,2010,57.0,57.3,56.1,56.1,0,510,0
20170308,CLC,55.52,55.62,54.17,55.62,3270,57.4,57.5,56.0,57.5,0,240,0
20170307,CLC,55.91,56.1,55.14,55.62,1210,57.8,58.0,57.0,57.5,0,490,0
20170306,CLC,55.62,56.1,54.36,55.62,1900,57.5,58.0,56.2,57.5,0,1780,0
20170303,CLC,55.81,55.81,55.62,55.62,50,57.7,57.7,57.5,57.5,0,30,0
20170302,CLC,55.33,55.81,54.46,55.62,8230,57.2,57.7,56.3,57.5,0,1050,30
20170301,CLC,55.33,55.91,55.14,55.33,2970,57.2,57.8,57.0,57.2,0,1720,0
20170228,CLC,56.1,56.1,55.43,55.91,2990,58.0,58.0,57.3,57.8,0,390,0
20170227,CLC,55.91,56.01,55.14,55.91,6740,57.8,57.9,57.0,57.8,0,4830,20
20170224,CLC,56.0,56.0,55.91,55.91,50,57.9,57.9,57.8,57.8,0,30,0
20170223,CLC,55.14,56.11,55.14,55.81,5300,57.0,58.0,57.0,57.7,0,4020,10
20170222,CLC,55.52,56.1,54.17,55.14,5140,57.4,58.0,56.0,57.0,0,980,1450
20170221,CLC,53.69,55.04,53.69,55.04,15830,55.5,56.9,55.5,56.9,0,5710,0
20170220,CLC,54.17,55.04,53.3,53.59,6290,56.0,56.9,55.1,55.4,0,390,0
20170217,CLC,54.17,55.14,54.17,54.94,3210,56.0,57.0,56.0,56.8,0,1110,0
20170216,CLC,55.52,55.52,53.2,55.04,2520,57.4,57.4,55.0,56.9,0,20,0
20170215,CLC,54.65,55.13,53.3,55.04,14750,56.5,57.0,55.1,56.9,0,2250,0
20170214,CLC,53.39,54.65,53.39,54.65,8770,55.2,56.5,55.2,56.5,0,1070,0
20170213,CLC,54.56,54.56,53.2,53.49,2980,56.4,56.4,55.0,55.3,0,30,0
20170210,CLC,54.66,54.66,52.53,54.17,8450,56.5,56.5,54.3,56.0,0,280,0
20170209,CLC,53.79,53.79,53.21,53.69,15880,55.6,55.6,55.0,55.5,30000,1500,8980
20170208,CLC,53.78,53.78,53.68,53.69,7360,55.6,55.6,55.5,55.5,0,1120,6020
20170207,CLC,53.78,54.17,53.2,53.78,17220,55.6,56.0,55.0,55.6,30000,1220,9590
20170206,CLC,51.75,54.17,51.36,54.07,7980,53.5,56.0,53.1,55.9,0,2110,0
20170203,CLC,54.36,54.36,53.78,53.78,2890,56.2,56.2,55.6,55.6,0,70,0
20170202,CLC,53.2,55.04,53.2,54.07,40930,55.0,56.9,55.0,55.9,0,290,39890
20170125,CLC,53.88,54.55,53.1,53.2,34530,55.7,56.4,54.9,55.0,0,520,32040
20170124,CLC,53.97,54.36,53.1,53.2,57630,55.8,56.2,54.9,55.0,25000,1660,54660
20170123,CLC,52.52,54.65,52.52,53.2,3810,54.3,56.5,54.3,55.0,0,1340,3170
20170120,CLC,54.17,55.14,53.2,53.2,35040,56.0,57.0,55.0,55.0,0,5150,28000
20170119,CLC,52.14,55.14,52.14,54.17,8410,53.9,57.0,53.9,56.0,0,740,0
20170118,CLC,51.26,52.13,50.3,52.14,2760,53.0,53.9,52.0,53.9,0,410,0
20170117,CLC,52.13,52.13,50.88,51.65,1700,53.9,53.9,52.6,53.4,0,70,0
20170116,CLC,50.88,53.01,50.88,52.23,4160,52.6,54.8,52.6,54.0,0,410,0
20170113,CLC,51.36,51.75,50.88,50.88,11190,53.1,53.5,52.6,52.6,0,30,4500
20170112,CLC,52.23,52.23,51.36,51.36,7460,54.0,54.0,53.1,53.1,0,20,0
20170111,CLC,53.1,53.2,52.04,52.04,1150,54.9,55.0,53.8,53.8,0,1010,20
20170110,CLC,53.97,53.97,52.23,52.23,2030,55.8,55.8,54.0,54.0,0,10,1950
20170109,CLC,53.2,53.4,51.75,52.23,2260,55.0,55.2,53.5,54.0,0,230,0
20170106,CLC,51.65,53.98,51.65,53.88,1130,53.4,55.8,53.4,55.7,0,40,10
20170105,CLC,53.88,54.17,51.27,54.17,1650,55.7,56.0,53.0,56.0,0,150,0
20170104,CLC,54.07,54.07,51.46,53.01,340,55.9,55.9,53.2,54.8,0,40,130
20170103,CLC,54.17,54.17,52.24,53.01,410,56.0,56.0,54.0,54.8,0,80,0
20161230,CLC,54.55,54.55,51.27,51.27,3440,56.4,56.4,53.0,53.0,0,1890,0
20161229,CLC,54.65,54.65,50.88,53.78,3020,56.5,56.5,52.6,55.6,0,650,0
20161228,CLC,52.14,52.14,51.27,51.75,4570,53.9,53.9,53.0,53.5,0,110,160
20161227,CLC,53.2,53.2,50.78,52.14,3930,55.0,55.0,52.5,53.9,0,430,1000
20161226,CLC,55.13,55.13,50.78,53.2,3270,57.0,57.0,52.5,55.0,0,100,0
20161223,CLC,55.04,55.04,52.24,52.23,7360,56.9,56.9,54.0,54.0,0,20,4150
20161222,CLC,54.85,54.85,53.21,54.56,4880,56.7,56.7,55.0,56.4,0,90,0
20161221,CLC,53.2,55.04,53.2,54.85,7210,55.0,56.9,55.0,56.7,0,100,0
20161220,CLC,55.14,55.14,53.4,54.17,6130,57.0,57.0,55.2,56.0,0,130,3400
20161219,CLC,56.1,56.1,54.17,54.17,3940,58.0,58.0,56.0,56.0,0,40,0
20161216,CLC,55.04,55.82,54.66,54.65,21350,56.9,57.7,56.5,56.5,0,570,0
20161215,CLC,56.11,56.11,53.3,56.01,3190,58.0,58.0,55.1,57.9,0,570,0
20161214,CLC,56.49,56.49,53.39,55.14,5060,58.4,58.4,55.2,57.0,0,50,0
20161213,CLC,55.14,55.14,53.2,54.94,3400,57.0,57.0,55.0,56.8,0,60,0
20161212,CLC,56.01,56.01,53.3,53.3,1520,57.9,57.9,55.1,55.1,0,190,0
20161209,CLC,56.11,56.11,54.17,55.14,360,58.0,58.0,56.0,57.0,0,30,0
20161208,CLC,56.88,56.88,56.88,56.88,10,58.8,58.8,58.8,58.8,0,10,0
20161207,CLC,55.62,55.62,55.62,55.62,1070,57.5,57.5,57.5,57.5,0,50,0
20161206,CLC,56.69,56.69,56.11,56.1,830,58.6,58.6,58.0,58.0,0,630,0
20161205,CLC,56.78,56.78,56.01,56.01,1430,58.7,58.7,57.9,57.9,0,610,0
20161202,CLC,56.97,56.97,55.13,55.14,2520,58.9,58.9,57.0,57.0,0,2000,1000
20161201,CLC,54.56,56.97,54.56,56.68,400,56.4,58.9,56.4,58.6,0,70,0
20161130,CLC,56.01,57.07,55.62,57.07,6420,57.9,59.0,57.5,59.0,0,1110,0
20161129,CLC,53.69,56.01,53.69,56.01,4110,55.5,57.9,55.5,57.9,0,800,0
20161128,CLC,56.68,56.68,53.68,53.69,4280,58.6,58.6,55.5,55.5,0,410,1500
20161125,CLC,57.07,57.07,56.97,56.97,1560,59.0,59.0,58.9,58.9,0,60,0
20161124,CLC,56.1,57.07,56.1,57.07,490,58.0,59.0,58.0,59.0,0,150,0
20161123,CLC,57.55,57.55,56.2,57.26,220,59.5,59.5,58.1,59.2,0,160,0
20161122,CLC,57.07,57.07,56.2,56.78,2440,59.0,59.0,58.1,58.7,0,1010,0
20161121,CLC,57.07,57.36,56.2,56.2,2160,59.0,59.3,58.1,58.1,0,10,0
20161118,CLC,57.75,57.75,56.11,57.36,960,59.7,59.7,58.0,59.3,0,340,0
20161117,CLC,57.85,57.85,56.59,57.17,5760,59.8,59.8,58.5,59.1,0,10,0
20161116,CLC,56.58,56.58,56.11,56.4,1940,60.0,60.0,59.5,59.8,0,590,310
20161115,CLC,56.49,56.59,56.49,56.58,17380,59.9,60.0,59.9,60.0,0,9410,0
20161114,CLC,57.05,57.05,55.73,56.4,7050,60.5,60.5,59.1,59.8,0,290,0
20161111,CLC,56.86,56.86,56.11,56.58,6540,60.3,60.3,59.5,60.0,0,230,0
20161110,CLC,57.06,57.34,55.65,56.11,8930,60.5,60.8,59.0,59.5,0,90,1120
20161109,CLC,57.53,57.53,55.64,56.4,9070,61.0,61.0,59.0,59.8,0,60,0
20161108,CLC,56.3,56.49,56.11,56.3,5340,59.7,59.9,59.5,59.7,0,520,460
20161107,CLC,56.58,56.58,56.11,56.49,5540,60.0,60.0,59.5,59.9,0,10,0
20161104,CLC,56.49,56.58,56.11,56.11,2520,59.9,60.0,59.5,59.5,0,200,0
20161103,CLC,57.15,57.53,55.64,56.49,5680,60.6,61.0,59.0,59.9,0,60,0
20161102,CLC,57.05,57.71,57.05,57.62,2890,60.5,61.2,60.5,61.1,0,170,0
20161101,CLC,56.58,57.33,56.39,57.24,16320,60.0,60.8,59.8,60.7,0,350,10000
20161031,CLC,56.87,56.87,56.11,56.58,14040,60.3,60.3,59.5,60.0,0,50,0
20161028,CLC,56.49,56.49,55.83,56.49,650,59.9,59.9,59.2,59.9,0,40,0
20161027,CLC,56.39,56.39,56.3,56.3,2250,59.8,59.8,59.7,59.7,0,0,0
20161026,CLC,55.92,56.3,55.92,56.3,17190,59.3,59.7,59.3,59.7,0,620,0
20161025,CLC,55.26,56.39,55.17,55.64,2560,58.6,59.8,58.5,59.0,0,80,0
20161024,CLC,56.58,56.77,55.26,55.26,36910,60.0,60.2,58.6,58.6,0,150,100
20161021,CLC,58.47,58.47,55.93,56.77,55970,62.0,62.0,59.3,60.2,0,1530,3910
20161020,CLC,59.88,59.88,57.99,58.0,16080,63.5,63.5,61.5,61.5,0,460,0
20161019,CLC,59.32,59.88,58.66,59.88,9180,62.9,63.5,62.2,63.5,0,4810,0
20161018,CLC,59.41,59.41,58.47,59.41,250,63.0,63.0,62.0,63.0,0,120,0
20161017,CLC,59.41,59.41,58.47,59.41,10140,63.0,63.0,62.0,63.0,0,100,5670
20161014,CLC,58.47,59.41,58.47,59.41,14910,62.0,63.0,62.0,63.0,0,1000,10400
20161013,CLC,59.32,59.32,58.47,58.47,2860,62.9,62.9,62.0,62.0,0,30,500
