<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,CMT,11.25,12.0,10.5,11.0,2410,11.25,12.0,10.5,11.0,0,0,0
20170626,CMT,11.25,11.25,11.25,11.25,810,11.25,11.25,11.25,11.25,0,0,0
20170623,CMT,11.9,11.9,11.3,11.3,210,11.9,11.9,11.3,11.3,0,10,0
20170622,CMT,12.3,12.3,11.3,11.3,9830,12.3,12.3,11.3,11.3,0,230,9760
20170621,CMT,12.7,12.7,11.85,12.1,220,12.7,12.7,11.85,12.1,0,170,0
20170620,CMT,12.95,12.95,12.0,12.7,80,12.95,12.95,12.0,12.7,0,20,0
20170616,CMT,12.7,12.7,11.65,12.4,50,12.7,12.7,11.65,12.4,0,30,0
20170615,CMT,12.5,12.5,12.5,12.5,30,12.5,12.5,12.5,12.5,0,30,0
20170614,CMT,12.5,12.5,11.75,12.2,30,12.5,12.5,11.75,12.2,0,20,0
20170612,CMT,11.75,11.75,11.75,11.75,10,11.75,11.75,11.75,11.75,0,0,0
20170609,CMT,12.0,12.0,12.0,12.0,5680,12.0,12.0,12.0,12.0,0,5680,0
20170608,CMT,12.4,12.4,11.5,12.0,980,12.4,12.4,11.5,12.0,0,20,0
20170607,CMT,12.5,13.0,11.95,11.95,460,12.5,13.0,11.95,11.95,0,360,0
20170606,CMT,12.0,12.5,11.25,12.5,1320,12.0,12.5,11.25,12.5,0,320,0
20170605,CMT,12.5,12.5,11.25,12.0,520,12.5,12.5,11.25,12.0,0,20,0
20170602,CMT,12.0,12.0,11.95,12.0,450,12.0,12.0,11.95,12.0,0,10,0
20170601,CMT,12.6,12.8,12.6,12.8,20,12.6,12.8,12.6,12.8,0,10,0
20170531,CMT,13.2,13.5,13.1,13.5,570,13.2,13.5,13.1,13.5,0,570,0
20170530,CMT,11.95,12.7,11.95,12.7,1730,11.95,12.7,11.95,12.7,0,1730,0
20170525,CMT,11.25,12.0,11.2,11.95,2680,11.25,12.0,11.2,11.95,0,30,1830
20170524,CMT,11.15,12.0,11.15,12.0,1010,11.15,12.0,11.15,12.0,0,10,1000
20170523,CMT,11.95,11.95,11.95,11.95,80,11.95,11.95,11.95,11.95,0,0,0
20170519,CMT,12.6,12.6,12.6,12.6,230,12.6,12.6,12.6,12.6,0,0,0
20170517,CMT,13.5,13.5,13.5,13.5,20,13.5,13.5,13.5,13.5,0,20,0
20170516,CMT,14.0,14.0,13.0,13.0,710,14.0,14.0,13.0,13.0,0,10,0
20170508,CMT,13.7,13.7,13.7,13.7,10,13.7,13.7,13.7,13.7,0,10,10
20170505,CMT,13.6,13.6,12.1,13.5,1310,13.6,13.6,12.1,13.5,0,50,0
20170504,CMT,12.5,13.4,12.5,13.0,1030,12.5,13.4,12.5,13.0,0,30,0
20170503,CMT,12.5,14.0,12.5,13.4,11090,12.5,14.0,12.5,13.4,0,90,4110
20170428,CMT,11.9,13.35,11.9,13.3,17530,11.9,13.35,11.9,13.3,0,17500,16850
20170427,CMT,12.2,12.5,12.2,12.5,20,12.2,12.5,12.2,12.5,0,20,0
20170426,CMT,11.0,12.25,10.65,12.25,2290,11.0,12.25,10.65,12.25,0,1290,300
20170425,CMT,12.3,12.75,11.45,11.45,430,12.3,12.75,11.45,11.45,0,0,110
20170421,CMT,12.0,12.3,12.0,12.3,60,12.0,12.3,12.0,12.3,0,10,0
20170420,CMT,12.6,12.6,12.6,12.6,580,12.6,12.6,12.6,12.6,0,0,0
20170418,CMT,13.1,13.5,13.1,13.5,70,13.1,13.5,13.1,13.5,0,0,0
20170417,CMT,12.1,13.1,12.1,13.1,1030,12.1,13.1,12.1,13.1,0,20,0
20170414,CMT,13.0,13.0,13.0,13.0,540,13.0,13.0,13.0,13.0,0,540,0
20170410,CMT,13.0,13.0,13.0,13.0,120,13.0,13.0,13.0,13.0,0,120,0
20170407,CMT,12.65,13.2,12.65,13.2,30,12.65,13.2,12.65,13.2,0,20,0
20170405,CMT,13.9,13.9,12.95,13.5,540,13.9,13.9,12.95,13.5,0,30,0
20170404,CMT,14.2,14.2,12.7,13.9,250,14.2,14.2,12.7,13.9,0,30,0
20170403,CMT,12.65,13.5,12.65,13.4,160,12.65,13.5,12.65,13.4,0,90,0
20170331,CMT,13.6,14.1,12.4,13.6,1920,13.6,14.1,12.4,13.6,0,1060,10
20170329,CMT,13.5,13.5,13.3,13.3,60,13.5,13.5,13.3,13.3,0,60,0
20170328,CMT,12.1,13.0,12.1,13.0,7020,12.1,13.0,12.1,13.0,0,10,6120
20170324,CMT,13.0,13.0,13.0,13.0,100,13.0,13.0,13.0,13.0,0,100,0
20170322,CMT,13.0,13.0,13.0,13.0,150,13.0,13.0,13.0,13.0,0,140,0
20170321,CMT,12.2,13.0,12.2,13.0,1010,12.2,13.0,12.2,13.0,0,10,0
20170320,CMT,12.5,13.1,12.5,13.1,2010,12.5,13.1,12.5,13.1,0,1980,0
20170317,CMT,14.0,14.95,13.1,13.1,1270,14.0,14.95,13.1,13.1,0,1260,10
20170316,CMT,14.0,14.0,13.0,14.0,520,14.0,14.0,13.0,14.0,0,20,0
20170315,CMT,13.0,13.9,13.0,13.9,520,13.0,13.9,13.0,13.9,0,20,0
20170309,CMT,13.9,13.9,13.9,13.9,20,13.9,13.9,13.9,13.9,0,0,0
20170308,CMT,13.9,14.0,13.9,14.0,20,13.9,14.0,13.9,14.0,0,20,0
20170307,CMT,13.2,13.85,13.2,13.8,750,13.2,13.85,13.2,13.8,0,20,0
20170306,CMT,13.1,14.0,13.1,14.0,170,13.1,14.0,13.1,14.0,0,10,0
20170302,CMT,14.2,14.2,13.95,13.95,20,14.2,14.2,13.95,13.95,0,10,0
20170301,CMT,14.0,14.0,14.0,14.0,200,14.0,14.0,14.0,14.0,0,0,0
20170228,CMT,13.5,13.95,13.5,13.95,200,13.5,13.95,13.5,13.95,0,200,10
20170227,CMT,13.05,13.05,12.2,13.05,15550,13.05,13.05,12.2,13.05,0,15550,3950
20170224,CMT,11.45,12.2,11.45,12.2,1930,11.45,12.2,11.45,12.2,0,10,1920
20170222,CMT,12.2,12.3,12.2,12.3,220,12.2,12.3,12.2,12.3,0,220,0
20170221,CMT,12.0,12.0,12.0,12.0,10,12.0,12.0,12.0,12.0,0,0,10
20170220,CMT,11.45,12.3,11.45,12.3,90,11.45,12.3,11.45,12.3,0,10,0
20170210,CMT,12.3,12.3,12.3,12.3,190,12.3,12.3,12.3,12.3,0,0,190
20170209,CMT,13.4,13.4,13.2,13.2,30,13.4,13.4,13.2,13.2,0,10,0
20170207,CMT,13.35,13.35,11.7,13.2,350,13.35,13.35,11.7,13.2,0,50,0
20170206,CMT,12.5,12.5,12.5,12.5,340,12.5,12.5,12.5,12.5,0,0,340
20170125,CMT,13.4,13.4,13.3,13.4,70,13.4,13.4,13.3,13.4,0,20,0
20170124,CMT,12.5,13.3,12.5,13.3,3660,12.5,13.3,12.5,13.3,0,3660,0
20170120,CMT,12.8,12.8,11.6,12.6,110,12.8,12.8,11.6,12.6,0,70,0
20170119,CMT,11.65,12.4,11.65,12.4,180,11.65,12.4,11.65,12.4,0,70,0
20170118,CMT,12.5,12.5,12.5,12.5,80,12.5,12.5,12.5,12.5,0,0,0
20170113,CMT,12.5,12.5,12.5,12.5,110,12.5,12.5,12.5,12.5,0,110,0
20170112,CMT,12.1,12.1,11.4,12.05,7600,12.1,12.1,11.4,12.05,0,6570,0
20170111,CMT,12.75,12.75,11.5,12.1,1230,12.75,12.75,11.5,12.1,0,140,0
20170110,CMT,11.1,12.35,11.1,12.35,1130,11.1,12.35,11.1,12.35,0,590,1000
20170109,CMT,12.1,12.45,11.65,11.9,2530,12.1,12.45,11.65,11.9,0,810,500
20170106,CMT,12.0,12.5,12.0,12.5,250,12.0,12.5,12.0,12.5,0,250,0
20170105,CMT,12.7,12.7,11.45,12.2,160,12.7,12.7,11.45,12.2,0,20,0
20170104,CMT,13.0,13.0,11.75,12.3,280,13.0,13.0,11.75,12.3,0,80,0
20161230,CMT,12.1,12.6,12.1,12.6,740,12.1,12.6,12.1,12.6,0,740,0
20161227,CMT,11.9,12.1,11.9,12.1,2140,11.9,12.1,11.9,12.1,0,2140,2000
20161226,CMT,11.3,11.9,11.3,11.9,520,11.3,11.9,11.3,11.9,0,20,0
20161220,CMT,12.15,12.3,11.45,12.1,700,12.15,12.3,11.45,12.1,0,610,10
20161219,CMT,12.0,12.2,12.0,12.2,210,12.0,12.2,12.0,12.2,0,210,0
20161216,CMT,12.0,12.0,12.0,12.0,550,12.0,12.0,12.0,12.0,0,0,0
20161214,CMT,11.2,12.1,11.2,12.0,1940,11.2,12.1,11.2,12.0,0,1870,0
20161213,CMT,11.7,11.8,11.1,11.75,220,11.7,11.8,11.1,11.75,0,30,0
20161212,CMT,11.8,11.8,10.55,11.8,460,11.8,11.8,10.55,11.8,0,40,0
20161209,CMT,11.25,11.4,11.2,11.2,1470,11.25,11.4,11.2,11.2,0,0,0
20161208,CMT,10.9,10.9,10.9,10.9,80,10.9,10.9,10.9,10.9,0,0,0
20161207,CMT,12.15,12.15,11.15,11.7,150,12.15,12.15,11.15,11.7,0,40,50
20161206,CMT,12.1,12.2,11.15,11.95,110,12.1,12.2,11.15,11.95,0,80,0
20161205,CMT,12.0,12.15,11.1,11.95,170,12.0,12.15,11.1,11.95,0,80,0
20161202,CMT,11.9,11.9,11.9,11.9,50,11.9,11.9,11.9,11.9,0,50,0
20161201,CMT,11.9,11.9,11.9,11.9,20,11.9,11.9,11.9,11.9,0,20,0
20161130,CMT,11.9,12.4,11.5,11.9,650,11.9,12.4,11.5,11.9,0,150,0
20161129,CMT,11.3,11.9,10.65,11.9,960,11.3,11.9,10.65,11.9,0,720,0
20161128,CMT,11.55,11.55,10.2,11.4,430,11.55,11.55,10.2,11.4,0,410,380
20161125,CMT,10.65,10.9,10.65,10.9,140,10.65,10.9,10.65,10.9,0,20,0
20161108,CMT,11.3,11.4,11.3,11.4,40,11.3,11.4,11.3,11.4,0,40,0
20161107,CMT,10.95,10.95,10.95,10.95,10,10.95,10.95,10.95,10.95,0,0,0
20161102,CMT,10.95,11.0,10.7,11.0,50,10.95,11.0,10.7,11.0,0,30,0
20161031,CMT,10.3,11.5,10.3,11.5,110,10.3,11.5,10.3,11.5,0,80,0
20161028,CMT,10.75,11.0,10.75,11.0,120,10.75,11.0,10.75,11.0,0,120,0
20161026,CMT,10.9,10.9,10.9,10.9,310,10.9,10.9,10.9,10.9,0,310,0
20161025,CMT,10.25,10.25,10.25,10.25,20,10.25,10.25,10.25,10.25,0,0,0
20161024,CMT,11.0,11.0,11.0,11.0,20,11.0,11.0,11.0,11.0,0,0,0
20161019,CMT,10.2,11.45,10.2,11.45,1010,10.2,11.45,10.2,11.45,0,670,0
20161018,CMT,10.7,11.4,10.0,10.9,2540,10.7,11.4,10.0,10.9,0,2470,0
20161017,CMT,10.7,10.7,10.7,10.7,30,10.7,10.7,10.7,10.7,0,30,0
20161014,CMT,10.2,10.2,10.2,10.2,20,10.2,10.2,10.2,10.2,0,0,0
20161013,CMT,9.9,10.5,9.9,10.35,70,9.9,10.5,9.9,10.35,0,40,0
20161012,CMT,10.35,10.35,10.25,10.25,110,10.35,10.35,10.25,10.25,0,10,0
20161011,CMT,9.8,10.4,9.8,9.8,100,9.8,10.4,9.8,9.8,0,10,0
20161010,CMT,10.5,10.5,9.7,10.5,50,10.5,10.5,9.7,10.5,0,40,0
20161007,CMT,10.4,10.4,10.4,10.4,40,10.4,10.4,10.4,10.4,0,0,0
20161004,CMT,9.82,10.3,9.82,10.3,700,9.82,10.3,9.82,10.3,0,600,600
20160929,CMT,9.86,10.55,9.86,10.55,1820,9.86,10.55,9.86,10.55,0,1320,0
20160927,CMT,10.4,10.6,10.4,10.6,40,10.4,10.6,10.4,10.6,0,40,0
20160926,CMT,10.0,10.0,10.0,10.0,550,10.0,10.0,10.0,10.0,0,550,0
20160923,CMT,9.7,10.0,9.35,10.0,430,9.7,10.0,9.35,10.0,0,30,0
20160921,CMT,10.0,10.0,10.0,10.0,170,10.0,10.0,10.0,10.0,0,0,170
20160920,CMT,10.6,10.7,10.6,10.7,30,10.6,10.7,10.6,10.7,0,30,0
20160919,CMT,11.0,11.0,10.35,10.35,430,11.0,11.0,10.35,10.35,0,10,0
20160916,CMT,11.9,12.3,10.7,11.0,710,11.9,12.3,10.7,11.0,0,600,620
20160915,CMT,10.8,11.5,10.8,11.5,310,10.8,11.5,10.8,11.5,0,310,0
20160914,CMT,10.2,11.1,9.77,10.9,2880,10.2,11.1,9.77,10.9,0,270,0
20160913,CMT,10.5,10.5,10.5,10.5,40,10.5,10.5,10.5,10.5,0,40,0
20160912,CMT,8.8,10.0,8.8,10.0,30,8.8,10.0,8.8,10.0,0,20,10
20160909,CMT,9.0,9.4,9.0,9.4,150,9.0,9.4,9.0,9.4,0,150,0
20160908,CMT,8.9,8.9,8.8,8.9,230,8.9,8.9,8.8,8.9,0,30,0
20160907,CMT,9.0,9.0,8.9,8.9,580,9.0,9.0,8.9,8.9,0,0,0
20160906,CMT,9.8,9.8,8.8,9.5,950,9.8,9.8,8.8,9.5,0,170,730
20160905,CMT,10.0,10.2,9.4,9.4,4680,10.0,10.2,9.4,9.4,0,1640,1680
20160901,CMT,10.6,10.7,9.7,9.7,610,10.6,10.7,9.7,9.7,0,60,0
20160831,CMT,10.4,10.4,9.9,10.4,4030,10.4,10.4,9.9,10.4,0,3180,0
20160830,CMT,9.9,11.2,9.9,9.9,120,9.9,11.2,9.9,9.9,0,60,0
20160829,CMT,10.3,11.5,10.3,10.6,650,10.3,11.5,10.3,10.6,0,60,0
20160826,CMT,11.3,11.3,11.0,11.0,40,11.3,11.3,11.0,11.0,0,20,20
20160825,CMT,10.5,11.0,10.5,11.0,80,10.5,11.0,10.5,11.0,0,10,0
20160824,CMT,10.7,11.3,10.7,11.0,80,10.7,11.3,10.7,11.0,0,10,50
20160823,CMT,10.7,11.4,10.7,11.4,320,10.7,11.4,10.7,11.4,0,10,0
20160822,CMT,10.7,11.4,10.7,11.4,510,10.7,11.4,10.7,11.4,0,10,0
20160818,CMT,11.0,11.5,10.9,11.5,4740,11.0,11.5,10.9,11.5,0,10,30
20160817,CMT,11.1,11.6,11.1,11.6,520,11.1,11.6,11.1,11.6,0,10,510
20160815,CMT,11.6,12.0,11.6,11.9,1030,11.6,12.0,11.6,11.9,0,20,10
20160812,CMT,12.4,12.8,12.0,12.4,900,12.4,12.8,12.0,12.4,0,600,840
20160811,CMT,12.4,12.4,12.4,12.4,30,12.4,12.4,12.4,12.4,0,30,0
20160810,CMT,12.8,12.8,12.0,12.0,120,12.8,12.8,12.0,12.0,0,20,100
20160808,CMT,12.4,12.4,12.4,12.4,10,12.4,12.4,12.4,12.4,0,10,0
20160805,CMT,12.0,12.0,12.0,12.0,540,12.0,12.0,12.0,12.0,0,0,40
20160802,CMT,12.2,12.8,12.2,12.8,20,12.2,12.8,12.2,12.8,0,10,0
20160801,CMT,12.5,12.5,12.5,12.5,20,12.5,12.5,12.5,12.5,0,0,0
20160728,CMT,13.0,13.0,13.0,13.0,10,13.0,13.0,13.0,13.0,0,10,0
20160727,CMT,12.9,13.0,12.4,12.5,1350,12.9,13.0,12.4,12.5,0,20,1120
