<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,COM,74.1,74.1,65.1,68.0,4230,74.1,74.1,65.1,68.0,0,0,0
20170626,COM,69.5,69.5,69.5,69.5,400,69.5,69.5,69.5,69.5,0,0,0
20170623,COM,60.5,69.5,60.5,69.5,770,60.5,69.5,60.5,69.5,0,0,0
20170622,COM,65.0,65.0,65.0,65.0,10,65.0,65.0,65.0,65.0,0,0,0
20170620,COM,69.5,69.6,69.5,69.6,2180,69.5,69.6,69.5,69.6,0,0,0
20170619,COM,74.6,74.6,74.6,74.6,10,74.6,74.6,74.6,74.6,0,0,0
20170615,COM,80.2,80.2,80.2,80.2,210,80.2,80.2,80.2,80.2,0,0,0
20170614,COM,75.1,75.1,75.1,75.1,40,75.1,75.1,75.1,75.1,0,0,0
20170613,COM,80.7,80.7,80.7,80.7,20,80.7,80.7,80.7,80.7,0,0,0
20170612,COM,66.1,75.7,66.1,75.7,210,66.1,75.7,66.1,75.7,0,0,0
20170609,COM,71.1,71.1,70.9,70.9,300,71.1,71.1,70.9,70.9,0,0,0
20170608,COM,81.5,81.5,76.2,76.2,1210,81.5,81.5,76.2,76.2,0,0,0
20170607,COM,76.2,76.2,76.2,76.2,210,76.2,76.2,76.2,76.2,0,0,0
20170605,COM,71.3,71.3,71.3,71.3,120,71.3,71.3,71.3,71.3,0,0,0
20170602,COM,76.6,76.6,76.6,76.6,630,76.6,76.6,76.6,76.6,0,0,0
20170601,COM,82.3,82.3,82.3,82.3,70,82.3,82.3,82.3,82.3,0,0,0
20170526,COM,71.7,82.3,71.7,82.3,150,71.7,82.3,71.7,82.3,0,0,0
20170524,COM,77.0,77.0,77.0,77.0,10,77.0,77.0,77.0,77.0,0,0,0
20170523,COM,69.5,72.0,69.5,72.0,120,69.5,72.0,69.5,72.0,0,0,0
20170522,COM,69.7,69.7,69.0,69.0,750,69.7,69.7,69.0,69.0,0,0,0
20170519,COM,65.2,65.2,65.0,65.2,2760,65.2,65.2,65.0,65.2,0,0,0
20170517,COM,61.8,61.8,61.0,61.0,190,61.8,61.8,61.0,61.0,0,0,0
20170515,COM,59.5,61.9,59.5,61.9,1790,59.5,61.9,59.5,61.9,0,0,0
20170512,COM,61.9,61.9,61.9,61.9,10,61.9,61.9,61.9,61.9,0,0,0
20170509,COM,59.6,59.6,59.5,59.5,160,59.6,59.6,59.5,59.5,0,0,0
20170428,COM,62.8,62.8,62.8,62.8,30,62.8,62.8,62.8,62.8,0,0,0
20170427,COM,60.0,60.0,60.0,60.0,40,60.0,60.0,60.0,60.0,0,0,0
20170425,COM,60.0,60.0,60.0,60.0,250,60.0,60.0,60.0,60.0,0,0,0
20170424,COM,60.0,60.0,60.0,60.0,50,60.0,60.0,60.0,60.0,0,0,0
20170421,COM,69.9,69.9,62.7,62.7,110,69.9,69.9,62.7,62.7,0,0,0
20170420,COM,60.5,67.4,60.5,67.4,510,60.5,67.4,60.5,67.4,0,0,0
20170418,COM,59.1,63.0,59.1,63.0,460,59.1,63.0,59.1,63.0,0,0,460
20170414,COM,63.0,63.0,63.0,63.0,10,63.0,63.0,63.0,63.0,0,0,0
20170411,COM,61.9,66.0,61.9,66.0,1100,61.9,66.0,61.9,66.0,0,0,1090
20170407,COM,65.0,65.0,65.0,65.0,10,65.0,65.0,65.0,65.0,0,0,0
20170331,COM,69.0,69.0,69.0,69.0,10,69.0,69.0,69.0,69.0,0,0,10
20170330,COM,70.0,70.0,70.0,70.0,1000,70.0,70.0,70.0,70.0,0,0,0
20170324,COM,69.3,69.5,69.3,69.5,110,69.3,69.5,69.3,69.5,0,0,0
20170323,COM,65.1,65.1,65.1,65.1,390,65.1,65.1,65.1,65.1,0,0,0
20170322,COM,70.0,70.0,70.0,70.0,60,70.0,70.0,70.0,70.0,0,0,0
20170321,COM,70.0,70.0,70.0,70.0,10,70.0,70.0,70.0,70.0,0,0,0
20170320,COM,70.0,74.0,69.5,70.0,1010,70.0,74.0,69.5,70.0,0,0,0
20170317,COM,72.3,72.3,69.4,69.4,1000,72.3,72.3,69.4,69.4,0,0,0
20170316,COM,69.4,69.4,67.0,69.3,220,69.4,69.4,67.0,69.3,0,0,0
20170315,COM,65.0,65.0,65.0,65.0,150,65.0,65.0,65.0,65.0,0,0,0
20170314,COM,67.4,67.4,65.0,65.0,20,67.4,67.4,65.0,65.0,0,0,0
20170313,COM,60.0,63.0,60.0,63.0,170,60.0,63.0,60.0,63.0,0,0,0
20170310,COM,58.0,59.5,58.0,59.5,130,58.0,59.5,58.0,59.5,0,0,0
20170307,COM,58.0,58.0,58.0,58.0,10,58.0,58.0,58.0,58.0,0,0,0
20170306,COM,57.0,57.0,57.0,57.0,10,57.0,57.0,57.0,57.0,0,0,0
20170301,COM,54.0,54.0,54.0,54.0,670,54.0,54.0,54.0,54.0,0,0,0
20170228,COM,57.8,58.0,57.8,58.0,200,57.8,58.0,57.8,58.0,0,0,0
20170227,COM,58.0,55.0,55.0,55.0,120,58.0,55.0,55.0,55.0,0,20,0
20170224,COM,57.8,58.0,57.8,58.0,40,57.8,58.0,57.8,58.0,0,0,0
20170222,COM,58.0,58.0,58.0,58.0,10,58.0,58.0,58.0,58.0,0,0,0
20170221,COM,51.5,56.0,51.5,56.0,1280,51.5,56.0,51.5,56.0,0,0,710
20170220,COM,54.0,54.0,54.0,54.0,140,54.0,54.0,54.0,54.0,0,10,140
20170217,COM,57.8,57.8,57.8,57.8,1000,57.8,57.8,57.8,57.8,0,1000,0
20170215,COM,57.8,57.8,56.0,57.8,220,57.8,57.8,56.0,57.8,0,0,0
20170214,COM,53.8,57.0,53.5,57.0,340,53.8,57.0,53.5,57.0,0,0,0
20170213,COM,53.5,53.5,53.5,53.5,10,53.5,53.5,53.5,53.5,0,0,0
20170209,COM,50.0,50.0,50.0,50.0,310,50.0,50.0,50.0,50.0,0,0,0
20170208,COM,49.2,49.2,49.2,49.2,1500,49.2,49.2,49.2,49.2,0,0,0
20170207,COM,49.1,49.3,49.1,49.2,110,49.1,49.3,49.1,49.2,0,0,0
20170206,COM,50.0,50.0,50.0,50.0,500,50.0,50.0,50.0,50.0,0,0,0
20170202,COM,50.0,50.0,50.0,50.0,1000,50.0,50.0,50.0,50.0,0,100,0
20170124,COM,51.0,51.0,51.0,51.0,20,51.0,51.0,51.0,51.0,0,0,0
20170123,COM,50.7,50.8,50.7,50.8,1400,50.7,50.8,50.7,50.8,0,0,10
20170120,COM,47.5,47.5,47.5,47.5,550,47.5,47.5,47.5,47.5,0,0,0
20170119,COM,50.5,50.5,50.5,50.5,10,50.5,50.5,50.5,50.5,0,0,0
20170116,COM,50.5,50.5,50.5,50.5,80,50.5,50.5,50.5,50.5,0,0,0
20170112,COM,51.0,51.0,51.0,51.0,200,51.0,51.0,51.0,51.0,0,0,0
20170111,COM,48.0,51.0,48.0,51.0,180,48.0,51.0,48.0,51.0,0,0,0
20170110,COM,48.0,48.0,48.0,48.0,40,48.0,48.0,48.0,48.0,0,0,0
20170109,COM,49.0,49.0,49.0,49.0,250,49.0,49.0,49.0,49.0,0,0,250
20170106,COM,49.0,49.0,49.0,49.0,10,49.0,49.0,49.0,49.0,0,0,0
20170103,COM,50.0,50.0,49.0,49.0,4260,50.0,50.0,49.0,49.0,0,0,10
20161229,COM,49.4,51.0,49.4,51.0,170,49.4,51.0,49.4,51.0,0,0,20
20161226,COM,53.0,53.0,53.0,53.0,60,53.0,53.0,53.0,53.0,0,0,60
20161223,COM,53.5,56.0,49.3,53.0,1670,53.5,56.0,49.3,53.0,0,0,0
20161222,COM,52.9,52.9,52.9,52.9,150,52.9,52.9,52.9,52.9,0,0,0
20161221,COM,49.35,49.5,49.35,49.5,250,49.35,49.5,49.35,49.5,0,0,0
20161220,COM,52.7,53.0,52.7,53.0,4010,52.7,53.0,52.7,53.0,0,3900,0
20161215,COM,49.4,56.6,49.3,56.6,220,49.4,56.6,49.3,56.6,0,30,0
20161214,COM,53.0,53.0,53.0,53.0,1970,57.0,57.0,57.0,57.0,0,300,0
20161213,COM,51.14,54.86,51.14,53.46,2800,55.0,59.0,55.0,57.5,0,0,0
20161212,COM,55.78,55.78,54.86,54.86,470,60.0,60.0,59.0,59.0,0,0,0
20161209,COM,55.79,55.79,55.33,55.32,890,60.0,60.0,59.5,59.5,0,0,0
20161208,COM,55.79,55.79,53.93,55.79,5860,60.0,60.0,58.0,60.0,0,0,0
20161207,COM,52.07,53.0,52.07,53.0,1700,56.0,57.0,56.0,57.0,0,0,0
20161206,COM,54.39,54.39,51.23,51.23,2430,58.5,58.5,55.1,55.1,0,0,0
20161205,COM,50.95,50.95,50.95,50.95,250,54.8,54.8,54.8,54.8,0,0,0
20161201,COM,47.7,47.7,47.7,47.7,30,51.3,51.3,51.3,51.3,0,0,0
20161128,COM,44.17,44.64,44.17,44.63,2470,47.5,48.0,47.5,48.0,0,200,0
20161124,COM,45.1,45.1,43.71,45.1,3300,48.5,48.5,47.0,48.5,0,0,0
20161122,COM,45.1,45.1,45.1,45.1,10,48.5,48.5,48.5,48.5,0,0,0
20161115,COM,44.26,44.26,44.26,44.26,30,47.6,47.6,47.6,47.6,0,0,0
20161114,COM,43.7,43.7,43.7,43.7,7240,47.0,47.0,47.0,47.0,0,0,0
20161111,COM,44.26,44.35,43.7,43.7,650,47.6,47.7,47.0,47.0,0,0,0
20161110,COM,47.89,47.89,44.22,44.21,40,51.5,51.5,47.55,47.55,0,0,0
