<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170623,CTA,1.5,1.5,1.5,1.5,5100,1.5,1.5,1.5,1.5,0,0,0
20170621,CTA,1.5,1.5,1.5,1.5,200,1.5,1.5,1.5,1.5,0,0,0
20170620,CTA,1.4,1.4,1.4,1.4,40000,1.4,1.4,1.4,1.4,0,0,0
20170619,CTA,1.5,1.5,1.5,1.5,700,1.5,1.5,1.5,1.5,0,0,0
20170614,CTA,1.5,1.5,1.5,1.5,2300,1.5,1.5,1.5,1.5,0,0,0
20170613,CTA,1.4,1.4,1.4,1.4,24900,1.4,1.4,1.4,1.4,0,0,0
20170612,CTA,1.5,1.5,1.5,1.5,100,1.5,1.5,1.5,1.5,0,0,0
20170609,CTA,1.5,1.5,1.5,1.5,1900,1.5,1.5,1.5,1.5,0,0,0
20170608,CTA,1.5,1.6,1.5,1.6,900,1.5,1.6,1.5,1.6,0,0,0
20170607,CTA,1.4,1.5,1.4,1.5,4600,1.4,1.5,1.4,1.5,0,0,0
20170606,CTA,1.5,1.6,1.5,1.5,10500,1.5,1.6,1.5,1.5,0,0,0
20170605,CTA,1.5,1.6,1.5,1.6,600,1.5,1.6,1.5,1.6,0,0,100
20170602,CTA,1.6,1.6,1.6,1.6,3600,1.6,1.6,1.6,1.6,0,0,0
20170531,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20170530,CTA,1.6,1.6,1.6,1.6,5200,1.6,1.6,1.6,1.6,0,0,0
20170529,CTA,1.5,1.7,1.5,1.7,1200,1.5,1.7,1.5,1.7,0,0,0
20170526,CTA,1.4,1.6,1.4,1.6,400,1.4,1.6,1.4,1.6,0,0,0
20170525,CTA,1.4,1.5,1.3,1.5,13100,1.4,1.5,1.3,1.5,0,0,0
20170524,CTA,1.4,1.4,1.4,1.4,1200,1.4,1.4,1.4,1.4,0,0,0
20170523,CTA,1.5,1.5,1.5,1.5,5000,1.5,1.5,1.5,1.5,0,0,0
20170519,CTA,1.6,1.6,1.6,1.6,10,1.6,1.6,1.6,1.6,0,0,0
20170518,CTA,1.7,1.7,1.6,1.6,10900,1.7,1.7,1.6,1.6,0,0,0
20170517,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20170516,CTA,1.6,1.6,1.5,1.5,400,1.6,1.6,1.5,1.5,0,0,0
20170512,CTA,1.5,1.5,1.5,1.5,20,1.5,1.5,1.5,1.5,0,0,0
20170511,CTA,1.5,1.5,1.5,1.5,100,1.5,1.5,1.5,1.5,0,0,0
20170510,CTA,1.4,1.4,1.4,1.4,1200,1.4,1.4,1.4,1.4,0,0,0
20170505,CTA,1.3,1.4,1.3,1.3,700,1.3,1.4,1.3,1.3,0,0,0
20170504,CTA,1.3,1.3,1.3,1.3,100,1.3,1.3,1.3,1.3,0,0,0
20170503,CTA,1.3,1.4,1.3,1.4,200,1.3,1.4,1.3,1.4,0,0,0
20170427,CTA,1.4,1.4,1.3,1.3,300,1.4,1.4,1.3,1.3,0,0,0
20170426,CTA,1.4,1.4,1.3,1.3,500,1.4,1.4,1.3,1.3,0,0,0
20170425,CTA,1.4,1.4,1.3,1.4,1330,1.4,1.4,1.3,1.4,0,0,0
20170420,CTA,1.4,1.4,1.4,1.4,10,1.4,1.4,1.4,1.4,0,0,0
20170419,CTA,1.4,1.4,1.4,1.4,11900,1.4,1.4,1.4,1.4,0,0,0
20170414,CTA,1.5,1.5,1.5,1.5,100,1.5,1.5,1.5,1.5,0,0,0
20170413,CTA,1.5,1.5,1.5,1.5,1500,1.5,1.5,1.5,1.5,0,0,0
20170412,CTA,1.5,1.5,1.5,1.5,100,1.5,1.5,1.5,1.5,0,0,0
20170411,CTA,1.4,1.4,1.4,1.4,100,1.4,1.4,1.4,1.4,0,0,0
20170410,CTA,1.5,1.5,1.5,1.5,100,1.5,1.5,1.5,1.5,15,0,0
20170405,CTA,1.5,1.6,1.5,1.6,5100,1.5,1.6,1.5,1.6,0,0,0
20170404,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20170403,CTA,1.5,1.5,1.5,1.5,10280,1.5,1.5,1.5,1.5,0,0,0
20170331,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20170327,CTA,1.6,1.7,1.6,1.7,1300,1.6,1.7,1.6,1.7,0,0,0
20170323,CTA,1.7,1.7,1.7,1.7,1095,1.7,1.7,1.7,1.7,0,0,0
20170322,CTA,1.6,1.6,1.6,1.6,25,1.6,1.6,1.6,1.6,0,0,0
20170315,CTA,1.6,1.6,1.6,1.6,2600,1.6,1.6,1.6,1.6,0,0,0
20170306,CTA,1.7,1.7,1.7,1.7,7800,1.7,1.7,1.7,1.7,0,0,0
20170303,CTA,1.6,1.6,1.6,1.6,7600,1.6,1.6,1.6,1.6,0,0,0
20170302,CTA,1.6,1.6,1.6,1.6,400,1.6,1.6,1.6,1.6,0,0,0
20170227,CTA,1.6,1.6,1.5,1.5,800,1.6,1.6,1.5,1.5,0,0,0
20170224,CTA,1.7,1.7,1.6,1.6,20100,1.7,1.7,1.6,1.6,0,0,0
20170223,CTA,1.7,1.7,1.7,1.7,100,1.7,1.7,1.7,1.7,0,0,0
20170222,CTA,1.8,1.8,1.8,1.8,600,1.8,1.8,1.8,1.8,0,0,0
20170220,CTA,1.8,1.8,1.7,1.7,200,1.8,1.8,1.7,1.7,0,0,0
20170217,CTA,1.7,1.7,1.7,1.7,100,1.7,1.7,1.7,1.7,0,0,0
20170209,CTA,1.7,1.7,1.7,1.7,49900,1.7,1.7,1.7,1.7,0,0,0
20170208,CTA,1.7,1.7,1.7,1.7,5000,1.7,1.7,1.7,1.7,0,0,0
20170124,CTA,1.7,1.7,1.7,1.7,400,1.7,1.7,1.7,1.7,0,0,0
20170117,CTA,1.7,1.7,1.7,1.7,10000,1.7,1.7,1.7,1.7,0,0,0
20170111,CTA,1.7,1.7,1.7,1.7,57400,1.7,1.7,1.7,1.7,0,0,0
20170110,CTA,1.6,1.7,1.6,1.7,5400,1.6,1.7,1.6,1.7,0,0,0
20170105,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20161221,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20161220,CTA,1.7,1.7,1.7,1.7,4500,1.7,1.7,1.7,1.7,0,0,0
20161219,CTA,1.7,1.7,1.7,1.7,100,1.7,1.7,1.7,1.7,0,0,0
20161205,CTA,1.6,1.6,1.6,1.6,7,1.6,1.6,1.6,1.6,0,0,0
20161202,CTA,1.6,1.6,1.6,1.6,100,1.6,1.6,1.6,1.6,0,0,0
20161130,CTA,1.7,1.7,1.7,1.7,39800,1.7,1.7,1.7,1.7,0,0,0
20161123,CTA,1.7,1.7,1.7,1.7,105000,1.7,1.7,1.7,1.7,0,0,0
20161121,CTA,1.8,1.8,1.8,1.8,100,1.8,1.8,1.8,1.8,0,0,0
20161118,CTA,1.7,1.7,1.7,1.7,392300,1.7,1.7,1.7,1.7,0,0,0
20161117,CTA,1.7,1.7,1.7,1.7,132000,1.7,1.7,1.7,1.7,0,0,0
20161115,CTA,1.7,1.7,1.7,1.7,20000,1.7,1.7,1.7,1.7,0,0,0
20161114,CTA,1.6,1.6,1.6,1.6,15010,1.6,1.6,1.6,1.6,0,0,0
20161111,CTA,1.6,1.7,1.5,1.5,5300,1.6,1.7,1.5,1.5,0,0,0
20161110,CTA,1.7,1.7,1.6,1.6,52200,1.7,1.7,1.6,1.6,0,0,0
20161109,CTA,1.6,1.7,1.6,1.7,35350,1.6,1.7,1.6,1.7,0,0,0
20161107,CTA,1.6,1.7,1.6,1.7,18700,1.6,1.7,1.6,1.7,0,0,0
20161104,CTA,1.5,1.6,1.5,1.6,5500,1.5,1.6,1.5,1.6,0,0,0
20161102,CTA,1.6,1.6,1.5,1.5,59500,1.6,1.6,1.5,1.5,0,0,19400
20161101,CTA,1.5,1.6,1.5,1.6,12800,1.5,1.6,1.5,1.6,0,0,8000
20161031,CTA,1.6,1.6,1.6,1.6,8000,1.6,1.6,1.6,1.6,0,0,8000
20161027,CTA,1.7,1.7,1.7,1.7,100,1.7,1.7,1.7,1.7,0,100,0
20161026,CTA,1.5,1.6,1.5,1.6,200,1.5,1.6,1.5,1.6,0,0,0
20161025,CTA,1.6,1.6,1.6,1.6,10200,1.6,1.6,1.6,1.6,0,0,10200
20161024,CTA,1.6,1.7,1.6,1.7,1700,1.6,1.7,1.6,1.7,0,100,0
20161021,CTA,1.6,1.7,1.6,1.7,15100,1.6,1.7,1.6,1.7,0,0,500
20161020,CTA,1.7,1.7,1.7,1.7,10170,1.7,1.7,1.7,1.7,0,0,10000
20161019,CTA,1.8,1.8,1.8,1.8,20500,1.8,1.8,1.8,1.8,0,0,9500
20161017,CTA,1.7,1.9,1.7,1.9,5700,1.7,1.9,1.7,1.9,0,0,0
20161014,CTA,1.8,1.8,1.8,1.8,15500,1.8,1.8,1.8,1.8,0,0,15100
20161012,CTA,1.8,1.9,1.8,1.9,23700,1.8,1.9,1.8,1.9,0,200,23500
20161011,CTA,1.8,2.0,1.8,2.0,7100,1.8,2.0,1.8,2.0,0,0,7000
20161010,CTA,1.8,2.0,1.8,2.0,35700,1.8,2.0,1.8,2.0,0,100,35500
20161007,CTA,1.8,1.9,1.8,1.9,70000,1.8,1.9,1.8,1.9,0,0,0
20161006,CTA,1.9,1.9,1.9,1.9,100,1.9,1.9,1.9,1.9,0,0,100
20160930,CTA,2.1,2.1,2.1,2.1,1200,2.1,2.1,2.1,2.1,0,1200,0
20160929,CTA,2.0,2.0,2.0,2.0,900,2.0,2.0,2.0,2.0,0,900,0
20160926,CTA,1.9,1.9,1.9,1.9,200,1.9,1.9,1.9,1.9,0,200,0
20160923,CTA,1.8,1.8,1.8,1.8,10000,1.8,1.8,1.8,1.8,0,0,10000
20160922,CTA,1.8,1.9,1.8,1.9,3100,1.8,1.9,1.8,1.9,0,100,3000
20160919,CTA,2.0,2.0,2.0,2.0,100,2.0,2.0,2.0,2.0,0,100,0
20160915,CTA,1.9,1.9,1.9,1.9,5700,1.9,1.9,1.9,1.9,0,100,1500
20160912,CTA,1.8,1.8,1.8,1.8,800,1.8,1.8,1.8,1.8,0,0,800
20160908,CTA,1.9,1.9,1.9,1.9,10800,1.9,1.9,1.9,1.9,0,0,9900
20160907,CTA,2.0,2.1,2.0,2.1,300,2.0,2.1,2.0,2.1,0,0,0
20160906,CTA,2.1,2.1,2.0,2.1,18800,2.1,2.1,2.0,2.1,0,0,2200
20160905,CTA,2.1,2.1,2.1,2.1,100,2.1,2.1,2.1,2.1,0,0,0
20160830,CTA,1.9,2.2,1.9,2.2,700,1.9,2.2,1.9,2.2,0,100,200
20160829,CTA,2.0,2.0,2.0,2.0,200,2.0,2.0,2.0,2.0,0,0,0
20160826,CTA,1.8,1.9,1.8,1.9,15800,1.8,1.9,1.8,1.9,0,0,10000
20160825,CTA,1.8,1.8,1.8,1.8,40000,1.8,1.8,1.8,1.8,0,0,40000
20160824,CTA,1.9,1.9,1.9,1.9,10000,1.9,1.9,1.9,1.9,0,0,10000
20160823,CTA,1.9,2.1,1.9,2.1,4900,1.9,2.1,1.9,2.1,0,100,3000
20160822,CTA,1.8,2.0,1.8,2.0,45800,1.8,2.0,1.8,2.0,0,100,45700
20160819,CTA,2.0,2.0,1.9,1.9,243900,2.0,2.0,1.9,1.9,0,0,131800
20160818,CTA,2.2,2.2,2.1,2.1,38700,2.2,2.2,2.1,2.1,0,0,33700
20160816,CTA,2.4,2.4,2.3,2.3,30900,2.4,2.4,2.3,2.3,0,0,15900
20160815,CTA,2.5,2.5,2.5,2.5,800,2.5,2.5,2.5,2.5,0,0,0
20160812,CTA,2.5,2.5,2.5,2.5,26000,2.5,2.5,2.5,2.5,0,0,0
20160804,CTA,2.7,2.7,2.7,2.7,4900,2.7,2.7,2.7,2.7,0,0,0
20160721,CTA,2.9,2.9,2.9,2.9,2500,2.9,2.9,2.9,2.9,0,0,2500
