<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DBT,15.6,15.6,15.3,15.3,13511,15.6,15.6,15.3,15.3,70,0,0
20170626,DBT,15.5,15.6,15.5,15.6,13255,15.5,15.6,15.5,15.6,0,6100,0
20170623,DBT,15.6,15.6,15.5,15.5,14100,15.6,15.6,15.5,15.5,0,0,0
20170622,DBT,15.6,15.6,15.5,15.6,14766,15.6,15.6,15.5,15.6,50,100,0
20170621,DBT,15.6,15.6,15.5,15.6,9300,15.6,15.6,15.5,15.6,0,0,0
20170620,DBT,15.6,15.7,15.5,15.7,15285,15.6,15.7,15.5,15.7,0,2000,0
20170619,DBT,15.6,15.6,15.6,15.6,7000,15.6,15.6,15.6,15.6,26768,0,0
20170616,DBT,15.6,15.7,15.5,15.6,20040,15.6,15.7,15.5,15.6,0,0,0
20170615,DBT,15.5,15.6,15.4,15.6,7675,15.5,15.6,15.4,15.6,0,0,0
20170614,DBT,15.7,15.7,15.6,15.7,910,15.7,15.7,15.6,15.7,0,300,0
20170613,DBT,15.6,15.7,15.5,15.7,4160,15.6,15.7,15.5,15.7,65,0,0
20170612,DBT,15.7,15.8,15.5,15.7,14047,15.7,15.8,15.5,15.7,0,5500,0
20170609,DBT,15.7,15.7,15.5,15.5,12750,15.7,15.7,15.5,15.5,50,0,0
20170608,DBT,15.5,15.5,15.5,15.5,400,15.5,15.5,15.5,15.5,0,0,0
20170607,DBT,15.5,16.0,15.5,15.5,9100,15.5,16.0,15.5,15.5,0,0,0
20170606,DBT,15.5,15.5,15.5,15.5,6054,15.5,15.5,15.5,15.5,0,0,0
20170605,DBT,15.5,15.7,15.5,15.7,1950,15.5,15.7,15.5,15.7,0,0,0
20170602,DBT,15.5,15.5,15.5,15.5,3800,15.5,15.5,15.5,15.5,25,0,0
20170601,DBT,15.8,15.8,15.6,15.7,3680,15.8,15.8,15.6,15.7,0,0,0
20170531,DBT,15.6,15.8,15.6,15.8,8350,15.6,15.8,15.6,15.8,0,0,0
20170530,DBT,16.0,16.1,15.7,15.7,3910,16.0,16.1,15.7,15.7,2,0,0
20170529,DBT,15.2,16.2,15.2,16.0,16865,15.2,16.2,15.2,16.0,0,0,0
20170526,DBT,15.4,15.5,15.2,15.3,8910,15.4,15.5,15.2,15.3,0,0,0
20170525,DBT,15.3,15.4,15.2,15.4,14740,15.3,15.4,15.2,15.4,0,0,0
20170524,DBT,15.5,15.5,15.1,15.4,9865,15.5,15.5,15.1,15.4,60,0,0
20170523,DBT,15.6,15.6,15.5,15.5,4400,15.6,15.6,15.5,15.5,55,0,0
20170522,DBT,15.5,15.7,15.5,15.7,9111,15.5,15.7,15.5,15.7,0,0,0
20170519,DBT,15.7,15.7,15.5,15.5,16000,15.7,15.7,15.5,15.5,0,0,0
20170518,DBT,15.8,15.8,15.3,15.6,10125,15.8,15.8,15.3,15.6,0,600,0
20170517,DBT,15.8,15.8,15.6,15.8,3705,15.8,15.8,15.6,15.8,75,0,0
20170516,DBT,15.8,15.8,15.6,15.8,10380,15.8,15.8,15.6,15.8,0,0,0
20170515,DBT,15.8,15.8,15.5,15.7,6459,15.8,15.8,15.5,15.7,0,0,0
20170512,DBT,15.9,15.9,15.8,15.8,7900,15.9,15.9,15.8,15.8,0,0,0
20170511,DBT,15.8,15.9,15.8,15.9,12285,15.8,15.9,15.8,15.9,0,0,0
