<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DC1,14.0,14.0,14.0,14.0,200,14.0,14.0,14.0,14.0,0,0,0
20170626,DC1,13.4,13.4,13.4,13.4,207,13.4,13.4,13.4,13.4,0,200,0
20170623,DC1,13.4,13.4,13.4,13.4,100,13.4,13.4,13.4,13.4,16600,100,0
20170622,DC1,13.4,13.4,13.4,13.4,3900,13.4,13.4,13.4,13.4,30000,2000,0
20170620,DC1,13.5,13.5,13.4,13.4,3700,13.5,13.5,13.4,13.4,30000,2000,0
20170619,DC1,13.9,13.9,13.9,13.9,200,13.9,13.9,13.9,13.9,0,0,0
20170616,DC1,13.4,13.4,13.4,13.4,100,13.4,13.4,13.4,13.4,0,100,0
20170613,DC1,14.0,14.0,14.0,14.0,500,14.0,14.0,14.0,14.0,0,0,0
20170609,DC1,13.4,13.4,13.4,13.4,1000,13.4,13.4,13.4,13.4,0,1000,0
20170606,DC1,13.7,13.7,13.5,13.5,1110,13.7,13.7,13.5,13.5,0,900,0
20170605,DC1,14.0,14.0,14.0,14.0,300,14.0,14.0,14.0,14.0,0,0,0
20170602,DC1,14.5,14.5,14.5,14.5,200,14.5,14.5,14.5,14.5,0,0,0
20170529,DC1,13.1,13.1,13.1,13.1,200,13.1,13.1,13.1,13.1,0,0,0
20170526,DC1,14.4,14.4,14.4,14.4,200,14.4,14.4,14.4,14.4,35000,0,0
20170525,DC1,14.4,14.4,13.0,13.0,316,14.4,14.4,13.0,13.0,0,100,0
20170524,DC1,12.8,13.0,12.8,13.0,600,12.8,13.0,12.8,13.0,0,0,100
20170523,DC1,14.9,14.9,14.9,14.9,200,14.9,14.9,14.9,14.9,0,0,0
20170522,DC1,13.8,13.8,13.8,13.8,4000,13.8,13.8,13.8,13.8,0,4000,0
20170519,DC1,12.5,14.5,12.5,14.5,334,12.5,14.5,12.5,14.5,20000,0,100
20170518,DC1,12.1,13.9,12.1,13.9,400,12.1,13.9,12.1,13.9,0,0,100
20170517,DC1,12.2,14.4,12.2,14.4,400,12.2,14.4,12.2,14.4,0,0,100
20170515,DC1,14.2,14.2,14.2,14.2,1234,14.2,14.2,14.2,14.2,0,0,0
20170512,DC1,13.9,14.5,13.4,13.4,4400,13.9,14.5,13.4,13.4,0,3000,0
20170511,DC1,14.2,14.2,11.8,13.8,10399,14.2,14.2,11.8,13.8,0,5000,0
20170510,DC1,13.8,14.5,13.8,14.5,5300,13.8,14.5,13.8,14.5,0,5000,0
20170509,DC1,14.0,14.0,14.0,14.0,5000,14.0,14.0,14.0,14.0,0,5000,0
20170508,DC1,14.0,14.8,14.0,14.7,1107,14.0,14.8,14.0,14.7,0,200,0
20170505,DC1,14.0,14.4,14.0,14.4,2900,14.0,14.4,14.0,14.4,30000,0,0
20170504,DC1,12.8,14.8,12.8,13.6,2900,12.8,14.8,12.8,13.6,17000,0,100
20170503,DC1,12.9,14.2,12.8,14.2,3900,12.9,14.2,12.8,14.2,65000,3300,100
20170428,DC1,13.4,15.0,13.2,15.0,7800,13.4,15.0,13.2,15.0,0,5100,0
20170427,DC1,13.5,13.7,13.5,13.5,5600,13.5,13.7,13.5,13.5,0,3600,0
20170426,DC1,13.4,13.9,13.2,13.9,4600,13.4,13.9,13.2,13.9,0,0,0
20170425,DC1,13.0,13.7,13.0,13.4,16700,13.0,13.7,13.0,13.4,0,5000,0
20170424,DC1,14.0,14.0,13.6,13.6,7200,14.0,14.0,13.6,13.6,0,4900,0
20170421,DC1,14.0,14.0,14.0,14.0,6400,14.0,14.0,14.0,14.0,0,4900,0
20170420,DC1,14.0,14.0,14.0,14.0,900,14.0,14.0,14.0,14.0,0,900,0
20170419,DC1,14.2,14.5,14.0,14.0,8900,14.2,14.5,14.0,14.0,0,4800,0
20170418,DC1,15.0,15.0,15.0,15.0,2000,15.0,15.0,15.0,15.0,0,0,0
20170417,DC1,14.2,14.9,14.2,14.9,10000,14.2,14.9,14.2,14.9,0,4800,0
20170414,DC1,14.3,15.2,14.2,15.1,9000,14.3,15.2,14.2,15.1,0,4800,100
20170413,DC1,16.0,16.0,16.0,16.0,100,16.0,16.0,16.0,16.0,0,0,0
20170412,DC1,15.5,15.5,15.5,15.5,400,15.5,15.5,15.5,15.5,0,0,0
20170411,DC1,14.3,14.9,14.3,14.9,1050,14.3,14.9,14.3,14.9,0,0,0
20170410,DC1,15.1,15.1,14.1,14.8,12650,15.1,15.1,14.1,14.8,0,6000,0
20170407,DC1,15.9,15.9,14.1,14.2,16300,15.9,15.9,14.1,14.2,0,8200,0
20170405,DC1,17.0,17.0,15.9,15.9,11670,17.0,17.0,15.9,15.9,0,6000,0
20170404,DC1,19.0,20.0,17.0,17.0,17130,19.0,20.0,17.0,17.0,0,8000,0
20170403,DC1,19.0,20.8,19.0,20.2,16900,19.0,20.8,19.0,20.2,0,10000,0
20170331,DC1,20.0,20.8,20.0,20.0,15500,20.0,20.8,20.0,20.0,0,9000,0
20170330,DC1,20.2,21.0,20.0,20.8,26420,20.2,21.0,20.0,20.8,0,0,0
20170329,DC1,16.9,19.0,16.9,19.0,8953,16.9,19.0,16.9,19.0,0,0,0
20170328,DC1,16.2,17.1,16.2,17.1,17200,16.2,17.1,16.2,17.1,0,0,0
20170327,DC1,18.5,18.5,16.1,16.1,18827,18.5,18.5,16.1,16.1,0,0,0
20170324,DC1,16.1,16.1,16.0,16.1,27223,16.1,16.1,16.0,16.1,0,0,0
20170323,DC1,14.0,14.0,14.0,14.0,100,14.0,14.0,14.0,14.0,0,0,0
20170322,DC1,12.4,12.4,9.2,12.4,61900,12.4,12.4,9.2,12.4,0,0,0
20170321,DC1,10.8,10.8,10.8,10.8,100,10.8,10.8,10.8,10.8,0,0,0
20170320,DC1,9.4,9.4,9.4,9.4,100,9.4,9.4,9.4,9.4,0,0,0
20170317,DC1,8.2,8.2,8.2,8.2,100,8.2,8.2,8.2,8.2,0,0,0
20170316,DC1,7.2,7.2,7.2,7.2,100,7.2,7.2,7.2,7.2,0,0,0
20170315,DC1,6.3,6.3,6.3,6.3,100,6.3,6.3,6.3,6.3,0,0,0
20170314,DC1,5.5,5.5,5.5,5.5,100,5.5,5.5,5.5,5.5,0,0,0
20170309,DC1,4.8,4.8,4.8,4.8,3950,4.8,4.8,4.8,4.8,0,0,0
20170307,DC1,4.2,4.2,4.2,4.2,200,4.2,4.2,4.2,4.2,0,0,0
20161202,DC1,3.0,3.0,3.0,3.0,44000,3.0,3.0,3.0,3.0,0,0,0
