<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110915,DCC,9.5,9.5,9.5,9.5,120,9.5,9.5,9.5,9.5,0,0,0
20110913,DCC,10.0,10.0,10.0,10.0,20,10.0,10.0,10.0,10.0,0,0,0
20110909,DCC,10.6,10.6,9.6,10.5,1030,10.6,10.6,9.6,10.5,0,0,0
20110908,DCC,10.6,10.7,10.1,10.1,450,10.6,10.7,10.1,10.1,0,0,0
20110907,DCC,10.6,10.6,10.6,10.6,350,10.6,10.6,10.6,10.6,0,0,0
20110906,DCC,10.6,10.6,10.6,10.6,100,10.6,10.6,10.6,10.6,0,0,0
20110905,DCC,10.9,10.9,10.9,10.9,100,10.9,10.9,10.9,10.9,0,0,0
20110901,DCC,11.7,11.7,10.7,10.7,510,11.7,11.7,10.7,10.7,0,0,0
20110831,DCC,10.9,11.2,10.3,11.2,600,10.9,11.2,10.3,11.2,0,0,0
20110830,DCC,10.6,10.7,10.6,10.7,190,10.6,10.7,10.6,10.7,0,0,0
20110829,DCC,10.2,10.2,9.6,10.2,690,10.2,10.2,9.6,10.2,0,0,0
20110826,DCC,10.8,10.8,9.9,9.9,720,10.8,10.8,9.9,9.9,0,0,0
20110825,DCC,10.2,10.3,9.5,10.3,1100,10.2,10.3,9.5,10.3,0,0,0
20110824,DCC,10.7,10.7,9.9,9.9,130,10.7,10.7,9.9,9.9,0,0,0
20110823,DCC,9.9,10.2,9.9,10.2,210,9.9,10.2,9.9,10.2,0,0,0
20110822,DCC,10.3,10.3,9.8,9.9,1300,10.3,10.3,9.8,9.9,0,0,0
20110819,DCC,9.5,10.3,9.5,10.3,20,9.5,10.3,9.5,10.3,0,0,0
20110818,DCC,9.9,9.9,9.9,9.9,110,9.9,9.9,9.9,9.9,0,0,0
20110817,DCC,10.3,10.3,9.5,9.5,350,10.3,10.3,9.5,9.5,0,0,0
20110816,DCC,9.9,9.9,9.9,9.9,10,9.9,9.9,9.9,9.9,0,0,0
20110815,DCC,10.2,10.2,10.2,10.2,10,10.2,10.2,10.2,10.2,0,0,0
20110812,DCC,10.0,10.0,10.0,10.0,40,10.0,10.0,10.0,10.0,0,0,0
20110811,DCC,11.0,11.0,10.5,10.5,650,11.0,11.0,10.5,10.5,0,0,0
20110810,DCC,10.3,11.1,10.3,11.0,1160,10.3,11.1,10.3,11.0,0,0,0
20110809,DCC,10.8,10.8,10.8,10.8,60,10.8,10.8,10.8,10.8,0,0,0
20110808,DCC,11.3,11.3,11.3,11.3,50,11.3,11.3,11.3,11.3,0,0,0
20110804,DCC,11.5,11.7,11.0,11.7,3480,11.5,11.7,11.0,11.7,0,0,0
20110803,DCC,11.5,11.7,11.5,11.5,210,11.5,11.7,11.5,11.5,0,0,0
20110802,DCC,11.5,11.5,11.5,11.5,350,11.5,11.5,11.5,11.5,0,0,0
20110729,DCC,10.8,11.0,10.8,11.0,230,10.8,11.0,10.8,11.0,0,0,0
20110728,DCC,11.6,11.7,11.2,11.3,160,11.6,11.7,11.2,11.3,0,0,0
20110727,DCC,11.6,11.6,11.2,11.2,110,11.6,11.6,11.2,11.2,0,0,0
20110726,DCC,11.6,11.6,11.6,11.6,10,11.6,11.6,11.6,11.6,0,0,0
20110721,DCC,13.2,13.2,12.1,12.1,280,13.2,13.2,12.1,12.1,0,0,0
20110720,DCC,12.6,12.6,12.6,12.6,20,12.6,12.6,12.6,12.6,0,0,0
20110719,DCC,12.7,12.7,12.1,12.1,190,12.7,12.7,12.1,12.1,0,0,0
20110718,DCC,12.7,12.7,12.7,12.7,620,12.7,12.7,12.7,12.7,0,0,0
20110715,DCC,13.3,13.3,13.3,13.3,510,13.3,13.3,13.3,13.3,0,0,0
20110714,DCC,13.9,13.9,13.9,13.9,100,13.9,13.9,13.9,13.9,0,0,0
20110713,DCC,13.5,14.5,13.5,14.5,30,13.5,14.5,13.5,14.5,0,0,0
20110712,DCC,13.9,13.9,13.9,13.9,10,13.9,13.9,13.9,13.9,0,0,0
20110711,DCC,14.6,14.6,14.6,14.6,50,14.6,14.6,14.6,14.6,0,0,0
20110708,DCC,14.0,14.0,14.0,14.0,20,14.0,14.0,14.0,14.0,0,0,0
20110707,DCC,14.5,14.5,14.5,14.5,100,14.5,14.5,14.5,14.5,0,0,0
20110706,DCC,15.3,15.3,15.2,15.2,110,15.3,15.3,15.2,15.2,0,0,0
20110705,DCC,15.7,16.5,15.7,15.8,340,15.7,16.5,15.7,15.8,0,0,0
20110704,DCC,16.3,16.5,16.3,16.5,540,16.3,16.5,16.3,16.5,0,0,0
20110701,DCC,17.1,17.1,17.1,17.1,100,17.1,17.1,17.1,17.1,0,0,0
20110630,DCC,18.0,18.2,16.8,17.9,790,18.0,18.2,16.8,17.9,0,0,0
20110629,DCC,17.5,17.6,16.1,17.6,330,17.5,17.6,16.1,17.6,0,0,0
20110628,DCC,16.2,16.8,15.6,16.8,510,16.2,16.8,15.6,16.8,0,0,0
