<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,DGW,15.2,15.2,14.9,15.0,132190,15.2,15.2,14.9,15.0,0,0,54550
20170626,DGW,15.5,15.5,15.0,15.2,247790,15.5,15.5,15.0,15.2,0,0,54550
20170623,DGW,14.85,15.7,14.7,15.5,411660,14.85,15.7,14.7,15.5,0,0,0
20170622,DGW,14.6,14.9,14.5,14.85,424050,14.6,14.9,14.5,14.85,0,78560,0
20170621,DGW,14.7,14.85,14.55,14.6,335150,14.7,14.85,14.55,14.6,0,30050,0
20170620,DGW,14.7,14.9,14.55,14.7,506820,14.7,14.9,14.55,14.7,0,13300,0
20170619,DGW,14.8,15.0,14.6,14.7,250250,14.8,15.0,14.6,14.7,0,0,0
20170616,DGW,14.9,15.1,14.7,14.8,461840,14.9,15.1,14.7,14.8,0,70,0
20170615,DGW,14.7,15.1,14.55,14.9,346220,14.7,15.1,14.55,14.9,0,42830,0
20170614,DGW,14.9,15.0,14.7,14.7,172700,14.9,15.0,14.7,14.7,0,0,0
20170613,DGW,15.0,15.1,14.7,14.9,675650,15.0,15.1,14.7,14.9,0,6100,143490
20170612,DGW,14.15,15.1,14.15,15.0,733700,14.15,15.1,14.15,15.0,0,72510,0
20170609,DGW,14.15,14.15,14.0,14.15,101650,14.15,14.15,14.0,14.15,0,0,0
20170608,DGW,14.15,14.3,14.05,14.15,177160,14.15,14.3,14.05,14.15,0,0,0
20170607,DGW,14.15,14.4,14.0,14.15,174140,14.15,14.4,14.0,14.15,0,0,0
20170606,DGW,14.25,14.25,13.9,14.15,153770,14.25,14.25,13.9,14.15,0,0,0
20170605,DGW,14.25,14.3,14.2,14.25,148710,14.25,14.3,14.2,14.25,0,0,0
20170602,DGW,14.25,14.35,14.1,14.25,163120,14.25,14.35,14.1,14.25,0,0,0
20170601,DGW,14.2,14.45,14.0,14.25,133460,14.2,14.45,14.0,14.25,0,0,0
20170531,DGW,14.3,14.5,14.25,14.3,115230,14.3,14.5,14.25,14.3,0,0,230
20170530,DGW,14.6,14.7,14.25,14.3,370150,14.6,14.7,14.25,14.3,0,0,0
20170529,DGW,14.0,14.7,14.0,14.6,347650,14.0,14.7,14.0,14.6,0,0,0
20170526,DGW,14.0,14.15,13.9,14.0,163500,14.0,14.15,13.9,14.0,0,0,0
20170525,DGW,14.1,14.1,13.95,14.0,88650,14.1,14.1,13.95,14.0,0,0,0
20170524,DGW,14.1,14.2,13.7,14.1,120600,14.1,14.2,13.7,14.1,0,240,0
20170523,DGW,14.2,14.2,14.1,14.1,174500,14.2,14.2,14.1,14.1,0,0,0
20170522,DGW,14.3,14.45,14.15,14.3,161160,14.3,14.45,14.15,14.3,0,0,0
20170519,DGW,14.3,14.4,14.1,14.3,177140,14.3,14.4,14.1,14.3,0,220,0
20170518,DGW,14.29,14.39,14.0,14.0,178040,15.0,15.1,14.7,14.7,0,0,0
