<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20140526,DHI,3.9,3.9,3.9,3.9,1000,3.9,3.9,3.9,3.9,0,5000,0
20131024,DHI,5.6,5.7,5.6,5.6,5400,5.6,5.7,5.6,5.6,0,0,0
20131023,DHI,5.9,5.9,5.9,5.9,1000,5.9,5.9,5.9,5.9,0,0,0
20131021,DHI,5.4,5.4,5.4,5.4,257,5.4,5.4,5.4,5.4,0,0,57
20131018,DHI,5.2,5.2,5.2,5.2,200,5.2,5.2,5.2,5.2,0,0,0
20131017,DHI,5.2,5.2,5.2,5.2,1,5.2,5.2,5.2,5.2,0,0,1
20131015,DHI,5.3,5.3,5.2,5.2,1338,5.3,5.3,5.2,5.2,0,0,0
20131014,DHI,5.3,5.3,5.3,5.3,600,5.3,5.3,5.3,5.3,0,0,0
20131011,DHI,5.6,5.6,5.6,5.6,100,5.6,5.6,5.6,5.6,0,0,0
20131009,DHI,5.4,5.4,5.4,5.4,83,5.4,5.4,5.4,5.4,0,0,0
20131008,DHI,5.4,5.4,5.4,5.4,700,5.4,5.4,5.4,5.4,0,0,300
20131004,DHI,5.5,5.5,5.4,5.4,1200,5.5,5.5,5.4,5.4,0,0,1000
20131002,DHI,5.2,5.5,5.2,5.5,1000,5.2,5.5,5.2,5.5,0,0,0
20131001,DHI,5.7,5.7,5.7,5.7,1100,5.7,5.7,5.7,5.7,0,0,424
20130930,DHI,5.7,5.7,5.7,5.7,400,5.7,5.7,5.7,5.7,0,0,0
20130924,DHI,5.4,5.8,5.4,5.8,800,5.4,5.8,5.4,5.8,0,0,0
20130923,DHI,5.3,5.3,5.3,5.3,500,5.3,5.3,5.3,5.3,0,0,0
20130920,DHI,5.3,5.3,5.3,5.3,100,5.3,5.3,5.3,5.3,0,0,0
20130919,DHI,4.9,4.9,4.9,4.9,100,4.9,4.9,4.9,4.9,0,0,0
20130916,DHI,4.5,4.5,4.5,4.5,3300,4.5,4.5,4.5,4.5,0,0,2300
20130913,DHI,4.1,4.1,4.1,4.1,500,4.1,4.1,4.1,4.1,0,0,500
20130813,DHI,4.1,4.1,4.1,4.1,200,4.1,4.1,4.1,4.1,0,0,0
20130808,DHI,4.5,4.5,4.5,4.5,100,4.5,4.5,4.5,4.5,0,0,0
20130807,DHI,4.1,4.1,4.1,4.1,100,4.1,4.1,4.1,4.1,0,0,0
20130801,DHI,3.8,3.8,3.8,3.8,300,3.8,3.8,3.8,3.8,0,0,0
20130730,DHI,4.2,4.2,4.2,4.2,100,4.2,4.2,4.2,4.2,0,0,0
20130726,DHI,3.9,3.9,3.9,3.9,1000,3.9,3.9,3.9,3.9,0,0,0
20130724,DHI,4.3,4.3,4.3,4.3,100,4.3,4.3,4.3,4.3,0,0,0
20130723,DHI,4.3,4.3,4.3,4.3,200,4.3,4.3,4.3,4.3,0,0,0
20130719,DHI,4.7,4.7,4.7,4.7,300,4.7,4.7,4.7,4.7,0,0,0
20130626,DHI,5.2,5.2,5.2,5.2,500,5.2,5.2,5.2,5.2,0,0,500
20130625,DHI,5.2,5.2,5.2,5.2,100,5.2,5.2,5.2,5.2,0,0,0
20130624,DHI,4.4,4.8,4.4,4.8,400,4.4,4.8,4.4,4.8,0,0,0
20130620,DHI,4.8,4.8,4.8,4.8,100,4.8,4.8,4.8,4.8,0,0,0
20130618,DHI,4.4,4.4,4.4,4.4,100,4.4,4.4,4.4,4.4,0,0,0
20130613,DHI,5.0,5.0,4.3,4.3,200,5.0,5.0,4.3,4.3,0,0,0
20130612,DHI,4.6,4.6,4.6,4.6,100,4.6,4.6,4.6,4.6,0,0,0
20130611,DHI,5.0,5.0,5.0,5.0,1000,5.0,5.0,5.0,5.0,0,0,0
20130610,DHI,6.2,6.2,5.3,5.3,200,6.2,6.2,5.3,5.3,0,0,0
20130607,DHI,5.7,5.7,5.7,5.7,100,5.7,5.7,5.7,5.7,0,0,0
20130606,DHI,6.3,6.3,6.3,6.3,200,6.3,6.3,6.3,6.3,0,0,0
20130528,DHI,6.9,6.9,6.9,6.9,100,6.9,6.9,6.9,6.9,0,0,0
20130527,DHI,6.3,6.3,6.3,6.3,500,6.3,6.3,6.3,6.3,0,0,0
20130521,DHI,6.0,7.0,6.0,7.0,3100,6.0,7.0,6.0,7.0,0,0,0
20130517,DHI,6.4,6.4,6.4,6.4,100,6.4,6.4,6.4,6.4,0,0,0
20130515,DHI,5.9,5.9,5.9,5.9,400,5.9,5.9,5.9,5.9,0,0,0
20130509,DHI,6.5,6.5,6.5,6.5,2000,6.5,6.5,6.5,6.5,83,0,0
20130417,DHI,6.6,6.6,6.6,6.6,500,6.6,6.6,6.6,6.6,0,0,0
20130416,DHI,6.6,6.6,6.6,6.6,2000,6.6,6.6,6.6,6.6,0,0,0
20130415,DHI,6.5,6.5,6.5,6.5,200,6.5,6.5,6.5,6.5,0,0,0
20130409,DHI,6.0,6.0,6.0,6.0,100,6.0,6.0,6.0,6.0,0,0,100
20130408,DHI,6.1,6.1,6.1,6.1,600,6.1,6.1,6.1,6.1,0,0,0
20130405,DHI,6.0,6.0,6.0,6.0,300,6.0,6.0,6.0,6.0,0,0,0
20130404,DHI,6.0,6.0,6.0,6.0,100,6.0,6.0,6.0,6.0,0,0,0
20130403,DHI,6.0,6.0,6.0,6.0,500,6.0,6.0,6.0,6.0,0,0,0
20130402,DHI,5.6,5.6,5.6,5.6,100,5.6,5.6,5.6,5.6,0,0,0
20130329,DHI,5.1,5.1,5.1,5.1,100,5.1,5.1,5.1,5.1,0,0,0
20130328,DHI,5.3,5.6,5.3,5.6,600,5.3,5.6,5.3,5.6,0,0,0
20130326,DHI,5.8,5.9,5.8,5.8,5000,5.8,5.9,5.8,5.8,0,0,0
20130322,DHI,6.4,6.4,6.4,6.4,3300,6.4,6.4,6.4,6.4,0,0,0
20130321,DHI,6.3,6.5,6.3,6.5,9000,6.3,6.5,6.3,6.5,0,0,0
20130320,DHI,6.4,6.4,6.3,6.3,1000,6.4,6.4,6.3,6.3,0,0,0
20130319,DHI,6.9,6.9,6.9,6.9,100,6.9,6.9,6.9,6.9,0,0,0
20130318,DHI,7.6,7.6,7.6,7.6,1000,7.6,7.6,7.6,7.6,0,0,0
20130315,DHI,7.9,8.0,7.9,8.0,1000,7.9,8.0,7.9,8.0,0,0,0
